calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.0,-0.4,-9.2,0.0,4.3,,,,2.0,,,,,
2016-01-02,-0.4,4.6,-5.0,2.5,1.8,,,,2.3,,,,,
2016-01-03,-4.2,1.9,-9.7,0.0,2.2,,,,1.4,,,,,
2016-01-04,-6.8,-0.4,-14.1,0.0,1.4,,,,1.1,,,,,
2016-01-05,-8.6,-2.6,-14.5,0.0,1.0,,,,1.2,,,,,
2016-01-06,-4.5,1.3,-9.5,0.0,4.0,,,,2.2,,,,,
2016-01-07,-5.0,-1.4,-9.7,0.0,2.7,,,,1.2,,,,,
2016-01-08,-5.1,1.1,-11.5,0.0,3.0,,,,1.6,,,,,
2016-01-09,-7.7,-1.4,-12.2,0.0,4.2,,,,1.5,,,,,
2016-01-10,-6.6,-1.6,-12.7,0.0,3.4,,,,1.7,,,,,
2016-01-11,-11.4,-4.0,-18.1,0.0,7.7,,,,1.8,,,,,
2016-01-12,-10.4,-3.1,-16.9,0.0,2.9,,,,1.3,,,,,
2016-01-13,-6.7,-0.8,-14.4,0.0,1.4,,,,2.1,,,,,
2016-01-14,-7.0,-1.5,-16.3,3.5,6.5,,,,2.9,,,,,
2016-01-15,-12.4,-3.6,-18.8,0.0,6.1,,,,1.3,,,,,
2016-01-16,-10.5,-1.1,-18.5,0.0,6.4,,,,1.0,,,,,
2016-01-17,-9.8,-1.6,-17.4,0.0,8.9,,,,0.9,,,,,
2016-01-18,-6.8,-0.9,-16.0,0.0,0.0,,,,2.5,,,,,
2016-01-19,-1.3,0.2,-2.7,0.0,0.0,,,,4.5,,,,,
2016-01-20,-1.9,-0.1,-4.5,0.0,5.9,,,,6.4,,,,,
2016-01-21,-7.1,-2.3,-14.4,0.5,3.6,,,,2.0,,,,,
2016-01-22,-9.2,-1.3,-16.6,0.0,2.5,,,,1.2,,,,,
2016-01-23,-7.5,-0.4,-14.2,0.0,6.2,,,,0.9,,,,,
2016-01-24,-6.1,-1.7,-10.3,0.5,6.3,,,,2.6,,,,,
2016-01-25,-11.1,-4.3,-19.3,0.0,7.5,,,,1.6,,,,,
2016-01-26,-1.9,2.5,-11.1,0.0,2.4,,,,2.3,,,,,
2016-01-27,-3.0,0.9,-10.8,0.0,4.7,,,,2.6,,,,,
2016-01-28,-8.5,-0.7,-15.4,0.0,3.3,,,,2.0,,,,,
2016-01-29,-10.2,-2.7,-16.5,0.0,6.6,,,,1.6,,,,,
2016-01-30,-9.2,-2.0,-15.3,0.0,8.5,,,,0.9,,,,,
2016-01-31,-10.7,-3.2,-19.5,0.0,5.6,,,,1.2,,,,,
2016-02-01,-12.1,-3.7,-18.6,0.0,8.9,,,,1.4,,,,,
2016-02-02,-9.0,-2.0,-17.6,0.0,4.2,,,,1.7,,,,,
2016-02-03,-7.6,-0.1,-13.7,0.5,6.8,,,,1.1,,,,,
2016-02-04,-2.5,1.8,-7.8,1.0,4.2,,,,2.4,,,,,
2016-02-05,-5.2,-0.4,-13.5,0.0,2.8,,,,1.7,,,,,
2016-02-06,-9.2,-0.8,-15.9,0.0,4.4,,,,1.9,,,,,
2016-02-07,-10.4,-1.4,-19.8,0.0,7.4,,,,1.2,,,,,
2016-02-08,-5.9,-0.4,-12.9,0.0,9.5,,,,1.4,,,,,
2016-02-09,0.3,3.6,-3.8,3.0,2.3,,,,3.7,,,,,
