calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.1,-0.8,-6.2,0.0,3.5,,,,1.2,,,,,
2016-01-02,0.5,4.3,-3.5,3.5,2.6,,,,1.7,,,,,
2016-01-03,-1.4,0.7,-5.1,0.0,6.5,,,,2.2,,,,,
2016-01-04,-4.1,-1.3,-7.1,0.0,0.4,,,,1.2,,,,,
2016-01-05,-5.5,-3.3,-8.4,0.0,3.7,,,,1.6,,,,,
2016-01-06,-3.4,0.1,-6.3,0.0,2.2,,,,1.6,,,,,
2016-01-07,-4.3,-2.3,-6.1,0.0,3.1,,,,1.4,,,,,
2016-01-08,-3.6,-1.0,-6.8,0.0,3.2,,,,1.3,,,,,
2016-01-09,-5.6,-3.0,-9.1,0.0,3.6,,,,1.3,,,,,
2016-01-10,-5.5,-1.3,-9.1,0.5,2.7,,,,1.8,,,,,
2016-01-11,-9.2,-6.8,-11.9,0.0,1.6,,,,1.1,,,,,
2016-01-12,-7.9,-4.0,-11.5,0.0,3.8,,,,1.3,,,,,
2016-01-13,-6.1,-2.0,-9.8,0.5,3.2,,,,1.1,,,,,
2016-01-14,-5.0,-3.4,-7.4,5.5,4.7,,,,2.1,,,,,
2016-01-15,-6.3,-2.3,-10.5,0.0,4.2,,,,1.4,,,,,
2016-01-16,-6.1,-2.6,-9.7,0.0,3.5,,,,1.6,,,,,
2016-01-17,-7.4,-2.0,-12.2,0.0,6.3,,,,1.5,,,,,
2016-01-18,-5.6,-1.9,-12.0,2.5,0.0,,,,1.3,,,,,
2016-01-19,-1.9,-0.4,-4.0,3.0,0.0,,,,2.9,,,,,
2016-01-20,-1.6,0.6,-4.6,0.0,1.4,,,,2.9,,,,,
2016-01-21,-4.3,-0.9,-8.8,0.0,7.4,,,,1.8,,,,,
2016-01-22,-4.9,-0.3,-11.0,0.0,5.8,,,,1.9,,,,,
2016-01-23,-6.1,-1.8,-10.3,0.0,6.8,,,,1.4,,,,,
2016-01-24,-5.4,-1.1,-9.8,2.5,1.8,,,,1.3,,,,,
2016-01-25,-6.2,-3.7,-11.3,0.0,5.3,,,,1.8,,,,,
2016-01-26,-1.4,2.2,-6.3,0.0,1.2,,,,1.4,,,,,
2016-01-27,-2.4,-0.1,-4.1,0.0,2.5,,,,1.6,,,,,
2016-01-28,-5.0,-1.4,-8.1,0.0,3.0,,,,2.0,,,,,
2016-01-29,-7.5,-4.7,-10.9,0.0,0.1,,,,1.4,,,,,
2016-01-30,-7.9,-3.1,-12.1,0.0,3.0,,,,1.0,,,,,
2016-01-31,-7.5,-4.5,-10.0,0.0,2.8,,,,1.2,,,,,
2016-02-01,-8.5,-4.6,-12.0,0.0,6.9,,,,1.4,,,,,
2016-02-02,-7.8,-3.5,-11.7,0.0,2.8,,,,1.2,,,,,
2016-02-03,-6.6,-1.8,-12.0,0.0,5.2,,,,1.3,,,,,
2016-02-04,-3.3,2.0,-9.3,0.5,2.8,,,,0.8,,,,,
2016-02-05,-3.9,-1.5,-7.6,0.0,2.6,,,,1.3,,,,,
2016-02-06,-7.1,-2.1,-10.9,0.0,3.9,,,,1.4,,,,,
2016-02-07,-6.9,-3.2,-13.1,0.0,5.6,,,,1.5,,,,,
2016-02-08,-4.4,-1.0,-9.1,6.5,7.1,,,,1.0,,,,,
2016-02-09,0.3,3.3,-3.2,11.0,3.2,,,,1.8,,,,,
2016-02-10,-3.0,-0.4,-5.9,0.0,7.3,,,,3.2,,,,,
2016-02-11,-4.3,-0.1,-9.5,0.0,7.0,,,,2.1,,,,,
2016-02-12,-2.6,3.7,-10.1,0.0,2.9,,,,0.8,,,,,
2016-02-13,1.4,4.0,-1.2,2.5,0.0,,,,0.5,,,,,
2016-02-14,1.8,7.1,-2.1,22.0,0.0,,,,1.3,,,,,
2016-02-15,-7.1,-2.0,-10.3,0.0,4.0,,,,2.1,,,,,
2016-02-16,-6.1,-3.2,-11.2,0.0,6.1,,,,1.4,,,,,
2016-02-17,-5.5,-2.4,-7.8,2.5,3.4,,,,1.8,,,,,
2016-02-18,-2.3,3.3,-8.8,0.5,1.3,,,,1.0,,,,,
2016-02-19,0.9,5.9,-3.7,1.5,0.8,,,,1.5,,,,,
2016-02-20,-0.1,2.5,-3.3,5.0,2.8,,,,1.2,,,,,
2016-02-21,-0.9,2.3,-4.9,6.5,3.1,,,,2.6,,,,,
2016-02-22,-5.7,-3.2,-10.0,2.0,0.3,,,,1.4,,,,,
2016-02-23,-3.0,3.2,-10.2,3.5,4.8,,,,1.2,,,,,
2016-02-24,-8.1,-4.2,-13.8,0.0,7.2,,,,2.0,,,,,
2016-02-25,-9.0,-3.4,-14.2,0.0,4.2,,,,1.4,,,,,
2016-02-26,-8.2,-2.7,-13.1,0.5,3.4,,,,1.2,,,,,
2016-02-27,-7.1,-2.3,-12.0,1.0,6.0,,,,1.4,,,,,
2016-02-28,-6.0,-0.7,-13.2,0.0,7.7,,,,1.4,,,,,
2016-02-29,-0.3,5.4,-5.9,59.0,0.4,,,,2.3,,,,,
2016-03-01,-3.3,-0.8,-6.7,10.0,4.7,,,,3.5,,,,,
2016-03-02,-5.8,-1.1,-10.6,0.0,2.7,,,,1.4,,,,,
2016-03-03,-5.1,-0.5,-10.3,4.5,0.2,,,,0.8,,,,,
2016-03-04,-5.3,0.8,-13.4,0.0,8.7,,,,1.4,,,,,
2016-03-05,-4.3,2.1,-11.4,0.0,9.0,,,,1.1,,,,,
2016-03-06,0.0,1.4,-4.1,40.5,0.0,,,,0.8,,,,,
2016-03-07,3.1,6.3,-1.5,0.0,7.0,,,,2.1,,,,,
2016-03-08,0.7,6.3,-3.3,0.5,0.2,,,,1.6,,,,,
2016-03-09,-2.8,-0.1,-7.3,0.5,3.9,,,,1.8,,,,,
2016-03-10,-4.4,0.7,-11.5,0.0,4.8,,,,1.3,,,,,
2016-03-11,-5.2,-0.1,-9.7,0.0,4.7,,,,1.4,,,,,
2016-03-12,-5.2,0.7,-10.3,0.0,3.9,,,,1.2,,,,,
2016-03-13,-4.5,-1.1,-10.9,6.5,0.2,,,,0.4,,,,,
2016-03-14,-1.1,4.0,-7.5,0.0,3.8,,,,,,,,,
2016-03-15,-0.6,2.3,-4.0,0.0,8.6,,,,2.5,,,,,
2016-03-16,2.1,8.6,-6.5,0.0,6.3,,,,1.7,,,,,
2016-03-17,5.0,12.9,-1.5,0.0,10.5,,,,1.8,,,,,
2016-03-18,3.7,10.3,-1.0,0.0,7.8,,,,1.0,,,,,
2016-03-19,3.4,7.7,-0.2,4.5,0.0,,,,1.3,,,,,
2016-03-20,0.3,3.1,-3.1,0.0,4.8,,,,2.6,,,,,
2016-03-21,-1.5,3.2,-5.9,0.0,7.8,,,,1.7,,,,,
2016-03-22,-0.1,5.1,-5.5,0.0,7.1,,,,1.6,,,,,
2016-03-23,0.3,4.5,-3.8,0.0,5.7,,,,1.7,,,,,
2016-03-24,0.0,4.4,-5.0,0.0,7.1,,,,2.0,,,,,
2016-03-25,0.1,3.6,-2.7,0.0,6.9,,,,2.5,,,,,
2016-03-26,1.3,6.2,-3.2,0.0,9.3,,,,1.9,,,,,
2016-03-27,3.1,9.1,-4.0,0.0,9.8,,,,1.4,,,,,
2016-03-28,3.8,9.5,-2.8,0.0,9.4,,,,1.4,,,,,
2016-03-29,2.4,8.4,-4.1,0.0,6.1,,,,1.0,,,,,
2016-03-30,2.2,4.8,-1.5,23.0,0.0,,,,0.8,,,,,
2016-03-31,3.5,8.2,-2.2,0.0,7.8,,,,1.6,,,,,
2016-04-01,4.1,8.5,-1.0,0.0,9.5,,,,2.0,,,,,
2016-04-02,1.9,2.8,1.3,1.0,0.0,,,,2.4,,,,,
2016-04-03,4.4,8.7,0.6,24.5,0.0,,,,1.2,,,,,
2016-04-04,4.2,10.3,-1.9,0.0,5.9,,,,1.5,,,,,
2016-04-05,5.3,11.9,-3.2,0.5,9.2,,,,2.2,,,,,
2016-04-06,4.9,11.6,-1.6,0.0,9.5,,,,1.9,,,,,
2016-04-07,3.9,9.0,-2.2,15.5,0.3,,,,1.2,,,,,
2016-04-08,5.2,12.7,-1.9,2.0,3.5,,,,1.4,,,,,
2016-04-09,3.3,11.1,-2.7,0.5,7.9,,,,2.3,,,,,
2016-04-10,2.4,6.6,-1.9,0.0,10.6,,,,2.2,,,,,
2016-04-11,0.9,4.9,-1.9,0.0,7.8,,,,2.7,,,,,
2016-04-12,4.4,9.8,-0.4,0.0,10.8,,,,2.1,,,,,
2016-04-13,4.6,9.8,0.3,6.0,1.0,,,,1.1,,,,,
2016-04-14,7.1,10.8,3.6,6.0,1.5,,,,1.0,,,,,
2016-04-15,4.0,6.6,2.6,0.5,3.9,,,,3.7,,,,,
2016-04-16,5.9,11.9,-0.6,0.0,6.3,,,,1.7,,,,,
2016-04-17,6.1,8.8,1.7,36.5,0.0,,,,1.4,,,,,
2016-04-18,5.8,9.3,2.2,5.0,3.2,,,,3.3,,,,,
2016-04-19,3.6,7.6,-0.5,1.5,0.4,,,,1.3,,,,,
2016-04-20,6.9,12.9,-0.8,0.0,10.8,,,,1.6,,,,,
2016-04-21,10.0,19.3,1.3,0.0,9.9,,,,1.6,,,,,
2016-04-22,10.1,17.5,4.1,0.0,9.4,,,,1.7,,,,,
2016-04-23,5.3,7.4,2.1,11.5,0.0,,,,1.2,,,,,
2016-04-24,7.7,14.3,-0.3,0.0,11.4,,,,2.0,,,,,
2016-04-25,8.9,15.5,1.6,0.0,9.9,,,,1.6,,,,,
2016-04-26,7.2,14.2,2.0,0.0,4.8,,,,1.6,,,,,
2016-04-27,6.3,12.9,-1.9,0.0,10.7,,,,1.6,,,,,
2016-04-28,4.5,8.7,0.8,13.5,0.0,,,,1.8,,,,,
2016-04-29,4.2,6.9,1.7,4.0,0.0,,,,2.7,,,,,
2016-04-30,2.8,6.7,-2.4,0.5,6.4,,,,2.8,,,,,
2016-05-01,5.1,12.4,-1.0,0.0,7.6,,,,1.5,,,,,
2016-05-02,6.3,12.9,-2.6,0.0,8.2,,,,1.4,,,,,
2016-05-03,11.9,20.6,6.1,2.0,7.2,,,,1.3,,,,,
2016-05-04,10.1,12.3,7.9,21.0,0.0,,,,0.9,,,,,
2016-05-05,10.0,14.4,6.7,3.0,1.2,,,,1.5,,,,,
2016-05-06,9.6,14.3,6.3,0.5,3.4,,,,1.3,,,,,
2016-05-07,9.1,15.1,6.4,21.5,2.7,,,,1.3,,,,,
2016-05-08,12.4,17.2,5.4,0.0,11.4,,,,3.1,,,,,
2016-05-09,10.7,19.2,2.3,0.0,5.1,,,,1.4,,,,,
2016-05-10,11.8,18.0,6.0,11.5,0.0,,,,1.3,,,,,
2016-05-11,9.3,10.6,7.9,32.0,0.0,,,,1.1,,,,,
2016-05-12,8.6,11.9,4.2,2.5,2.6,,,,2.1,,,,,
2016-05-13,11.4,18.4,2.9,0.0,12.0,,,,2.0,,,,,
2016-05-14,11.9,22.1,3.2,0.0,12.7,,,,1.5,,,,,
2016-05-15,9.8,15.2,2.4,0.0,8.8,,,,1.9,,,,,
2016-05-16,8.9,11.1,6.8,16.0,0.0,,,,1.9,,,,,
2016-05-17,12.0,19.2,6.1,3.0,10.0,,,,1.4,,,,,
2016-05-18,14.8,22.6,6.0,0.0,13.3,,,,1.7,,,,,
2016-05-19,11.9,18.4,5.4,0.0,12.5,,,,1.3,,,,,
2016-05-20,13.1,21.7,5.4,0.0,12.8,,,,1.1,,,,,
2016-05-21,14.3,24.0,5.2,0.0,12.6,,,,1.3,,,,,
2016-05-22,15.6,24.1,7.4,0.0,13.3,,,,1.3,,,,,
2016-05-23,16.9,24.3,8.2,0.0,9.4,,,,1.4,,,,,
2016-05-24,13.4,19.7,10.0,0.0,3.6,,,,2.0,,,,,
2016-05-25,13.1,19.0,10.7,11.0,2.2,,,,1.1,,,,,
2016-05-26,15.3,22.0,10.8,0.0,2.6,,,,1.2,,,,,
2016-05-27,14.8,21.5,5.1,0.0,8.6,,,,1.7,,,,,
2016-05-28,14.6,23.1,4.6,0.5,11.0,,,,1.7,,,,,
2016-05-29,13.6,21.1,4.0,0.0,12.9,,,,1.5,,,,,
2016-05-30,11.5,16.7,8.9,0.5,3.5,,,,1.5,,,,,
2016-05-31,11.2,12.9,8.3,33.0,0.0,,,,0.9,,,,,
2016-06-01,11.0,16.2,6.3,0.0,5.0,,,,2.3,,,,,
2016-06-02,9.8,14.2,4.2,0.0,6.0,,,,3.2,,,,,
2016-06-03,10.2,14.0,4.6,0.5,3.3,,,,1.2,,,,,
2016-06-04,11.1,14.8,8.1,9.0,0.3,,,,1.0,,,,,
2016-06-05,12.5,18.6,6.9,0.0,12.6,,,,1.6,,,,,
2016-06-06,13.2,20.6,4.6,0.0,11.2,,,,1.3,,,,,
2016-06-07,14.8,20.7,10.0,0.0,12.2,,,,1.2,,,,,
2016-06-08,13.5,17.5,9.2,6.0,0.0,,,,0.6,,,,,
2016-06-09,15.1,17.1,12.9,13.0,0.0,,,,0.7,,,,,
