calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.7,-3.3,-7.1,0.0,0.8,,59,3,1.2,,,,,
2016-01-02,-1.9,1.4,-6.9,7.5,0.0,,63,10,2.1,,,,,
2016-01-03,-4.1,-0.9,-10.9,0.0,4.1,,61,0,2.1,,,,,
2016-01-04,-6.5,-3.6,-11.4,0.0,0.0,,56,1,1.4,,,,,
2016-01-05,-7.3,-5.5,-9.8,2.5,0.3,,65,12,2.1,,,,,
2016-01-06,-5.4,-2.6,-7.8,0.0,1.2,,65,4,2.3,,,,,
2016-01-07,-6.4,-4.8,-6.9,1.5,1.0,,69,6,2.2,,,,,
2016-01-08,-5.6,-3.0,-7.7,0.0,0.8,,65,2,1.9,,,,,
2016-01-09,-7.5,-5.4,-11.0,0.0,0.1,,63,3,1.7,,,,,
2016-01-10,-7.5,-3.6,-10.6,4.0,0.6,,68,10,1.7,,,,,
2016-01-11,-11.2,-8.8,-13.9,0.0,1.2,,67,0,1.7,,,,,
2016-01-12,-9.5,-6.2,-13.8,0.0,4.1,,63,5,2.2,,,,,
2016-01-13,-8.1,-4.4,-11.2,0.0,2.0,,61,1,1.5,,,,,
2016-01-14,-6.7,-5.0,-8.1,8.5,3.3,,78,23,2.0,,,,,
2016-01-15,-8.4,-3.5,-13.7,0.5,4.8,,77,4,1.4,,,,,
2016-01-16,-10.5,-4.9,-15.6,0.0,5.1,,70,0,1.4,,,,,
2016-01-17,-12.0,-3.9,-17.3,0.0,6.0,,66,0,1.6,,,,,
2016-01-18,-7.7,-3.8,-16.4,7.5,0.0,,64,5,3.3,,,,,
2016-01-19,-3.9,-1.4,-5.7,7.0,0.0,,68,5,2.3,,,,,
2016-01-20,-3.9,-1.8,-6.7,0.0,1.2,,68,2,2.1,,,,,
2016-01-21,-6.4,-2.9,-12.2,2.0,4.4,,71,4,1.3,,,,,
2016-01-22,-9.1,-2.2,-17.1,0.0,3.9,,68,0,1.3,,,,,
2016-01-23,-9.9,-3.3,-14.3,0.0,5.1,,67,5,1.2,,,,,
2016-01-24,-8.1,-1.9,-12.9,0.0,3.0,,69,8,1.4,,,,,
