calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,2.4,-4.1,,7.1,,,,2.0,3.6,1020.4,65,1021.4,
2016-01-02,1.6,6.2,-3.0,5.0,4.2,,1,1,3.2,5.3,1011.7,77,1012.7,
2016-01-03,0.2,3.1,-3.6,,2.3,,,,2.8,3.4,1012.7,54,1013.7,
2016-01-04,-2.5,0.9,-5.4,0.0,1.9,,,,2.4,3.3,1011.7,66,1012.7,
2016-01-05,-3.5,-0.8,-6.7,0.0,2.7,,1,1,3.3,2.8,1013.3,60,1014.3,
2016-01-06,-1.3,2.9,-4.4,0.0,4.0,,,,2.7,3.2,1012.7,59,1013.7,
2016-01-07,-2.3,0.6,-3.6,0.0,3.4,,,,3.0,3.1,1008.6,60,1009.6,
2016-01-08,-1.5,2.0,-4.2,0.0,3.1,,,,2.7,3.1,1008.9,56,1009.9,
2016-01-09,-3.6,-0.3,-7.6,,3.9,,,,3.0,2.7,1013.6,58,1014.6,
2016-01-10,-4.5,1.7,-8.0,0.0,6.1,,1,1,3.1,3.0,1011.4,69,1012.4,
2016-01-11,-6.8,-3.9,-9.2,0.0,6.1,,,,3.9,2.0,1014.7,54,1015.7,
2016-01-12,-5.8,-1.7,-10.1,0.0,3.2,,,,3.0,2.2,1011.6,55,1012.6,
2016-01-13,-3.6,0.2,-7.0,0.5,2.6,,4,4,2.0,2.7,1009.5,59,1010.5,
2016-01-14,-4.0,-0.8,-8.6,7.5,7.8,,19,15,3.4,3.2,1008.1,72,1009.1,
2016-01-15,-6.6,-3.0,-10.0,0.0,6.0,,13,,3.4,2.8,1014.1,77,1015.1,
2016-01-16,-6.1,-0.3,-11.1,,8.3,,10,,2.4,2.6,1015.7,69,1016.7,
2016-01-17,-7.1,0.1,-13.2,0.0,7.5,,9,,2.2,2.8,1021.0,78,1022.1,
2016-01-18,-4.9,-2.1,-9.7,2.5,0.0,,12,4,3.5,3.2,1013.1,75,1014.1,
2016-01-19,-1.2,-0.2,-3.4,4.5,0.0,,17,5,5.8,4.4,996.6,79,997.6,
2016-01-20,-0.9,1.1,-5.2,0.5,2.7,,16,,6.1,3.6,1004.5,63,1005.5,
2016-01-21,-4.0,0.4,-9.2,0.5,4.6,,18,3,2.8,3.5,1012.8,76,1013.8,
2016-01-22,-5.1,1.0,-12.2,0.0,4.4,,16,1,2.2,3.2,1014.3,76,1015.3,
2016-01-23,-4.7,0.1,-10.7,0.0,7.2,,15,,1.9,2.9,1013.8,68,1014.8,
2016-01-24,-4.6,0.0,-7.7,0.0,5.0,,15,1,3.8,3.1,1001.8,72,1002.8,
2016-01-25,-5.9,-2.6,-9.9,0.0,6.4,,14,,3.0,2.5,1010.4,63,1011.4,
2016-01-26,-0.2,3.4,-5.8,0.0,2.2,,14,,3.0,4.5,1015.7,74,1016.7,
2016-01-27,-0.2,2.4,-2.5,0.0,5.9,,13,1,3.9,3.7,1017.2,60,1018.2,
2016-01-28,-3.6,1.0,-6.4,0.0,5.1,,14,3,2.9,3.3,1022.1,70,1023.1,
2016-01-29,-5.5,-1.8,-9.9,0.0,6.0,,13,,3.0,2.5,1025.4,63,1026.4,
2016-01-30,-6.6,-2.4,-11.1,0.0,5.9,,13,,1.8,2.8,1021.4,76,1022.4,
2016-01-31,-5.8,-1.7,-9.3,,6.3,,13,,2.9,2.3,1018.0,58,1019.0,
2016-02-01,-6.4,-1.8,-11.4,,9.1,,13,,3.0,2.2,1018.3,60,1019.3,
2016-02-02,-5.6,-1.1,-9.8,0.0,4.9,,13,,2.6,2.6,1014.6,67,1015.6,
2016-02-03,-5.0,1.0,-11.9,,8.7,,12,,2.3,2.8,1018.8,66,1019.8,
2016-02-04,-1.5,3.0,-7.9,0.0,6.6,,14,2,3.1,4.4,1014.4,79,1015.4,
2016-02-05,-1.9,1.6,-6.5,0.0,6.0,,14,,3.6,3.3,1011.8,62,1012.8,
2016-02-06,-4.5,1.0,-8.2,,7.2,,14,,3.0,2.5,1012.3,59,1013.3,
2016-02-07,-4.8,-0.7,-12.1,0.0,7.0,,14,1,3.8,2.8,1012.4,65,1013.4,
2016-02-08,-2.5,0.7,-7.5,0.0,8.5,,14,1,3.0,3.7,1016.0,73,1017.0,
2016-02-09,2.1,4.2,-0.2,2.0,4.2,,14,1,6.3,5.6,1003.8,79,1004.8,
2016-02-10,-1.2,1.7,-4.3,0.5,7.2,,11,3,4.1,4.1,1012.7,73,1013.7,
2016-02-11,-2.5,2.2,-6.5,0.0,8.7,,10,,2.7,3.2,1028.5,64,1029.5,
2016-02-12,-0.6,4.3,-8.5,,2.4,,10,,3.2,5.1,1027.1,82,1028.1,
2016-02-13,4.7,6.4,3.9,0.5,0.0,,7,,2.9,8.1,1013.1,94,1014.1,
2016-02-14,4.2,6.7,-1.1,24.5,0.0,,3,,2.7,8.0,991.7,95,992.7,
2016-02-15,-5.1,-1.1,-8.4,0.5,5.6,,,,3.9,2.6,1000.8,60,1001.8,
2016-02-16,-4.3,-0.5,-10.1,,7.9,,,,2.8,2.5,1005.9,58,1006.9,
2016-02-17,-3.3,0.5,-5.9,0.5,6.1,,1,2,4.0,3.2,1008.7,68,1009.7,
2016-02-18,-0.3,4.7,-7.0,0.0,5.4,,,,2.5,4.8,1016.7,80,1017.7,
2016-02-19,2.5,6.9,-2.3,0.5,5.1,,,,3.1,5.7,1017.4,78,1018.4,
2016-02-20,1.3,3.7,-2.0,5.5,2.6,,6,6,2.5,4.9,1022.8,74,1023.8,
2016-02-21,0.0,3.2,-3.3,5.0,2.1,,16,11,5.0,4.8,1008.6,79,1009.6,
2016-02-22,-3.0,0.2,-7.6,0.0,3.1,,12,,3.4,3.0,1025.7,62,1026.7,
2016-02-23,-2.3,2.7,-7.9,5.5,4.8,,20,9,3.1,4.4,1018.2,84,1019.2,
2016-02-24,-7.1,-3.2,-10.8,0.5,5.4,,13,,4.0,2.7,1022.1,76,1023.1,
2016-02-25,-6.9,-0.8,-13.5,0.0,6.7,,13,,2.8,2.4,1022.7,66,1023.7,
2016-02-26,-5.8,0.3,-11.7,0.0,8.4,,12,,2.8,2.6,1021.0,66,1022.0,
2016-02-27,-4.8,0.0,-10.7,0.0,7.0,,13,1,2.8,2.8,1023.7,67,1024.7,
2016-02-28,-4.8,0.5,-11.9,,10.4,,12,,2.0,2.5,1027.0,61,1028.1,
2016-02-29,1.1,5.7,-4.9,9.0,0.0,,30,19,9.2,5.3,1005.4,79,1006.4,
2016-03-01,-2.1,0.8,-7.1,2.0,6.4,,23,8,5.7,4.1,1003.4,79,1004.4,
2016-03-02,-4.0,1.8,-8.3,0.0,5.6,,20,,2.3,3.3,1016.1,73,1017.1,
2016-03-03,-4.0,0.4,-7.7,1.0,0.3,,24,6,3.1,3.8,1019.3,83,1020.3,
2016-03-04,-3.4,0.7,-9.1,0.0,6.7,,24,1,2.2,3.6,1030.9,75,1031.9,
2016-03-05,-2.4,2.6,-10.2,,10.4,,19,,2.4,3.6,1034.3,71,1035.4,
2016-03-06,3.1,4.7,0.8,20.0,0.0,,18,1,8.0,6.9,1021.6,90,1022.6,
2016-03-07,4.7,9.2,1.5,0.5,6.7,,11,,2.6,6.7,1016.5,79,1017.5,
2016-03-08,2.1,5.4,-1.2,1.5,0.5,,6,1,3.2,5.4,1010.6,76,1011.6,
2016-03-09,-0.4,2.9,-4.1,0.0,8.7,,4,,3.7,3.3,1015.8,55,1016.8,
2016-03-10,-2.2,1.7,-7.1,0.0,7.7,,2,,1.7,3.8,1018.0,75,1019.0,
2016-03-11,-2.2,3.4,-6.5,0.0,8.3,,,,2.4,3.4,1016.7,66,1017.7,
2016-03-12,-2.5,2.4,-6.2,0.0,5.4,,,,2.2,3.9,1022.4,76,1023.4,
2016-03-13,-1.1,2.6,-7.0,0.5,3.6,,,,3.1,4.8,1023.4,83,1024.4,
2016-03-14,1.0,4.8,-3.6,0.0,5.3,,,,2.0,5.9,1016.3,91,1017.3,
2016-03-15,1.2,5.9,-2.9,0.0,8.9,,,,3.7,3.6,1012.8,55,1013.8,
2016-03-16,3.2,9.0,-4.5,,5.9,,,,4.0,5.8,1013.0,74,1014.0,
2016-03-17,8.0,15.5,2.4,,11.0,,,,3.7,5.9,1015.4,57,1016.3,
2016-03-18,5.7,8.7,3.4,,6.4,,,,2.4,8.0,1014.2,87,1015.2,
2016-03-19,4.6,8.0,1.5,6.5,0.0,,,,2.9,8.1,1005.9,94,1006.9,
2016-03-20,1.1,4.4,-2.7,1.0,6.7,,1,1,5.0,4.7,1013.1,72,1014.1,
2016-03-21,-1.1,2.9,-5.0,1.0,4.8,,1,,2.0,4.6,1014.8,82,1015.8,
2016-03-22,0.8,8.2,-6.3,,9.8,,,,2.7,4.0,1008.9,64,1009.9,
2016-03-23,1.7,5.2,-1.2,0.0,2.3,,,,2.6,5.2,1010.5,75,1011.5,
2016-03-24,0.6,4.5,-3.5,0.0,7.0,,,,2.4,4.8,1014.4,75,1015.4,
2016-03-25,0.9,4.9,-3.8,0.5,5.9,,,,3.0,5.1,1014.9,78,1015.9,
2016-03-26,1.6,6.0,-3.2,1.0,4.2,,1,1,1.7,5.4,1017.2,79,1018.2,
2016-03-27,3.6,8.5,-2.9,,10.7,,,,3.1,6.3,1015.9,80,1016.9,
2016-03-28,5.9,11.3,0.5,0.5,9.7,,,,3.2,5.8,1016.8,63,1017.8,
2016-03-29,3.2,7.4,-2.8,,7.3,,,,1.9,6.0,1021.8,77,1022.8,
2016-03-30,4.6,6.7,-0.6,7.0,0.9,,,,4.6,7.6,1014.7,90,1015.7,
2016-03-31,5.2,12.0,-1.7,,10.0,,,,2.4,5.7,1014.6,69,1015.6,
2016-04-01,5.3,9.5,2.1,,10.7,,,,4.1,6.6,1025.4,75,1026.4,
