calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.7,-0.3,-9.8,0.0,3.5,,14,3,1.8,,,,,
2016-01-02,-0.7,3.1,-6.0,1.5,0.9,,16,4,1.5,,,,,
2016-01-03,-2.7,1.6,-8.5,0.0,1.7,,13,1,1.4,,,,,
2016-01-04,-4.6,-0.2,-11.7,0.0,1.6,,13,0,1.4,,,,,
2016-01-05,-6.8,-2.8,-13.2,0.0,1.2,,13,0,1.3,,,,,
2016-01-06,-3.2,-0.1,-6.1,0.0,1.6,,13,0,1.5,,,,,
2016-01-07,-4.6,-1.3,-8.8,0.0,4.2,,14,1,1.3,,,,,
2016-01-08,-4.4,0.3,-7.9,0.0,2.0,,14,1,1.2,,,,,
2016-01-09,-7.1,-2.6,-12.5,0.0,2.2,,14,3,1.2,,,,,
2016-01-10,-6.4,-2.1,-12.6,0.0,3.7,,15,3,1.7,,,,,
2016-01-11,-8.5,-4.8,-13.6,0.0,7.3,,15,1,2.2,,,,,
2016-01-12,-9.7,-4.7,-16.2,0.0,1.0,,15,1,1.1,,,,,
2016-01-13,-6.7,-1.6,-11.5,0.0,1.8,,15,0,1.0,,,,,
2016-01-14,-6.1,-1.2,-11.9,4.5,5.1,,28,18,1.9,,,,,
2016-01-15,-10.5,-6.5,-17.2,0.0,5.9,,26,4,1.5,,,,,
2016-01-16,-10.2,-3.0,-19.3,2.0,5.1,,31,10,0.9,,,,,
2016-01-17,-10.5,-3.7,-17.4,0.5,7.5,,31,4,0.8,,,,,
2016-01-18,-9.9,-3.7,-17.9,3.5,0.0,,30,5,1.0,,,,,
2016-01-19,-1.8,-0.8,-3.7,0.0,0.0,,30,2,4.1,,,,,
2016-01-20,-1.2,0.3,-3.2,0.0,4.2,,29,1,4.3,,,,,
2016-01-21,-5.9,-0.9,-10.9,4.5,0.6,,35,12,1.4,,,,,
2016-01-22,-7.0,-0.5,-14.3,4.5,1.3,,45,15,1.7,,,,,
2016-01-23,-8.3,-1.1,-15.5,0.0,6.2,,41,0,0.9,,,,,
2016-01-24,-8.1,-4.4,-13.2,0.0,6.5,,37,0,1.8,,,,,
2016-01-25,-9.1,-6.4,-16.3,0.0,5.4,,35,3,1.5,,,,,
2016-01-26,-1.2,4.3,-9.6,0.0,4.6,,34,0,2.1,,,,,
2016-01-27,-2.4,0.7,-5.6,0.0,4.2,,30,0,1.7,,,,,
2016-01-28,-4.9,-1.6,-9.7,0.0,2.2,,31,5,2.4,,,,,
2016-01-29,-8.6,-3.2,-14.6,0.0,3.7,,30,2,1.4,,,,,
2016-01-30,-10.0,-5.5,-13.2,0.0,5.1,,30,4,0.9,,,,,
2016-01-31,-8.5,-3.2,-15.5,0.0,5.7,,30,0,1.6,,,,,
2016-02-01,-8.6,-3.1,-16.8,0.0,8.4,,29,0,2.1,,,,,
2016-02-02,-6.7,-2.0,-11.7,1.0,3.9,,36,9,1.9,,,,,
2016-02-03,-6.5,-1.8,-13.9,4.0,6.9,,47,11,1.1,,,,,
2016-02-04,-2.2,2.4,-10.1,0.0,7.4,,39,2,2.1,,,,,
2016-02-05,-3.8,-1.0,-10.2,0.0,3.2,,35,5,2.0,,,,,
2016-02-06,-8.9,-2.8,-16.7,0.0,4.1,,34,1,1.7,,,,,
2016-02-07,-9.3,-2.3,-20.4,0.5,5.2,,37,5,1.1,,,,,
2016-02-08,-6.2,-3.0,-13.6,0.0,8.6,,36,3,1.4,,,,,
2016-02-09,0.9,4.6,-4.0,6.0,4.2,,45,15,3.1,,,,,
2016-02-10,-2.5,0.4,-4.5,3.5,0.8,,55,21,5.5,,,,,
2016-02-11,-4.5,0.0,-13.5,0.0,6.4,,55,1,2.3,,,,,
2016-02-12,-3.1,2.8,-14.6,0.0,2.8,,49,0,2.4,,,,,
2016-02-13,3.2,5.4,1.1,0.0,0.0,,47,1,2.2,,,,,
2016-02-14,2.3,6.4,-2.2,11.0,0.0,,41,3,3.0,,,,,
2016-02-15,-7.0,-2.1,-15.1,0.0,3.8,,34,1,2.6,,,,,
2016-02-16,-8.0,-2.3,-14.3,0.0,3.8,,34,1,1.6,,,,,
2016-02-17,-6.0,-1.6,-9.3,0.5,3.1,,35,3,2.0,,,,,
2016-02-18,-1.0,4.1,-7.8,0.0,2.0,,36,2,2.1,,,,,
2016-02-19,1.6,6.4,-3.2,0.0,2.6,,33,0,2.1,,,,,
2016-02-20,-0.3,3.4,-4.3,4.5,3.4,,38,6,1.3,,,,,
2016-02-21,-1.1,1.9,-3.7,3.0,1.3,,45,12,4.0,,,,,
2016-02-22,-5.1,-1.0,-12.5,0.0,4.4,,44,2,2.0,,,,,
2016-02-23,-3.6,1.3,-8.7,2.5,0.0,,47,10,2.5,,,,,
2016-02-24,-8.9,-5.7,-14.2,5.0,1.6,,59,18,1.9,,,,,
2016-02-25,-10.0,-1.8,-18.3,0.0,5.3,,57,0,1.7,,,,,
2016-02-26,-10.3,-2.9,-18.2,0.5,3.6,,53,4,1.3,,,,,
2016-02-27,-8.2,-2.2,-16.5,0.0,4.2,,52,1,1.2,,,,,
2016-02-28,-9.4,-2.1,-18.2,0.0,9.9,,50,0,1.1,,,,,
