calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.3,1.7,-2.7,1.0,0.1,,,,5.1,,,,,
2016-01-02,0.9,3.5,-2.6,8.0,0.0,,,,7.5,,,,,
2016-01-03,0.3,1.7,-0.3,0.0,0.0,,,,9.9,,,,,
2016-01-04,-1.0,0.1,-2.3,0.0,0.0,,,,9.2,,,,,
2016-01-05,-3.1,-1.0,-4.6,1.5,0.0,,,,11.4,,,,,
2016-01-06,-1.4,0.2,-3.5,0.5,0.0,,,,10.8,,,,,
2016-01-07,-2.7,-0.8,-4.3,2.0,0.0,,,,9.3,,,,,
2016-01-08,-1.7,-0.6,-3.1,3.0,0.1,,,,10.3,,,,,
2016-01-09,-2.7,-0.9,-4.5,2.0,0.0,,,,9.3,,,,,
2016-01-10,-3.5,-0.7,-6.4,2.5,0.0,,,,9.8,,,,,
2016-01-11,-5.9,-4.8,-7.1,3.5,0.0,,,,8.6,,,,,
2016-01-12,-5.2,-4.5,-6.9,1.0,0.0,,,,9.8,,,,,
2016-01-13,-3.9,-1.8,-5.3,9.5,0.1,,,,6.5,,,,,
2016-01-14,-5.0,-1.1,-10.2,4.5,2.4,,,,4.5,,,,,
2016-01-15,-8.3,-3.2,-13.9,0.0,7.7,,,,2.6,,,,,
2016-01-16,-5.9,-2.8,-9.3,12.5,0.8,,,,2.8,,,,,
2016-01-17,-5.6,-2.5,-10.7,4.5,0.6,,,,2.9,,,,,
2016-01-18,-6.2,-2.6,-12.1,0.0,0.0,,,,5.8,,,,,
2016-01-19,-0.1,1.2,-3.6,0.0,0.0,,,,3.6,,,,,
2016-01-20,-1.2,0.2,-3.8,0.0,0.1,,,,3.1,,,,,
2016-01-21,-2.9,-0.7,-6.9,7.0,0.3,,,,3.8,,,,,
2016-01-22,-2.5,1.1,-7.4,6.5,0.4,,,,5.4,,,,,
2016-01-23,-2.5,-0.2,-10.0,1.5,0.0,,,,5.8,,,,,
2016-01-24,-7.3,-2.1,-14.3,0.0,7.7,,,,3.3,,,,,
2016-01-25,-7.6,-1.3,-16.3,0.5,2.5,,,,5.2,,,,,
2016-01-26,0.1,2.1,-2.9,5.5,0.0,,,,5.1,,,,,
2016-01-27,-1.5,1.5,-3.0,2.5,0.1,,,,9.7,,,,,
2016-01-28,-3.5,-1.0,-6.2,0.0,0.0,,,,11.4,,,,,
2016-01-29,-5.2,-4.1,-7.7,0.5,0.0,,,,8.4,,,,,
2016-01-30,-6.2,-2.3,-8.6,7.5,3.6,,,,3.1,,,,,
2016-01-31,-5.2,-3.8,-6.6,1.5,0.0,,,,9.1,,,,,
2016-02-01,-5.3,-4.0,-6.5,2.0,0.1,,,,6.1,,,,,
2016-02-02,-4.2,-2.2,-5.7,10.0,0.5,,,,7.8,,,,,
2016-02-03,-2.8,-0.4,-7.4,1.5,1.1,,,,5.7,,,,,
2016-02-04,-1.0,1.5,-4.1,1.0,1.6,,,,4.1,,,,,
2016-02-05,-2.0,1.3,-4.5,0.0,0.4,,,,9.9,,,,,
2016-02-06,-3.8,-2.5,-5.6,0.0,0.5,,,,8.4,,,,,
2016-02-07,-3.9,-0.9,-7.0,3.0,0.9,,,,9.8,,,,,
2016-02-08,-4.5,-1.8,-8.8,0.0,7.2,,,,4.4,,,,,
2016-02-09,1.3,3.3,-2.4,1.5,0.7,,,,5.9,,,,,
2016-02-10,-0.9,1.1,-3.7,4.0,0.6,,,,9.2,,,,,
2016-02-11,-2.2,0.0,-6.0,0.0,2.3,,,,4.5,,,,,
2016-02-12,0.2,3.2,-5.5,0.0,0.0,,,,5.8,,,,,
2016-02-13,3.1,5.2,1.3,3.0,0.0,,,,4.8,,,,,
2016-02-14,2.0,6.6,-2.8,14.0,0.0,,,,5.2,,,,,
2016-02-15,-4.8,-1.2,-7.8,2.0,0.0,,,,11.7,,,,,
2016-02-16,-4.5,-2.0,-6.6,5.0,0.0,,,,9.1,,,,,
2016-02-17,-3.5,-1.7,-5.6,1.5,0.2,,,,11.8,,,,,
2016-02-18,0.3,2.5,-3.4,4.0,0.0,,,,6.9,,,,,
2016-02-19,1.2,4.3,-2.1,7.0,1.6,,,,4.4,,,,,
2016-02-20,1.1,3.2,-1.5,0.5,4.1,,,,5.8,,,,,
2016-02-21,-0.4,1.2,-2.1,5.0,1.8,,,,4.6,,,,,
2016-02-22,-2.6,-0.2,-4.9,2.0,0.0,,,,8.8,,,,,
2016-02-23,-3.3,-0.4,-5.7,8.5,0.0,,,,4.7,,,,,
2016-02-24,-7.5,-5.3,-13.6,1.0,0.3,,,,5.4,,,,,
2016-02-25,-6.2,-2.9,-9.3,4.5,0.3,,,,5.8,,,,,
2016-02-26,-3.5,-2.2,-4.9,0.0,2.4,,,,8.1,,,,,
2016-02-27,-4.9,-3.0,-7.6,5.5,0.3,,,,5.2,,,,,
2016-02-28,-4.5,-0.9,-10.0,0.0,9.0,,,,3.6,,,,,
2016-02-29,-0.1,5.9,-7.5,1.5,2.6,,,,6.7,,,,,
2016-03-01,-2.5,0.0,-4.5,4.0,2.6,,,,5.6,,,,,
2016-03-02,-3.4,-0.4,-6.7,0.0,2.5,,,,3.9,,,,,
2016-03-03,-5.1,-1.3,-11.1,1.5,0.6,,,,3.0,,,,,
2016-03-04,-5.7,-0.2,-12.8,0.5,4.5,,,,2.8,,,,,
2016-03-05,-2.9,1.5,-9.8,0.0,8.6,,,,3.1,,,,,
2016-03-06,4.5,8.1,-0.9,12.5,0.0,,,,8.1,,,,,
2016-03-07,2.8,8.3,-1.7,0.5,2.6,,,,5.3,,,,,
2016-03-08,2.2,7.3,-2.1,1.0,3.2,,,,6.9,,,,,
2016-03-09,-0.4,0.9,-3.4,0.0,6.4,,,,8.8,,,,,
2016-03-10,-1.9,0.2,-4.1,4.0,4.6,,,,2.6,,,,,
2016-03-11,-1.9,-0.7,-6.0,2.5,1.2,,,,6.2,,,,,
2016-03-12,-2.0,0.4,-5.2,0.0,3.5,,,,4.4,,,,,
2016-03-13,-0.5,4.2,-6.2,0.0,9.8,,,,3.9,,,,,
2016-03-14,0.6,5.6,-4.1,2.5,1.7,,,,3.1,,,,,
2016-03-15,-0.5,2.3,-4.5,0.0,5.9,,,,4.4,,,,,
2016-03-16,3.3,9.0,-5.9,0.0,8.7,,,,4.2,,,,,
2016-03-17,5.2,8.6,0.9,0.0,5.5,,,,2.7,,,,,
2016-03-18,7.8,12.4,1.6,0.0,6.1,,,,5.3,,,,,
2016-03-19,4.5,6.7,1.3,0.0,0.0,,,,4.2,,,,,
2016-03-20,0.5,2.6,-3.1,0.0,4.8,,,,3.7,,,,,
2016-03-21,-0.8,1.8,-3.3,6.0,3.6,,,,3.8,,,,,
2016-03-22,0.8,4.3,-4.1,0.5,4.9,,,,4.8,,,,,
2016-03-23,-0.1,3.3,-3.2,3.5,1.3,,,,3.4,,,,,
2016-03-24,-0.2,3.4,-3.0,5.5,8.1,,,,2.1,,,,,
2016-03-25,0.2,4.0,-4.8,1.0,6.5,,,,3.9,,,,,
2016-03-26,2.8,5.5,-0.4,0.0,8.1,,,,3.4,,,,,
2016-03-27,5.9,11.0,0.1,0.0,7.9,,,,3.9,,,,,
2016-03-28,4.1,7.0,-1.9,1.0,10.6,,,,3.8,,,,,
2016-03-29,4.5,12.1,-2.9,0.0,9.0,,,,3.7,,,,,
2016-03-30,6.0,11.4,0.3,3.5,3.5,,,,5.9,,,,,
2016-03-31,4.0,8.0,-0.4,2.0,7.5,,,,4.0,,,,,
2016-04-01,4.7,9.9,-0.6,0.0,11.6,,,,2.8,,,,,
2016-04-02,4.9,7.7,3.4,0.0,4.6,,,,5.8,,,,,
2016-04-03,6.9,9.3,4.4,2.0,2.9,,,,5.6,,,,,
2016-04-04,4.5,9.6,-0.7,0.0,10.7,,,,3.1,,,,,
2016-04-05,5.7,12.4,-1.1,0.5,4.0,,,,5.3,,,,,
2016-04-06,6.9,9.7,1.4,0.0,11.5,,,,6.5,,,,,
2016-04-07,7.7,12.1,0.2,0.0,3.8,,,,4.7,,,,,
2016-04-08,5.6,9.8,-0.5,2.5,0.8,,,,3.8,,,,,
2016-04-09,4.8,8.6,-0.9,0.0,4.8,,,,9.1,,,,,
2016-04-10,3.1,5.7,-1.4,0.0,2.9,,,,6.5,,,,,
2016-04-11,1.2,4.7,-3.5,3.5,3.9,,,,4.4,,,,,
2016-04-12,4.8,9.0,-1.1,0.0,10.8,,,,3.4,,,,,
2016-04-13,6.5,9.5,2.3,2.0,0.0,,,,5.0,,,,,
2016-04-14,9.1,14.4,5.1,10.5,0.4,,,,3.1,,,,,
2016-04-15,4.1,6.2,3.1,1.0,0.1,,,,8.4,,,,,
2016-04-16,5.3,9.0,-0.6,0.0,5.3,,,,2.9,,,,,
2016-04-17,7.8,10.2,5.4,11.5,0.0,,,,5.6,,,,,
2016-04-18,4.9,7.9,2.0,7.0,1.2,,,,4.6,,,,,
2016-04-19,3.5,6.1,0.3,2.0,1.6,,,,2.1,,,,,
2016-04-20,8.2,12.2,2.0,3.0,6.2,,,,3.0,,,,,
2016-04-21,10.1,14.9,6.0,0.0,10.1,,,,3.7,,,,,
2016-04-22,10.1,15.5,5.4,0.0,9.9,,,,3.7,,,,,
2016-04-23,8.7,10.7,6.6,6.5,0.4,,,,6.0,,,,,
2016-04-24,6.6,11.4,1.8,0.0,12.1,,,,3.0,,,,,
2016-04-25,6.6,11.9,0.8,0.0,11.1,,,,2.6,,,,,
2016-04-26,6.5,10.7,1.0,0.0,2.9,,,,4.1,,,,,
2016-04-27,4.6,9.8,-0.8,0.0,13.3,,,,2.5,,,,,
2016-04-28,8.1,13.8,2.2,0.0,7.8,,,,4.1,,,,,
2016-04-29,5.1,7.9,2.9,0.0,0.0,,,,3.2,,,,,
2016-04-30,4.3,6.0,1.6,1.0,3.4,,,,7.2,,,,,
2016-05-01,4.0,9.1,-1.5,0.0,10.2,,,,3.8,,,,,
2016-05-02,7.4,14.7,-1.4,0.0,9.4,,,,3.7,,,,,
2016-05-03,17.3,24.5,10.4,0.0,10.2,,,,6.7,,,,,
2016-05-04,14.5,17.3,11.3,8.0,0.5,,,,5.2,,,,,
2016-05-05,9.6,13.0,7.6,2.0,0.0,,,,5.2,,,,,
2016-05-06,9.7,13.2,6.9,1.5,3.2,,,,3.1,,,,,
2016-05-07,11.0,15.2,8.7,7.5,0.5,,,,7.4,,,,,
2016-05-08,9.9,12.9,4.1,0.0,10.0,,,,4.8,,,,,
2016-05-09,10.7,17.2,2.8,0.0,9.0,,,,2.8,,,,,
2016-05-10,13.2,19.5,7.7,0.0,3.0,,,,3.3,,,,,
2016-05-11,10.9,13.0,8.7,9.5,0.0,,,,4.1,,,,,
2016-05-12,8.4,9.6,6.1,9.0,0.0,,,,5.4,,,,,
2016-05-13,13.1,23.5,6.1,0.0,11.2,,,,4.8,,,,,
2016-05-14,10.5,16.0,4.1,0.0,13.2,,,,2.9,,,,,
2016-05-15,13.8,18.5,9.3,0.0,5.1,,,,5.8,,,,,
2016-05-16,14.2,17.8,9.4,5.5,3.9,,,,9.8,,,,,
2016-05-17,14.3,19.6,9.5,0.5,10.1,,,,3.3,,,,,
2016-05-18,12.5,14.9,9.4,0.0,12.2,,,,2.8,,,,,
2016-05-19,17.0,24.4,8.4,0.0,12.7,,,,4.4,,,,,
2016-05-20,16.7,21.4,12.0,0.0,13.0,,,,3.1,,,,,
2016-05-21,16.0,21.1,10.4,0.0,13.7,,,,2.8,,,,,
2016-05-22,16.1,22.3,10.2,0.0,13.8,,,,3.6,,,,,
2016-05-23,13.3,17.7,8.2,0.0,11.1,,,,2.4,,,,,
2016-05-24,15.9,23.2,7.9,0.0,3.7,,,,4.7,,,,,
2016-05-25,17.7,22.1,14.1,3.5,4.8,,,,6.0,,,,,
2016-05-26,17.0,22.0,14.5,0.0,3.6,,,,3.7,,,,,
2016-05-27,13.9,17.4,7.9,1.0,9.5,,,,3.3,,,,,
2016-05-28,12.4,17.1,6.8,3.0,8.6,,,,2.9,,,,,
2016-05-29,12.2,16.9,6.7,0.0,13.5,,,,2.5,,,,,
2016-05-30,16.4,22.5,10.2,0.0,9.9,,,,5.2,,,,,
2016-05-31,14.7,19.8,10.3,13.0,1.6,,,,5.5,,,,,
2016-06-01,10.5,13.8,7.7,2.5,0.4,,,,3.7,,,,,
2016-06-02,10.2,12.9,6.1,0.0,6.1,,,,4.6,,,,,
2016-06-03,9.4,13.6,4.1,0.0,0.4,,,,1.8,,,,,
2016-06-04,11.3,13.5,9.6,35.5,0.0,,,,3.7,,,,,
2016-06-05,11.6,14.6,8.2,0.5,12.2,,,,3.7,,,,,
2016-06-06,11.7,15.7,5.4,0.0,7.6,,,,2.2,,,,,
2016-06-07,15.6,20.6,10.3,0.0,10.2,,,,2.6,,,,,
2016-06-08,16.4,19.4,13.2,2.0,0.0,,,,2.7,,,,,
2016-06-09,16.0,18.2,14.6,2.0,0.0,,,,2.4,,,,,
2016-06-10,13.6,14.8,12.9,0.5,0.0,,,,4.6,,,,,
2016-06-11,14.2,16.7,11.2,0.0,8.4,,,,3.0,,,,,
2016-06-12,16.9,22.5,10.7,0.0,10.6,,,,6.0,,,,,
2016-06-13,17.2,19.9,14.3,11.5,0.0,,,,5.5,,,,,
2016-06-14,15.8,17.5,14.5,7.0,0.1,,,,5.2,,,,,
2016-06-15,17.1,21.5,14.6,0.0,5.2,,,,5.1,,,,,
2016-06-16,16.3,21.0,14.1,0.5,2.7,,,,5.0,,,,,
2016-06-17,16.9,19.9,13.8,6.0,0.2,,,,3.9,,,,,
2016-06-18,13.5,15.8,11.9,1.5,3.6,,,,3.6,,,,,
2016-06-19,15.9,22.1,10.6,0.0,9.1,,,,4.1,,,,,
2016-06-20,18.3,21.2,16.5,11.0,0.0,,,,4.1,,,,,
2016-06-21,19.0,24.9,16.2,0.0,5.1,,,,2.5,,,,,
2016-06-22,17.6,20.5,14.3,0.0,9.5,,,,2.0,,,,,
2016-06-23,18.6,22.8,14.4,0.0,8.9,,,,3.1,,,,,
2016-06-24,18.0,23.1,14.3,0.0,7.4,,,,3.7,,,,,
2016-06-25,17.0,19.9,13.8,10.0,3.9,,,,6.1,,,,,
2016-06-26,15.9,18.9,14.0,7.5,1.0,,,,4.7,,,,,
2016-06-27,15.1,18.6,11.5,0.0,10.6,,,,2.6,,,,,
