calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.4,-0.3,-3.0,0.5,0.0,,27,3,3.6,,,,,
2016-01-02,0.7,3.6,-2.7,4.0,0.9,,25,1,3.2,,,,,
2016-01-03,0.1,1.9,-1.9,0.0,2.3,,19,1,4.6,,,,,
2016-01-04,-1.5,0.0,-3.7,0.5,1.9,,21,4,4.6,,,,,
2016-01-05,-3.8,-2.0,-7.0,0.0,5.9,,22,3,6.0,,,,,
2016-01-06,-2.3,-0.5,-4.2,0.0,0.5,,23,4,3.7,,,,,
2016-01-07,-3.0,-1.3,-4.6,1.5,2.5,,30,9,5.3,,,,,
2016-01-08,-2.2,-0.7,-4.0,0.0,2.8,,27,0,4.1,,,,,
2016-01-09,-4.2,-2.4,-7.8,0.0,2.4,,28,4,3.9,,,,,
2016-01-10,-4.2,-1.6,-7.7,2.5,4.4,,34,12,5.4,,,,,
2016-01-11,-7.0,-4.6,-8.4,1.0,2.7,,42,12,5.7,,,,,
2016-01-12,-6.1,-4.8,-7.5,0.0,0.0,,40,1,3.5,,,,,
2016-01-13,-6.7,-1.9,-10.4,0.0,1.6,,36,2,1.2,,,,,
2016-01-14,-4.3,-1.6,-7.6,12.5,4.0,,61,30,3.8,,,,,
2016-01-15,-9.1,-5.8,-13.4,7.0,6.4,,67,13,1.3,,,,,
2016-01-16,-6.4,-1.9,-11.5,12.5,4.4,,73,12,2.1,,,,,
2016-01-17,-7.0,-2.8,-10.5,14.0,0.8,,90,20,1.4,,,,,
2016-01-18,-8.4,-3.1,-14.4,4.0,0.0,,86,5,1.9,,,,,
2016-01-19,-1.2,0.3,-4.0,0.5,0.0,,83,0,2.3,,,,,
2016-01-20,-1.2,0.5,-5.7,0.0,2.6,,75,0,3.7,,,,,
2016-01-21,-3.4,0.0,-9.2,2.0,0.7,,70,4,2.9,,,,,
2016-01-22,-3.1,0.5,-7.8,15.5,0.8,,83,17,3.2,,,,,
2016-01-23,-4.2,-0.4,-13.3,0.0,4.3,,80,1,2.3,,,,,
2016-01-24,-9.6,-3.4,-14.7,0.0,6.2,,75,1,1.4,,,,,
2016-01-25,-8.9,-3.2,-16.4,2.5,0.0,,80,10,1.6,,,,,
2016-01-26,-1.7,1.7,-5.6,0.0,1.1,,78,0,1.3,,,,,
2016-01-27,-1.8,-0.2,-4.2,3.0,5.2,,79,8,4.0,,,,,
2016-01-28,-3.6,-1.0,-5.8,0.0,2.8,,74,2,6.7,,,,,
2016-01-29,-5.3,-3.1,-6.6,0.5,1.4,,75,5,5.6,,,,,
2016-01-30,-8.7,-4.5,-11.3,1.0,5.1,,78,6,1.7,,,,,
2016-01-31,-5.6,-3.6,-7.2,0.0,4.8,,73,2,5.2,,,,,
2016-02-01,-5.9,-3.4,-9.0,0.0,4.4,,74,4,5.2,,,,,
2016-02-02,-6.5,-2.3,-12.3,0.0,6.3,,69,1,4.2,,,,,
2016-02-03,-4.4,-1.3,-7.3,2.0,2.9,,75,7,2.7,,,,,
2016-02-04,-2.2,2.7,-5.8,0.0,1.9,,70,0,1.6,,,,,
2016-02-05,-2.4,-0.4,-5.9,0.0,5.7,,68,1,4.6,,,,,
2016-02-06,-6.1,-2.3,-12.0,0.0,4.4,,66,0,3.3,,,,,
