calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.1,-0.8,-5.6,0.0,4.5,,,,1.3,,,,,
2016-01-02,0.2,3.0,-2.9,3.5,2.0,,,,1.9,,,,,
2016-01-03,-2.0,0.2,-4.2,0.0,2.5,,,,2.5,,,,,
2016-01-04,-3.8,-2.3,-5.8,0.0,1.5,,,,1.2,,,,,
2016-01-05,-5.8,-3.5,-7.6,0.0,3.2,,,,1.7,,,,,
2016-01-06,-4.4,-2.0,-7.6,0.0,2.8,,,,1.7,,,,,
2016-01-07,-4.8,-2.7,-6.2,0.0,3.2,,,,1.6,,,,,
2016-01-08,-4.0,-1.8,-5.3,0.0,2.7,,,,1.5,,,,,
2016-01-09,-5.2,-3.9,-6.4,0.0,2.3,,,,1.5,,,,,
2016-01-10,-5.4,-2.5,-9.3,0.0,2.6,,,,1.6,,,,,
2016-01-11,-9.0,-7.1,-10.8,0.0,3.5,,,,2.0,,,,,
2016-01-12,-7.9,-4.9,-9.8,0.0,2.9,,,,1.8,,,,,
2016-01-13,-6.2,-3.3,-9.2,0.0,2.1,,,,1.2,,,,,
2016-01-14,-5.3,-3.1,-6.7,6.5,6.3,,,,2.2,,,,,
2016-01-15,-7.7,-4.4,-11.6,0.0,3.4,,,,1.4,,,,,
2016-01-16,-6.1,-3.0,-8.4,0.0,4.9,,,,1.6,,,,,
2016-01-17,-6.0,-1.6,-8.8,0.0,6.8,,,,1.1,,,,,
2016-01-18,-5.8,-3.8,-8.9,4.5,0.0,,,,1.3,,,,,
2016-01-19,-3.3,-2.3,-5.2,4.0,0.0,,,,2.3,,,,,
2016-01-20,-3.1,-2.0,-4.7,0.0,0.1,,,,2.5,,,,,
2016-01-21,-4.1,-1.4,-6.1,2.5,3.8,,,,1.9,,,,,
2016-01-22,-4.3,-0.4,-7.1,0.0,3.6,,,,1.3,,,,,
2016-01-23,-5.0,-2.6,-8.1,0.0,6.7,,,,1.3,,,,,
2016-01-24,-6.6,-2.5,-10.7,0.0,1.6,,,,1.0,,,,,
2016-01-25,-7.1,-2.8,-12.3,0.0,6.1,,,,1.2,,,,,
2016-01-26,-1.4,1.4,-5.5,0.0,2.8,,,,1.8,,,,,
2016-01-27,-2.8,-0.3,-5.2,0.0,4.2,,,,1.9,,,,,
2016-01-28,-6.0,-3.4,-8.5,0.0,1.8,,,,1.6,,,,,
2016-01-29,-7.4,-5.3,-10.0,0.0,2.0,,,,1.5,,,,,
2016-01-30,-7.3,-3.6,-11.9,0.0,5.9,,,,1.1,,,,,
2016-01-31,-7.5,-4.9,-9.7,0.0,4.8,,,,1.6,,,,,
2016-02-01,-8.2,-5.4,-10.1,0.0,7.6,,,,1.4,,,,,
2016-02-02,-7.0,-3.9,-9.7,0.0,4.0,,,,1.4,,,,,
2016-02-03,-5.4,-2.1,-9.5,0.0,7.1,,,,1.4,,,,,
2016-02-04,-2.6,0.0,-6.7,0.0,2.1,,,,1.1,,,,,
2016-02-05,-4.2,-1.5,-7.1,0.0,2.0,,,,1.9,,,,,
2016-02-06,-6.5,-3.3,-9.2,0.0,5.0,,,,1.7,,,,,
2016-02-07,-6.3,-4.1,-9.5,0.5,5.7,,,,1.6,,,,,
2016-02-08,-5.0,-2.1,-9.3,1.5,7.4,,,,1.1,,,,,
2016-02-09,-0.3,2.1,-4.4,10.5,3.8,,,,2.0,,,,,
2016-02-10,-3.4,-0.8,-6.0,3.0,5.5,,,,2.7,,,,,
2016-02-11,-3.9,-0.1,-6.1,0.0,8.6,,,,1.5,,,,,
2016-02-12,-0.6,2.4,-6.4,0.0,1.8,,,,1.1,,,,,
2016-02-13,2.9,4.7,1.5,0.5,0.0,,,,1.3,,,,,
2016-02-14,3.1,6.4,-2.3,13.5,0.0,,,,1.1,,,,,
2016-02-15,-7.2,-2.2,-10.3,0.0,4.4,,,,3.4,,,,,
2016-02-16,-6.6,-3.7,-11.0,0.0,7.0,,,,1.9,,,,,
2016-02-17,-5.8,-3.8,-7.8,2.0,3.3,,,,2.2,,,,,
2016-02-18,-2.1,2.1,-7.2,1.5,0.2,,,,1.1,,,,,
2016-02-19,1.2,4.0,-1.1,1.0,1.2,,,,1.8,,,,,
2016-02-20,-0.5,1.9,-2.5,6.5,2.8,,,,1.2,,,,,
2016-02-21,-1.7,2.6,-4.5,9.0,2.4,,,,2.3,,,,,
2016-02-22,-5.1,-3.1,-7.8,0.0,3.1,,,,1.9,,,,,
2016-02-23,-3.0,2.1,-7.3,2.0,2.8,,,,1.4,,,,,
2016-02-24,-8.4,-5.2,-11.4,0.0,6.7,,,,2.1,,,,,
2016-02-25,-7.8,-4.0,-11.1,0.0,6.2,,,,1.8,,,,,
2016-02-26,-6.9,-3.0,-9.5,0.0,4.6,,,,1.3,,,,,
2016-02-27,-6.4,-2.9,-10.6,0.5,5.4,,,,1.4,,,,,
2016-02-28,-5.5,-1.7,-9.4,0.0,8.7,,,,1.1,,,,,
2016-02-29,-1.4,4.4,-7.0,36.0,0.3,,,,2.8,,,,,
2016-03-01,-4.5,-1.7,-8.2,7.5,1.0,,,,2.9,,,,,
2016-03-02,-5.5,-2.2,-8.3,0.0,4.7,,,,1.3,,,,,
2016-03-03,-4.9,-2.1,-8.7,3.0,0.0,,,,1.2,,,,,
2016-03-04,-4.6,-0.1,-9.3,2.0,6.2,,,,1.1,,,,,
2016-03-05,-2.6,2.0,-6.7,0.0,10.0,,,,0.9,,,,,
2016-03-06,1.0,5.3,-2.5,21.0,0.0,,,,1.6,,,,,
2016-03-07,3.2,6.6,-0.7,0.0,7.1,,,,1.3,,,,,
2016-03-08,0.9,5.6,-3.4,0.0,1.1,,,,1.6,,,,,
2016-03-09,-3.2,-1.1,-5.2,0.0,4.1,,,,1.9,,,,,
2016-03-10,-4.0,-0.5,-6.8,0.5,4.7,,,,0.9,,,,,
2016-03-11,-4.0,-0.8,-6.0,0.0,8.0,,,,1.4,,,,,
2016-03-12,-4.4,-0.3,-6.8,1.0,6.0,,,,1.1,,,,,
2016-03-13,-3.1,-0.7,-7.1,3.0,1.7,,,,0.8,,,,,
2016-03-14,0.5,4.9,-3.9,0.0,8.6,,,,1.1,,,,,
2016-03-15,-1.1,1.8,-3.7,0.0,7.4,,,,2.3,,,,,
2016-03-16,3.0,6.7,-3.4,0.0,4.8,,,,1.8,,,,,
2016-03-17,6.1,11.3,1.3,0.0,10.6,,,,1.6,,,,,
2016-03-18,6.0,11.6,1.2,0.0,5.6,,,,1.4,,,,,
2016-03-19,3.8,5.9,1.6,4.5,0.0,,,,1.0,,,,,
2016-03-20,-1.6,2.2,-4.2,1.5,1.6,,,,2.1,,,,,
2016-03-21,-2.3,1.5,-5.8,1.5,4.4,,,,1.0,,,,,
2016-03-22,0.4,4.5,-3.6,0.0,8.3,,,,1.8,,,,,
2016-03-23,0.1,4.1,-2.7,0.0,2.8,,,,1.2,,,,,
2016-03-24,-1.2,2.4,-3.5,1.5,3.3,,,,1.2,,,,,
2016-03-25,-0.8,2.6,-3.5,3.0,5.1,,,,1.7,,,,,
2016-03-26,0.9,4.8,-2.5,0.5,3.9,,,,0.9,,,,,
2016-03-27,4.0,8.0,-0.1,0.0,9.1,,,,1.4,,,,,
2016-03-28,3.9,8.7,-0.5,0.0,9.9,,,,1.6,,,,,
2016-03-29,3.6,9.4,-0.9,0.0,6.7,,,,0.9,,,,,
2016-03-30,3.3,5.1,1.1,12.5,0.0,,,,1.3,,,,,
2016-03-31,3.9,8.1,0.4,0.0,9.7,,,,1.2,,,,,
2016-04-01,3.7,9.1,-0.2,0.0,11.2,,,,1.3,,,,,
2016-04-02,0.9,1.9,0.3,0.0,0.0,,,,1.5,,,,,
