calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,0.0,-2.7,0.5,0.4,,,,3.1,,,,,
2016-01-02,1.6,4.6,-1.7,2.0,0.4,,,,2.9,,,,,
2016-01-03,0.5,2.1,-0.6,0.0,4.7,,,,3.1,,,,,
2016-01-04,-1.6,0.1,-3.6,0.0,0.7,,,,2.6,,,,,
2016-01-05,-3.7,-1.7,-5.4,0.0,3.1,,,,4.0,,,,,
2016-01-06,-2.2,-0.1,-3.5,0.0,0.3,,,,2.5,,,,,
2016-01-07,-2.7,-0.7,-3.5,0.0,4.7,,,,3.6,,,,,
2016-01-08,-2.2,-0.2,-3.8,0.0,1.7,,,,2.3,,,,,
2016-01-09,-3.5,-2.0,-5.4,0.0,1.8,,,,2.6,,,,,
2016-01-10,-4.2,-1.5,-7.6,1.5,0.9,,,,3.8,,,,,
2016-01-11,-6.8,-4.3,-8.6,0.5,5.8,,,,3.9,,,,,
2016-01-12,-6.2,-4.9,-7.6,0.5,0.0,,,,2.2,,,,,
2016-01-13,-4.4,-1.9,-6.6,0.0,1.3,,,,1.3,,,,,
2016-01-14,-3.9,-0.5,-7.6,9.0,4.8,,,,3.2,,,,,
2016-01-15,-6.5,-3.4,-9.7,1.0,6.8,,,,2.6,,,,,
2016-01-16,-5.6,-1.2,-11.9,2.0,6.0,,,,2.3,,,,,
2016-01-17,-5.5,-0.4,-12.4,2.0,3.9,,,,2.1,,,,,
2016-01-18,-7.0,-2.7,-11.7,6.5,0.0,,,,3.4,,,,,
2016-01-19,-1.2,0.9,-3.5,5.0,0.0,,,,1.7,,,,,
2016-01-20,-0.1,0.9,-1.0,0.0,1.2,,,,6.0,,,,,
2016-01-21,-1.2,0.2,-2.6,1.5,0.8,,,,5.1,,,,,
2016-01-22,-1.7,0.5,-3.1,3.0,0.0,,,,3.6,,,,,
2016-01-23,-4.4,-0.5,-13.3,0.0,3.8,,,,1.5,,,,,
2016-01-24,-7.3,-2.8,-11.1,0.0,6.2,,,,2.0,,,,,
2016-01-25,-6.4,-2.9,-11.5,2.5,1.2,,,,2.4,,,,,
2016-01-26,-0.9,2.1,-4.3,0.0,0.8,,,,1.4,,,,,
2016-01-27,-1.8,0.0,-3.8,3.5,4.1,,,,2.7,,,,,
2016-01-28,-3.7,-1.0,-6.3,0.5,0.8,,,,4.7,,,,,
2016-01-29,-4.9,-2.6,-6.5,0.0,5.2,,,,4.2,,,,,
2016-01-30,-6.9,-3.5,-9.5,2.0,4.1,,,,1.8,,,,,
2016-01-31,-5.6,-3.1,-7.3,0.0,5.2,,,,3.4,,,,,
2016-02-01,-5.4,-3.1,-7.4,0.0,7.5,,,,3.5,,,,,
2016-02-02,-4.5,-1.7,-9.1,2.0,5.9,,,,3.6,,,,,
2016-02-03,-2.8,-0.5,-6.0,2.5,3.2,,,,3.0,,,,,
2016-02-04,-1.0,2.6,-5.0,0.0,2.5,,,,1.0,,,,,
2016-02-05,-2.3,-0.5,-5.6,0.0,4.0,,,,3.0,,,,,
2016-02-06,-5.3,-1.9,-10.5,0.0,4.0,,,,2.5,,,,,
2016-02-07,-4.4,-2.1,-7.4,2.5,4.3,,,,3.4,,,,,
2016-02-08,-3.9,-1.5,-6.3,1.0,8.6,,,,3.0,,,,,
2016-02-09,1.7,5.2,-2.6,3.0,2.6,,,,4.0,,,,,
2016-02-10,-1.5,0.5,-3.6,7.0,0.3,,,,8.3,,,,,
2016-02-11,-2.1,1.0,-8.4,0.0,5.2,,,,3.6,,,,,
2016-02-12,-0.8,4.8,-8.7,0.0,2.2,,,,2.8,,,,,
2016-02-13,4.3,7.4,2.8,0.0,0.2,,,,2.6,,,,,
2016-02-14,2.7,7.0,-1.5,4.0,0.0,,,,4.3,,,,,
2016-02-15,-5.7,-1.0,-8.4,0.5,2.1,,,,4.7,,,,,
2016-02-16,-5.4,-2.8,-8.5,1.0,4.1,,,,2.1,,,,,
2016-02-17,-4.2,-2.3,-5.7,3.0,2.7,,,,3.4,,,,,
2016-02-18,-1.1,2.2,-4.4,1.5,1.5,,,,2.0,,,,,
2016-02-19,2.0,5.8,-3.9,2.0,2.9,,,,2.3,,,,,
2016-02-20,1.4,3.5,-1.3,4.0,5.2,,,,2.1,,,,,
2016-02-21,-0.4,1.7,-2.6,10.0,0.0,,,,3.5,,,,,
2016-02-22,-3.2,-1.2,-6.0,2.0,2.4,,,,4.0,,,,,
2016-02-23,-2.0,1.2,-6.2,3.5,0.1,,,,3.9,,,,,
2016-02-24,-6.0,-4.4,-8.2,1.0,0.3,,,,5.2,,,,,
2016-02-25,-6.3,-2.2,-12.9,0.0,2.9,,,,2.6,,,,,
2016-02-26,-4.8,-2.1,-8.8,0.0,2.1,,,,2.6,,,,,
2016-02-27,-5.4,-1.2,-11.7,0.0,7.2,,,,2.2,,,,,
2016-02-28,-3.8,-0.5,-10.1,0.0,9.7,,,,2.2,,,,,
2016-02-29,0.4,7.7,-8.6,12.0,4.7,,,,6.5,,,,,
2016-03-01,-1.7,2.9,-4.4,3.0,0.1,,,,8.2,,,,,
2016-03-02,-2.9,0.3,-6.2,0.5,3.8,,,,2.8,,,,,
2016-03-03,-3.7,-1.2,-8.2,2.5,0.0,,,,2.5,,,,,
2016-03-04,-2.8,1.4,-8.1,1.5,3.2,,,,3.2,,,,,
2016-03-05,-2.1,3.5,-8.9,0.0,10.2,,,,2.4,,,,,
2016-03-06,3.8,6.0,0.0,1.5,0.0,,,,7.9,,,,,
2016-03-07,4.1,7.0,-1.3,0.0,5.4,,,,3.0,,,,,
2016-03-08,2.7,8.7,-0.6,1.0,3.5,,,,3.9,,,,,
2016-03-09,-0.9,2.2,-5.5,0.0,5.3,,,,3.7,,,,,
2016-03-10,-3.3,1.2,-8.8,1.0,5.5,,,,1.1,,,,,
2016-03-11,-3.1,0.5,-7.4,0.0,4.1,,,,2.2,,,,,
2016-03-12,-2.0,0.8,-7.2,0.0,3.4,,,,2.0,,,,,
2016-03-13,-1.6,3.8,-9.3,0.0,5.7,,,,2.7,,,,,
2016-03-14,1.1,6.6,-5.5,2.0,5.1,,,,1.8,,,,,
2016-03-15,1.1,3.0,-2.8,0.0,5.7,,,,5.1,,,,,
2016-03-16,4.9,11.8,-5.2,0.0,8.9,,,,2.4,,,,,
2016-03-17,5.4,11.9,-0.5,0.0,10.9,,,,2.0,,,,,
2016-03-18,8.2,13.8,1.5,0.0,1.2,,,,3.3,,,,,
2016-03-19,5.0,7.7,3.3,2.0,0.0,,,,3.2,,,,,
2016-03-20,1.1,3.5,-1.3,0.5,1.5,,,,6.7,,,,,
2016-03-21,0.2,3.0,-3.5,1.0,6.7,,,,3.7,,,,,
2016-03-22,1.3,6.4,-5.8,0.0,4.7,,,,2.0,,,,,
2016-03-23,1.8,5.0,-1.9,2.0,5.4,,,,3.8,,,,,
2016-03-24,1.1,4.1,-2.5,3.5,4.0,,,,2.4,,,,,
2016-03-25,1.5,4.6,-0.1,3.5,1.9,,,,4.0,,,,,
2016-03-26,3.1,5.6,0.0,2.0,6.5,,,,3.7,,,,,
2016-03-27,5.8,12.4,-3.2,0.0,11.2,,,,1.5,,,,,
2016-03-28,4.5,7.5,-2.0,0.5,10.3,,,,2.7,,,,,
2016-03-29,5.6,13.7,-3.4,0.0,8.9,,,,3.1,,,,,
2016-03-30,6.6,11.0,-0.3,1.0,4.7,,,,4.9,,,,,
2016-03-31,4.5,9.0,-1.8,0.0,8.2,,,,3.4,,,,,
2016-04-01,6.0,12.9,-0.5,0.5,11.9,,,,2.2,,,,,
2016-04-02,5.3,8.6,3.1,0.0,9.2,,,,6.9,,,,,
2016-04-03,7.9,11.8,4.9,2.0,2.0,,,,4.3,,,,,
2016-04-04,5.8,12.2,-1.2,0.0,9.7,,,,2.1,,,,,
2016-04-05,7.6,15.3,-1.1,0.0,9.0,,,,3.5,,,,,
2016-04-06,8.7,13.2,4.0,0.0,11.6,,,,4.4,,,,,
2016-04-07,7.8,13.5,0.0,3.0,0.6,,,,4.0,,,,,
2016-04-08,8.2,14.7,3.5,1.0,5.0,,,,2.5,,,,,
2016-04-09,6.3,13.2,2.0,0.0,9.3,,,,5.3,,,,,
2016-04-10,4.1,7.1,1.9,0.0,5.5,,,,4.2,,,,,
2016-04-11,2.3,4.4,-0.1,2.5,2.6,,,,4.7,,,,,
2016-04-12,6.8,10.4,2.8,0.0,10.3,,,,3.9,,,,,
2016-04-13,8.3,12.1,4.8,0.5,0.4,,,,4.0,,,,,
2016-04-14,10.7,16.9,4.9,1.5,3.2,,,,2.3,,,,,
2016-04-15,4.7,6.8,3.4,2.0,0.1,,,,8.7,,,,,
2016-04-16,6.7,9.1,3.1,0.0,6.3,,,,2.3,,,,,
2016-04-17,8.6,11.7,5.9,5.5,0.0,,,,4.3,,,,,
2016-04-18,6.1,11.9,2.7,6.5,5.2,,,,4.3,,,,,
2016-04-19,4.4,7.2,2.3,2.0,1.4,,,,1.6,,,,,
2016-04-20,9.9,15.1,3.6,0.0,7.7,,,,2.8,,,,,
2016-04-21,11.1,18.8,5.4,0.0,11.2,,,,1.8,,,,,
2016-04-22,11.6,17.0,5.8,0.0,9.6,,,,1.8,,,,,
2016-04-23,9.6,15.1,7.1,4.0,3.9,,,,5.0,,,,,
2016-04-24,8.2,13.6,2.4,0.0,11.5,,,,1.8,,,,,
2016-04-25,9.0,15.9,1.9,0.0,10.0,,,,2.1,,,,,
2016-04-26,7.6,12.0,3.6,0.0,3.1,,,,3.0,,,,,
2016-04-27,6.8,10.8,2.1,0.0,13.3,,,,2.4,,,,,
2016-04-28,8.3,13.4,2.1,0.0,8.9,,,,4.5,,,,,
2016-04-29,4.7,6.0,3.5,16.5,0.0,,,,3.8,,,,,
2016-04-30,4.7,6.4,2.8,0.5,1.4,,,,6.7,,,,,
2016-05-01,5.7,9.7,0.6,0.0,9.1,,,,2.3,,,,,
2016-05-02,9.4,17.7,-1.2,0.0,10.3,,,,2.6,,,,,
2016-05-03,17.9,26.8,10.0,0.0,10.2,,,,5.6,,,,,
2016-05-04,14.0,17.0,10.8,2.0,2.3,,,,5.0,,,,,
2016-05-05,11.9,16.4,8.3,1.0,0.7,,,,3.4,,,,,
2016-05-06,10.7,14.8,7.2,0.5,1.5,,,,2.5,,,,,
2016-05-07,12.4,15.9,9.8,2.0,3.2,,,,5.5,,,,,
2016-05-08,14.5,19.1,10.4,0.0,10.1,,,,5.5,,,,,
2016-05-09,12.9,18.8,7.5,0.0,5.3,,,,1.6,,,,,
2016-05-10,16.0,21.8,9.6,0.5,1.7,,,,2.9,,,,,
2016-05-11,10.9,13.7,9.4,14.0,0.0,,,,2.2,,,,,
2016-05-12,9.9,12.4,8.2,2.5,3.1,,,,3.8,,,,,
2016-05-13,15.5,26.2,6.5,0.0,11.3,,,,3.6,,,,,
2016-05-14,12.4,19.8,5.8,0.0,12.8,,,,1.7,,,,,
2016-05-15,14.5,19.6,4.8,0.0,7.9,,,,5.6,,,,,
2016-05-16,13.6,16.1,11.1,0.0,2.1,,,,9.9,,,,,
2016-05-17,16.7,22.4,10.7,0.0,10.3,,,,2.1,,,,,
2016-05-18,13.1,17.7,8.2,0.0,12.5,,,,1.6,,,,,
2016-05-19,17.1,25.5,8.4,0.0,12.4,,,,2.5,,,,,
2016-05-20,16.7,27.0,9.0,0.0,13.0,,,,1.5,,,,,
2016-05-21,16.5,28.4,8.1,0.0,13.5,,,,1.4,,,,,
2016-05-22,16.0,26.6,9.9,0.0,13.6,,,,1.9,,,,,
2016-05-23,15.2,20.7,8.9,0.0,9.2,,,,1.6,,,,,
2016-05-24,17.3,26.1,11.2,0.0,3.7,,,,4.4,,,,,
2016-05-25,18.0,21.9,14.1,0.0,6.4,,,,4.8,,,,,
2016-05-26,18.6,26.2,14.6,0.0,2.1,,,,1.6,,,,,
2016-05-27,16.0,20.1,11.2,0.0,10.9,,,,2.5,,,,,
2016-05-28,14.2,20.2,8.7,4.5,10.4,,,,2.9,,,,,
2016-05-29,12.6,17.7,6.1,0.0,13.1,,,,1.8,,,,,
2016-05-30,17.1,23.9,9.7,0.0,8.3,,,,4.4,,,,,
2016-05-31,14.9,21.0,9.7,13.0,2.0,,,,3.3,,,,,
2016-06-01,11.5,17.5,9.2,2.5,1.8,,,,4.3,,,,,
2016-06-02,11.0,13.7,9.2,0.0,4.4,,,,5.6,,,,,
2016-06-03,11.1,13.7,10.2,2.5,0.1,,,,1.6,,,,,
2016-06-04,13.0,17.2,10.4,6.0,0.2,,,,2.6,,,,,
2016-06-05,11.9,15.5,7.5,0.0,11.6,,,,3.9,,,,,
2016-06-06,13.0,20.4,4.6,0.0,7.3,,,,1.2,,,,,
2016-06-07,17.0,26.1,11.9,0.0,11.7,,,,1.5,,,,,
2016-06-08,15.0,20.0,12.0,1.5,0.0,,,,0.7,,,,,
2016-06-09,15.7,19.9,10.2,2.0,0.1,,,,1.1,,,,,
2016-06-10,14.3,16.6,12.8,0.5,0.2,,,,4.0,,,,,
2016-06-11,14.4,18.4,9.5,0.0,6.1,,,,2.6,,,,,
2016-06-12,17.7,22.7,10.9,0.0,11.6,,,,5.9,,,,,
2016-06-13,17.2,19.1,15.2,4.5,0.0,,,,5.2,,,,,
2016-06-14,16.7,19.0,15.0,3.5,0.7,,,,5.3,,,,,
2016-06-15,18.1,22.8,15.2,0.0,7.4,,,,5.1,,,,,
2016-06-16,15.9,18.4,14.7,0.5,1.2,,,,6.2,,,,,
2016-06-17,16.2,19.7,14.1,25.5,0.3,,,,2.7,,,,,
2016-06-18,13.7,15.9,12.4,1.0,0.0,,,,3.2,,,,,
2016-06-19,17.5,23.0,12.3,0.0,7.5,,,,3.3,,,,,
2016-06-20,18.3,21.0,16.8,9.5,0.9,,,,5.2,,,,,
2016-06-21,20.0,26.7,16.4,0.0,12.0,,,,3.1,,,,,
2016-06-22,18.5,22.2,16.0,0.0,10.5,,,,1.5,,,,,
2016-06-23,18.6,25.6,13.8,0.0,7.1,,,,2.6,,,,,
2016-06-24,18.2,22.7,14.7,0.0,1.5,,,,2.7,,,,,
2016-06-25,16.8,21.1,13.7,13.5,3.8,,,,6.4,,,,,
