calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.9,-1.8,-4.9,1.5,1.8,5.35,40,3,3.0,3.8,1003.0,82,1020.9,8.8
2016-01-02,-0.9,0.6,-3.8,5.5,0.0,2.43,47,14,4.6,4.9,994.0,86,1011.6,9.8
2016-01-03,-2.3,-1.1,-3.7,1.5,1.5,4.56,50,4,4.0,4.0,994.5,78,1012.2,9.8
2016-01-04,-4.3,-1.8,-7.7,1.5,3.0,5.85,44,5,3.6,3.4,993.9,78,1011.7,9.8
2016-01-05,-6.1,-4.2,-8.1,3.0,1.3,4.99,46,5,4.1,3.1,994.8,81,1012.7,9.0
2016-01-06,-4.6,-2.8,-6.8,4.0,0.1,3.61,53,10,4.2,3.6,994.4,83,1012.2,10.0
2016-01-07,-5.0,-3.2,-6.3,2.5,1.7,5.33,52,3,3.5,3.5,990.5,82,1008.3,10.0
2016-01-08,-4.4,-2.9,-6.3,4.5,0.3,4.13,56,11,3.2,3.9,990.8,87,1008.6,8.0
2016-01-09,-5.6,-4.0,-8.6,1.0,3.6,6.10,54,1,3.9,3.2,995.4,79,1013.3,7.0
2016-01-10,-6.0,-3.4,-9.1,5.5,0.9,4.67,57,11,4.4,3.3,993.2,83,1011.1,7.5
2016-01-11,-8.7,-6.9,-10.4,3.5,4.1,6.69,59,2,3.2,2.5,996.0,80,1014.2,9.8
2016-01-12,-8.4,-6.0,-11.7,0.5,0.4,4.44,53,1,3.2,2.6,993.4,81,1011.6,9.3
2016-01-13,-7.0,-4.1,-10.1,0.5,0.4,4.51,50,,3.3,2.7,992.5,75,1010.4,9.8
2016-01-14,-6.6,-3.0,-8.9,4.0,1.0,4.92,53,7,3.1,3.2,991.7,85,1009.7,10.0
2016-01-15,-10.5,-6.6,-15.8,0.0,7.3,8.41,53,1,1.5,2.2,998.1,79,1016.4,5.5
2016-01-16,-12.5,-7.4,-17.1,1.0,1.3,6.03,49,,0.9,2.0,999.2,86,1017.7,9.3
2016-01-17,-12.1,-5.7,-16.2,0.0,4.6,7.54,48,,1.2,2.0,1004.6,83,1023.2,5.5
2016-01-18,-12.3,-3.1,-19.5,0.5,0.0,4.22,46,,1.6,2.1,999.9,82,1018.4,7.8
