calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.6,-2.5,-6.6,2.0,0.5,,101,8,1.3,,,,,
2016-01-02,-1.5,0.5,-4.1,6.5,0.0,,106,11,2.6,,,,,
2016-01-03,-3.0,-0.8,-3.9,8.5,0.0,,124,24,3.3,,,,,
2016-01-04,-4.7,-3.0,-7.6,3.0,0.2,,114,7,2.5,,,,,
2016-01-05,-6.3,-4.4,-8.0,8.0,1.1,,121,14,2.9,,,,,
2016-01-06,-5.2,-3.2,-7.1,11.5,0.0,,139,27,3.2,,,,,
2016-01-07,-5.7,-4.4,-6.9,7.0,0.0,,143,12,2.2,,,,,
2016-01-08,-4.8,-3.0,-6.2,10.0,0.0,,153,21,2.5,,,,,
2016-01-09,-6.1,-5.0,-7.5,12.5,0.0,,166,23,2.5,,,,,
2016-01-10,-6.5,-4.6,-9.8,13.5,0.3,,175,19,2.3,,,,,
2016-01-11,-9.9,-6.3,-17.8,7.5,0.0,,173,5,1.3,,,,,
2016-01-12,-8.9,-7.6,-10.3,13.0,0.0,,177,18,,,,,,
2016-01-13,-7.3,-5.7,-9.2,7.5,0.0,,177,5,0.9,,,,,
2016-01-14,-7.5,-5.6,-10.0,2.5,0.3,,174,6,2.1,,,,,
2016-01-15,-15.9,-8.1,-25.6,0.0,7.8,,166,0,1.7,,,,,
2016-01-16,-16.3,-10.0,-26.7,1.0,1.0,,156,1,0.3,,,,,
2016-01-17,-12.7,-5.4,-19.1,0.5,3.5,,153,2,,,,,,
2016-01-18,-12.7,-3.8,-24.5,0.0,0.0,,146,0,2.9,,,,,
2016-01-19,-2.4,-1.4,-4.1,0.0,0.0,,134,0,7.4,,,,,
2016-01-20,-3.5,-2.0,-5.0,0.0,2.4,,125,0,7.7,,,,,
2016-01-21,-8.9,-2.3,-18.1,0.0,4.6,,121,0,1.1,,,,,
2016-01-22,-6.2,-1.8,-13.9,3.5,0.0,,132,13,1.3,,,,,
2016-01-23,-5.1,-2.7,-11.1,3.0,0.1,,140,11,1.6,,,,,
2016-01-24,-10.7,-5.9,-16.3,0.0,4.6,,139,0,2.9,,,,,
2016-01-25,-14.6,-7.0,-28.8,1.5,4.0,,140,11,0.9,,,,,
2016-01-26,-3.3,-1.0,-7.4,6.0,0.0,,151,17,2.9,,,,,
2016-01-27,-4.0,-0.9,-5.4,5.5,0.5,,164,19,3.0,,,,,
2016-01-28,-6.6,-3.7,-9.2,2.0,0.0,,164,11,4.6,,,,,
2016-01-29,-9.0,-6.4,-11.9,5.0,2.7,,168,5,2.3,,,,,
2016-01-30,-12.1,-6.0,-23.3,2.0,7.5,,161,5,0.6,,,,,
2016-01-31,-8.3,-5.7,-11.2,8.0,0.0,,172,18,2.2,,,,,
2016-02-01,-11.5,-7.9,-18.6,2.0,1.3,,172,2,1.0,,,,,
2016-02-02,-10.0,-5.6,-16.5,3.5,0.3,,169,6,0.8,,,,,
2016-02-03,-9.1,-5.1,-19.7,2.0,0.0,,172,9,0.9,,,,,
2016-02-04,-3.1,-0.3,-6.3,3.0,1.8,,174,11,2.9,,,,,
2016-02-05,-4.8,-2.1,-7.5,3.5,0.8,,173,7,3.1,,,,,
2016-02-06,-7.8,-4.4,-12.6,11.5,1.2,,193,23,1.8,,,,,
