calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.2,-2.9,-8.0,0.0,0.4,,,,1.1,,,,,
2016-01-02,-1.6,2.2,-5.9,11.0,0.0,,,,1.3,,,,,
2016-01-03,-2.4,0.1,-3.8,0.0,0.7,,,,2.1,,,,,
2016-01-04,-5.5,-2.6,-12.4,0.5,0.0,,,,1.3,,,,,
2016-01-05,-6.6,-4.6,-10.4,3.5,0.4,,,,1.4,,,,,
2016-01-06,-5.0,-2.5,-7.0,3.0,0.0,,,,2.0,,,,,
2016-01-07,-5.2,-3.6,-6.3,0.5,0.3,,,,1.1,,,,,
2016-01-08,-4.7,-2.9,-6.5,2.0,0.0,,,,1.4,,,,,
2016-01-09,-6.4,-4.5,-10.7,2.0,0.0,,,,1.5,,,,,
2016-01-10,-6.4,-4.0,-9.9,3.0,0.0,,,,1.7,,,,,
2016-01-11,-10.3,-7.5,-13.7,0.5,0.1,,,,1.0,,,,,
2016-01-12,-8.6,-6.5,-12.8,0.5,0.0,,,,1.7,,,,,
2016-01-13,-8.9,-3.0,-13.6,0.0,1.4,,,,0.9,,,,,
2016-01-14,-6.6,-2.4,-10.1,5.0,1.9,,,,1.5,,,,,
2016-01-15,-11.7,-7.2,-17.1,0.0,7.1,,,,1.0,,,,,
2016-01-16,-12.8,-7.4,-17.6,1.0,0.1,,,,0.9,,,,,
2016-01-17,-14.2,-6.1,-20.4,0.0,4.7,,,,0.9,,,,,
2016-01-18,-12.2,-2.9,-21.7,0.0,0.0,,,,2.1,,,,,
2016-01-19,-2.4,-0.8,-3.9,0.0,0.0,,,,3.2,,,,,
2016-01-20,-3.5,-2.4,-5.4,0.0,0.3,,,,4.4,,,,,
2016-01-21,-6.1,-3.1,-11.1,0.0,4.5,,,,2.0,,,,,
2016-01-22,-5.8,-1.8,-13.4,1.5,1.4,,,,1.1,,,,,
2016-01-23,-6.4,-1.8,-16.7,0.0,1.4,,,,0.8,,,,,
2016-01-24,-12.7,-6.9,-19.3,0.0,6.1,,,,1.6,,,,,
2016-01-25,-14.5,-8.7,-23.5,0.0,6.5,,,,1.0,,,,,
2016-01-26,-3.3,0.4,-9.1,0.0,0.3,,,,1.1,,,,,
2016-01-27,-3.6,-0.4,-5.3,3.0,1.6,,,,1.7,,,,,
2016-01-28,-6.4,-3.9,-9.5,2.0,1.1,,,,2.5,,,,,
2016-01-29,-10.7,-6.2,-19.1,0.5,0.9,,,,1.5,,,,,
2016-01-30,-15.1,-8.0,-22.4,0.0,7.6,,,,0.8,,,,,
2016-01-31,-8.9,-5.8,-14.3,0.0,3.1,,,,1.2,,,,,
2016-02-01,-12.3,-7.4,-17.5,0.0,0.0,,,,1.3,,,,,
2016-02-02,-10.0,-5.0,-16.1,2.0,0.0,,,,,,,,,
2016-02-03,-10.2,-6.4,-17.0,0.0,0.0,,,,,,,,,
2016-02-04,-4.7,0.5,-9.1,0.0,3.5,,,,1.1,,,,,
2016-02-05,-4.3,-2.4,-6.6,2.0,0.9,,,,1.4,,,,,
2016-02-06,-7.6,-3.2,-12.1,1.0,0.3,,,,1.1,,,,,
2016-02-07,-9.4,-4.7,-18.0,3.0,2.7,,,,1.6,,,,,
2016-02-08,-8.5,-2.6,-15.6,0.0,4.9,,,,1.1,,,,,
2016-02-09,-1.8,2.6,-12.7,0.5,2.7,,,,5.2,,,,,
2016-02-10,-3.5,-0.5,-7.9,2.5,2.1,,,,2.6,,,,,
2016-02-11,-5.8,-2.1,-13.6,0.0,5.4,,,,1.6,,,,,
2016-02-12,-3.8,2.2,-13.1,0.0,1.2,,,,1.3,,,,,
2016-02-13,3.6,6.5,0.9,0.0,0.0,,,,2.3,,,,,
2016-02-14,-0.2,3.3,-3.8,12.0,0.0,,,,1.7,,,,,
2016-02-15,-7.8,-3.7,-10.8,2.0,0.9,,,,,,,,,
2016-02-16,-9.3,-4.6,-14.3,0.0,3.1,,,,,,,,,
