calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.4,-2.2,-6.5,0.5,1.8,,,,1.4,,,,,
2016-01-02,-1.4,0.6,-3.9,10.5,0.0,,,,1.9,,,,,
2016-01-03,-3.0,-1.1,-4.7,2.0,0.0,,,,1.8,,,,,
2016-01-04,-4.9,-3.3,-8.4,2.5,0.0,,,,1.7,,,,,
2016-01-05,-6.4,-4.6,-8.4,8.0,0.1,,,,1.7,,,,,
2016-01-06,-5.2,-3.9,-6.9,9.0,0.0,,,,2.1,,,,,
2016-01-07,-5.5,-3.9,-6.9,2.5,0.0,,,,1.8,,,,,
2016-01-08,-5.1,-3.5,-10.5,7.0,0.0,,,,1.7,,,,,
2016-01-09,-6.4,-4.1,-10.9,7.0,0.8,,,,1.5,,,,,
2016-01-10,-6.5,-4.0,-10.9,8.0,0.3,,,,1.4,,,,,
2016-01-11,-9.6,-6.8,-14.6,3.5,0.6,,,,1.1,,,,,
2016-01-12,-8.9,-7.0,-11.6,3.5,0.1,,,,1.4,,,,,
2016-01-13,-6.9,-5.1,-9.2,3.0,0.0,,,,1.4,,,,,
2016-01-14,-7.8,-6.0,-10.5,2.0,0.1,,,,2.3,,,,,
2016-01-15,-16.8,-9.9,-23.6,0.0,7.7,,,,1.1,,,,,
2016-01-16,-17.0,-11.7,-25.7,0.0,2.2,,,,0.7,,,,,
2016-01-17,-13.1,-8.2,-18.6,0.0,3.9,,,,0.9,,,,,
2016-01-18,-12.9,-3.8,-23.3,0.0,0.0,,,,2.0,,,,,
2016-01-19,-2.6,-1.7,-4.0,2.5,0.0,,,,6.2,,,,,
2016-01-20,-4.0,-2.8,-5.9,0.0,1.4,,,,5.8,,,,,
2016-01-21,-8.6,-3.6,-16.2,0.0,3.8,,,,1.5,,,,,
2016-01-22,-4.7,-2.0,-9.9,5.0,0.0,,,,1.6,,,,,
2016-01-23,-5.3,-1.6,-9.3,3.5,0.2,,,,,,,,,
2016-01-24,-11.9,-6.4,-21.2,0.0,7.9,,,,1.9,,,,,
2016-01-25,-14.3,-6.3,-26.7,0.0,5.5,,,,1.6,,,,,
2016-01-26,-3.0,-0.9,-6.9,3.5,0.1,,,,2.7,,,,,
2016-01-27,-3.8,-1.3,-5.4,6.0,1.4,,,,2.0,,,,,
2016-01-28,-7.0,-4.9,-9.5,4.0,0.0,,,,2.4,,,,,
2016-01-29,-8.9,-6.1,-14.6,3.5,0.7,,,,1.3,,,,,
2016-01-30,-14.9,-10.0,-22.9,0.5,7.3,,,,0.7,,,,,
2016-01-31,-8.5,-5.4,-11.2,6.0,1.4,,,,1.3,,,,,
2016-02-01,-11.8,-7.0,-17.3,0.0,3.6,,,,1.3,,,,,
2016-02-02,-10.8,-5.0,-17.9,0.0,2.0,,,,1.3,,,,,
2016-02-03,-9.9,-4.1,-20.8,0.5,2.1,,,,1.3,,,,,
2016-02-04,-3.0,0.6,-6.3,4.0,2.5,,,,2.0,,,,,
2016-02-05,-4.6,-2.1,-9.1,2.0,1.6,,,,2.3,,,,,
2016-02-06,-7.6,-4.6,-12.3,7.0,0.7,,,,1.7,,,,,
2016-02-07,-8.1,-5.1,-14.7,4.0,1.4,,,,2.1,,,,,
2016-02-08,-9.8,-3.7,-19.1,0.0,5.4,,,,1.2,,,,,
2016-02-09,-11.3,-7.1,-18.4,1.5,1.1,,,,0.7,,,,,
2016-02-10,-4.8,-1.8,-10.4,1.5,1.4,,,,2.0,,,,,
2016-02-11,-7.1,-1.5,-13.0,0.0,6.2,,,,1.3,,,,,
2016-02-12,-0.9,3.0,-7.2,0.0,0.0,,,,2.6,,,,,
2016-02-13,3.3,4.7,1.3,2.0,0.0,,,,1.9,,,,,
2016-02-14,-3.3,1.5,-7.4,10.5,0.0,,,,6.0,,,,,
2016-02-15,-8.8,-4.5,-11.8,5.0,2.7,,,,2.4,,,,,
2016-02-16,-7.6,-5.6,-10.2,8.0,0.5,,,,2.0,,,,,
2016-02-17,-6.7,-4.5,-8.2,10.5,0.2,,,,2.3,,,,,
2016-02-18,-4.4,-0.9,-8.4,3.5,0.0,,,,1.8,,,,,
2016-02-19,-0.7,3.2,-7.5,10.5,2.2,,,,1.2,,,,,
2016-02-20,-1.2,1.9,-3.9,1.0,4.7,,,,2.0,,,,,
2016-02-21,-3.6,-1.1,-6.8,2.5,1.8,,,,3.7,,,,,
2016-02-22,-5.6,-3.1,-9.4,4.0,0.2,,,,1.9,,,,,
2016-02-23,-5.4,-0.5,-10.5,3.0,0.8,,,,2.8,,,,,
2016-02-24,-12.5,-6.7,-18.4,0.0,7.4,,,,1.3,,,,,
2016-02-25,-10.7,-5.5,-16.0,2.0,0.8,,,,1.6,,,,,
2016-02-26,-8.0,-4.5,-11.2,2.0,1.2,,,,1.4,,,,,
2016-02-27,-9.0,-4.0,-16.1,3.0,0.7,,,,1.5,,,,,
2016-02-28,-10.3,-3.1,-16.2,0.0,3.2,,,,1.0,,,,,
2016-02-29,-7.3,-1.1,-19.8,2.0,0.0,,,,1.4,,,,,
2016-03-01,-7.4,-2.2,-16.5,0.0,2.9,,,,3.6,,,,,
2016-03-02,-9.7,-5.6,-13.7,0.0,1.7,,,,1.2,,,,,
2016-03-03,-11.9,-3.7,-21.0,0.0,4.1,,,,1.7,,,,,
2016-03-04,-13.1,-1.6,-24.3,0.0,7.7,,,,1.2,,,,,
2016-03-05,-11.7,-2.3,-19.8,0.0,9.2,,,,0.6,,,,,
2016-03-06,-1.1,5.9,-12.5,11.0,0.0,,,,2.0,,,,,
2016-03-07,3.0,5.6,-4.0,2.5,3.5,,,,2.3,,,,,
2016-03-08,-0.6,6.6,-6.1,2.5,2.3,,,,2.0,,,,,
2016-03-09,-3.3,0.5,-9.1,0.5,4.7,,,,3.1,,,,,
2016-03-10,-5.3,0.4,-11.4,1.5,5.8,,,,1.6,,,,,
2016-03-11,-4.8,-0.4,-8.0,3.5,2.7,,,,2.0,,,,,
2016-03-12,-5.2,-0.5,-11.0,2.0,7.0,,,,1.7,,,,,
2016-03-13,-2.5,3.0,-11.5,0.0,8.9,,,,1.7,,,,,
2016-03-14,0.2,6.1,-6.7,0.0,7.8,,,,1.7,,,,,
2016-03-15,-2.9,1.2,-8.4,0.0,8.7,,,,1.8,,,,,
2016-03-16,1.3,7.4,-8.8,0.0,9.4,,,,2.5,,,,,
2016-03-17,4.5,9.4,-1.4,0.0,6.4,,,,1.8,,,,,
2016-03-18,3.7,11.8,-4.1,0.0,8.3,,,,1.2,,,,,
2016-03-19,4.0,7.0,0.7,0.0,0.2,,,,1.5,,,,,
2016-03-20,-2.5,0.9,-9.3,0.0,4.5,,,,3.4,,,,,
2016-03-21,-3.3,0.7,-8.3,0.0,4.5,,,,1.9,,,,,
2016-03-22,-0.9,4.3,-6.4,1.0,6.2,,,,2.5,,,,,
2016-03-23,-1.9,1.5,-8.6,4.0,2.5,,,,1.3,,,,,
2016-03-24,-3.4,2.8,-11.2,0.0,6.7,,,,2.1,,,,,
2016-03-25,-2.9,1.8,-9.9,0.0,4.2,,,,1.1,,,,,
2016-03-26,-0.2,4.5,-5.2,0.0,9.3,,,,1.3,,,,,
2016-03-27,4.2,8.6,-2.5,0.0,10.2,,,,2.1,,,,,
2016-03-28,2.3,5.9,-4.6,2.0,10.2,,,,2.0,,,,,
2016-03-29,0.4,9.4,-8.4,0.0,9.1,,,,1.0,,,,,
2016-03-30,4.4,10.5,0.3,0.5,4.7,,,,1.7,,,,,
2016-03-31,2.5,6.5,-2.2,0.0,2.2,,,,1.2,,,,,
2016-04-01,2.0,5.9,-2.8,0.0,9.8,,,,3.1,,,,,
2016-04-02,2.2,7.3,-3.1,0.0,6.2,,,,1.8,,,,,
2016-04-03,5.1,9.0,1.6,1.5,2.8,,,,2.8,,,,,
2016-04-04,4.2,9.4,-2.0,0.0,11.0,,,,1.8,,,,,
2016-04-05,4.1,10.1,-3.2,1.5,6.0,,,,2.5,,,,,
2016-04-06,5.1,8.9,1.3,0.0,8.6,,,,2.4,,,,,
2016-04-07,6.0,11.0,0.5,0.0,6.2,,,,1.4,,,,,
2016-04-08,5.0,9.3,0.6,4.0,1.0,,,,1.7,,,,,
2016-04-09,2.9,8.7,-0.3,0.0,2.0,,,,3.8,,,,,
2016-04-10,1.6,4.2,-2.2,0.0,3.2,,,,1.9,,,,,
2016-04-11,-0.1,3.4,-3.6,0.5,5.9,,,,2.2,,,,,
2016-04-12,2.4,7.7,-6.6,0.0,8.8,,,,1.8,,,,,
2016-04-13,4.5,8.2,1.9,4.0,0.0,,,,1.5,,,,,
2016-04-14,5.8,9.5,3.4,5.5,0.5,,,,2.2,,,,,
2016-04-15,1.7,4.4,0.2,0.5,0.0,,,,3.9,,,,,
2016-04-16,4.4,10.0,-1.8,0.0,7.6,,,,1.3,,,,,
2016-04-17,4.1,7.7,2.4,11.0,0.0,,,,2.2,,,,,
2016-04-18,0.5,2.6,-1.4,6.0,0.0,,,,3.0,,,,,
2016-04-19,1.5,5.0,-2.4,0.0,4.5,,,,1.5,,,,,
2016-04-20,7.0,13.2,1.0,0.0,4.9,,,,2.5,,,,,
2016-04-21,10.7,16.9,4.3,0.0,10.4,,,,2.6,,,,,
2016-04-22,7.4,14.8,1.8,0.0,11.3,,,,3.2,,,,,
2016-04-23,5.8,10.1,0.0,5.5,1.1,,,,1.4,,,,,
2016-04-24,7.1,12.5,1.9,0.0,7.7,,,,2.2,,,,,
2016-04-25,7.6,14.2,0.4,0.0,11.3,,,,2.1,,,,,
2016-04-26,4.4,10.2,0.4,1.0,1.0,,,,1.9,,,,,
2016-04-27,4.5,11.6,-1.6,0.0,9.2,,,,1.6,,,,,
2016-04-28,6.8,14.3,-1.5,0.0,10.0,,,,2.1,,,,,
2016-04-29,2.3,6.5,0.1,1.5,0.0,,,,4.1,,,,,
2016-04-30,2.2,5.0,-0.1,0.0,1.2,,,,4.2,,,,,
2016-05-01,4.1,9.8,-0.6,0.0,3.9,,,,1.6,,,,,
2016-05-02,7.2,16.2,-2.7,0.0,10.6,,,,1.3,,,,,
