calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.5,-3.6,-8.4,0.5,0.3,,,,1.4,,,,,
2016-01-02,-1.4,1.5,-5.0,5.0,0.0,,,,2.4,,,,,
2016-01-03,-3.6,-1.6,-4.6,0.5,0.2,,,,1.9,,,,,
2016-01-04,-6.5,-3.8,-13.7,0.5,1.4,,,,1.5,,,,,
2016-01-05,-8.5,-5.8,-14.2,1.0,0.2,,,,2.0,,,,,
2016-01-06,-6.1,-4.1,-9.0,4.0,0.0,,,,2.4,,,,,
2016-01-07,-6.8,-5.5,-8.9,0.0,0.5,,,,1.7,,,,,
2016-01-08,-6.0,-4.3,-11.0,3.5,0.0,,,,1.7,,,,,
2016-01-09,-7.7,-5.7,-12.1,0.0,2.8,,,,1.8,,,,,
2016-01-10,-7.5,-5.3,-16.4,1.5,1.8,,,,1.9,,,,,
2016-01-11,-10.5,-8.7,-14.6,1.0,0.8,,,,1.4,,,,,
2016-01-12,-9.8,-7.9,-13.6,0.5,0.0,,,,2.0,,,,,
2016-01-13,-8.6,-5.2,-13.9,0.0,0.4,,,,2.2,,,,,
2016-01-14,-8.0,-4.5,-12.1,5.5,2.6,,,,1.0,,,,,
2016-01-15,-12.2,-9.5,-17.2,0.0,5.8,,,,0.9,,,,,
2016-01-16,-12.4,-9.6,-16.6,0.0,0.8,,,,1.2,,,,,
2016-01-17,-11.6,-6.7,-16.2,0.0,5.2,,,,2.0,,,,,
2016-01-18,-11.1,-2.2,-19.5,0.0,0.0,,,,1.9,,,,,
2016-01-19,-3.1,-1.4,-4.4,0.5,0.0,,,,3.8,,,,,
2016-01-20,-4.9,-3.0,-7.2,0.5,0.2,,,,3.5,,,,,
2016-01-21,-7.5,-4.7,-13.0,0.0,5.9,,,,1.2,,,,,
2016-01-22,-6.2,-3.5,-11.5,3.0,0.5,,,,1.0,,,,,
2016-01-23,-6.4,-3.9,-11.9,1.5,0.0,,,,1.3,,,,,
2016-01-24,-13.3,-8.4,-19.6,0.0,5.0,,,,1.2,,,,,
2016-01-25,-12.9,-6.7,-23.6,0.0,6.2,,,,2.0,,,,,
2016-01-26,-3.0,-0.7,-6.9,0.0,0.3,,,,3.0,,,,,
2016-01-27,-4.7,-0.8,-6.2,3.0,1.7,,,,2.2,,,,,
2016-01-28,-8.0,-5.5,-13.3,2.5,1.0,,,,2.4,,,,,
2016-01-29,-11.8,-7.2,-16.4,0.0,4.2,,,,2.1,,,,,
2016-01-30,-13.1,-9.9,-20.9,0.0,8.5,,,,1.5,,,,,
2016-01-31,-10.4,-7.1,-18.0,1.0,1.9,,,,1.9,,,,,
2016-02-01,-11.7,-8.5,-18.6,0.0,0.7,,,,1.3,,,,,
2016-02-02,-9.4,-5.6,-12.4,0.0,1.6,,,,1.9,,,,,
2016-02-03,-8.9,-5.4,-15.9,0.0,2.0,,,,1.7,,,,,
2016-02-04,-3.9,0.5,-7.9,0.0,2.8,,,,2.2,,,,,
2016-02-05,-5.6,-2.9,-9.1,2.0,3.0,,,,1.6,,,,,
2016-02-06,-9.4,-5.1,-17.1,0.0,2.1,,,,1.9,,,,,
2016-02-07,-9.3,-6.2,-15.9,1.5,1.8,,,,1.8,,,,,
2016-02-08,-8.9,-3.8,-13.5,0.0,7.7,,,,1.5,,,,,
2016-02-09,-3.7,2.3,-13.5,0.0,3.6,,,,1.9,,,,,
2016-02-10,-4.4,-1.3,-7.2,3.5,1.5,,,,2.1,,,,,
2016-02-11,-7.1,-3.0,-11.7,0.5,5.2,,,,1.3,,,,,
2016-02-12,-1.0,3.4,-8.9,0.0,0.3,,,,2.8,,,,,
2016-02-13,3.6,7.1,0.8,0.0,0.0,,,,1.7,,,,,
2016-02-14,-1.4,2.7,-6.0,19.5,0.0,,,,0.6,,,,,
2016-02-15,-8.9,-6.0,-12.0,5.0,3.0,,,,,,,,,
2016-02-16,-9.4,-6.1,-13.5,0.0,2.0,,,,,,,,,
2016-02-17,-7.6,-6.3,-8.9,4.0,0.2,,,,,,,,,
2016-02-18,-4.1,-1.5,-8.3,9.0,0.8,,,,1.7,,,,,
2016-02-19,0.1,3.4,-4.5,0.0,2.3,,,,2.0,,,,,
2016-02-20,-2.0,0.4,-5.6,4.5,4.1,,,,1.4,,,,,
2016-02-21,-3.7,-0.6,-7.3,7.5,0.2,,,,,,,,,
2016-02-22,-6.6,-4.9,-9.7,2.5,2.6,,,,2.0,,,,,
2016-02-23,-5.0,-0.6,-10.4,4.0,0.2,,,,2.2,,,,,
2016-02-24,-12.3,-8.4,-20.8,0.0,7.5,,,,1.2,,,,,
2016-02-25,-10.2,-6.7,-14.4,0.0,2.3,,,,2.1,,,,,
2016-02-26,-8.1,-4.6,-12.3,0.5,5.9,,,,2.1,,,,,
2016-02-27,-9.0,-4.7,-14.9,0.0,4.1,,,,2.0,,,,,
2016-02-28,-8.7,-3.6,-13.0,0.0,7.8,,,,1.4,,,,,
2016-02-29,-4.2,1.1,-12.9,0.0,0.1,,,,5.2,,,,,
2016-03-01,-6.0,-1.1,-9.6,0.0,1.9,,,,3.1,,,,,
2016-03-02,-8.1,-3.8,-12.9,0.0,4.1,,,,1.3,,,,,
2016-03-03,-10.4,-5.8,-17.8,1.5,0.3,,,,1.5,,,,,
2016-03-04,-9.9,-2.0,-16.6,0.0,7.8,,,,1.8,,,,,
2016-03-05,-7.5,-1.2,-12.9,0.0,9.1,,,,2.2,,,,,
2016-03-06,0.7,8.5,-10.1,3.0,0.0,,,,2.3,,,,,
2016-03-07,2.1,8.1,-3.6,4.5,3.2,,,,1.8,,,,,
2016-03-08,0.6,6.1,-4.0,2.0,4.5,,,,2.9,,,,,
2016-03-09,-4.2,-1.4,-8.9,0.0,2.8,,,,3.2,,,,,
2016-03-10,-5.5,-0.8,-10.1,0.0,8.0,,,,1.7,,,,,
2016-03-11,-6.6,-2.7,-11.2,1.0,2.2,,,,1.9,,,,,
2016-03-12,-6.1,-2.1,-10.9,0.0,4.8,,,,1.5,,,,,
2016-03-13,-3.1,2.1,-12.0,0.0,9.0,,,,2.2,,,,,
2016-03-14,0.0,5.2,-7.4,2.0,8.7,,,,1.4,,,,,
2016-03-15,-3.2,-0.4,-7.5,0.0,6.6,,,,1.6,,,,,
2016-03-16,1.3,7.1,-7.8,0.0,4.7,,,,3.4,,,,,
2016-03-17,3.3,8.8,-1.5,0.0,6.2,,,,2.1,,,,,
2016-03-18,7.2,12.8,0.6,0.0,6.6,,,,2.4,,,,,
2016-03-19,3.5,6.9,0.3,3.5,0.0,,,,1.3,,,,,
2016-03-20,-3.0,0.3,-9.4,0.0,4.4,,,,2.7,,,,,
2016-03-21,-4.1,0.1,-8.9,0.0,4.4,,,,1.6,,,,,
2016-03-22,-2.0,1.9,-6.8,0.0,5.5,,,,2.5,,,,,
2016-03-23,-2.1,0.9,-6.9,2.5,1.9,,,,1.6,,,,,
2016-03-24,-2.9,2.3,-9.1,0.0,10.6,,,,2.0,,,,,
2016-03-25,-3.5,1.0,-10.5,0.0,4.2,,,,1.5,,,,,
2016-03-26,-0.6,3.2,-2.8,0.5,6.8,,,,1.2,,,,,
2016-03-27,3.3,8.4,-3.5,0.0,8.6,,,,2.2,,,,,
2016-03-28,2.3,5.8,-4.1,0.5,8.6,,,,2.3,,,,,
2016-03-29,2.3,10.6,-6.5,0.0,10.8,,,,1.4,,,,,
2016-03-30,3.9,9.9,-1.2,1.5,5.3,,,,2.6,,,,,
2016-03-31,2.3,5.7,-1.5,0.0,2.7,,,,2.1,,,,,
2016-04-01,2.8,9.3,-1.9,0.0,9.8,,,,1.2,,,,,
2016-04-02,1.8,6.1,-1.9,0.0,4.5,,,,2.1,,,,,
2016-04-03,4.1,8.1,0.0,2.5,0.0,,,,2.6,,,,,
2016-04-04,3.1,9.1,-2.7,0.0,10.4,,,,1.5,,,,,
2016-04-05,4.6,11.1,-2.7,1.0,2.4,,,,2.9,,,,,
2016-04-06,4.0,8.5,0.2,0.0,7.9,,,,3.2,,,,,
2016-04-07,5.7,11.7,0.1,3.0,6.3,,,,2.1,,,,,
2016-04-08,4.8,9.6,-1.4,6.0,1.2,,,,1.9,,,,,
2016-04-09,3.0,9.0,-1.9,0.0,3.9,,,,4.5,,,,,
2016-04-10,0.1,3.4,-4.2,0.0,1.1,,,,2.0,,,,,
2016-04-11,-1.4,3.4,-6.1,2.5,5.1,,,,2.3,,,,,
2016-04-12,1.5,6.6,-5.8,1.5,6.0,,,,1.5,,,,,
