calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.7,-4.1,-7.1,1.0,0.0,,130,7,0.9,,,,,
2016-01-02,-2.7,-0.8,-5.3,20.0,0.0,,150,38,1.5,,,,,
2016-01-03,-4.4,-2.6,-5.1,4.0,0.0,,153,19,2.0,,,,,
2016-01-04,-6.1,-4.4,-10.0,1.0,0.0,,148,3,1.6,,,,,
2016-01-05,-7.8,-6.7,-9.8,8.5,0.0,,158,21,1.2,,,,,
2016-01-06,-6.2,-5.1,-7.9,1.5,0.0,,165,19,1.9,,,,,
2016-01-07,-7.0,-5.3,-8.9,4.0,0.0,,172,15,1.2,,,,,
2016-01-08,-5.9,-4.8,-7.5,3.0,0.0,,169,4,1.8,,,,,
2016-01-09,-7.3,-6.3,-8.6,3.5,0.0,,180,22,1.6,,,,,
2016-01-10,-7.7,-6.1,-10.0,6.5,0.0,,188,17,1.1,,,,,
2016-01-11,-10.4,-8.6,-12.2,7.0,0.0,,195,12,,,,,,
2016-01-12,-10.2,-8.7,-12.8,4.0,0.0,,198,16,,,,,,
2016-01-13,-8.4,-7.3,-10.9,4.5,0.0,,202,15,,,,,,
2016-01-14,-9.9,-6.5,-19.3,0.0,0.0,,199,0,,,,,,
2016-01-15,-20.1,-8.3,-28.9,0.0,7.6,,185,0,0.6,,,,,
2016-01-16,-15.9,-7.8,-27.2,1.0,2.1,,175,5,0.7,,,,,
2016-01-17,-12.7,-5.5,-21.5,0.0,4.3,,173,2,0.8,,,,,
2016-01-18,-12.2,-4.8,-24.1,0.0,1.9,,165,0,2.4,,,,,
2016-01-19,-3.6,-2.6,-4.8,0.5,0.0,,154,6,5.5,,,,,
2016-01-20,-4.7,-2.8,-6.2,0.0,3.5,,151,1,4.4,,,,,
2016-01-21,-9.0,-4.1,-15.4,0.0,3.7,,146,1,0.9,,,,,
2016-01-22,-6.3,-2.5,-15.3,10.5,0.0,,174,37,0.9,,,,,
2016-01-23,-6.1,-4.2,-10.5,5.5,0.0,,184,18,,,,,,
2016-01-24,-12.0,-7.3,-21.2,0.0,2.4,,181,2,,,,,,
2016-01-25,-15.3,-6.7,-29.3,2.0,2.5,,175,9,,,,,,
2016-01-26,-3.8,-1.5,-7.3,9.0,0.0,,183,14,2.3,,,,,
2016-01-27,-5.3,-2.8,-6.6,6.5,0.0,,193,16,1.9,,,,,
2016-01-28,-8.4,-5.7,-10.6,8.5,0.0,,196,10,1.8,,,,,
2016-01-29,-10.1,-7.9,-13.4,6.5,0.0,,197,7,,,,,,
2016-01-30,-13.7,-7.4,-22.6,1.5,0.9,,193,5,,,,,,
2016-01-31,-9.9,-7.8,-12.7,10.0,0.0,,198,13,,,,,,
2016-02-01,-12.3,-9.0,-20.0,2.5,0.7,,199,4,,,,,,
2016-02-02,-11.5,-6.7,-19.0,5.0,0.0,,202,15,,,,,,
2016-02-03,-10.6,-5.7,-19.1,2.0,0.1,,203,13,,,,,,
