calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.5,-3.1,-6.7,0.0,1.2,,43,1,2.8,,,,,
2016-01-02,-1.5,0.1,-3.3,2.0,0.0,,49,11,4.2,,,,,
2016-01-03,-3.5,-2.1,-4.1,0.0,0.2,,49,4,4.6,,,,,
2016-01-04,-5.9,-3.5,-13.2,0.0,2.6,,50,3,3.6,,,,,
2016-01-05,-7.2,-6.1,-12.6,1.0,0.9,,53,7,4.2,,,,,
2016-01-06,-5.5,-4.2,-7.7,1.0,0.0,,60,10,4.9,,,,,
2016-01-07,-6.1,-4.7,-7.8,0.0,1.5,,59,4,3.9,,,,,
2016-01-08,-5.9,-4.0,-12.2,0.0,0.3,,60,5,4.0,,,,,
2016-01-09,-6.4,-5.4,-8.1,0.0,1.5,,59,8,4.3,,,,,
2016-01-10,-6.9,-5.1,-9.5,3.0,0.7,,67,14,3.4,,,,,
2016-01-11,-10.9,-9.2,-13.0,0.5,0.3,,67,2,1.5,,,,,
2016-01-12,-9.8,-7.7,-15.6,0.0,0.3,,64,2,2.9,,,,,
2016-01-13,-8.1,-5.7,-14.0,0.0,2.9,,62,2,2.5,,,,,
2016-01-14,-8.4,-5.7,-14.7,2.5,0.0,,63,6,1.4,,,,,
2016-01-15,-17.9,-8.1,-24.1,0.0,7.9,,60,0,1.0,,,,,
2016-01-16,-17.8,-8.8,-26.6,0.0,4.5,,58,0,0.8,,,,,
2016-01-17,-12.9,-6.0,-20.7,0.0,6.4,,56,1,0.9,,,,,
2016-01-18,-12.2,-3.7,-25.9,0.0,2.2,,54,0,3.2,,,,,
2016-01-19,-2.9,-2.1,-4.2,23.5,0.0,,100,53,5.9,,,,,
2016-01-20,-4.2,-2.9,-5.7,16.5,0.0,,132,32,2.5,,,,,
2016-01-21,-7.6,-3.3,-13.4,0.0,4.5,,114,0,2.1,,,,,
2016-01-22,-5.6,-2.8,-11.9,7.5,0.0,,115,17,,,,,,
2016-01-23,-5.9,-4.2,-8.7,2.5,0.0,,118,5,1.0,,,,,
2016-01-24,-11.2,-5.9,-22.5,0.0,6.5,,115,0,1.4,,,,,
2016-01-25,-15.6,-6.3,-31.8,0.0,5.3,,105,0,2.0,,,,,
2016-01-26,-3.0,-0.9,-6.4,1.0,0.4,,105,10,5.0,,,,,
2016-01-27,-4.4,-1.5,-5.7,0.5,3.6,,109,11,4.8,,,,,
2016-01-28,-8.3,-5.2,-15.6,0.0,0.6,,111,6,4.6,,,,,
2016-01-29,-12.0,-6.6,-18.1,0.5,1.9,,108,1,1.9,,,,,
2016-01-30,-15.5,-8.5,-27.4,0.5,7.3,,103,1,0.9,,,,,
2016-01-31,-10.1,-6.8,-14.1,2.5,1.5,,102,4,1.8,,,,,
2016-02-01,-14.9,-9.4,-25.0,1.0,0.9,,105,5,1.0,,,,,
2016-02-02,-12.4,-5.8,-23.1,0.0,0.7,,101,0,1.4,,,,,
2016-02-03,-12.5,-5.1,-27.1,0.0,5.3,,99,1,2.0,,,,,
2016-02-04,-3.5,-0.9,-7.9,1.5,1.5,,101,9,2.9,,,,,
2016-02-05,-5.2,-2.1,-7.9,0.5,3.0,,103,7,4.8,,,,,
2016-02-06,-7.7,-5.3,-10.3,0.5,0.9,,103,4,2.5,,,,,
2016-02-07,-8.7,-6.1,-15.8,2.5,2.1,,108,11,3.2,,,,,
2016-02-08,-11.0,-4.8,-22.8,0.0,5.7,,108,1,1.6,,,,,
2016-02-09,-11.8,-4.6,-22.1,0.0,1.4,,100,2,0.9,,,,,
2016-02-10,-4.5,-2.0,-8.7,1.5,4.8,,100,3,3.6,,,,,
2016-02-11,-7.7,-3.4,-16.1,0.0,5.0,,96,0,2.1,,,,,
2016-02-12,-2.3,3.3,-13.4,0.0,0.2,,94,0,2.9,,,,,
2016-02-13,3.3,5.5,0.4,1.0,0.0,,90,0,3.2,,,,,
2016-02-14,-3.8,1.1,-7.9,12.0,0.0,,86,13,4.5,,,,,
2016-02-15,-9.5,-5.2,-13.4,1.5,3.0,,94,10,4.1,,,,,
2016-02-16,-8.2,-6.4,-12.3,1.5,0.5,,103,13,3.7,,,,,
2016-02-17,-7.1,-5.9,-8.9,1.5,0.0,,121,19,4.7,,,,,
2016-02-18,-5.5,-1.6,-13.1,0.5,0.1,,120,4,3.7,,,,,
2016-02-19,-3.2,2.1,-15.0,9.5,0.1,,117,9,1.7,,,,,
2016-02-20,-1.8,0.3,-4.5,0.5,4.5,,114,2,4.0,,,,,
2016-02-21,-4.0,-1.6,-8.1,6.5,0.2,,126,18,2.7,,,,,
2016-02-22,-7.0,-4.6,-13.5,2.0,1.7,,130,15,3.7,,,,,
2016-02-23,-5.7,-1.5,-10.7,2.5,0.7,,133,9,2.3,,,,,
2016-02-24,-13.5,-8.1,-21.5,0.0,5.8,,131,0,0.9,,,,,
2016-02-25,-13.5,-6.3,-21.7,0.5,3.2,,126,3,1.9,,,,,
2016-02-26,-9.7,-5.3,-15.1,1.5,2.1,,132,8,1.1,,,,,
2016-02-27,-10.5,-4.5,-19.0,1.5,2.2,,129,5,1.9,,,,,
2016-02-28,-12.8,-4.1,-22.5,0.5,8.3,,129,2,1.2,,,,,
2016-02-29,-6.9,-0.5,-23.5,0.0,0.0,,124,0,3.4,,,,,
2016-03-01,-7.8,-3.9,-15.7,1.5,2.0,,122,9,2.9,,,,,
2016-03-02,-12.2,-4.5,-21.2,0.0,4.2,,120,0,1.3,,,,,
2016-03-03,-14.2,-3.4,-23.5,0.0,7.6,,117,0,1.3,,,,,
2016-03-04,-15.1,-2.0,-27.3,0.0,7.9,,115,1,1.4,,,,,
2016-03-05,-11.7,0.2,-24.2,0.0,7.5,,115,0,1.1,,,,,
2016-03-06,-3.0,3.9,-13.7,8.0,0.0,,112,0,1.2,,,,,
2016-03-07,2.0,6.1,-3.9,3.5,2.4,,107,0,4.1,,,,,
2016-03-08,-0.9,6.0,-6.6,1.5,2.3,,107,9,3.3,,,,,
2016-03-09,-4.2,-1.2,-9.9,0.0,3.9,,107,0,4.5,,,,,
2016-03-10,-7.4,-0.5,-15.1,0.0,7.6,,104,3,1.8,,,,,
2016-03-11,-6.7,-2.3,-16.2,1.5,3.7,,107,5,2.6,,,,,
2016-03-12,-6.5,-1.7,-13.6,0.5,3.2,,108,4,2.1,,,,,
2016-03-13,-5.0,2.3,-17.2,0.0,9.5,,105,0,2.0,,,,,
2016-03-14,-2.3,4.6,-12.0,0.5,7.6,,102,2,2.0,,,,,
2016-03-15,-4.1,-0.3,-11.3,0.0,7.8,,101,0,2.5,,,,,
2016-03-16,-0.4,6.7,-13.7,0.0,7.7,,99,0,4.8,,,,,
2016-03-17,3.4,8.3,-4.5,0.0,5.2,,94,0,2.8,,,,,
2016-03-18,1.6,11.4,-6.6,0.0,8.1,,91,0,1.7,,,,,
2016-03-19,3.4,6.2,-1.3,0.0,0.0,,86,0,3.4,,,,,
2016-03-20,-2.9,0.3,-8.6,0.0,5.4,,82,0,3.8,,,,,
2016-03-21,-4.5,0.4,-10.5,0.0,5.3,,84,3,2.7,,,,,
2016-03-22,-1.0,3.1,-8.7,0.0,8.3,,83,1,4.8,,,,,
2016-03-23,-2.5,2.1,-8.3,4.5,5.3,,88,14,1.4,,,,,
2016-03-24,-4.0,2.0,-12.2,0.0,3.5,,87,1,1.7,,,,,
2016-03-25,-4.4,0.8,-10.9,2.5,2.5,,84,6,1.0,,,,,
2016-03-26,-1.0,3.4,-6.3,0.0,10.1,,84,1,1.9,,,,,
2016-03-27,2.9,7.7,-5.6,0.0,9.4,,80,0,3.6,,,,,
2016-03-28,1.6,4.8,-6.0,3.0,10.1,,75,1,3.5,,,,,
2016-03-29,-0.3,8.5,-9.1,0.0,10.1,,71,0,1.4,,,,,
2016-03-30,3.1,12.5,-2.7,0.5,5.2,,69,0,1.8,,,,,
2016-03-31,1.6,5.7,-2.1,0.5,2.0,,65,1,1.8,,,,,
2016-04-01,1.5,4.3,-0.5,0.0,8.8,,62,0,3.6,,,,,
2016-04-02,1.6,6.5,-1.7,0.0,5.7,,59,0,1.6,,,,,
2016-04-03,4.7,7.6,-1.2,1.5,2.7,,56,0,3.9,,,,,
2016-04-04,3.4,8.5,-4.5,0.0,12.0,,51,0,3.6,,,,,
2016-04-05,2.6,9.6,-7.2,3.0,6.3,,46,0,4.1,,,,,
2016-04-06,3.9,8.6,-2.5,0.0,9.5,,40,0,3.9,,,,,
2016-04-07,4.1,11.4,-3.9,0.0,7.0,,35,1,1.8,,,,,
2016-04-08,3.9,9.3,-1.7,3.5,1.3,,30,0,2.2,,,,,
2016-04-09,1.0,7.9,-3.6,1.5,0.8,,26,0,3.3,,,,,
2016-04-10,1.1,4.2,-2.2,0.0,3.1,,25,2,3.8,,,,,
2016-04-11,-1.0,2.9,-5.0,0.5,4.1,,23,3,2.4,,,,,
2016-04-12,1.6,7.2,-7.2,0.5,8.2,,24,2,2.8,,,,,
2016-04-13,3.5,6.0,1.1,3.5,0.0,,17,0,1.5,,,,,
2016-04-14,4.9,10.0,1.7,3.0,0.5,,14,1,2.4,,,,,
2016-04-15,0.7,2.2,-0.5,0.0,0.0,,9,1,3.6,,,,,
2016-04-16,4.1,9.6,-1.3,0.0,8.4,,6,0,2.4,,,,,
2016-04-17,3.3,7.2,1.2,10.0,0.0,,0,0,2.6,,,,,
2016-04-18,-0.2,2.0,-2.5,4.5,0.0,,0,0,1.7,,,,,
2016-04-19,0.3,4.6,-4.4,1.0,2.9,,0,0,1.1,,,,,
2016-04-20,6.1,11.9,-0.1,0.5,4.6,,0,0,3.3,,,,,
2016-04-21,9.9,15.7,1.4,0.0,12.3,,0,0,5.4,,,,,
2016-04-22,5.9,12.6,0.0,0.0,12.1,,0,0,3.3,,,,,
2016-04-23,4.8,9.8,-1.6,4.5,1.8,,0,0,2.0,,,,,
2016-04-24,5.6,11.3,-1.1,0.5,5.2,,0,0,2.8,,,,,
2016-04-25,5.3,14.1,-2.4,0.0,11.0,,0,0,2.2,,,,,
2016-04-26,3.1,9.9,-0.7,0.5,0.4,,0,0,1.5,,,,,
2016-04-27,2.9,10.5,-2.4,0.0,7.1,,0,0,2.1,,,,,
2016-04-28,5.5,13.9,-4.7,0.0,9.1,,0,0,1.9,,,,,
2016-04-29,1.5,6.0,-1.0,6.0,0.0,,5,5,2.3,,,,,
2016-04-30,1.2,3.9,-1.3,0.0,1.0,,0,0,5.2,,,,,
2016-05-01,3.2,8.7,-2.8,0.0,3.6,,0,0,2.5,,,,,
2016-05-02,6.1,16.0,-4.9,1.0,10.5,,0,0,1.6,,,,,
2016-05-03,15.1,25.7,5.4,0.0,10.8,,0,0,2.5,,,,,
2016-05-04,12.0,17.2,8.3,3.5,0.4,,0,0,1.8,,,,,
2016-05-05,8.8,12.1,5.6,2.0,0.1,,0,0,4.1,,,,,
2016-05-06,8.6,15.0,3.9,0.5,6.6,,0,0,2.7,,,,,
2016-05-07,9.2,17.8,5.2,2.5,2.1,,0,0,4.0,,,,,
2016-05-08,9.1,14.3,0.7,1.5,9.8,,0,0,5.9,,,,,
2016-05-09,9.2,18.9,-1.9,0.0,12.5,,0,0,2.8,,,,,
2016-05-10,11.8,20.7,2.1,0.0,11.0,,0,0,2.2,,,,,
2016-05-11,9.2,13.9,4.9,2.5,0.0,,0,0,3.7,,,,,
2016-05-12,7.5,10.4,4.1,0.5,0.2,,0,0,4.0,,,,,
2016-05-13,13.5,25.7,3.5,0.0,12.0,,0,0,4.4,,,,,
2016-05-14,12.2,21.7,1.4,0.0,13.5,,0,0,1.6,,,,,
