calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.5,-3.4,-9.1,0.0,2.1,,38,5,2.1,,,,,
2016-01-02,-1.8,0.5,-5.2,5.5,0.0,,54,20,1.8,,,,,
2016-01-03,-2.8,-0.7,-4.2,0.5,0.9,,53,0,2.5,,,,,
2016-01-04,-4.8,-3.0,-7.1,0.5,0.4,,47,4,1.9,,,,,
2016-01-05,-6.9,-5.0,-8.9,1.5,0.9,,49,4,2.9,,,,,
2016-01-06,-5.4,-3.3,-8.0,0.0,1.1,,47,4,2.6,,,,,
2016-01-07,-6.2,-4.6,-7.0,2.0,0.5,,52,11,1.8,,,,,
2016-01-08,-4.8,-3.1,-6.9,0.0,3.9,,50,0,1.9,,,,,
2016-01-09,-6.4,-5.1,-7.5,0.5,1.8,,48,4,2.1,,,,,
2016-01-10,-6.1,-3.8,-9.5,0.0,2.1,,44,1,2.8,,,,,
2016-01-11,-9.6,-8.2,-11.2,0.0,2.7,,42,0,2.4,,,,,
2016-01-12,-9.2,-7.2,-11.1,0.0,2.1,,41,0,2.0,,,,,
2016-01-13,-8.5,-4.3,-13.2,0.0,2.4,,40,0,1.5,,,,,
2016-01-14,-8.5,-4.0,-16.6,3.5,3.9,,51,12,1.5,,,,,
2016-01-15,-12.7,-4.8,-17.1,0.0,7.0,,48,0,0.4,,,,,
2016-01-16,-12.7,-4.5,-20.1,0.0,5.2,,45,0,0.8,,,,,
2016-01-17,-13.7,-4.4,-21.3,0.0,5.4,,43,0,0.4,,,,,
2016-01-18,-11.5,-5.0,-21.1,6.0,0.0,,53,11,1.5,,,,,
2016-01-19,-3.6,-2.3,-5.1,1.0,0.0,,54,2,2.5,,,,,
2016-01-20,-4.4,-3.5,-5.9,0.0,0.0,,54,4,4.0,,,,,
2016-01-21,-5.7,-4.1,-7.0,0.0,3.7,,49,2,3.2,,,,,
2016-01-22,-5.3,-2.6,-12.8,0.0,4.2,,49,5,2.5,,,,,
2016-01-23,-7.2,-2.8,-17.2,0.0,2.6,,50,2,1.0,,,,,
2016-01-24,-11.3,-6.1,-18.5,0.5,4.8,,52,6,0.7,,,,,
2016-01-25,-11.5,-6.9,-23.1,0.0,6.9,,49,4,1.1,,,,,
2016-01-26,-2.6,0.0,-9.3,0.0,1.7,,48,1,2.4,,,,,
2016-01-27,-3.4,-0.1,-5.6,0.5,2.2,,49,4,3.1,,,,,
2016-01-28,-6.7,-4.5,-9.9,1.5,0.0,,52,9,3.3,,,,,
2016-01-29,-9.7,-7.0,-17.8,0.0,1.3,,51,0,2.6,,,,,
2016-01-30,-14.9,-5.3,-22.5,0.0,6.4,,50,1,0.4,,,,,
2016-01-31,-9.6,-6.3,-18.8,0.0,6.0,,51,5,2.2,,,,,
2016-02-01,-10.7,-8.2,-17.7,0.0,0.3,,53,2,1.8,,,,,
2016-02-02,-11.9,-4.9,-21.4,0.5,5.2,,54,4,1.6,,,,,
2016-02-03,-8.6,-5.2,-14.1,0.0,1.4,,54,2,1.3,,,,,
2016-02-04,-3.9,0.0,-9.6,0.5,3.1,,55,6,1.3,,,,,
2016-02-05,-5.0,-3.2,-8.0,1.0,1.7,,57,3,2.7,,,,,
2016-02-06,-8.9,-4.4,-15.0,0.5,4.2,,56,4,1.5,,,,,
2016-02-07,-7.9,-5.2,-12.2,0.5,1.6,,56,5,2.6,,,,,
2016-02-08,-7.3,-2.4,-12.9,0.0,8.4,,57,2,2.1,,,,,
2016-02-09,-3.3,1.6,-7.1,0.5,1.8,,57,6,1.5,,,,,
2016-02-10,-4.0,-1.0,-6.4,1.0,1.4,,58,7,4.6,,,,,
2016-02-11,-5.0,-2.3,-10.3,0.0,5.5,,55,0,2.9,,,,,
2016-02-12,-4.4,2.5,-14.0,0.0,3.1,,54,3,0.8,,,,,
2016-02-13,4.6,7.1,1.6,0.0,0.2,,53,1,2.2,,,,,
2016-02-14,1.0,3.2,-2.7,24.0,0.0,,46,1,1.7,,,,,
2016-02-15,-7.6,-2.6,-11.2,0.0,3.8,,45,3,3.9,,,,,
2016-02-16,-7.5,-5.1,-11.6,0.0,4.8,,43,1,2.3,,,,,
2016-02-17,-6.4,-3.9,-8.9,2.0,3.5,,49,9,3.1,,,,,
2016-02-18,-2.9,1.0,-8.2,4.0,1.9,,57,8,2.0,,,,,
2016-02-19,1.0,3.5,-1.9,1.5,3.6,,53,1,1.7,,,,,
2016-02-20,-0.9,1.1,-3.0,5.5,4.6,,63,22,2.0,,,,,
