calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.2,-0.7,-9.3,0.0,7.3,,8,1,2.3,,,,,
2016-01-02,-2.4,3.2,-9.1,1.0,2.0,,10,3,2.3,,,,,
2016-01-03,-1.1,1.8,-3.9,0.0,8.1,,9,0,3.3,,,,,
2016-01-04,-3.7,0.9,-8.2,0.0,5.8,,9,0,2.5,,,,,
2016-01-05,-5.8,-1.4,-9.1,0.0,7.9,,9,0,2.8,,,,,
2016-01-06,-4.7,0.0,-12.0,0.0,8.4,,10,1,2.8,,,,,
2016-01-07,-5.4,-0.1,-10.5,0.0,8.0,,10,0,1.9,,,,,
2016-01-08,-4.2,0.9,-10.6,0.0,7.8,,10,1,2.9,,,,,
2016-01-09,-5.3,-0.8,-9.4,0.0,7.9,,10,0,2.6,,,,,
2016-01-10,-4.3,1.2,-8.6,0.0,5.2,,10,1,2.6,,,,,
2016-01-11,-8.6,-4.1,-12.2,0.0,7.6,,10,0,2.2,,,,,
2016-01-12,-8.7,-3.2,-14.6,0.0,7.0,,10,0,2.4,,,,,
2016-01-13,-7.3,-2.1,-13.7,0.0,8.6,,10,0,2.0,,,,,
2016-01-14,-4.9,0.3,-9.0,2.0,5.2,,15,6,3.9,,,,,
2016-01-15,-8.2,-5.3,-11.9,0.0,0.7,,13,1,1.8,,,,,
2016-01-16,-8.2,-2.9,-13.9,0.0,7.3,,13,3,1.7,,,,,
2016-01-17,-7.8,-2.2,-15.1,0.0,7.8,,12,0,1.4,,,,,
2016-01-18,-6.8,-2.6,-14.8,3.0,1.7,,19,7,2.9,,,,,
2016-01-19,-2.0,-1.5,-3.6,30.0,0.0,,72,53,7.2,,,,,
2016-01-20,-1.4,0.7,-3.2,1.0,0.4,,72,0,6.1,,,,,
2016-01-21,-4.1,-2.5,-6.6,0.0,3.5,,59,0,6.4,,,,,
2016-01-22,-3.4,0.5,-7.1,0.0,6.0,,54,0,3.1,,,,,
2016-01-23,-3.1,-1.3,-6.6,1.5,3.6,,55,8,2.2,,,,,
2016-01-24,-7.4,-3.0,-10.6,0.0,2.6,,54,0,2.2,,,,,
2016-01-25,-9.7,-6.6,-15.0,0.0,9.1,,50,0,2.9,,,,,
2016-01-26,-5.9,0.7,-16.5,0.0,9.1,,47,0,2.3,,,,,
2016-01-27,-2.7,1.7,-8.0,0.0,6.3,,46,1,2.4,,,,,
2016-01-28,-6.2,-0.4,-12.1,0.0,7.1,,45,1,2.5,,,,,
2016-01-29,-9.8,-4.8,-14.7,0.0,8.6,,43,0,1.6,,,,,
2016-01-30,-9.5,-5.2,-14.2,0.0,5.0,,42,0,1.4,,,,,
2016-01-31,-8.9,-4.0,-14.1,0.0,7.7,,43,2,2.3,,,,,
