calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,0.1,-2.4,0.0,7.8,,,,5.5,,,,,
2016-01-02,0.0,4.0,-5.7,1.0,0.4,,,,3.5,,,,,
2016-01-03,-0.7,1.1,-3.0,0.0,7.2,,,,2.9,,,,,
2016-01-04,-1.7,0.4,-4.9,0.0,6.3,,,,3.0,,,,,
2016-01-05,-3.5,-1.2,-7.0,0.0,7.6,,,,4.0,,,,,
2016-01-06,-2.2,0.7,-6.2,0.0,8.4,,,,4.3,,,,,
2016-01-07,-2.2,0.0,-4.3,0.0,6.7,,,,4.4,,,,,
2016-01-08,-2.7,1.0,-7.1,0.0,8.4,,,,3.3,,,,,
2016-01-09,-3.3,-0.6,-7.0,0.0,8.3,,,,3.0,,,,,
2016-01-10,-2.9,1.4,-7.0,0.0,4.0,,,,3.4,,,,,
2016-01-11,-5.4,-3.7,-7.1,0.0,5.2,,,,5.6,,,,,
2016-01-12,-6.0,-2.9,-9.7,0.0,7.1,,,,2.9,,,,,
2016-01-13,-4.2,-2.1,-6.6,0.0,8.5,,,,3.7,,,,,
2016-01-14,-1.3,2.4,-3.3,1.5,1.7,,,,6.9,,,,,
2016-01-15,-4.7,-2.9,-7.7,0.0,1.4,,,,3.7,,,,,
2016-01-16,-4.1,-2.3,-6.9,0.0,4.8,,,,2.9,,,,,
2016-01-17,-4.0,-1.7,-8.3,0.0,8.8,,,,3.5,,,,,
2016-01-18,-2.2,0.4,-5.9,0.0,2.1,,,,8.5,,,,,
2016-01-19,0.0,0.9,-1.8,4.5,0.0,,,,18.6,,,,,
2016-01-20,0.4,1.4,-0.1,0.5,0.0,,,,12.3,,,,,
2016-01-21,-1.4,0.0,-2.4,0.0,0.6,,,,9.0,,,,,
2016-01-22,-1.0,0.3,-2.3,0.0,1.2,,,,4.2,,,,,
2016-01-23,-2.1,-0.5,-4.5,1.0,2.5,,,,3.5,,,,,
2016-01-24,-3.2,-1.8,-5.2,0.0,4.8,,,,3.7,,,,,
2016-01-25,-6.5,-4.6,-9.6,0.0,0.9,,,,6.8,,,,,
2016-01-26,-2.9,1.2,-9.9,0.0,9.2,,,,2.7,,,,,
2016-01-27,-1.1,1.3,-5.0,0.0,6.7,,,,4.1,,,,,
2016-01-28,-4.6,-1.2,-8.3,0.0,6.2,,,,5.2,,,,,
2016-01-29,-6.2,-4.9,-8.6,0.0,8.4,,,,4.9,,,,,
2016-01-30,-6.1,-4.4,-8.4,0.0,6.3,,,,2.5,,,,,
2016-01-31,-5.5,-3.4,-8.3,0.0,6.2,,,,3.3,,,,,
2016-02-01,-6.2,-5.2,-7.1,0.0,7.3,,,,5.0,,,,,
2016-02-02,-6.0,-2.9,-11.0,0.0,8.4,,,,3.1,,,,,
2016-02-03,-6.3,-4.7,-8.5,0.0,6.7,,,,4.0,,,,,
2016-02-04,-2.6,-0.1,-7.2,0.0,8.6,,,,3.1,,,,,
2016-02-05,-0.6,1.4,-2.8,0.0,4.6,,,,3.9,,,,,
