calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.2,-0.2,-5.2,,7.2,,,,6.1,3.4,1014.9,66,1018.4,
2016-01-02,-0.5,4.4,-6.3,0.0,0.6,,,,4.5,5.0,1007.9,82,1011.3,
2016-01-03,-0.8,1.3,-2.6,,8.3,,,,3.6,4.2,1006.5,74,1009.9,
2016-01-04,-2.1,0.9,-5.2,,6.3,,,,3.4,3.4,1006.2,65,1009.6,
2016-01-05,-3.9,-1.4,-7.4,,7.4,,,,4.1,2.8,1007.0,62,1010.4,
2016-01-06,-2.5,0.6,-6.9,,8.8,,,,5.4,2.7,1007.1,53,1010.5,
2016-01-07,-2.9,-0.2,-6.2,0.0,6.7,,,,4.9,3.1,1002.7,64,1006.1,
2016-01-08,-2.8,1.2,-7.3,,8.8,,,,4.6,2.7,1004.1,55,1007.5,
2016-01-09,-3.5,-0.7,-6.5,,8.4,,,,3.9,2.9,1008.2,62,1011.7,
2016-01-10,-2.9,1.3,-6.0,0.0,4.0,,,,4.7,2.9,1005.8,59,1009.2,
2016-01-11,-5.8,-3.4,-7.6,,7.7,,,,7.0,2.2,1008.1,56,1011.6,
2016-01-12,-5.9,-3.5,-8.8,,6.6,,,,3.7,2.1,1007.1,54,1010.6,
2016-01-13,-4.5,-2.3,-8.4,,8.8,,,,3.9,2.4,1007.2,55,1010.7,
2016-01-14,-1.8,2.0,-3.7,2.0,2.2,,8,9,7.9,4.4,1002.7,83,1006.1,
2016-01-15,-5.0,-2.9,-7.7,0.5,1.4,,8,,3.9,2.9,1011.8,69,1015.3,
2016-01-16,-5.3,-2.8,-9.4,0.0,6.2,,6,,2.6,2.7,1012.0,66,1015.5,
2016-01-17,-5.1,-2.3,-10.4,,8.9,,5,,4.0,2.8,1017.9,67,1021.4,
2016-01-18,-3.4,-0.3,-8.6,1.0,1.8,,4,1,6.1,3.3,1017.2,70,1020.6,
2016-01-19,-0.4,1.0,-2.6,12.5,0.0,,13,15,15.5,5.6,987.0,94,990.4,
2016-01-20,-0.1,0.8,-0.7,4.5,0.0,,16,3,12.5,5.5,990.9,91,994.3,
2016-01-21,-2.1,-0.6,-3.8,0.5,2.5,,14,,10.7,3.9,1003.1,75,1006.5,
2016-01-22,-1.9,0.5,-4.5,0.0,3.1,,13,,3.5,4.1,1006.6,77,1010.1,
2016-01-23,-2.2,-0.8,-4.7,0.0,0.8,,18,5,3.2,4.3,1009.0,84,1012.4,
2016-01-24,-4.0,-1.6,-6.9,0.0,5.6,,17,,4.0,3.6,999.8,78,1003.2,
2016-01-25,-7.1,-5.0,-11.1,0.0,2.2,,16,,7.4,2.3,1005.6,63,1009.1,
2016-01-26,-2.4,1.5,-10.5,,9.4,,15,,4.6,3.2,1012.0,62,1015.4,
2016-01-27,-1.2,1.3,-6.1,0.5,4.9,,15,,5.2,4.2,1011.3,74,1014.7,
2016-01-28,-4.9,-0.5,-8.0,1.0,5.6,,14,,6.6,2.8,1015.1,66,1018.6,
2016-01-29,-6.4,-5.1,-8.1,,8.3,,14,,5.5,2.1,1020.5,56,1024.0,
2016-01-30,-6.2,-4.5,-8.5,0.0,6.7,,14,,2.9,2.2,1019.2,58,1022.7,
2016-01-31,-5.6,-3.2,-9.0,0.0,6.4,,14,,3.6,2.7,1012.7,69,1016.2,
2016-02-01,-6.7,-4.3,-10.2,0.0,7.0,,14,,4.9,2.2,1013.8,60,1017.3,
2016-02-02,-6.4,-2.8,-12.4,,9.5,,14,,3.9,2.4,1010.4,64,1013.9,
2016-02-03,-6.4,-5.1,-8.1,0.0,9.0,,14,,4.6,2.4,1015.0,63,1018.5,
2016-02-04,-3.0,0.0,-9.1,,9.1,,14,,3.8,3.6,1012.7,73,1016.1,
2016-02-05,-0.7,2.2,-3.4,0.0,4.9,,14,,4.1,4.4,1005.9,75,1009.3,
2016-02-06,-3.2,-0.3,-6.0,0.0,9.6,,13,,3.7,3.1,1007.7,65,1011.2,
2016-02-07,-5.3,-2.9,-8.5,,9.9,,13,,5.4,2.3,1007.1,57,1010.6,
2016-02-08,-5.7,-4.2,-8.5,0.0,8.9,,13,,4.8,2.4,1014.3,60,1017.8,
2016-02-09,-0.2,1.5,-4.2,0.0,0.1,,14,1,8.4,5.3,1005.2,88,1008.7,
2016-02-10,-1.2,0.2,-3.1,5.0,1.6,,21,7,7.8,4.7,1003.9,82,1007.3,
2016-02-11,-2.3,-0.4,-4.0,0.0,4.7,,18,2,7.7,4.0,1021.9,77,1025.4,
2016-02-12,-1.9,1.1,-6.9,0.0,6.5,,17,,4.1,4.2,1024.3,78,1027.8,
2016-02-13,3.9,6.8,0.6,0.0,0.6,,16,,5.5,6.2,1009.6,77,1013.0,
2016-02-14,0.5,4.4,-0.6,9.0,0.0,,9,1,5.6,6.2,991.2,98,994.5,
2016-02-15,-3.3,0.8,-7.8,0.0,6.2,,7,,7.8,3.2,992.3,64,995.7,
2016-02-16,-5.1,-2.1,-8.8,,10.2,,7,,5.6,2.3,1002.1,55,1005.6,
2016-02-17,-2.4,1.1,-5.4,0.0,8.7,,7,,6.1,3.1,1002.8,62,1006.2,
2016-02-18,-1.5,1.7,-6.2,,10.2,,7,,6.4,4.0,1013.3,70,1016.8,
