calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.5,-0.1,-11.8,,,,5,0,2.8,,,,,
2016-01-02,-3.5,0.8,-10.3,,,,6,1,2.3,,,,,
2016-01-03,-4.8,2.1,-12.1,,,,6,0,2.1,,,,,
2016-01-04,-7.0,1.0,-13.9,,,,6,1,2.3,,,,,
2016-01-05,-7.9,-0.8,-16.0,,,,6,2,2.3,,,,,
2016-01-06,-5.4,-0.1,-11.5,,,,6,2,3.7,,,,,
2016-01-07,-6.9,-0.6,-13.6,,,,6,1,2.3,,,,,
2016-01-08,-7.7,1.3,-15.7,,,,6,0,2.1,,,,,
2016-01-09,-9.0,-0.4,-15.8,,,,6,0,1.9,,,,,
2016-01-10,-7.6,2.0,-16.8,,,,6,0,2.6,,,,,
2016-01-11,-9.2,-4.3,-14.5,,,,,,3.1,,,,,
2016-01-12,-11.6,-4.2,-18.9,,,,,,1.9,,,,,
2016-01-13,-10.3,-2.2,-18.6,,,,,,1.8,,,,,
2016-01-14,-4.8,-1.5,-12.6,,,,19,22,2.8,,,,,
2016-01-15,-13.4,-4.5,-21.2,,,,17,0,1.0,,,,,
2016-01-16,-12.3,-3.4,-20.4,,,,13,0,1.5,,,,,
2016-01-17,-10.9,-2.6,-20.8,,,,11,1,1.7,,,,,
2016-01-18,-9.2,-1.6,-21.9,,,,10,2,4.3,,,,,
2016-01-19,-1.2,0.4,-3.2,,,,,,10.4,,,,,
2016-01-20,-0.5,0.8,-1.9,,,,,,6.6,,,,,
2016-01-21,-3.0,-1.4,-7.0,,,,16,1,4.6,,,,,
2016-01-22,-3.4,1.6,-8.7,,,,12,0,1.7,,,,,
2016-01-23,-3.7,-0.8,-15.0,,,,17,6,2.0,,,,,
2016-01-24,-8.7,-3.2,-16.9,,,,16,0,1.5,,,,,
2016-01-25,-11.0,-6.9,-20.2,,,,17,1,2.7,,,,,
2016-01-26,-11.3,-1.6,-21.2,,,,16,0,2.2,,,,,
2016-01-27,-7.3,1.5,-18.1,,,,16,0,2.5,,,,,
2016-01-28,-9.3,-2.7,-18.6,,,,16,0,2.9,,,,,
2016-01-29,-10.5,-5.7,-18.5,,,,15,0,2.6,,,,,
2016-01-30,-13.7,-4.7,-21.6,,,,15,0,1.1,,,,,
2016-01-31,-11.1,-4.3,-20.3,,,,15,0,2.1,,,,,
2016-02-01,-12.9,-6.4,-23.2,,,,15,0,2.5,,,,,
2016-02-02,-12.1,-4.4,-24.8,,,,15,0,2.1,,,,,
2016-02-03,-10.1,-3.4,-17.5,,,,15,0,1.9,,,,,
2016-02-04,-8.1,-0.8,-19.8,,,,15,0,2.2,,,,,
2016-02-05,-4.4,0.5,-13.1,,,,17,2,2.4,,,,,
2016-02-06,-7.8,-1.4,-16.6,,,,16,1,2.3,,,,,
2016-02-07,-10.6,-4.8,-18.3,,,,16,0,2.6,,,,,
2016-02-08,-8.4,-5.0,-14.6,,,,15,0,2.4,,,,,
2016-02-09,-2.2,1.1,-7.8,,,,25,12,3.0,,,,,
2016-02-10,-1.9,0.0,-4.5,,,,30,6,5.1,,,,,
2016-02-11,-4.7,-1.6,-13.9,,,,15,1,3.0,,,,,
2016-02-12,-5.7,-0.6,-16.4,,,,15,0,3.1,,,,,
2016-02-13,2.0,5.4,-2.0,,,,16,1,4.1,,,,,
2016-02-14,-0.7,1.2,-1.7,,,,13,4,3.2,,,,,
2016-02-15,-5.6,-0.3,-11.5,,,,12,0,3.4,,,,,
2016-02-16,-9.2,-3.0,-16.0,,,,12,0,3.7,,,,,
2016-02-17,-6.7,0.0,-17.0,,,,12,2,3.6,,,,,
2016-02-18,-4.1,2.5,-15.0,,,,12,2,3.3,,,,,
2016-02-19,-3.3,1.9,-10.6,,,,12,1,1.8,,,,,
2016-02-20,0.3,4.6,-4.5,,,,16,6,4.2,,,,,
2016-02-21,-2.1,1.2,-6.1,,,,,,4.9,,,,,
