calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.7,1.1,-11.6,0.0,7.9,,3,1,2.7,,,,,
2016-01-02,-4.5,0.2,-11.2,0.0,1.0,,6,3,1.2,,,,,
2016-01-03,-4.3,2.4,-10.7,0.0,6.9,,4,2,1.5,,,,,
2016-01-04,-6.3,1.3,-13.1,0.0,5.6,,3,0,1.6,,,,,
2016-01-05,-7.7,-0.6,-14.7,0.0,5.6,,4,1,1.7,,,,,
2016-01-06,-5.8,0.7,-14.9,0.0,8.4,,4,1,2.2,,,,,
2016-01-07,-6.2,0.7,-13.1,0.0,4.8,,4,0,1.7,,,,,
2016-01-08,-6.1,1.8,-15.0,0.0,7.9,,4,2,2.1,,,,,
2016-01-09,-8.4,0.1,-15.0,0.0,7.6,,4,0,1.2,,,,,
2016-01-10,-8.1,2.9,-16.0,0.0,4.3,,4,0,1.4,,,,,
2016-01-11,-8.2,-3.9,-12.5,0.0,6.2,,2,0,2.4,,,,,
2016-01-12,-10.9,-2.8,-17.7,0.0,7.8,,1,0,1.3,,,,,
2016-01-13,-9.7,-1.6,-18.2,0.0,8.4,,0,0,1.2,,,,,
2016-01-14,-4.9,0.6,-12.5,2.0,3.5,,8,8,2.8,,,,,
2016-01-15,-12.1,-4.3,-18.7,0.0,3.9,,5,0,1.2,,,,,
2016-01-16,-10.8,-2.5,-18.1,0.0,8.0,,5,0,1.1,,,,,
2016-01-17,-10.7,-2.2,-18.9,0.0,7.3,,5,1,1.4,,,,,
2016-01-18,-8.3,-1.0,-19.8,2.0,1.4,,8,4,2.2,,,,,
2016-01-19,-1.0,0.2,-3.0,37.0,0.0,,49,41,8.7,,,,,
2016-01-20,-0.4,0.8,-1.8,0.5,0.4,,25,5,6.4,,,,,
2016-01-21,-3.2,-1.3,-6.5,0.0,3.4,,22,1,4.7,,,,,
2016-01-22,-2.1,2.1,-5.2,0.0,5.1,,20,1,1.5,,,,,
2016-01-23,-3.2,-0.4,-8.7,1.0,3.5,,23,5,1.6,,,,,
2016-01-24,-7.0,-2.7,-13.6,0.0,4.6,,22,3,1.9,,,,,
2016-01-25,-11.0,-5.7,-19.9,0.0,5.6,,22,3,2.2,,,,,
2016-01-26,-10.0,2.0,-22.7,0.0,9.1,,21,1,1.1,,,,,
2016-01-27,-5.6,1.8,-16.3,0.0,5.1,,21,0,1.8,,,,,
2016-01-28,-9.7,-0.4,-18.6,0.0,5.2,,20,0,2.0,,,,,
2016-01-29,-10.7,-4.6,-16.6,0.0,8.3,,20,1,1.7,,,,,
2016-01-30,-12.9,-3.9,-20.7,0.0,7.2,,20,0,0.8,,,,,
2016-01-31,-11.5,-3.4,-21.1,0.0,8.8,,21,1,1.5,,,,,
2016-02-01,-12.3,-5.1,-19.2,0.0,6.4,,20,0,1.6,,,,,
2016-02-02,-10.7,-2.5,-22.5,0.0,9.1,,20,0,1.4,,,,,
2016-02-03,-10.4,-3.9,-17.2,0.0,9.3,,20,0,1.8,,,,,
2016-02-04,-8.8,0.0,-19.9,0.0,9.0,,20,0,1.2,,,,,
2016-02-05,-3.9,2.4,-9.0,0.0,5.9,,21,1,1.8,,,,,
2016-02-06,-7.1,-0.1,-15.5,0.0,8.9,,20,0,1.5,,,,,
2016-02-07,-10.7,-3.7,-17.9,0.0,8.9,,20,0,1.9,,,,,
2016-02-08,-8.7,-4.2,-15.6,0.0,8.8,,20,0,1.6,,,,,
2016-02-09,-1.3,1.7,-6.7,1.5,0.0,,25,5,3.2,,,,,
2016-02-10,-1.6,0.4,-4.9,2.5,5.1,,28,6,,,,,,
2016-02-11,-5.0,-0.5,-13.1,0.0,6.8,,25,0,2.9,,,,,
2016-02-12,-5.5,1.0,-16.4,0.0,6.7,,25,2,1.3,,,,,
2016-02-13,3.0,7.6,-1.9,0.0,1.7,,25,1,1.8,,,,,
2016-02-14,-0.2,2.5,-1.5,7.5,0.0,,20,0,,,,,,
2016-02-15,-5.2,-0.1,-10.3,0.0,7.4,,19,0,,,,,,
2016-02-16,-8.3,-2.0,-15.6,0.0,9.2,,18,0,2.2,,,,,
2016-02-17,-6.6,1.0,-15.8,0.0,9.2,,19,1,2.4,,,,,
2016-02-18,-3.8,2.6,-13.6,0.0,9.8,,19,2,1.9,,,,,
2016-02-19,-2.8,4.4,-7.6,0.0,5.8,,19,1,1.1,,,,,
2016-02-20,1.6,5.6,-3.1,2.0,6.9,,24,6,2.4,,,,,
2016-02-21,-1.8,1.3,-6.1,16.5,4.3,,53,29,4.8,,,,,
2016-02-22,-4.4,0.7,-13.1,0.0,7.9,,49,0,1.5,,,,,
2016-02-23,-4.8,1.8,-14.1,0.0,4.9,,47,0,1.8,,,,,
2016-02-24,-8.9,-4.8,-13.2,0.0,9.3,,47,0,3.2,,,,,
2016-02-25,-10.2,-3.7,-20.2,0.0,9.0,,44,0,2.0,,,,,
2016-02-26,-9.7,-1.5,-19.5,0.0,9.1,,43,0,1.3,,,,,
2016-02-27,-9.1,-0.7,-18.9,0.0,8.3,,43,1,1.3,,,,,
2016-02-28,-9.9,-1.9,-18.9,0.0,9.5,,43,1,1.1,,,,,
2016-02-29,-6.3,-1.2,-16.8,9.5,0.0,,55,15,3.1,,,,,
2016-03-01,-3.9,0.2,-6.8,2.0,0.8,,61,8,4.6,,,,,
2016-03-02,-7.7,-3.0,-14.5,0.0,10.7,,60,0,2.8,,,,,
2016-03-03,-9.3,-1.4,-20.3,0.0,8.8,,58,0,1.2,,,,,
2016-03-04,-7.8,-1.5,-19.6,0.0,9.7,,56,0,1.7,,,,,
2016-03-05,-7.1,-0.6,-15.9,0.0,10.1,,54,0,2.4,,,,,
2016-03-06,-4.8,1.9,-17.0,3.0,0.0,,54,2,2.2,,,,,
2016-03-07,3.0,10.8,-0.4,0.5,6.7,,52,0,1.7,,,,,
2016-03-08,1.1,3.6,-1.1,0.0,2.2,,44,0,1.8,,,,,
2016-03-09,-0.8,3.3,-6.4,0.0,7.3,,42,1,2.9,,,,,
2016-03-10,-4.9,2.0,-11.9,0.0,7.2,,41,0,1.1,,,,,
2016-03-11,-4.8,2.8,-14.1,0.0,8.1,,41,0,1.5,,,,,
2016-03-12,-4.2,2.2,-12.5,0.0,8.1,,40,0,1.4,,,,,
2016-03-13,-2.7,3.5,-10.7,0.0,11.1,,40,1,1.3,,,,,
2016-03-14,0.3,4.5,-4.6,0.0,0.4,,39,0,1.7,,,,,
2016-03-15,-0.9,2.3,-4.1,0.0,8.4,,38,0,3.7,,,,,
2016-03-16,1.4,7.1,-6.9,0.0,10.4,,36,0,2.8,,,,,
2016-03-17,3.6,10.3,-2.9,0.0,9.7,,34,1,1.9,,,,,
2016-03-18,3.1,10.8,-3.5,0.0,7.5,,32,1,1.5,,,,,
2016-03-19,4.0,12.0,1.5,4.0,1.1,,29,0,2.1,,,,,
2016-03-20,-1.0,1.6,-3.8,0.0,5.5,,22,2,4.1,,,,,
2016-03-21,-2.2,2.0,-7.0,0.0,8.7,,22,1,2.7,,,,,
2016-03-22,-1.1,5.1,-9.7,0.0,10.9,,21,1,2.0,,,,,
2016-03-23,0.1,6.7,-7.6,0.0,8.3,,18,0,1.5,,,,,
2016-03-24,-0.9,1.7,-2.6,0.0,1.0,,14,2,2.0,,,,,
2016-03-25,-2.4,2.2,-7.3,0.0,9.2,,13,2,2.0,,,,,
2016-03-26,-2.2,2.8,-6.9,0.0,6.9,,11,1,1.7,,,,,
2016-03-27,1.3,8.7,-7.9,0.0,11.6,,10,0,1.7,,,,,
2016-03-28,3.7,10.7,-2.8,0.0,9.1,,4,0,2.0,,,,,
2016-03-29,0.6,8.0,-5.9,0.0,10.2,,0,0,1.5,,,,,
2016-03-30,2.2,6.3,-4.0,6.5,1.3,,0,0,2.8,,,,,
2016-03-31,3.4,8.9,-0.4,0.5,7.7,,0,0,2.3,,,,,
2016-04-01,1.3,3.8,-0.2,0.5,0.2,,1,1,2.6,,,,,
2016-04-02,0.5,5.0,-4.3,0.0,5.3,,0,0,2.1,,,,,
2016-04-03,4.6,8.1,0.8,2.5,0.0,,0,0,3.2,,,,,
2016-04-04,3.7,8.3,-2.9,0.0,1.1,,0,0,1.6,,,,,
2016-04-05,4.7,10.8,-5.6,0.0,12.1,,0,0,2.8,,,,,
2016-04-06,4.5,12.0,-2.9,0.0,9.6,,0,0,2.9,,,,,
2016-04-07,6.3,12.9,-4.2,6.0,7.3,,0,0,3.0,,,,,
2016-04-08,4.6,6.4,3.2,8.0,0.0,,0,0,1.7,,,,,
2016-04-09,4.3,9.4,-2.8,0.0,5.7,,0,0,2.7,,,,,
2016-04-10,3.4,9.7,-1.7,0.0,8.8,,0,0,2.2,,,,,
2016-04-11,0.3,4.4,-2.3,0.5,2.2,,0,0,2.0,,,,,
2016-04-12,1.9,7.6,-2.3,0.0,7.8,,0,0,3.7,,,,,
2016-04-13,5.3,9.2,-0.2,0.5,0.0,,0,0,1.8,,,,,
2016-04-14,7.5,13.7,3.5,0.0,7.5,,0,0,2.4,,,,,
2016-04-15,2.6,6.7,-1.0,4.0,3.7,,6,6,5.0,,,,,
2016-04-16,4.1,10.8,-0.6,0.0,10.7,,6,0,4.8,,,,,
2016-04-17,4.4,9.8,-0.4,41.5,0.0,,0,0,2.8,,,,,
2016-04-18,5.3,10.1,-0.7,0.0,3.0,,0,0,3.8,,,,,
2016-04-19,1.3,4.7,-1.9,0.0,1.7,,1,1,1.7,,,,,
2016-04-20,4.6,11.4,0.2,0.0,7.1,,1,0,2.1,,,,,
2016-04-21,11.2,20.4,2.3,0.0,10.4,,0,0,2.9,,,,,
2016-04-22,5.7,14.0,1.2,0.0,9.7,,0,0,2.1,,,,,
2016-04-23,2.1,4.2,0.3,3.5,0.0,,1,1,2.2,,,,,
2016-04-24,5.4,14.7,1.1,1.5,4.9,,0,0,1.8,,,,,
2016-04-25,4.9,12.3,-1.3,0.0,7.5,,0,0,1.9,,,,,
2016-04-26,3.1,6.4,-0.9,0.0,0.2,,0,0,1.5,,,,,
2016-04-27,3.0,10.6,-2.6,0.0,5.5,,0,0,1.9,,,,,
2016-04-28,3.6,10.2,-1.9,0.0,4.9,,1,1,2.9,,,,,
2016-04-29,0.9,2.8,0.1,8.0,0.0,,7,12,5.8,,,,,
2016-04-30,1.5,3.5,-0.8,0.0,0.0,,12,6,6.1,,,,,
2016-05-01,4.3,8.8,1.3,0.0,6.6,,5,1,3.4,,,,,
2016-05-02,6.8,13.6,-3.1,0.0,12.0,,0,0,2.4,,,,,
2016-05-03,10.8,16.5,5.2,0.0,4.5,,0,0,3.0,,,,,
2016-05-04,11.1,15.6,6.6,9.5,0.0,,0,0,4.7,,,,,
2016-05-05,11.7,19.2,3.1,0.0,7.6,,0,0,2.8,,,,,
