calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.4,-1.2,-4.1,1.0,1.4,,15,4,2.4,,,,,
2016-01-02,-1.2,2.3,-4.3,0.5,0.0,,16,2,1.7,,,,,
2016-01-03,-2.1,1.6,-5.2,1.5,0.0,,19,6,2.2,,,,,
2016-01-04,-3.5,-1.4,-6.3,1.0,1.4,,22,6,1.7,,,,,
2016-01-05,-4.3,-3.0,-7.4,2.0,1.9,,22,4,2.0,,,,,
2016-01-06,-3.2,-1.1,-5.8,3.0,1.4,,29,8,2.1,,,,,
2016-01-07,-4.0,-3.1,-4.9,6.0,0.1,,37,12,1.9,,,,,
2016-01-08,-3.5,-1.0,-6.3,0.0,3.8,,35,2,1.9,,,,,
2016-01-09,-5.0,-3.0,-8.8,1.0,0.8,,33,3,1.8,,,,,
2016-01-10,-5.5,-1.6,-10.2,1.5,4.9,,33,7,3.5,,,,,
2016-01-11,-7.5,-5.4,-11.3,2.5,2.3,,36,5,2.3,,,,,
2016-01-12,-7.8,-4.7,-10.9,1.0,2.6,,34,2,2.1,,,,,
2016-01-13,-6.2,-3.0,-8.9,2.5,5.1,,38,6,2.5,,,,,
2016-01-14,-3.6,-1.4,-7.9,12.0,0.0,,56,24,2.4,,,,,
2016-01-15,-7.8,-4.0,-12.4,0.5,4.0,,55,0,2.9,,,,,
2016-01-16,-7.3,-4.2,-12.1,0.0,6.7,,47,1,2.3,,,,,
2016-01-17,-6.7,-4.0,-9.9,4.0,0.3,,54,12,1.5,,,,,
2016-01-18,-4.7,-0.3,-10.2,0.0,0.2,,49,0,3.9,,,,,
2016-01-19,-0.7,1.4,-2.5,14.5,0.0,,65,23,5.7,,,,,
2016-01-20,0.2,1.2,-1.4,10.5,0.0,,51,13,6.2,,,,,
2016-01-21,-2.7,-0.8,-4.0,4.0,0.0,,44,12,6.5,,,,,
2016-01-22,-1.2,0.3,-3.5,0.0,2.3,,38,5,5.0,,,,,
2016-01-23,-2.5,-0.6,-4.7,0.0,2.9,,38,0,1.9,,,,,
2016-01-24,-5.7,-3.0,-8.5,0.5,1.0,,38,3,2.2,,,,,
2016-01-25,-7.2,-5.1,-9.0,1.5,0.3,,39,3,2.3,,,,,
2016-01-26,-3.7,0.0,-6.5,0.0,4.4,,37,1,2.2,,,,,
2016-01-27,-2.9,0.1,-5.3,0.0,2.1,,36,0,2.7,,,,,
2016-01-28,-5.1,-2.6,-8.3,1.0,0.9,,37,4,3.0,,,,,
2016-01-29,-7.4,-5.4,-8.4,10.0,0.0,,60,25,1.5,,,,,
2016-01-30,-8.9,-5.5,-12.4,1.0,1.1,,57,5,2.2,,,,,
2016-01-31,-7.6,-4.6,-12.3,0.0,4.5,,54,0,2.7,,,,,
2016-02-01,-8.1,-6.5,-10.3,2.0,1.9,,53,8,1.4,,,,,
2016-02-02,-7.4,-2.9,-12.6,1.0,6.4,,51,3,2.4,,,,,
2016-02-03,-6.9,-5.5,-8.7,0.0,5.5,,50,0,1.8,,,,,
2016-02-04,-4.4,-1.2,-7.2,0.0,2.5,,47,0,2.5,,,,,
2016-02-05,-3.0,1.2,-6.5,0.0,6.0,,46,0,3.4,,,,,
2016-02-06,-4.3,-2.5,-6.3,0.0,4.2,,43,2,2.7,,,,,
2016-02-07,-6.8,-5.0,-9.6,0.5,3.6,,44,2,2.1,,,,,
2016-02-08,-7.4,-5.6,-10.0,1.0,5.7,,48,4,2.3,,,,,
2016-02-09,-2.3,0.2,-6.9,25.5,0.0,,70,26,,,,,,
2016-02-10,-2.6,-0.5,-4.8,6.5,0.0,,,,,,,,,
2016-02-11,-2.8,-1.0,-4.4,2.5,0.0,,39,7,3.2,,,,,
2016-02-12,-2.7,0.8,-7.1,1.5,1.9,,37,2,1.7,,,,,
2016-02-13,2.5,7.2,-1.5,0.0,0.0,,37,0,2.0,,,,,
2016-02-14,0.0,7.0,-1.4,5.5,0.0,,34,5,2.1,,,,,
2016-02-15,-4.7,-0.7,-9.8,1.5,3.6,,36,3,4.5,,,,,
