calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.3,0.9,-9.2,0.0,8.5,,3,2,3.5,,,,,
2016-01-02,-1.6,5.1,-12.3,1.0,1.6,,5,3,3.0,,,,,
2016-01-03,-2.2,2.4,-5.8,0.0,8.2,,3,0,2.3,,,,,
2016-01-04,-4.1,1.5,-10.8,0.0,6.2,,3,1,2.2,,,,,
2016-01-05,-6.4,-0.6,-13.2,0.0,8.1,,3,0,2.6,,,,,
2016-01-06,-4.8,0.6,-13.0,0.0,8.5,,3,0,3.4,,,,,
2016-01-07,-5.6,0.4,-11.3,0.0,6.5,,4,1,2.0,,,,,
2016-01-08,-4.5,1.3,-10.7,0.0,8.5,,4,1,3.4,,,,,
2016-01-09,-6.2,0.4,-11.7,0.0,8.1,,4,0,2.4,,,,,
2016-01-10,-4.7,1.9,-10.1,0.0,4.8,,5,1,3.1,,,,,
2016-01-11,-8.8,-3.8,-12.6,0.0,7.1,,2,0,3.1,,,,,
2016-01-12,-9.5,-3.0,-16.0,0.0,6.0,,1,0,2.4,,,,,
2016-01-13,-7.3,-1.8,-14.7,0.0,8.9,,0,0,2.4,,,,,
2016-01-14,-4.4,1.3,-9.6,2.0,4.7,,6,6,4.7,,,,,
2016-01-15,-8.9,-4.6,-12.7,0.0,2.1,,4,0,1.8,,,,,
2016-01-16,-9.5,-2.8,-15.7,0.0,7.7,,4,1,1.2,,,,,
2016-01-17,-8.8,-2.7,-14.1,0.0,7.7,,4,2,1.7,,,,,
2016-01-18,-7.0,-1.2,-16.2,0.0,1.3,,7,4,3.5,,,,,
2016-01-19,-1.2,-0.1,-3.1,9.5,0.0,,16,15,10.8,,,,,
2016-01-20,-0.6,0.3,-1.9,0.5,0.0,,12,6,8.0,,,,,
2016-01-21,-3.5,-1.7,-6.0,0.0,5.0,,12,1,6.2,,,,,
