calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.3,-2.4,-6.9,2.0,1.8,4.11,13,4,2.9,3.5,1013.5,77,1019.1,7.5
2016-01-02,-1.5,2.6,-6.1,0.5,2.1,4.30,12,1,3.7,4.1,1004.9,73,1010.4,8.0
2016-01-03,-2.9,-1.1,-7.0,2.0,1.8,4.55,17,5,2.6,4.2,1004.5,84,1010.0,8.8
2016-01-04,-5.3,-1.8,-9.4,0.0,2.1,4.46,15,,2.1,3.2,1004.4,78,1009.9,7.8
2016-01-05,-5.9,-2.8,-9.8,0.0,3.9,5.86,15,1,2.9,2.8,1004.8,70,1010.4,5.0
2016-01-06,-4.8,-0.6,-11.3,1.5,2.5,5.64,17,3,3.0,2.7,1004.5,62,1010.1,7.5
2016-01-07,-5.0,-3.0,-7.9,0.5,1.7,4.21,19,3,3.0,3.3,1000.8,78,1006.4,9.3
2016-01-08,-4.5,-0.7,-7.6,0.5,3.5,5.75,20,4,3.1,3.2,1001.5,73,1007.1,8.5
2016-01-09,-5.7,-2.4,-10.1,,5.8,6.19,20,,2.9,2.6,1005.9,67,1011.5,2.0
2016-01-10,-5.1,-1.6,-7.5,2.0,5.0,6.19,22,5,3.8,2.8,1003.8,67,1009.3,1.5
2016-01-11,-8.4,-7.0,-9.7,7.5,0.3,4.02,33,12,3.5,2.6,1006.7,79,1012.3,7.5
2016-01-12,-8.3,-5.3,-12.5,0.0,3.4,5.97,30,,2.7,2.1,1004.6,66,1010.2,8.0
2016-01-13,-7.0,-3.3,-12.5,,6.2,8.19,26,,2.3,2.2,1004.4,60,1010.0,7.5
2016-01-14,-4.5,-2.1,-7.5,14.0,0.5,3.18,46,26,5.5,3.6,1002.8,82,1008.3,10.0
2016-01-15,-7.6,-5.6,-11.3,0.0,2.6,5.43,44,,2.9,2.5,1010.4,72,1016.0,8.5
2016-01-16,-8.7,-4.2,-14.3,,8.3,8.50,40,,2.5,2.2,1010.3,68,1016.0,3.0
2016-01-17,-7.6,-3.7,-11.4,0.0,4.0,6.97,37,,2.2,2.7,1016.2,77,1021.9,5.0
2016-01-18,-6.0,-1.4,-13.6,1.0,3.2,4.98,36,,3.3,3.0,1015.2,74,1020.8,7.5
2016-01-19,-1.4,-0.8,-2.8,21.0,0.0,1.50,44,20,11.5,5.2,993.2,94,998.6,10.0
2016-01-20,-1.3,-0.6,-2.6,8.0,0.0,2.83,55,11,12.2,5.1,995.3,92,1000.8,10.0
2016-01-21,-3.1,-2.1,-4.1,1.0,0.5,4.71,47,1,6.9,3.5,1004.5,73,1010.0,10.0
2016-01-22,-2.3,0.2,-5.2,6.0,1.1,6.23,50,7,3.6,4.3,1005.8,83,1011.4,10.0
2016-01-23,-3.8,-1.3,-7.1,1.5,0.1,4.08,55,5,3.7,3.9,1008.1,83,1013.6,10.0
2016-01-24,-6.3,-4.5,-8.4,1.5,5.0,7.56,54,3,3.8,3.1,999.1,81,1004.7,5.5
