calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.4,-2.6,-14.7,0.0,1.0,,,,0.7,,,,,
2016-01-02,-4.8,1.3,-12.9,0.0,3.3,,,,1.3,,,,,
2016-01-03,-3.5,-0.4,-9.9,0.0,5.4,,,,2.4,,,,,
2016-01-04,-5.1,-2.1,-13.1,0.0,3.4,,,,2.5,,,,,
2016-01-05,-8.2,-3.3,-17.8,0.5,4.9,,,,1.6,,,,,
2016-01-06,-5.4,-0.9,-11.6,0.0,4.1,,,,1.9,,,,,
2016-01-07,-7.4,-3.4,-13.7,0.0,2.0,,,,1.0,,,,,
2016-01-08,-7.6,-2.1,-13.6,0.0,2.3,,,,1.6,,,,,
2016-01-09,-9.0,-3.5,-15.7,0.0,4.7,,,,1.9,,,,,
2016-01-10,-9.0,-2.6,-14.7,0.0,2.5,,,,1.1,,,,,
2016-01-11,-12.0,-7.8,-21.0,1.0,2.6,,,,,,,,,
2016-01-12,-11.4,-6.7,-16.2,0.0,1.2,,,,0.5,,,,,
2016-01-13,-13.0,-3.5,-19.7,0.0,5.3,,,,0.5,,,,,
2016-01-14,-8.6,-3.0,-15.4,6.5,2.9,,,,1.6,,,,,
2016-01-15,-13.3,-5.8,-24.0,0.0,4.4,,,,0.4,,,,,
2016-01-16,-17.7,-5.5,-25.7,0.0,4.1,,,,0.3,,,,,
2016-01-17,-12.9,-4.5,-21.0,0.0,2.6,,,,0.5,,,,,
2016-01-18,-12.6,-5.3,-24.5,4.0,1.6,,,,,,,,,
2016-01-19,-2.9,-2.2,-7.6,30.0,0.0,,,,5.2,,,,,
2016-01-20,-3.6,-2.4,-5.2,29.0,0.0,,,,5.3,,,,,
2016-01-21,-6.3,-3.8,-14.3,0.5,0.5,,,,2.4,,,,,
2016-01-22,-4.7,0.1,-11.1,3.5,4.2,,,,1.1,,,,,
2016-01-23,-7.0,-2.4,-19.0,1.0,0.7,,,,1.4,,,,,
2016-01-24,-9.9,-6.0,-17.5,0.0,4.2,,,,1.4,,,,,
2016-01-25,-15.7,-6.7,-26.3,0.0,6.4,,,,1.1,,,,,
2016-01-26,-9.9,2.4,-21.0,0.0,8.3,,,,0.9,,,,,
2016-01-27,-6.7,-1.6,-15.1,1.5,4.4,,,,2.1,,,,,
2016-01-28,-6.8,-3.8,-10.4,0.0,1.0,,,,2.1,,,,,
2016-01-29,-10.9,-6.4,-18.6,0.0,0.0,,,,0.8,,,,,
2016-01-30,-15.1,-6.4,-24.9,0.0,6.0,,,,0.6,,,,,
