calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.0,-2.0,-10.2,,,,34,1,3.9,,,,,
2016-01-02,-1.5,2.4,-5.4,,,,35,6,2.4,,,,,
2016-01-03,-2.3,-1.2,-5.6,,,,36,5,2.9,,,,,
2016-01-04,-4.9,-1.5,-14.1,,,,35,1,2.4,,,,,
2016-01-05,-6.3,-3.5,-11.8,,,,42,8,3.6,,,,,
2016-01-06,-4.2,-1.0,-10.4,,,,44,4,3.6,,,,,
2016-01-07,-5.7,-3.1,-13.9,,,,44,2,3.0,,,,,
2016-01-08,-5.6,-1.2,-13.9,,,,44,3,2.5,,,,,
2016-01-09,-6.3,-2.6,-13.0,,,,44,2,2.3,,,,,
2016-01-10,-6.0,-3.9,-9.2,,,,50,7,2.7,,,,,
2016-01-11,-9.0,-7.3,-13.7,,,,52,5,3.3,,,,,
2016-01-12,-9.2,-4.8,-15.5,,,,51,0,1.9,,,,,
2016-01-13,-8.9,-4.9,-16.0,,,,49,0,1.8,,,,,
2016-01-14,-6.3,-3.1,-11.5,,,,54,11,4.8,,,,,
2016-01-15,-9.0,-6.4,-15.1,,,,45,2,2.6,,,,,
2016-01-16,-8.7,-3.8,-12.0,,,,44,0,3.8,,,,,
2016-01-17,-7.3,-4.2,-11.2,,,,43,0,2.5,,,,,
2016-01-18,-7.8,-1.8,-17.1,,,,44,3,3.6,,,,,
2016-01-19,-1.3,-0.8,-2.8,,,,45,5,9.6,,,,,
2016-01-20,-2.0,-1.0,-3.2,,,,44,6,11.5,,,,,
2016-01-21,-3.7,-2.5,-5.1,,,,32,10,7.0,,,,,
2016-01-22,-2.0,0.7,-4.8,,,,42,12,5.5,,,,,
2016-01-23,-4.4,-2.5,-7.6,,,,47,6,3.3,,,,,
2016-01-24,-7.6,-5.0,-10.5,,,,47,2,4.3,,,,,
2016-01-25,-9.5,-6.5,-14.5,,,,43,1,3.4,,,,,
2016-01-26,-2.3,1.6,-11.2,,,,41,0,3.0,,,,,
2016-01-27,-2.8,-0.6,-6.3,,,,47,8,3.4,,,,,
2016-01-28,-6.4,-3.5,-12.3,,,,45,13,6.8,,,,,
2016-01-29,-9.3,-6.4,-15.0,,,,40,0,2.6,,,,,
2016-01-30,-10.5,-6.5,-15.9,,,,40,0,2.1,,,,,
2016-01-31,-8.3,-5.4,-15.1,,,,47,8,3.0,,,,,
2016-02-01,-10.1,-7.1,-14.1,,,,47,1,3.7,,,,,
2016-02-02,-9.4,-3.2,-16.1,,,,45,3,3.3,,,,,
2016-02-03,-8.7,-5.5,-13.1,,,,45,0,2.7,,,,,
2016-02-04,-4.9,-0.1,-10.8,,,,44,1,1.7,,,,,
2016-02-05,-4.6,-1.0,-11.1,,,,44,1,4.1,,,,,
2016-02-06,-6.7,-2.1,-11.8,,,,44,3,2.5,,,,,
2016-02-07,-7.5,-4.8,-11.9,,,,47,4,4.2,,,,,
2016-02-08,-9.9,-7.1,-16.6,,,,52,11,3.5,,,,,
2016-02-09,-5.9,0.5,-15.6,,,,48,0,2.2,,,,,
2016-02-10,-2.7,-0.7,-7.3,,,,50,,7.3,,,,,
2016-02-11,-5.3,-2.9,-13.5,,,,55,7,4.6,,,,,
2016-02-12,-2.3,6.7,-14.9,,,,53,1,2.2,,,,,
2016-02-13,5.1,10.1,0.2,,,,50,0,2.8,,,,,
2016-02-14,-2.9,0.2,-6.3,,,,58,17,4.9,,,,,
2016-02-15,-7.3,-2.2,-13.2,,,,54,0,5.2,,,,,
2016-02-16,-8.4,-3.8,-14.1,,,,54,1,2.3,,,,,
2016-02-17,-6.5,-2.1,-11.8,,,,58,5,3.3,,,,,
2016-02-18,-5.2,-0.7,-14.6,,,,58,1,1.5,,,,,
2016-02-19,-2.2,0.7,-9.3,,,,62,6,1.9,,,,,
2016-02-20,0.1,2.7,-2.5,,,,62,3,4.5,,,,,
2016-02-21,-2.8,-2.0,-4.0,,,,80,31,5.5,,,,,
2016-02-22,-4.7,-0.9,-10.9,,,,81,2,3.4,,,,,
2016-02-23,-6.6,-2.4,-12.4,,,,75,5,3.6,,,,,
2016-02-24,-11.3,-7.8,-17.3,,,,75,1,3.1,,,,,
2016-02-25,-9.9,-4.3,-16.8,,,,73,3,3.9,,,,,
2016-02-26,-9.3,-6.7,-16.3,,,,72,2,1.6,,,,,
2016-02-27,-8.3,-3.0,-17.2,,,,71,0,2.6,,,,,
2016-02-28,-8.1,-4.7,-14.9,,,,72,2,2.1,,,,,
2016-02-29,-5.3,,,,,,72,8,,,,,,
2016-03-01,-5.0,-1.4,-6.9,,,,70,7,9.1,,,,,
2016-03-02,-6.6,-4.6,-8.7,,,,57,1,3.5,,,,,
2016-03-03,-8.8,-4.4,-17.0,,,,57,0,2.8,,,,,
2016-03-04,-6.2,-2.2,-11.0,,,,58,2,3.6,,,,,
2016-03-05,-6.2,-2.6,-12.5,,,,59,1,2.2,,,,,
2016-03-06,-1.6,6.6,-12.6,,,,58,1,1.6,,,,,
2016-03-07,5.1,9.1,0.8,,,,54,0,4.8,,,,,
2016-03-08,1.8,7.2,-3.9,,,,49,1,3.4,,,,,
2016-03-09,-2.0,1.0,-6.7,,,,50,3,5.8,,,,,
2016-03-10,-3.2,1.4,-8.9,,,,49,0,3.0,,,,,
2016-03-11,-4.5,1.0,-9.9,,,,50,3,3.0,,,,,
2016-03-12,-4.9,-0.9,-9.9,,,,51,2,2.4,,,,,
2016-03-13,-2.7,2.0,-10.5,,,,51,0,1.9,,,,,
2016-03-14,0.8,4.4,-4.7,,,,49,0,2.3,,,,,
2016-03-15,-1.6,0.0,-3.8,,,,48,1,5.0,,,,,
2016-03-16,3.8,9.5,-6.8,,,,47,0,5.7,,,,,
2016-03-17,2.7,7.3,-2.1,,,,40,0,3.1,,,,,
2016-03-18,2.8,9.3,-2.6,,,,37,0,1.5,,,,,
2016-03-19,1.9,6.7,-1.1,,,,35,2,1.7,,,,,
2016-03-20,-1.6,-0.1,-3.4,,,,35,3,7.9,,,,,
2016-03-21,-0.9,2.3,-4.3,,,,33,1,6.4,,,,,
2016-03-22,1.3,5.0,-2.3,,,,32,0,6.0,,,,,
2016-03-23,-0.6,1.4,-3.8,,,,31,3,1.7,,,,,
2016-03-24,-1.9,0.7,-6.1,,,,29,2,2.0,,,,,
2016-03-25,-2.6,0.4,-5.6,,,,28,0,1.9,,,,,
2016-03-26,-2.3,0.3,-7.0,,,,27,0,2.3,,,,,
2016-03-27,3.6,9.1,-6.4,,,,25,0,2.5,,,,,
2016-03-28,2.2,6.7,-3.7,,,,19,0,2.6,,,,,
2016-03-29,0.7,4.3,-4.4,,,,15,1,2.5,,,,,
2016-03-30,5.3,11.6,-0.6,,,,9,0,3.6,,,,,
2016-03-31,3.6,7.6,-0.5,,,,0,0,2.0,,,,,
2016-04-01,0.4,1.2,-0.3,,,,0,0,2.1,,,,,
2016-04-02,2.2,7.2,-0.6,,,,0,0,1.5,,,,,
2016-04-03,6.0,12.6,-0.3,,,,0,0,3.6,,,,,
2016-04-04,5.3,11.2,-0.5,,,,0,0,3.0,,,,,
2016-04-05,7.2,13.4,0.6,,,,0,0,5.0,,,,,
2016-04-06,7.0,10.7,1.2,,,,0,0,7.2,,,,,
2016-04-07,8.3,14.7,4.3,,,,0,0,4.8,,,,,
2016-04-08,7.1,11.8,2.5,,,,0,0,3.3,,,,,
2016-04-09,5.0,9.6,2.4,,,,0,0,6.6,,,,,
2016-04-10,3.9,8.5,-2.1,,,,0,0,5.2,,,,,
2016-04-11,0.6,3.4,-1.4,,,,22,22,6.1,,,,,
