calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.6,-2.9,-6.9,0.0,2.9,,42,1,2.5,,,,,
2016-01-02,-1.8,0.8,-5.8,3.5,0.0,,48,9,1.9,,,,,
2016-01-03,-3.0,-1.3,-3.8,0.0,0.2,,50,4,3.4,,,,,
2016-01-04,-4.4,-2.7,-8.0,0.0,3.2,,48,2,3.3,,,,,
2016-01-05,-6.6,-5.2,-8.6,1.0,0.5,,48,5,3.1,,,,,
2016-01-06,-4.7,-3.0,-6.4,1.0,1.4,,52,8,3.3,,,,,
2016-01-07,-5.9,-3.9,-9.8,0.5,0.7,,52,3,2.8,,,,,
2016-01-08,-4.8,-3.0,-9.2,0.0,2.2,,51,1,2.8,,,,,
2016-01-09,-5.9,-4.4,-7.2,0.0,1.6,,49,5,2.9,,,,,
2016-01-10,-6.6,-4.3,-8.9,4.0,0.9,,57,10,,,,,,
2016-01-11,-10.5,-8.2,-15.1,0.0,0.0,,57,0,1.4,,,,,
2016-01-12,-9.9,-6.4,-13.6,0.0,3.1,,54,0,1.7,,,,,
2016-01-13,-8.7,-4.4,-14.8,0.0,2.3,,53,4,0.7,,,,,
2016-01-14,-8.5,-5.2,-12.3,5.0,0.0,,68,17,0.8,,,,,
2016-01-15,-14.1,-5.3,-21.2,0.0,6.5,,66,0,0.9,,,,,
2016-01-16,-14.7,-6.0,-23.4,0.0,5.1,,60,0,1.3,,,,,
2016-01-17,-10.9,-4.7,-17.0,0.0,6.7,,57,0,1.3,,,,,
2016-01-18,-10.7,-3.6,-22.6,0.0,2.3,,57,4,2.8,,,,,
2016-01-19,-2.6,-2.0,-4.2,17.5,0.0,,76,42,5.6,,,,,
2016-01-20,-3.6,-2.4,-4.8,18.0,0.0,,125,51,2.6,,,,,
2016-01-21,-6.9,-3.2,-14.9,0.0,0.9,,122,0,2.0,,,,,
2016-01-22,-4.1,-1.8,-13.3,9.0,0.0,,122,18,2.3,,,,,
2016-01-23,-5.9,-3.8,-8.7,3.0,0.0,,129,11,1.3,,,,,
2016-01-24,-10.8,-6.2,-20.8,0.0,1.9,,128,1,,,,,,
2016-01-25,-14.3,-5.4,-26.1,0.0,7.1,,118,0,1.5,,,,,
2016-01-26,-2.1,0.2,-6.2,0.5,0.3,,110,4,2.1,,,,,
2016-01-27,-3.8,-1.5,-5.4,2.0,2.6,,113,5,3.1,,,,,
2016-01-28,-7.5,-4.4,-13.6,0.5,1.2,,111,4,3.9,,,,,
2016-01-29,-11.2,-6.0,-16.7,0.0,0.8,,108,3,1.6,,,,,
2016-01-30,-13.6,-6.5,-23.2,0.0,7.8,,106,1,1.3,,,,,
2016-01-31,-10.1,-6.6,-14.7,2.5,1.4,,109,9,1.1,,,,,
2016-02-01,-12.6,-7.9,-17.3,0.0,1.8,,108,1,1.3,,,,,
2016-02-02,-11.5,-5.5,-18.2,0.0,0.4,,103,0,1.1,,,,,
2016-02-03,-12.6,-4.9,-23.5,0.0,5.4,,101,0,1.3,,,,,
2016-02-04,-5.9,0.3,-14.7,0.0,2.3,,98,1,1.0,,,,,
2016-02-05,-4.7,-1.8,-8.2,1.0,2.6,,102,8,3.2,,,,,
2016-02-06,-7.5,-4.9,-9.3,1.0,0.4,,105,6,1.2,,,,,
2016-02-07,-8.3,-5.5,-15.4,4.0,3.9,,110,12,2.0,,,,,
2016-02-08,-11.1,-6.9,-20.4,0.0,2.4,,110,1,1.4,,,,,
2016-02-09,-9.3,-0.2,-21.0,0.0,2.1,,103,0,1.2,,,,,
2016-02-10,-4.1,-0.9,-9.3,1.5,4.7,,105,9,2.8,,,,,
2016-02-11,-5.3,-2.0,-11.7,0.0,5.6,,101,0,2.3,,,,,
2016-02-12,0.0,5.1,-12.5,0.0,0.4,,97,0,2.9,,,,,
2016-02-13,2.7,5.5,0.3,1.5,0.0,,93,0,2.0,,,,,
2016-02-14,-4.1,0.4,-7.9,12.5,0.0,,102,19,3.5,,,,,
2016-02-15,-8.3,-4.4,-13.0,0.0,3.0,,102,6,3.5,,,,,
2016-02-16,-9.1,-5.5,-13.3,2.0,0.7,,104,3,1.1,,,,,
2016-02-17,-6.9,-4.9,-8.5,1.5,0.6,,109,7,3.0,,,,,
2016-02-18,-4.4,-0.3,-9.8,1.0,0.2,,109,2,1.9,,,,,
2016-02-19,-2.7,3.7,-12.5,8.0,1.2,,116,15,1.6,,,,,
2016-02-20,-1.3,1.0,-4.4,0.0,5.1,,115,1,2.8,,,,,
2016-02-21,-4.1,-2.6,-5.8,7.0,0.0,,137,28,2.5,,,,,
2016-02-22,-6.4,-3.6,-10.9,1.0,2.9,,138,3,3.6,,,,,
2016-02-23,-6.1,-1.2,-9.8,2.5,0.8,,140,13,2.0,,,,,
2016-02-24,-13.2,-9.6,-21.7,0.5,0.1,,139,1,1.3,,,,,
2016-02-25,-14.3,-6.3,-22.7,0.0,2.8,,136,1,1.6,,,,,
2016-02-26,-10.4,-4.6,-15.4,0.5,3.7,,134,4,1.1,,,,,
2016-02-27,-11.1,-3.8,-21.1,0.0,1.9,,133,1,1.5,,,,,
2016-02-28,-10.2,-3.6,-18.0,0.0,6.4,,133,3,1.3,,,,,
2016-02-29,-8.5,-0.9,-20.8,0.5,0.1,,127,2,2.5,,,,,
2016-03-01,-7.9,-3.8,-16.7,2.5,1.4,,136,17,2.6,,,,,
2016-03-02,-10.9,-3.3,-20.9,0.0,4.5,,131,1,1.8,,,,,
2016-03-03,-12.7,-4.3,-21.0,0.0,8.3,,127,0,1.5,,,,,
2016-03-04,-11.2,-1.4,-23.1,0.0,8.9,,124,0,2.3,,,,,
2016-03-05,-9.7,-1.8,-18.8,0.0,5.9,,120,0,1.7,,,,,
2016-03-06,-3.5,5.1,-14.5,2.0,0.0,,117,0,1.2,,,,,
2016-03-07,3.4,8.3,-4.2,3.0,8.5,,112,0,5.6,,,,,
2016-03-08,0.6,8.1,-5.3,2.0,6.2,,103,5,2.6,,,,,
2016-03-09,-3.7,-1.0,-8.7,0.0,2.1,,105,5,3.9,,,,,
2016-03-10,-6.3,-0.2,-13.2,0.0,6.1,,104,0,1.9,,,,,
2016-03-11,-6.2,-1.0,-13.5,0.0,3.1,,104,4,1.9,,,,,
2016-03-12,-6.7,-1.2,-14.7,0.0,6.4,,105,2,1.9,,,,,
2016-03-13,-4.5,3.5,-15.4,0.0,10.5,,103,0,1.5,,,,,
2016-03-14,-0.1,6.1,-8.1,0.5,6.8,,100,2,1.7,,,,,
2016-03-15,-2.5,1.1,-8.2,0.5,5.5,,102,3,,,,,,
2016-03-16,1.7,8.1,-11.2,0.0,9.0,,97,0,3.3,,,,,
2016-03-17,4.0,9.0,-3.5,0.0,6.3,,92,0,2.8,,,,,
2016-03-18,2.9,13.4,-4.2,0.0,4.9,,85,0,1.7,,,,,
2016-03-19,3.1,6.8,-1.2,0.0,0.7,,81,0,2.8,,,,,
2016-03-20,-2.1,0.2,-6.5,0.0,3.2,,77,3,3.1,,,,,
2016-03-21,-3.0,0.4,-7.6,0.0,6.3,,76,0,3.1,,,,,
2016-03-22,-0.1,3.4,-5.9,0.0,6.6,,75,0,3.1,,,,,
2016-03-23,-1.9,1.8,-4.5,0.5,2.0,,75,4,1.4,,,,,
2016-03-24,-3.4,0.5,-8.8,0.0,1.2,,75,1,1.7,,,,,
2016-03-25,-2.9,0.4,-7.1,0.5,2.6,,74,1,1.6,,,,,
2016-03-26,-1.5,3.5,-5.8,0.0,8.4,,73,0,1.9,,,,,
2016-03-27,4.8,9.6,-2.5,0.0,10.8,,71,0,2.7,,,,,
2016-03-28,2.7,5.9,-3.4,2.5,10.2,,65,0,3.3,,,,,
2016-03-29,1.2,10.2,-6.8,0.0,10.3,,62,0,1.1,,,,,
2016-03-30,4.7,14.5,-0.9,0.0,4.9,,58,0,1.3,,,,,
2016-03-31,2.4,6.9,-2.4,0.0,6.1,,55,0,2.3,,,,,
2016-04-01,0.0,1.5,-0.9,0.0,0.0,,52,4,2.2,,,,,
2016-04-02,2.8,8.2,-0.9,0.0,7.8,,51,0,1.6,,,,,
2016-04-03,5.9,11.2,1.2,0.5,5.9,,48,0,3.2,,,,,
2016-04-04,3.3,8.7,-3.3,0.0,11.8,,41,0,2.4,,,,,
2016-04-05,3.7,11.0,-5.6,2.5,7.4,,34,0,3.3,,,,,
2016-04-06,4.4,8.5,-1.2,0.0,10.9,,27,0,3.6,,,,,
2016-04-07,6.7,12.7,-0.9,0.0,7.8,,22,0,2.0,,,,,
2016-04-08,4.7,10.7,-0.7,3.5,3.3,,17,0,2.2,,,,,
2016-04-09,1.6,7.5,-2.0,4.5,1.0,,14,3,2.7,,,,,
2016-04-10,1.6,4.7,-1.7,0.0,9.9,,13,1,4.2,,,,,
2016-04-11,-0.9,2.8,-3.7,1.0,1.2,,12,5,1.8,,,,,
2016-04-12,2.3,7.0,-4.3,0.0,10.1,,12,0,3.0,,,,,
2016-04-13,3.4,6.5,0.0,1.5,0.3,,3,0,1.3,,,,,
2016-04-14,2.5,4.3,0.7,1.5,0.0,,0,0,1.7,,,,,
2016-04-15,0.7,2.2,-0.5,0.5,0.0,,0,0,2.7,,,,,
2016-04-16,3.3,9.4,-1.8,0.0,9.6,,0,0,2.8,,,,,
2016-04-17,2.5,6.2,0.0,13.0,0.0,,0,0,1.6,,,,,
2016-04-18,-0.3,2.4,-2.8,4.0,0.0,,0,0,,,,,,
2016-04-19,-0.5,1.8,-2.6,1.0,0.2,,0,0,,,,,,
2016-04-20,5.8,13.1,-1.8,0.5,7.6,,0,0,2.1,,,,,
2016-04-21,10.6,16.9,0.9,0.0,12.6,,0,0,3.8,,,,,
2016-04-22,2.8,9.9,-0.6,0.0,8.3,,0,0,2.2,,,,,
