calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.8,-2.1,-10.9,0.0,2.3,,22,,2.6,3.3,1017.3,77,1019.3,
2016-01-02,-1.1,2.4,-4.6,4.5,0.0,,34,13,2.4,5.0,1007.8,88,1009.8,
2016-01-03,-3.2,-0.7,-8.9,2.0,2.9,,36,2,2.9,3.8,1007.9,79,1009.9,
2016-01-04,-6.5,-2.7,-14.1,4.0,0.2,,43,14,2.8,3.3,1007.7,87,1009.8,
2016-01-05,-7.1,-3.7,-13.4,3.5,3.4,,43,6,2.6,3.2,1008.3,88,1010.4,
2016-01-06,-5.3,-1.8,-10.3,1.0,2.3,,40,2,2.6,3.5,1007.7,84,1009.7,
2016-01-07,-6.5,-4.0,-11.2,1.0,1.8,,39,2,2.5,3.1,1004.4,83,1006.4,
2016-01-08,-5.6,-3.3,-11.3,1.5,1.0,,37,4,2.2,3.6,1004.8,88,1006.8,
2016-01-09,-8.2,-3.8,-15.3,1.5,3.7,,38,1,2.2,2.9,1009.2,87,1011.3,
2016-01-10,-6.7,-4.8,-10.1,5.5,0.0,,48,13,2.4,3.3,1007.8,87,1009.8,
2016-01-11,-9.4,-7.6,-13.6,2.5,1.4,,51,6,2.6,2.4,1010.9,80,1013.0,
2016-01-12,-10.2,-5.8,-15.0,0.0,1.1,,46,,2.5,2.3,1007.9,82,1010.0,
2016-01-13,-8.0,-3.4,-11.5,1.0,3.9,,42,,1.9,2.8,1007.5,84,1009.6,
2016-01-14,-6.4,-3.5,-9.2,4.0,0.0,,44,7,5.2,3.2,1008.5,84,1010.6,
2016-01-15,-9.9,-5.4,-14.2,0.0,7.4,,41,,2.9,2.2,1014.1,75,1016.2,
2016-01-16,-9.0,-4.2,-13.7,,6.1,,39,,3.0,2.2,1014.1,73,1016.2,
2016-01-17,-8.2,-4.9,-12.1,,4.7,,38,,2.5,2.5,1019.9,77,1022.0,
2016-01-18,-7.1,-1.2,-17.3,1.0,3.5,,37,2,5.4,3.0,1018.1,80,1020.2,
2016-01-19,-1.5,-1.0,-2.9,16.0,0.0,,,,10.7,5.2,1001.6,95,1003.6,
2016-01-20,-2.4,-1.3,-3.4,3.5,0.0,,,,9.4,4.6,1005.0,89,1007.0,
2016-01-21,-4.1,-2.4,-5.8,0.0,0.2,,39,1,4.4,3.5,1010.3,77,1012.3,
2016-01-22,-2.3,-0.5,-4.7,11.5,0.2,,53,16,5.1,4.4,1010.8,85,1012.8,
2016-01-23,-4.9,-3.0,-7.5,2.5,0.0,,57,5,3.1,3.6,1012.4,84,1014.5,
2016-01-24,-8.8,-5.8,-14.3,1.0,2.3,,57,3,3.3,2.5,1004.1,80,1006.1,
2016-01-25,-9.1,-6.0,-14.5,0.0,4.0,,55,,2.7,2.2,1008.2,71,1010.3,
2016-01-26,-2.2,0.6,-10.6,0.5,0.5,,52,3,2.7,4.1,1011.0,78,1013.0,
2016-01-27,-3.5,-1.4,-6.3,0.5,3.7,,52,,2.8,3.8,1013.1,81,1015.2,
2016-01-28,-7.3,-4.1,-11.6,1.5,1.9,,50,2,3.9,2.7,1017.5,75,1019.6,
2016-01-29,-11.3,-5.0,-18.0,0.0,7.4,,49,,2.9,2.0,1022.4,77,1024.5,
2016-01-30,-11.6,-6.3,-17.3,0.0,8.4,,47,,2.6,1.9,1020.5,75,1022.6,
2016-01-31,-10.5,-6.1,-18.0,0.0,2.5,,46,,2.9,2.1,1014.9,76,1017.0,
2016-02-01,-11.5,-7.7,-17.3,0.0,3.1,,46,,3.7,1.9,1016.0,75,1018.1,
2016-02-02,-9.9,-5.2,-17.3,0.0,0.7,,46,1,2.8,2.3,1012.0,79,1014.1,
2016-02-03,-10.7,-4.5,-18.3,0.0,4.9,,46,,2.5,2.2,1016.4,81,1018.5,
2016-02-04,-4.7,1.0,-15.0,0.0,5.2,,47,3,2.5,3.6,1011.4,82,1013.4,
2016-02-05,-4.6,-2.0,-12.4,2.0,1.9,,51,5,3.0,3.7,1007.2,84,1009.3,
2016-02-06,-8.3,-5.1,-14.7,2.0,1.6,,54,7,2.3,2.8,1009.2,85,1011.3,
2016-02-07,-8.5,-6.0,-16.6,4.0,4.0,,57,6,3.0,2.7,1008.4,82,1010.5,
2016-02-08,-10.5,-6.8,-18.0,1.0,2.7,,61,5,2.6,2.4,1015.4,84,1017.5,
2016-02-09,-6.7,-0.6,-17.8,0.0,1.8,,55,,1.5,3.4,1003.7,87,1005.7,
2016-02-10,-2.7,-0.3,-5.3,2.0,3.1,,52,4,5.5,4.0,1009.1,80,1011.1,
2016-02-11,-6.4,-2.7,-13.7,0.5,4.0,,57,5,3.2,3.2,1026.6,83,1028.7,
2016-02-12,-1.3,5.2,-14.3,0.0,0.7,,52,,3.7,4.1,1021.8,71,1023.9,
2016-02-13,5.2,9.1,-0.1,1.0,1.0,,47,,4.9,6.7,1009.1,76,1011.1,
2016-02-14,-3.6,-0.1,-6.9,24.0,0.0,,57,22,5.4,4.5,997.1,95,999.1,
2016-02-15,-7.9,-2.7,-13.8,2.0,6.1,,57,,4.3,2.5,994.6,73,996.6,
2016-02-16,-8.8,-5.3,-16.6,0.0,1.1,,52,1,1.8,2.7,1002.2,85,1004.2,
2016-02-17,-6.4,-3.2,-8.7,2.5,3.9,,54,4,2.7,3.1,1003.6,81,1005.6,
2016-02-18,-5.7,-0.2,-10.8,4.0,1.1,,58,4,1.6,3.6,1013.2,89,1015.3,
2016-02-19,-3.6,-1.2,-10.8,6.5,0.1,,60,8,1.5,4.6,1014.7,96,1016.7,
2016-02-20,-0.6,2.0,-3.4,0.5,7.3,,60,1,4.3,3.9,1021.6,67,1023.6,
2016-02-21,-3.2,-2.1,-4.6,16.5,0.0,,81,25,5.3,4.6,1010.3,95,1012.3,
2016-02-22,-5.1,-2.2,-11.1,4.0,6.1,,83,4,3.6,3.2,1020.9,78,1023.0,
2016-02-23,-5.9,-2.2,-10.6,2.0,0.0,,81,9,3.4,3.5,1017.5,88,1019.6,
2016-02-24,-11.2,-8.5,-15.0,1.5,1.6,,84,3,2.7,2.1,1021.4,79,1023.5,
2016-02-25,-10.1,-5.4,-16.8,0.5,4.4,,79,1,3.8,2.0,1019.6,71,1021.7,
2016-02-26,-9.0,-6.1,-15.7,0.5,5.3,,76,1,2.4,2.6,1018.7,84,1020.8,
2016-02-27,-9.7,-3.5,-19.7,1.0,2.9,,73,1,3.0,2.5,1021.4,84,1023.5,
2016-02-28,-8.8,-3.9,-15.3,0.0,6.8,,73,1,2.3,2.7,1025.9,84,1028.0,
2016-02-29,-5.8,-1.3,-15.5,3.0,0.0,,70,1,6.4,3.6,1008.7,87,1010.8,
2016-03-01,-5.4,-1.9,-7.6,4.0,1.4,,66,5,6.4,3.3,1001.8,80,1003.9,
2016-03-02,-7.5,-4.8,-13.4,0.0,3.5,,65,1,2.7,2.8,1014.2,79,1016.3,
2016-03-03,-9.9,-4.2,-15.2,,10.1,,63,,3.3,2.1,1020.4,73,1022.5,
2016-03-04,-7.7,-0.9,-13.9,0.0,5.2,,65,4,3.2,2.8,1029.1,80,1031.2,
