calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.7,-2.6,-12.0,1.0,0.5,,9,9,3.0,,,,,
2016-01-02,-2.7,3.0,-10.4,0.0,0.9,,6,1,1.8,,,,,
2016-01-03,-4.9,-1.1,-13.0,0.5,0.5,,7,4,2.4,,,,,
2016-01-04,-8.9,-1.7,-15.7,0.0,2.2,,6,0,1.2,,,,,
2016-01-05,-8.8,-3.2,-16.1,0.0,3.9,,7,2,1.8,,,,,
2016-01-06,-4.6,-0.8,-8.8,0.0,5.5,,7,2,2.5,,,,,
2016-01-07,-5.4,-3.6,-8.4,0.5,2.3,,12,8,2.9,,,,,
2016-01-08,-5.9,-1.3,-13.5,0.0,4.0,,11,0,1.5,,,,,
2016-01-09,-10.3,-2.2,-16.5,0.0,7.0,,9,0,1.4,,,,,
2016-01-10,-8.1,-2.6,-17.0,0.5,2.8,,11,4,2.0,,,,,
2016-01-11,-9.7,-7.0,-15.0,0.0,1.7,,14,5,3.4,,,,,
2016-01-12,-10.9,-4.1,-17.1,0.0,3.5,,13,0,1.4,,,,,
2016-01-13,-9.9,-2.9,-18.3,0.0,5.1,,11,0,1.5,,,,,
2016-01-14,-4.2,-2.7,-10.9,4.0,0.0,,20,10,4.3,,,,,
2016-01-15,-9.1,-5.2,-18.1,0.0,1.5,,13,1,2.2,,,,,
2016-01-16,-13.7,-4.4,-20.3,0.0,5.5,,12,0,1.1,,,,,
2016-01-17,-12.1,-2.8,-19.2,0.0,3.0,,12,0,1.3,,,,,
2016-01-18,-9.1,-1.7,-20.2,1.5,0.8,,16,4,2.0,,,,,
2016-01-19,-1.9,-1.1,-3.5,22.0,0.0,,40,24,8.2,,,,,
2016-01-20,-1.4,-1.0,-2.4,0.5,0.0,,,,9.4,,,,,
