calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-6.1,-4.6,-7.2,0.0,1.6,,31,2,2.4,,,,,
2016-01-02,-2.2,1.7,-5.1,3.0,0.3,,38,9,2.6,,,,,
2016-01-03,-5.0,-3.2,-6.3,1.5,0.6,,42,8,3.8,,,,,
2016-01-04,-6.6,-5.2,-8.2,1.5,0.3,,42,6,3.1,,,,,
2016-01-05,-8.6,-7.4,-9.6,2.0,2.5,,44,4,3.2,,,,,
2016-01-06,-6.9,-4.9,-9.2,1.0,2.0,,43,5,3.5,,,,,
2016-01-07,-7.7,-6.7,-8.9,0.5,0.1,,43,1,2.6,,,,,
2016-01-08,-6.6,-5.0,-8.6,0.0,0.3,,41,2,2.4,,,,,
2016-01-09,-7.9,-6.9,-9.0,0.0,1.4,,40,0,3.1,,,,,
2016-01-10,-8.4,-6.7,-11.7,3.0,0.1,,47,11,2.0,,,,,
2016-01-11,-11.3,-9.8,-12.3,0.5,0.4,,46,0,2.0,,,,,
2016-01-12,-10.4,-8.6,-12.2,0.0,1.2,,45,1,2.4,,,,,
2016-01-13,-9.4,-6.4,-11.7,0.0,3.0,,42,0,2.0,,,,,
2016-01-14,-9.7,-6.1,-12.6,0.5,1.7,,43,4,1.9,,,,,
2016-01-15,-12.5,-8.0,-15.5,0.0,6.8,,43,0,0.9,,,,,
2016-01-16,-12.3,-6.5,-16.7,0.0,1.2,,43,1,1.1,,,,,
2016-01-17,-10.8,-5.9,-14.8,0.0,3.0,,42,0,1.1,,,,,
2016-01-18,-11.4,-6.3,-18.1,0.5,0.2,,42,2,2.7,,,,,
2016-01-19,-5.2,-4.5,-7.5,9.0,0.0,,100,71,5.6,,,,,
2016-01-20,-5.9,-4.6,-7.3,7.5,0.0,,128,30,2.5,,,,,
2016-01-21,-7.3,-5.4,-8.4,0.0,0.5,,120,0,2.1,,,,,
2016-01-22,-5.9,-4.0,-8.4,0.0,2.0,,104,2,3.3,,,,,
2016-01-23,-7.3,-4.2,-12.7,0.0,2.1,,98,0,2.3,,,,,
2016-01-24,-12.0,-8.3,-15.0,0.0,3.5,,92,2,1.5,,,,,
2016-01-25,-12.3,-6.6,-20.0,0.0,6.7,,87,0,2.0,,,,,
2016-01-26,-3.1,-0.6,-6.9,0.0,1.6,,82,0,2.7,,,,,
2016-01-27,-5.8,-1.7,-7.6,0.0,0.1,,82,6,3.1,,,,,
2016-01-28,-9.1,-6.7,-11.6,0.0,0.0,,78,4,3.9,,,,,
2016-01-29,-10.7,-8.7,-11.8,0.0,2.7,,78,0,3.2,,,,,
2016-01-30,-13.2,-6.9,-19.1,0.0,7.2,,74,1,1.2,,,,,
2016-01-31,-10.6,-8.7,-15.8,0.0,0.3,,75,3,2.2,,,,,
2016-02-01,-11.7,-9.3,-14.8,0.0,2.2,,74,2,2.0,,,,,
2016-02-02,-11.1,-6.8,-16.4,0.0,2.1,,71,0,1.7,,,,,
2016-02-03,-9.0,-6.6,-12.4,0.0,2.0,,70,0,2.0,,,,,
2016-02-04,-4.9,-1.6,-7.9,0.0,6.3,,68,0,2.2,,,,,
2016-02-05,-6.8,-2.6,-9.1,3.5,0.0,,76,13,3.2,,,,,
2016-02-06,-9.0,-5.9,-11.0,0.0,2.2,,73,0,2.1,,,,,
2016-02-07,-9.9,-7.8,-12.1,1.5,2.3,,71,4,2.6,,,,,
2016-02-08,-9.9,-5.3,-14.9,0.0,6.7,,73,2,2.4,,,,,
2016-02-09,-6.4,1.9,-15.1,0.0,4.1,,69,0,1.5,,,,,
2016-02-10,-5.8,-3.0,-7.7,1.0,3.8,,70,5,2.5,,,,,
2016-02-11,-6.6,-3.2,-10.6,0.0,6.0,,71,1,2.7,,,,,
2016-02-12,-0.8,4.5,-10.2,0.0,2.4,,68,0,3.4,,,,,
2016-02-13,3.2,5.6,1.8,1.0,0.0,,65,0,2.5,,,,,
2016-02-14,-4.7,2.7,-6.4,9.5,0.0,,68,11,3.9,,,,,
2016-02-15,-10.0,-5.7,-13.3,7.0,0.0,,78,12,3.0,,,,,
2016-02-16,-9.8,-7.7,-12.1,0.0,2.2,,77,0,2.2,,,,,
2016-02-17,-8.7,-6.9,-10.7,2.5,0.5,,77,5,3.0,,,,,
2016-02-18,-5.2,-2.1,-9.8,4.0,6.1,,87,14,2.6,,,,,
2016-02-19,-1.7,2.0,-6.4,0.5,5.2,,87,3,2.0,,,,,
2016-02-20,-3.0,-1.3,-5.7,1.5,4.8,,78,4,3.6,,,,,
2016-02-21,-6.1,-3.8,-7.8,7.5,0.3,,96,20,2.6,,,,,
2016-02-22,-7.7,-5.7,-9.9,0.5,5.3,,96,2,,,,,,
2016-02-23,-7.2,-1.6,-11.8,1.0,0.8,,93,3,2.4,,,,,
2016-02-24,-12.6,-9.0,-15.6,0.0,4.9,,89,3,2.2,,,,,
2016-02-25,-11.4,-7.4,-14.9,0.0,2.7,,88,3,1.6,,,,,
2016-02-26,-9.6,-6.4,-14.0,0.5,0.7,,89,4,1.7,,,,,
2016-02-27,-10.9,-6.8,-15.9,0.0,1.8,,88,3,1.5,,,,,
2016-02-28,-10.4,-5.4,-15.9,0.0,6.6,,88,1,1.2,,,,,
2016-02-29,-7.3,-1.5,-16.2,0.0,0.0,,86,1,2.5,,,,,
2016-03-01,-8.1,-2.8,-11.1,0.5,0.0,,83,3,2.3,,,,,
2016-03-02,-9.3,-4.8,-12.7,0.5,6.2,,83,2,2.0,,,,,
2016-03-03,-11.2,-6.7,-15.4,0.0,3.9,,83,0,1.8,,,,,
2016-03-04,-8.7,-3.1,-16.4,0.0,9.1,,81,1,1.8,,,,,
2016-03-05,-6.9,-1.2,-12.8,0.0,6.9,,80,0,1.8,,,,,
2016-03-06,-1.5,7.5,-11.7,0.0,1.5,,78,0,1.5,,,,,
2016-03-07,1.9,9.2,-2.7,3.0,4.4,,73,0,3.5,,,,,
2016-03-08,-0.3,6.6,-5.2,3.5,3.9,,72,8,2.8,,,,,
2016-03-09,-6.0,-3.1,-8.7,1.0,2.8,,74,5,3.4,,,,,
2016-03-10,-7.0,-2.1,-11.8,0.0,8.2,,73,0,1.6,,,,,
2016-03-11,-7.8,-3.8,-12.6,0.5,3.4,,73,4,1.8,,,,,
2016-03-12,-6.5,-2.3,-10.8,0.5,5.6,,73,3,1.7,,,,,
2016-03-13,-5.0,1.4,-13.9,0.0,9.0,,72,0,1.6,,,,,
2016-03-14,-0.8,4.7,-5.2,0.5,10.2,,72,4,2.1,,,,,
2016-03-15,-4.2,-1.0,-6.3,0.0,4.5,,71,3,2.8,,,,,
2016-03-16,1.4,6.2,-6.6,0.0,10.6,,67,0,4.0,,,,,
2016-03-17,3.7,6.5,0.2,0.0,5.7,,63,0,3.1,,,,,
2016-03-18,4.5,12.2,-2.2,0.0,8.0,,61,0,1.7,,,,,
2016-03-19,3.5,9.4,-1.8,0.0,1.2,,57,1,3.0,,,,,
2016-03-20,-3.8,-1.5,-7.6,0.0,2.3,,55,1,3.1,,,,,
2016-03-21,-4.7,-1.1,-7.8,0.0,7.6,,54,0,3.0,,,,,
2016-03-22,-3.0,0.7,-6.5,0.0,3.1,,55,2,2.3,,,,,
2016-03-23,-2.1,2.1,-5.7,0.0,7.7,,54,0,2.5,,,,,
2016-03-24,-4.8,-0.4,-8.9,0.0,7.2,,52,2,2.8,,,,,
2016-03-25,-5.5,-1.2,-10.7,0.5,1.8,,53,2,1.3,,,,,
2016-03-26,-2.3,2.2,-7.4,0.0,9.0,,55,3,2.2,,,,,
2016-03-27,2.8,7.0,-4.1,0.0,10.8,,49,0,2.6,,,,,
2016-03-28,1.7,5.0,-4.5,1.0,7.9,,47,3,2.9,,,,,
2016-03-29,1.2,9.6,-6.8,0.0,10.7,,44,1,1.5,,,,,
2016-03-30,4.2,9.3,-0.2,0.0,4.8,,42,1,2.0,,,,,
2016-03-31,1.6,4.7,-1.8,0.0,3.4,,37,1,2.4,,,,,
2016-04-01,0.0,3.0,-1.8,0.0,4.5,,37,1,3.7,,,,,
2016-04-02,2.3,9.1,-3.1,0.0,7.8,,33,0,1.6,,,,,
2016-04-03,4.5,9.6,-0.2,0.0,0.8,,28,0,3.1,,,,,
2016-04-04,3.1,7.1,-1.6,0.0,9.9,,25,0,3.0,,,,,
2016-04-05,3.1,8.6,-3.9,3.5,8.7,,21,1,3.2,,,,,
2016-04-06,2.8,5.7,-0.2,1.0,7.8,,21,3,3.4,,,,,
2016-04-07,6.1,11.9,1.1,0.0,7.1,,16,0,1.8,,,,,
2016-04-08,3.9,9.2,-0.7,1.5,2.7,,12,1,2.4,,,,,
2016-04-09,0.9,6.3,-2.8,0.5,1.8,,8,3,3.8,,,,,
2016-04-10,-0.7,2.7,-4.5,0.0,8.1,,8,0,3.2,,,,,
2016-04-11,-3.0,1.2,-6.2,2.5,2.3,,11,9,1.8,,,,,
2016-04-12,0.3,4.5,-4.3,1.0,7.9,,13,2,2.6,,,,,
2016-04-13,3.2,8.8,-1.4,2.0,0.6,,1,0,1.6,,,,,
2016-04-14,5.8,10.7,1.9,0.5,0.8,,0,0,2.9,,,,,
2016-04-15,0.1,3.7,-2.7,2.0,0.0,,1,1,3.1,,,,,
2016-04-16,2.3,7.6,-2.3,0.0,9.0,,1,0,2.9,,,,,
2016-04-17,2.1,4.9,0.1,9.5,0.0,,0,0,2.5,,,,,
2016-04-18,1.0,6.0,-3.4,2.0,0.0,,0,0,3.1,,,,,
2016-04-19,-1.8,0.5,-4.0,0.5,0.0,,1,1,2.7,,,,,
2016-04-20,4.9,10.6,-1.7,0.5,7.1,,1,0,2.1,,,,,
2016-04-21,10.1,15.5,2.2,0.0,10.5,,0,0,3.2,,,,,
2016-04-22,5.5,13.3,0.5,0.0,9.2,,0,0,3.0,,,,,
2016-04-23,6.5,15.4,0.4,2.0,6.8,,0,0,2.3,,,,,
2016-04-24,5.6,10.1,2.0,0.0,10.9,,0,0,3.3,,,,,
2016-04-25,5.1,11.3,-0.5,0.0,6.8,,0,0,2.4,,,,,
2016-04-26,2.7,9.5,-0.8,0.0,3.2,,0,0,2.6,,,,,
2016-04-27,3.1,9.0,-2.0,0.0,9.1,,0,0,1.8,,,,,
2016-04-28,4.9,13.0,-2.8,0.0,9.5,,0,0,2.3,,,,,
2016-04-29,-1.4,3.1,-3.2,6.5,0.0,,8,8,3.2,,,,,
2016-04-30,-0.9,1.6,-2.8,0.5,0.5,,8,0,3.6,,,,,
2016-05-01,1.8,6.8,-2.0,0.0,4.7,,0,0,2.3,,,,,
2016-05-02,5.3,14.7,-3.9,1.0,10.7,,0,0,1.7,,,,,
2016-05-03,14.4,24.5,4.0,0.0,4.0,,0,0,2.1,,,,,
2016-05-04,12.7,20.2,8.5,0.5,0.6,,0,0,2.7,,,,,
2016-05-05,8.2,12.1,5.4,5.0,1.4,,0,0,3.5,,,,,
2016-05-06,7.8,14.1,3.7,0.5,7.7,,0,0,3.3,,,,,
2016-05-07,8.8,17.1,4.0,6.0,4.4,,0,0,3.4,,,,,
2016-05-08,7.8,12.4,4.9,3.5,7.6,,0,0,4.7,,,,,
2016-05-09,10.4,18.1,0.5,0.0,13.1,,0,0,2.8,,,,,
2016-05-10,10.6,17.0,2.6,0.0,9.4,,0,0,2.6,,,,,
2016-05-11,7.9,12.6,4.7,7.5,0.0,,0,0,4.8,,,,,
2016-05-12,6.7,9.8,4.0,0.0,0.3,,0,0,3.5,,,,,
2016-05-13,15.2,25.2,5.5,0.0,12.7,,0,0,3.1,,,,,
2016-05-14,12.2,21.6,4.7,0.0,12.8,,0,0,2.2,,,,,
2016-05-15,13.3,22.4,3.7,0.0,8.9,,0,0,1.5,,,,,
2016-05-16,14.3,21.0,8.5,0.0,2.8,,0,0,3.1,,,,,
2016-05-17,14.0,19.1,9.8,0.5,6.0,,0,0,2.7,,,,,
2016-05-18,13.8,19.7,7.2,0.0,12.3,,0,0,2.1,,,,,
2016-05-19,17.3,26.9,6.5,0.0,12.9,,0,0,2.1,,,,,
2016-05-20,20.2,28.1,11.9,0.0,13.0,,0,0,2.7,,,,,
2016-05-21,19.8,30.0,9.8,0.0,13.3,,0,0,1.7,,,,,
2016-05-22,19.6,28.5,10.2,0.0,13.8,,0,0,3.0,,,,,
2016-05-23,17.4,24.6,9.8,0.0,9.8,,0,0,2.6,,,,,
2016-05-24,13.9,22.7,3.5,0.0,10.3,,0,0,2.1,,,,,
2016-05-25,16.6,23.6,10.8,1.0,7.3,,0,0,3.0,,,,,
2016-05-26,17.5,22.7,10.8,0.0,9.2,,0,0,2.4,,,,,
2016-05-27,13.7,18.7,5.8,1.0,9.8,,0,0,2.7,,,,,
2016-05-28,13.0,19.8,4.9,5.0,11.2,,0,0,3.3,,,,,
2016-05-29,8.9,15.6,4.9,0.0,5.5,,0,0,2.5,,,,,
2016-05-30,11.3,19.4,4.3,0.0,8.5,,0,0,2.5,,,,,
2016-05-31,13.2,19.0,7.3,7.0,4.7,,0,0,1.7,,,,,
2016-06-01,7.3,12.1,3.2,11.5,0.0,,0,0,1.4,,,,,
2016-06-02,3.3,5.0,2.1,3.5,0.0,,0,0,1.5,,,,,
2016-06-03,6.2,10.9,1.2,0.0,3.4,,0,0,2.4,,,,,
2016-06-04,5.0,8.0,1.9,22.0,0.0,,0,0,1.9,,,,,
2016-06-05,7.7,14.3,3.1,0.5,7.0,,0,0,2.3,,,,,
2016-06-06,12.6,18.7,5.3,0.0,11.0,,0,0,2.2,,,,,
2016-06-07,15.5,22.4,9.5,0.0,8.2,,0,0,1.8,,,,,
2016-06-08,13.1,20.2,7.4,4.5,2.4,,0,0,1.4,,,,,
2016-06-09,13.8,20.6,9.6,18.0,5.2,,0,0,2.6,,,,,
2016-06-10,13.1,16.8,10.5,2.5,3.3,,0,0,2.1,,,,,
2016-06-11,12.6,18.7,8.0,0.0,10.4,,0,0,3.4,,,,,
2016-06-12,14.1,20.9,7.3,0.0,9.0,,0,0,2.7,,,,,
2016-06-13,14.3,18.1,10.3,0.0,0.0,,0,0,2.1,,,,,
2016-06-14,13.9,17.9,11.1,3.0,0.0,,0,0,1.7,,,,,
2016-06-15,14.5,21.4,9.5,0.5,5.0,,0,0,1.8,,,,,
2016-06-16,13.9,22.4,8.0,9.5,6.8,,0,0,2.5,,,,,
2016-06-17,12.6,14.4,10.6,6.0,0.0,,0,0,1.8,,,,,
2016-06-18,13.7,17.7,10.4,0.5,1.2,,0,0,1.8,,,,,
2016-06-19,16.6,23.3,9.9,0.0,10.2,,0,0,1.4,,,,,
2016-06-20,16.2,20.9,13.4,0.0,0.6,,0,0,1.4,,,,,
2016-06-21,16.7,21.6,10.7,4.5,3.8,,0,0,2.6,,,,,
2016-06-22,14.3,17.5,9.9,0.0,2.9,,0,0,3.2,,,,,
2016-06-23,14.9,20.0,9.4,0.0,9.5,,0,0,5.0,,,,,
2016-06-24,13.3,17.7,8.6,0.0,0.3,,0,0,2.2,,,,,
2016-06-25,11.0,14.8,8.4,3.0,2.1,,0,0,3.8,,,,,
2016-06-26,9.1,11.5,6.6,3.0,0.0,,0,0,2.7,,,,,
2016-06-27,13.9,19.9,6.7,0.0,10.5,,0,0,2.1,,,,,
2016-06-28,17.9,25.3,11.1,0.0,10.0,,0,0,2.1,,,,,
2016-06-29,19.8,27.4,11.2,0.0,13.4,,0,0,1.7,,,,,
2016-06-30,19.7,28.3,12.7,0.0,9.9,,0,0,1.6,,,,,
2016-07-01,20.0,27.0,12.2,0.0,11.9,,0,0,2.1,,,,,
2016-07-02,18.5,24.8,14.2,14.5,1.5,,0,0,1.7,,,,,
2016-07-03,17.0,21.1,13.4,0.0,0.5,,0,0,2.3,,,,,
2016-07-04,9.8,13.9,7.6,0.0,0.0,,0,0,2.7,,,,,
2016-07-05,14.0,21.2,7.2,0.0,7.5,,0,0,2.3,,,,,
2016-07-06,16.7,23.7,10.7,0.0,9.7,,0,0,2.2,,,,,
2016-07-07,18.5,28.2,8.4,0.0,14.3,,0,0,1.9,,,,,
2016-07-08,20.0,27.8,12.3,0.0,13.0,,0,0,2.4,,,,,
2016-07-09,18.3,24.8,13.4,2.0,5.8,,0,0,2.2,,,,,
2016-07-10,17.1,22.1,13.0,7.0,1.8,,0,0,2.5,,,,,
2016-07-11,14.1,16.6,11.6,0.5,0.7,,0,0,2.7,,,,,
2016-07-12,17.2,24.3,9.3,0.0,11.9,,0,0,2.3,,,,,
2016-07-13,18.3,24.2,12.5,0.0,10.2,,0,0,3.0,,,,,
2016-07-14,18.3,24.4,12.5,0.0,10.6,,0,0,3.2,,,,,
2016-07-15,16.0,22.3,11.1,0.0,8.0,,0,0,3.3,,,,,
2016-07-16,16.5,20.7,13.0,0.0,5.5,,0,0,2.9,,,,,
2016-07-17,17.5,23.6,14.1,0.5,3.6,,0,0,2.6,,,,,
2016-07-18,15.8,21.6,13.8,1.5,0.3,,0,0,2.5,,,,,
2016-07-19,14.8,17.5,13.4,19.0,0.0,,0,0,2.4,,,,,
2016-07-20,16.2,20.8,12.4,0.0,3.2,,0,0,2.0,,,,,
