calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.6,-2.9,-7.4,0.0,1.7,,28,0,1.9,,,,,
2016-01-02,-2.4,0.4,-5.8,2.5,0.2,,31,7,,,,,,
2016-01-03,-3.1,-0.8,-4.4,3.0,1.1,,40,10,,,,,,
2016-01-04,-4.5,-2.7,-7.0,0.0,2.5,,35,0,3.2,,,,,
2016-01-05,-6.7,-5.2,-8.8,1.5,0.3,,35,5,2.8,,,,,
2016-01-06,-5.3,-3.4,-7.1,2.0,0.9,,41,8,2.3,,,,,
2016-01-07,-5.8,-4.3,-9.2,0.0,0.5,,40,1,2.5,,,,,
2016-01-08,-5.4,-2.3,-9.5,0.5,1.2,,35,2,1.8,,,,,
2016-01-09,-6.1,-4.9,-8.4,0.0,1.6,,35,0,2.6,,,,,
2016-01-10,-7.1,-4.2,-10.2,2.0,0.0,,38,6,,,,,,
2016-01-11,-11.2,-8.5,-17.3,1.5,0.2,,39,3,0.9,,,,,
2016-01-12,-9.4,-6.0,-15.3,0.0,2.3,,38,0,1.8,,,,,
2016-01-13,-9.2,-4.8,-16.2,0.0,2.5,,35,1,1.3,,,,,
2016-01-14,-9.3,-4.3,-14.2,4.5,0.0,,44,12,0.8,,,,,
2016-01-15,-14.1,-6.1,-21.7,0.5,1.8,,43,1,0.2,,,,,
2016-01-16,-16.2,-4.7,-24.6,0.0,6.1,,39,0,0.5,,,,,
2016-01-17,-13.0,-4.8,-20.8,0.0,4.2,,37,0,0.7,,,,,
2016-01-18,-12.8,-4.5,-24.7,1.0,1.2,,38,3,1.9,,,,,
2016-01-19,-3.2,-2.6,-4.7,26.0,0.0,,92,54,5.7,,,,,
2016-01-20,-4.4,-3.1,-5.7,34.5,0.0,,159,67,3.6,,,,,
2016-01-21,-6.9,-3.4,-14.3,0.5,0.5,,154,0,1.4,,,,,
2016-01-22,-4.3,-2.1,-11.9,5.0,0.3,,129,13,2.2,,,,,
