calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.2,-1.9,-13.3,0.0,3.6,,24,1,1.6,,,,,
2016-01-02,-4.5,3.5,-13.1,0.0,3.9,,24,1,1.7,,,,,
2016-01-03,-6.2,-0.3,-12.5,0.0,4.8,,24,1,1.1,,,,,
2016-01-04,-9.3,-1.3,-14.1,0.0,2.6,,24,0,1.0,,,,,
2016-01-05,-9.4,-1.9,-15.2,0.0,3.6,,24,2,1.4,,,,,
2016-01-06,-7.6,0.4,-17.7,0.0,6.8,,24,2,2.1,,,,,
2016-01-07,-8.7,-1.4,-15.1,0.0,4.7,,25,1,1.3,,,,,
2016-01-08,-8.0,-0.2,-15.4,0.0,4.5,,25,0,1.3,,,,,
2016-01-09,-9.8,-1.6,-15.2,0.0,7.2,,24,1,1.4,,,,,
2016-01-10,-7.1,-1.2,-13.4,0.0,4.6,,25,3,1.8,,,,,
2016-01-11,-11.7,-5.2,-17.1,0.0,4.9,,25,0,1.4,,,,,
2016-01-12,-12.8,-3.6,-20.5,0.0,6.4,,25,0,1.4,,,,,
2016-01-13,-10.7,-1.7,-17.5,0.0,7.2,,25,1,1.6,,,,,
2016-01-14,-6.5,-2.5,-10.9,6.0,0.6,,44,22,1.9,,,,,
2016-01-15,-10.3,-5.7,-17.7,0.0,6.5,,43,0,1.0,,,,,
2016-01-16,-14.1,-4.8,-21.6,0.0,7.2,,38,0,0.6,,,,,
2016-01-17,-11.0,-3.0,-17.0,0.0,5.3,,35,0,1.0,,,,,
2016-01-18,-10.5,-3.9,-20.1,2.5,0.1,,40,7,1.3,,,,,
2016-01-19,-2.1,-1.3,-3.9,23.0,0.0,,59,30,6.7,,,,,
2016-01-20,-2.2,-1.2,-4.1,18.0,0.0,,105,50,6.4,,,,,
2016-01-21,-5.2,-3.3,-11.0,1.5,0.4,,103,2,3.2,,,,,
2016-01-22,-4.2,0.6,-11.2,0.5,3.7,,94,1,1.3,,,,,
2016-01-23,-4.5,-1.8,-9.3,2.5,2.3,,96,8,1.9,,,,,
2016-01-24,-7.7,-5.3,-10.7,0.0,3.7,,92,1,1.3,,,,,
2016-01-25,-13.4,-6.7,-20.3,0.0,8.3,,88,0,1.4,,,,,
2016-01-26,-8.9,2.1,-19.4,0.0,8.7,,84,0,1.6,,,,,
2016-01-27,-7.7,-0.8,-15.7,0.0,5.1,,81,1,1.8,,,,,
2016-01-28,-8.7,-3.4,-15.1,0.0,2.4,,79,2,2.0,,,,,
2016-01-29,-12.1,-6.1,-19.3,0.0,4.2,,79,1,1.0,,,,,
2016-01-30,-14.8,-6.4,-22.6,0.0,7.7,,77,0,1.1,,,,,
2016-01-31,-13.0,-5.1,-19.5,0.0,4.1,,75,0,1.0,,,,,
2016-02-01,-15.5,-8.0,-21.5,0.0,3.1,,74,0,1.2,,,,,
2016-02-02,-12.4,-3.1,-23.1,0.0,6.0,,74,2,1.6,,,,,
2016-02-03,-13.1,-4.6,-20.0,0.0,7.7,,74,1,1.1,,,,,
2016-02-04,-8.8,1.1,-19.6,0.0,6.7,,72,0,1.7,,,,,
2016-02-05,-6.9,-0.8,-14.9,0.0,5.0,,71,1,2.0,,,,,
2016-02-06,-11.0,-1.3,-17.8,0.0,7.6,,70,0,1.4,,,,,
2016-02-07,-10.8,-4.2,-21.1,0.0,7.7,,70,1,1.6,,,,,
2016-02-08,-10.4,-6.3,-17.1,0.0,8.7,,72,2,1.4,,,,,
2016-02-09,-3.5,3.4,-15.5,0.0,1.1,,70,0,2.1,,,,,
2016-02-10,-3.9,0.4,-9.7,0.5,4.4,,71,2,2.6,,,,,
2016-02-11,-5.3,-1.4,-13.8,0.0,4.0,,70,0,2.8,,,,,
2016-02-12,-4.6,2.4,-16.1,0.0,4.3,,69,1,2.2,,,,,
2016-02-13,4.9,9.5,1.4,0.0,1.0,,68,0,2.4,,,,,
2016-02-14,-2.0,2.3,-5.6,9.0,0.0,,67,8,1.7,,,,,
2016-02-15,-7.5,-1.2,-12.6,0.0,5.0,,67,0,,,,,,
2016-02-16,-10.1,-3.4,-19.2,0.0,7.7,,67,0,2.6,,,,,
2016-02-17,-7.6,-1.5,-15.6,0.0,3.7,,66,1,2.1,,,,,
