calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.6,-2.1,-4.7,0.0,0.0,,20,5,2.6,,,,,
2016-01-02,-0.5,4.0,-4.7,1.0,0.0,,19,0,1.6,,,,,
2016-01-03,-3.3,0.0,-7.0,,0.0,,22,8,1.5,,,,,
2016-01-04,-4.6,-3.0,-7.0,,0.1,,25,6,1.2,,,,,
2016-01-05,-5.2,-4.1,-6.9,,0.6,,24,4,3.1,,,,,
2016-01-06,-3.9,-1.0,-6.2,,1.2,,25,3,2.4,,,,,
2016-01-07,-5.0,-4.3,-5.8,,0.0,,29,9,2.5,,,,,
2016-01-08,-4.2,-2.3,-7.7,,1.0,,29,4,1.5,,,,,
2016-01-09,-5.6,-4.2,-8.0,,2.2,,30,3,1.7,,,,,
2016-01-10,-5.1,-3.1,-7.5,,1.9,,31,8,2.2,,,,,
2016-01-11,-8.2,-6.1,-11.5,,0.5,,35,5,2.6,,,,,
2016-01-12,-7.8,-4.6,-9.5,,3.1,,33,1,2.1,,,,,
2016-01-13,-6.2,-4.0,-8.9,,5.6,,,,1.7,,,,,
2016-01-14,-4.3,-2.6,-6.9,,0.0,,54,25,2.4,,,,,
2016-01-15,-8.5,-5.7,-12.6,,1.1,,53,2,1.4,,,,,
2016-01-16,-7.6,-5.7,-11.4,1.5,7.0,,46,4,1.6,,,,,
2016-01-17,-7.3,-5.7,-10.8,2.0,0.1,,50,5,1.5,,,,,
2016-01-18,-5.7,-1.9,-11.4,1.0,2.4,,46,3,1.6,,,,,
2016-01-19,-2.0,-1.0,-3.6,28.5,0.0,,99,54,6.5,,,,,
2016-01-20,-1.7,-1.0,-2.6,6.0,0.0,,100,4,5.8,,,,,
2016-01-21,-3.6,-2.4,-4.2,2.0,0.0,,97,3,3.7,,,,,
2016-01-22,-2.9,-1.3,-4.4,7.5,0.0,,102,14,1.9,,,,,
2016-01-23,-4.2,-2.1,-6.1,4.5,0.1,,106,4,1.5,,,,,
2016-01-24,-6.4,-5.1,-8.1,3.5,0.0,,107,13,1.5,,,,,
2016-01-25,-8.2,-6.3,-9.7,0.0,0.0,,107,0,3.2,,,,,
2016-01-26,-2.4,1.5,-7.2,0.0,6.2,,98,0,1.7,,,,,
2016-01-27,-4.0,0.1,-8.1,1.0,0.9,,94,5,1.5,,,,,
2016-01-28,-6.2,-3.9,-8.8,0.0,0.1,,92,2,3.6,,,,,
2016-01-29,-8.1,-7.1,-9.2,4.0,0.0,,100,14,2.8,,,,,
2016-01-30,-9.4,-6.5,-13.4,0.0,4.8,,98,1,1.2,,,,,
2016-01-31,-7.7,-6.2,-11.3,0.0,2.7,,92,3,1.4,,,,,
2016-02-01,-9.0,-7.6,-10.1,0.0,1.2,,91,4,2.4,,,,,
2016-02-02,-8.2,-4.7,-13.5,0.0,6.0,,88,2,1.6,,,,,
2016-02-03,-8.2,-6.1,-10.2,0.0,3.8,,88,0,1.8,,,,,
2016-02-04,-3.6,0.4,-9.2,0.0,2.4,,84,2,1.4,,,,,
2016-02-05,-3.1,0.9,-5.8,0.0,3.8,,82,2,1.9,,,,,
2016-02-06,-5.5,-2.9,-7.9,0.0,7.8,,81,1,0.8,,,,,
2016-02-07,-7.5,-5.0,-10.6,0.0,2.9,,81,4,2.7,,,,,
2016-02-08,-8.5,-6.0,-11.7,0.5,5.9,,83,2,1.6,,,,,
2016-02-09,-1.4,0.5,-6.1,9.5,0.0,,91,15,6.1,,,,,
2016-02-10,-3.1,1.1,-5.9,8.0,0.0,,104,19,2.3,,,,,
2016-02-11,-4.6,-2.7,-6.5,1.5,0.0,,106,4,2.3,,,,,
2016-02-12,-1.6,4.4,-9.1,0.0,1.3,,101,1,1.0,,,,,
2016-02-13,6.7,10.6,2.0,0.0,0.3,,96,0,1.6,,,,,
2016-02-14,-1.7,2.6,-2.7,6.0,0.0,,80,10,,,,,,
2016-02-15,-6.2,-2.6,-10.1,1.5,2.7,,83,6,3.0,,,,,
2016-02-16,-6.6,-4.1,-9.9,0.0,7.6,,81,1,2.5,,,,,
2016-02-17,-5.1,-2.9,-7.4,0.0,1.7,,80,4,2.4,,,,,
2016-02-18,-3.7,1.3,-7.8,0.0,5.2,,80,5,1.9,,,,,
2016-02-19,0.9,5.6,-3.7,0.0,8.5,,78,1,1.3,,,,,
2016-02-20,-0.1,1.7,-2.5,0.0,6.8,,76,1,1.7,,,,,
2016-02-21,-3.2,-1.2,-4.6,16.0,0.0,,96,21,3.0,,,,,
2016-02-22,-5.2,-3.1,-10.0,2.5,1.9,,102,8,1.5,,,,,
2016-02-23,-3.7,1.1,-9.7,0.5,5.5,,101,9,2.0,,,,,
2016-02-24,-10.7,-7.4,-14.5,0.5,4.5,,103,3,2.2,,,,,
2016-02-25,-9.9,-4.7,-14.9,3.0,5.6,,103,8,1.7,,,,,
2016-02-26,-8.9,-6.2,-14.5,0.0,7.2,,101,0,0.9,,,,,
2016-02-27,-7.4,-3.4,-12.4,0.0,7.2,,98,1,1.2,,,,,
2016-02-28,-8.4,-5.4,-11.8,0.0,5.4,,97,3,1.1,,,,,
2016-02-29,-3.9,0.0,-8.4,9.5,0.0,,103,11,6.1,,,,,
2016-03-01,-4.8,0.4,-7.5,5.5,0.0,,100,19,4.4,,,,,
2016-03-02,-6.7,-5.4,-7.8,0.0,0.5,,99,1,3.0,,,,,
