calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.9,2.5,-8.4,0.0,,,7,0,3.5,,,,,
2016-01-02,3.7,5.7,-0.2,2.0,,,7,0,5.8,,,,,
2016-01-03,1.2,4.2,-2.3,0.0,,,0,0,5.1,,,,,
2016-01-04,-1.0,1.2,-4.4,0.0,,,0,0,3.0,,,,,
2016-01-05,-3.0,-0.3,-4.6,3.0,,,10,13,4.7,,,,,
2016-01-06,-1.4,0.9,-3.5,3.0,,,19,11,4.7,,,,,
2016-01-07,-2.5,-0.7,-4.2,0.0,,,19,0,4.6,,,,,
2016-01-08,-2.6,0.1,-9.4,3.5,,,20,9,2.9,,,,,
2016-01-09,-3.4,-1.2,-10.2,0.0,,,18,0,3.8,,,,,
2016-01-10,-3.5,0.6,-7.0,1.5,,,18,5,4.5,,,,,
2016-01-11,-6.8,-5.1,-10.1,0.0,,,15,4,3.9,,,,,
2016-01-12,-5.3,-2.1,-9.0,0.0,,,13,0,3.9,,,,,
2016-01-13,-3.6,0.3,-8.4,1.5,,,15,3,2.7,,,,,
2016-01-14,-3.6,1.6,-11.8,0.0,,,14,1,5.5,,,,,
2016-01-15,-5.8,-0.5,-13.2,0.5,,,15,2,3.4,,,,,
2016-01-16,-6.8,-1.8,-13.5,0.0,,,14,0,3.1,,,,,
2016-01-17,-6.6,-0.9,-15.2,0.0,,,13,0,2.8,,,,,
2016-01-18,-1.2,1.7,-6.9,7.5,,,17,8,7.3,,,,,
2016-01-19,-0.7,0.7,-2.7,5.0,,,21,8,2.7,,,,,
2016-01-20,-0.3,2.6,-3.9,0.0,,,20,0,4.0,,,,,
2016-01-21,-2.8,1.2,-9.6,0.0,,,20,1,3.8,,,,,
2016-01-22,-3.5,1.7,-11.1,0.0,,,20,0,3.6,,,,,
2016-01-23,-4.2,-1.0,-11.4,0.0,,,19,0,2.9,,,,,
2016-01-24,-2.8,2.0,-8.9,0.0,,,20,1,3.0,,,,,
2016-01-25,-4.0,-0.1,-10.2,0.0,,,20,0,3.6,,,,,
2016-01-26,1.5,3.2,-2.4,0.0,,,19,0,6.5,,,,,
2016-01-27,0.3,2.1,-1.2,0.0,,,18,3,6.0,,,,,
