calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.9,0.6,-3.5,0.0,2.6,,17,0,2.2,,,,,
2016-01-02,2.2,4.9,-1.5,6.0,0.0,,15,1,2.5,,,,,
2016-01-03,0.3,2.2,-3.6,0.0,3.1,,11,0,3.1,,,,,
2016-01-04,-2.1,-0.2,-5.6,0.0,0.1,,11,1,2.6,,,,,
2016-01-05,-3.9,-2.0,-5.4,2.5,0.2,,22,13,3.2,,,,,
2016-01-06,-1.6,0.8,-3.8,2.5,1.9,,23,10,3.5,,,,,
2016-01-07,-3.2,-1.8,-4.2,0.5,0.0,,26,7,3.1,,,,,
2016-01-08,-2.5,-1.0,-3.7,2.0,0.6,,29,10,2.6,,,,,
2016-01-09,-3.6,-1.6,-6.3,0.5,2.2,,29,4,3.1,,,,,
2016-01-10,-4.2,-1.3,-7.8,4.5,0.4,,38,17,3.0,,,,,
2016-01-11,-7.7,-6.5,-8.5,5.0,0.0,,43,12,2.7,,,,,
2016-01-12,-6.3,-4.4,-7.9,1.5,1.1,,45,7,2.4,,,,,
2016-01-13,-4.5,-1.6,-7.8,3.5,1.1,,45,7,1.2,,,,,
2016-01-14,-4.2,-2.5,-5.5,7.5,2.7,,56,18,3.0,,,,,
2016-01-15,-4.2,-1.4,-8.9,6.0,3.7,,67,15,2.7,,,,,
2016-01-16,-5.8,-3.3,-11.5,0.0,2.6,,59,3,1.9,,,,,
2016-01-17,-7.3,-1.7,-13.6,0.0,5.5,,53,1,1.8,,,,,
2016-01-18,-3.1,1.4,-9.8,5.5,0.0,,49,2,5.9,,,,,
2016-01-19,-1.2,-0.3,-2.9,5.0,0.0,,51,5,3.0,,,,,
2016-01-20,-2.0,1.4,-5.3,0.0,4.3,,50,4,2.1,,,,,
2016-01-21,-3.0,-0.1,-6.8,0.5,5.5,,49,4,1.9,,,,,
2016-01-22,-3.7,0.3,-7.5,3.5,7.1,,59,15,2.4,,,,,
2016-01-23,-5.3,-1.8,-11.1,1.0,4.1,,59,7,1.4,,,,,
2016-01-24,-5.0,-1.7,-9.2,13.0,2.1,,72,18,1.3,,,,,
2016-01-25,-5.6,-2.2,-10.9,0.0,4.0,,69,3,2.2,,,,,
2016-01-26,0.2,2.6,-3.7,0.5,0.3,,65,2,1.7,,,,,
2016-01-27,-0.7,1.1,-2.7,1.0,3.8,,60,5,3.3,,,,,
2016-01-28,-3.0,-0.2,-4.7,5.5,1.3,,73,15,3.4,,,,,
