calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.1,2.0,-3.3,1.0,0.4,,35,,5.4,3.9,1018.7,69,1019.9,
2016-01-02,1.1,3.0,-1.8,13.5,0.0,,37,10,6.0,5.3,1009.3,80,1010.5,
2016-01-03,-0.9,0.1,-2.0,1.0,0.0,,33,1,7.0,3.7,1010.2,66,1011.4,
2016-01-04,-1.9,-0.6,-4.2,1.0,0.8,,29,1,7.6,3.1,1009.5,59,1010.7,
2016-01-05,-3.9,-1.8,-5.3,2.0,0.0,,29,2,8.5,3.1,1010.5,69,1011.7,
2016-01-06,-2.6,-1.3,-4.3,3.5,0.0,,29,1,8.6,3.6,1009.9,71,1011.1,
2016-01-07,-3.3,-2.2,-4.3,2.0,0.1,,34,8,7.0,3.5,1006.2,74,1007.4,
2016-01-08,-2.6,-1.3,-3.9,3.0,0.0,,34,3,7.6,3.7,1006.4,73,1007.6,
2016-01-09,-3.5,-2.1,-5.4,3.5,0.2,,36,4,7.3,3.1,1010.9,67,1012.1,
2016-01-10,-4.4,-1.7,-7.2,4.5,0.7,,39,5,7.7,3.3,1009.3,75,1010.5,
2016-01-11,-6.5,-5.1,-7.9,3.0,0.4,,40,5,7.2,2.7,1012.2,71,1013.4,
2016-01-12,-6.2,-5.2,-8.1,5.0,0.1,,43,5,7.2,2.7,1009.1,71,1010.3,
2016-01-13,-4.2,-3.2,-6.4,0.5,0.0,,42,3,5.5,3.2,1008.1,72,1009.3,
2016-01-14,-6.9,-5.0,-9.5,5.0,0.8,,48,10,4.0,3.1,1008.6,83,1009.8,
2016-01-15,-11.2,-4.3,-17.6,0.0,8.8,,44,,2.4,1.9,1014.5,74,1015.8,
2016-01-16,-7.1,-3.8,-12.0,7.5,2.8,,50,12,2.6,3.1,1015.1,85,1016.3,
2016-01-17,-7.8,-4.9,-13.3,4.0,1.4,,53,7,2.5,3.1,1020.5,89,1021.8,
2016-01-18,-5.2,-1.7,-9.3,0.5,0.0,,51,,4.2,2.9,1015.6,71,1016.8,
2016-01-19,-1.1,0.5,-2.5,2.0,0.0,,46,,6.5,4.3,1000.2,77,1001.4,
2016-01-20,-2.5,-1.1,-4.4,2.0,0.3,,42,,8.4,4.1,1007.1,80,1008.3,
2016-01-21,-6.0,-2.0,-11.3,6.5,0.8,,56,20,2.3,3.5,1012.6,88,1013.8,
2016-01-22,-2.7,-0.3,-8.3,5.5,0.0,,56,4,6.7,4.6,1012.7,91,1013.9,
2016-01-23,-3.5,-0.6,-6.8,0.5,6.6,,55,2,3.4,3.8,1012.7,80,1013.9,
2016-01-24,-8.1,-4.6,-12.8,0.5,8.3,,51,,3.0,2.4,1004.0,71,1005.2,
2016-01-25,-9.2,-2.2,-17.5,1.0,3.3,,48,,3.8,2.4,1009.7,74,1010.9,
2016-01-26,0.4,1.6,-2.5,1.0,0.0,,46,,7.4,4.3,1012.8,68,1014.0,
2016-01-27,-2.0,0.3,-4.1,2.0,0.5,,44,1,7.7,3.5,1015.5,66,1016.7,
2016-01-28,-5.0,-2.2,-7.5,2.0,0.4,,44,5,9.8,2.8,1020.1,67,1021.4,
2016-01-29,-6.2,-5.0,-7.3,2.0,0.8,,47,6,6.1,2.7,1023.8,70,1025.1,
2016-01-30,-8.1,-4.0,-15.2,2.5,7.9,,47,5,2.5,2.4,1020.9,73,1022.2,
2016-01-31,-6.1,-4.2,-7.5,5.5,0.2,,54,13,5.6,2.8,1016.0,73,1017.2,
2016-02-01,-7.0,-5.6,-8.6,1.5,1.3,,53,4,5.8,2.5,1017.1,70,1018.4,
2016-02-02,-5.9,-3.9,-8.8,7.0,1.4,,62,10,5.9,3.0,1013.0,76,1014.2,
2016-02-03,-5.2,-1.6,-10.0,2.0,1.2,,60,3,3.9,3.0,1017.4,74,1018.7,
2016-02-04,-0.8,1.1,-3.7,2.5,0.6,,56,3,4.7,4.1,1011.9,72,1013.1,
2016-02-05,-3.0,0.5,-4.8,5.0,0.3,,59,6,7.3,3.5,1009.3,73,1010.5,
2016-02-06,-5.2,-3.9,-7.0,7.0,0.0,,66,11,4.8,3.1,1010.4,76,1011.6,
2016-02-07,-5.1,-2.4,-7.3,5.5,1.2,,64,5,7.9,2.9,1010.1,68,1011.3,
2016-02-08,-5.7,-3.3,-9.3,0.0,2.2,,62,,3.8,2.8,1015.6,69,1016.8,
