calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.5,1.9,-3.3,0.0,0.2,,14,1,6.2,,,,,
2016-01-02,0.8,2.8,-1.3,8.5,0.0,,22,11,6.8,,,,,
2016-01-03,-1.1,-0.3,-2.8,0.5,0.1,,19,1,8.3,,,,,
2016-01-04,-2.4,-0.5,-4.5,0.0,1.1,,18,5,9.0,,,,,
2016-01-05,-4.0,-2.1,-5.4,0.0,0.4,,16,3,10.2,,,,,
2016-01-06,-3.2,-1.5,-4.9,0.0,0.0,,17,4,10.4,,,,,
2016-01-07,-3.7,-2.0,-4.7,0.0,0.0,,17,5,8.3,,,,,
2016-01-08,-3.2,-1.8,-4.9,2.0,0.2,,28,12,8.3,,,,,
2016-01-09,-4.1,-2.0,-5.7,1.0,0.5,,32,8,8.7,,,,,
2016-01-10,-4.6,-2.3,-7.3,0.5,0.5,,29,3,8.5,,,,,
2016-01-11,-7.7,-5.9,-9.1,5.5,0.0,,39,14,6.3,,,,,
2016-01-12,-6.5,-5.1,-8.2,0.0,0.1,,39,6,8.3,,,,,
2016-01-13,-4.8,-3.4,-6.7,1.0,0.5,,44,10,6.3,,,,,
2016-01-14,-7.3,-5.2,-10.1,0.0,0.4,,39,5,4.0,,,,,
2016-01-15,-10.3,-4.8,-16.4,0.0,8.6,,37,0,3.3,,,,,
2016-01-16,-7.0,-3.9,-10.8,3.0,2.5,,44,10,2.3,,,,,
2016-01-17,-8.5,-5.0,-14.2,3.0,0.5,,50,12,2.7,,,,,
2016-01-18,-5.8,-1.1,-13.7,0.0,2.3,,48,3,5.8,,,,,
2016-01-19,-1.6,-0.3,-2.9,0.0,0.0,,52,16,5.8,,,,,
2016-01-20,-3.4,-2.1,-6.3,0.0,0.3,,44,1,6.3,,,,,
2016-01-21,-6.8,-1.9,-11.6,2.0,2.5,,49,10,2.5,,,,,
2016-01-22,-2.5,-0.3,-8.0,3.0,0.0,,53,9,7.0,,,,,
2016-01-23,-4.4,-0.7,-7.0,0.0,4.6,,48,1,3.8,,,,,
2016-01-24,-8.1,-5.5,-11.6,0.0,7.5,,47,3,4.6,,,,,
2016-01-25,-9.4,-2.7,-18.2,0.0,1.8,,47,1,5.0,,,,,
2016-01-26,0.0,1.1,-2.8,0.0,0.4,,45,1,9.9,,,,,
2016-01-27,-2.5,0.2,-4.1,0.0,0.4,,36,4,9.6,,,,,
2016-01-28,-5.5,-2.5,-7.9,0.0,0.4,,34,2,11.9,,,,,
2016-01-29,-6.7,-5.5,-8.4,0.0,0.8,,34,5,6.9,,,,,
2016-01-30,-8.6,-4.5,-15.0,0.5,8.2,,37,5,3.2,,,,,
2016-01-31,-6.8,-4.3,-8.3,2.5,0.1,,47,12,6.7,,,,,
2016-02-01,-7.7,-6.3,-9.0,0.0,0.2,,48,5,6.7,,,,,
2016-02-02,-6.4,-4.3,-8.9,2.0,1.9,,64,20,6.2,,,,,
2016-02-03,-5.5,-2.0,-9.8,0.5,0.6,,64,1,4.6,,,,,
2016-02-04,-0.6,1.2,-3.3,1.5,0.6,,57,7,5.4,,,,,
2016-02-05,-3.2,0.2,-5.8,0.0,1.0,,52,4,9.2,,,,,
2016-02-06,-5.3,-4.3,-7.0,0.5,0.0,,51,5,5.9,,,,,
2016-02-07,-5.6,-2.9,-7.8,0.0,1.2,,48,1,9.2,,,,,
2016-02-08,-7.3,-4.0,-10.5,0.0,2.4,,44,2,3.4,,,,,
2016-02-09,-2.8,0.7,-10.3,5.0,0.0,,50,9,3.1,,,,,
2016-02-10,-2.5,-1.0,-3.7,0.5,0.6,,55,14,7.8,,,,,
2016-02-11,-3.8,-1.3,-5.9,0.5,3.2,,57,7,2.6,,,,,
2016-02-12,1.6,5.1,-5.3,0.0,0.0,,49,2,4.9,,,,,
2016-02-13,4.2,5.9,1.3,1.0,0.0,,43,3,3.8,,,,,
2016-02-14,-2.7,1.8,-8.0,4.5,0.0,,42,13,6.3,,,,,
2016-02-15,-6.6,-3.3,-10.2,4.5,0.3,,44,3,9.7,,,,,
2016-02-16,-5.5,-3.8,-7.2,0.0,0.1,,41,6,8.3,,,,,
2016-02-17,-4.8,-3.2,-6.9,0.0,0.6,,41,4,11.7,,,,,
2016-02-18,-0.9,1.3,-4.6,0.0,0.0,,34,4,8.3,,,,,
2016-02-19,0.7,3.3,-4.2,6.0,0.9,,37,8,3.7,,,,,
2016-02-20,0.1,1.8,-1.9,0.0,1.5,,34,0,7.8,,,,,
2016-02-21,-2.9,-0.7,-7.8,0.0,0.7,,38,8,3.7,,,,,
2016-02-22,-3.7,-1.2,-7.8,3.0,1.0,,42,8,8.3,,,,,
2016-02-23,-4.7,-0.1,-10.8,0.0,0.0,,46,14,5.7,,,,,
2016-02-24,-9.5,-7.2,-15.3,1.5,3.1,,46,5,4.7,,,,,
2016-02-25,-7.2,-4.2,-10.4,1.5,0.1,,50,11,6.1,,,,,
