calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.5,-2.0,-6.2,2.0,0.0,,102,4,2.0,,,,,
2016-01-02,-0.3,1.9,-2.8,12.0,0.0,,98,8,2.7,,,,,
2016-01-03,-1.5,0.6,-3.4,1.0,0.1,,95,0,1.7,,,,,
2016-01-04,-2.8,-1.2,-5.1,2.5,0.4,,90,2,2.0,,,,,
2016-01-05,-4.7,-3.4,-6.1,7.0,0.3,,98,11,2.5,,,,,
2016-01-06,-3.9,-1.8,-5.6,3.0,0.0,,100,6,2.6,,,,,
2016-01-07,-4.3,-3.1,-6.0,2.5,0.4,,101,2,1.9,,,,,
2016-01-08,-3.2,-1.8,-5.8,3.5,0.2,,101,7,2.1,,,,,
2016-01-09,-5.0,-3.3,-7.3,5.0,0.4,,106,8,2.1,,,,,
2016-01-10,-5.3,-2.9,-7.9,9.0,0.3,,116,16,2.2,,,,,
2016-01-11,-7.4,-6.5,-8.8,9.0,0.5,,124,12,1.8,,,,,
2016-01-12,-7.7,-6.4,-9.8,5.5,0.0,,132,13,1.7,,,,,
2016-01-13,-6.4,-4.5,-8.6,16.5,0.2,,156,32,1.3,,,,,
2016-01-14,-7.0,-1.9,-13.4,2.5,3.5,,153,1,0.8,,,,,
2016-01-15,-15.3,-5.3,-23.5,0.0,7.7,,138,0,0.8,,,,,
2016-01-16,-10.4,-6.3,-17.8,5.0,0.6,,137,10,,,,,,
2016-01-17,-8.1,-4.0,-10.5,4.0,0.7,,141,8,,,,,,
2016-01-18,-9.9,-3.4,-20.5,0.0,0.0,,134,0,2.1,,,,,
2016-01-19,-0.8,0.6,-3.7,0.0,0.0,,128,0,2.6,,,,,
2016-01-20,-2.7,-0.8,-7.4,0.0,2.1,,122,0,3.9,,,,,
2016-01-21,-7.1,-3.1,-14.8,4.5,1.9,,127,10,1.0,,,,,
2016-01-22,-5.7,-0.8,-15.2,3.5,0.6,,133,7,,,,,,
2016-01-23,-4.9,-2.6,-14.0,16.0,0.4,,155,26,1.5,,,,,
2016-01-24,-13.8,-3.4,-21.3,0.0,1.9,,151,0,0.8,,,,,
2016-01-25,-14.3,-6.7,-26.7,2.5,4.5,,147,9,0.9,,,,,
2016-01-26,-3.4,-0.9,-8.4,11.0,0.0,,159,17,1.3,,,,,
2016-01-27,-2.9,-0.8,-4.5,12.5,0.0,,172,16,2.0,,,,,
2016-01-28,-5.2,-2.4,-7.5,0.0,0.0,,164,1,4.3,,,,,
2016-01-29,-7.1,-5.4,-10.0,2.5,0.3,,163,10,2.7,,,,,
2016-01-30,-9.2,-6.2,-16.2,5.5,5.0,,167,12,,,,,,
2016-01-31,-6.9,-5.5,-9.7,9.0,0.4,,179,14,1.9,,,,,
2016-02-01,-7.8,-6.3,-9.4,8.0,0.0,,185,20,2.2,,,,,
2016-02-02,-7.7,-5.3,-10.5,8.5,0.2,,194,15,,,,,,
2016-02-03,-6.5,-4.6,-8.2,7.5,0.0,,196,12,1.0,,,,,
2016-02-04,-3.1,0.6,-8.3,3.5,1.9,,189,9,1.6,,,,,
2016-02-05,-3.6,-1.4,-6.2,1.0,0.3,,180,3,1.9,,,,,
2016-02-06,-6.7,-3.2,-10.1,3.0,2.1,,174,3,2.0,,,,,
2016-02-07,-5.8,-2.9,-9.3,5.5,0.2,,177,6,2.7,,,,,
2016-02-08,-8.0,-3.0,-16.0,0.0,5.0,,173,1,1.7,,,,,
2016-02-09,-2.7,2.0,-11.0,5.0,0.9,,168,8,2.3,,,,,
2016-02-10,-2.6,0.9,-4.7,7.0,0.0,,180,16,6.0,,,,,
2016-02-11,-3.9,-1.2,-8.3,0.5,1.8,,179,1,1.9,,,,,
2016-02-12,-1.9,3.2,-8.6,0.0,0.0,,171,0,2.4,,,,,
2016-02-13,2.9,6.0,0.4,0.0,0.0,,165,0,2.5,,,,,
2016-02-14,-0.6,1.5,-5.4,13.0,0.0,,155,1,,,,,,
2016-02-15,-6.8,-3.8,-9.6,5.0,0.0,,155,10,,,,,,
2016-02-16,-6.7,-4.0,-11.0,10.0,1.4,,173,20,,,,,,
2016-02-17,-5.3,-3.3,-6.7,5.5,0.1,,177,6,,,,,,
2016-02-18,-2.2,0.8,-4.9,2.0,0.4,,170,7,,,,,,
2016-02-19,-0.7,3.2,-6.6,7.5,1.6,,168,6,1.6,,,,,
2016-02-20,-0.1,2.8,-3.8,2.0,4.6,,161,1,2.2,,,,,
2016-02-21,-2.1,0.7,-4.5,10.5,0.7,,175,20,1.3,,,,,
2016-02-22,-4.3,-1.8,-5.9,4.0,0.6,,176,10,2.8,,,,,
2016-02-23,-4.8,-1.5,-12.3,6.5,0.0,,182,9,2.8,,,,,
2016-02-24,-11.7,-7.2,-20.8,2.0,0.0,,178,4,1.2,,,,,
2016-02-25,-8.4,-5.4,-11.9,7.5,0.0,,187,14,1.4,,,,,
2016-02-26,-6.9,-4.7,-11.5,13.5,0.2,,203,21,1.5,,,,,
2016-02-27,-6.1,-3.0,-8.7,6.5,1.5,,205,16,1.9,,,,,
2016-02-28,-8.8,-2.2,-17.7,0.5,3.9,,205,1,1.5,,,,,
2016-02-29,-4.1,0.7,-17.6,4.5,0.5,,198,10,3.4,,,,,
2016-03-01,-3.9,-0.7,-7.6,1.0,2.6,,195,11,4.6,,,,,
2016-03-02,-6.7,-1.9,-10.5,5.5,1.4,,201,9,1.0,,,,,
2016-03-03,-9.3,-2.2,-20.4,0.5,2.0,,200,1,1.2,,,,,
2016-03-04,-10.7,-2.8,-20.1,1.5,3.3,,196,4,0.8,,,,,
2016-03-05,-7.1,1.7,-16.9,0.0,6.6,,193,1,1.2,,,,,
2016-03-06,1.7,5.1,-4.7,3.5,0.0,,185,0,3.7,,,,,
2016-03-07,1.7,6.3,-5.6,0.5,1.2,,170,0,1.8,,,,,
2016-03-08,0.4,6.7,-6.2,5.0,3.1,,164,1,3.1,,,,,
2016-03-09,-2.0,0.4,-7.1,0.5,2.1,,162,4,3.7,,,,,
2016-03-10,-4.6,-0.1,-10.7,2.0,2.9,,164,5,1.3,,,,,
2016-03-11,-4.4,-0.7,-10.1,7.5,2.3,,175,17,2.1,,,,,
2016-03-12,-4.2,0.0,-9.1,2.5,3.8,,176,4,1.6,,,,,
2016-03-13,-3.0,3.5,-11.5,0.0,6.9,,168,0,2.0,,,,,
2016-03-14,-2.3,5.8,-11.4,1.5,2.9,,163,2,1.1,,,,,
2016-03-15,-2.0,1.3,-6.5,0.0,6.7,,161,0,2.8,,,,,
2016-03-16,1.3,9.8,-10.5,0.0,8.4,,158,0,2.0,,,,,
2016-03-17,1.3,8.4,-5.3,0.0,7.9,,155,0,1.8,,,,,
2016-03-18,4.6,11.7,-4.7,0.0,6.5,,150,0,2.3,,,,,
2016-03-19,2.9,7.0,1.1,0.0,0.0,,142,0,2.3,,,,,
2016-03-20,-1.6,1.1,-6.3,0.0,3.5,,140,2,3.7,,,,,
2016-03-21,-2.5,1.0,-6.3,2.0,4.6,,144,7,2.0,,,,,
2016-03-22,-1.5,4.2,-8.2,0.0,5.1,,138,0,2.2,,,,,
2016-03-23,-2.2,2.3,-6.1,6.5,3.3,,145,10,1.5,,,,,
2016-03-24,-1.7,3.8,-6.8,3.5,3.1,,147,4,1.3,,,,,
2016-03-25,-1.9,2.4,-6.9,2.0,5.9,,143,4,1.9,,,,,
2016-03-26,0.1,3.8,-3.8,0.5,6.2,,140,0,1.6,,,,,
2016-03-27,3.9,10.0,-4.5,0.0,8.7,,136,0,2.6,,,,,
2016-03-28,1.7,5.8,-5.3,2.5,10.4,,129,1,2.1,,,,,
2016-03-29,1.6,9.3,-7.4,0.0,9.8,,125,0,1.6,,,,,
2016-03-30,4.1,9.9,0.1,7.0,2.6,,121,0,3.2,,,,,
2016-03-31,2.0,6.8,-0.6,0.0,3.1,,115,0,1.6,,,,,
2016-04-01,2.7,10.2,-2.3,0.0,10.4,,110,0,1.3,,,,,
2016-04-02,4.1,6.9,0.6,0.0,5.1,,105,0,4.9,,,,,
2016-04-03,4.5,9.6,-1.6,2.0,3.6,,96,0,2.7,,,,,
2016-04-04,1.4,8.6,-4.5,0.0,11.0,,90,0,1.8,,,,,
2016-04-05,3.6,11.6,-5.7,0.5,3.8,,84,0,1.9,,,,,
2016-04-06,4.8,8.9,-2.1,0.0,11.4,,80,1,2.9,,,,,
2016-04-07,4.1,10.6,-4.4,0.0,5.0,,74,1,2.3,,,,,
2016-04-08,3.1,8.7,-3.5,3.0,2.4,,68,1,1.3,,,,,
2016-04-09,3.0,9.1,-4.4,0.0,4.0,,65,0,3.4,,,,,
2016-04-10,1.6,4.1,-4.0,0.0,3.9,,60,2,2.5,,,,,
2016-04-11,-0.7,2.8,-6.5,1.0,4.7,,60,3,2.6,,,,,
2016-04-12,2.8,7.6,-5.1,0.0,10.5,,60,0,2.3,,,,,
2016-04-13,4.1,7.8,-0.2,1.0,0.0,,54,0,1.9,,,,,
2016-04-14,5.1,11.7,1.3,7.5,0.4,,49,0,0.9,,,,,
2016-04-15,2.3,4.5,0.9,2.5,0.0,,45,1,5.7,,,,,
2016-04-16,3.7,9.3,-1.1,0.0,5.7,,42,0,1.6,,,,,
2016-04-17,4.4,6.9,1.8,10.5,0.0,,39,0,2.7,,,,,
2016-04-18,2.3,4.9,0.0,4.5,0.9,,33,0,2.1,,,,,
2016-04-19,2.3,5.1,-0.4,0.5,1.2,,28,0,1.3,,,,,
2016-04-20,6.8,13.1,0.5,1.5,7.1,,25,0,1.8,,,,,
2016-04-21,9.1,16.6,1.7,0.0,12.0,,15,0,2.8,,,,,
2016-04-22,9.1,19.3,0.7,0.0,10.9,,1,0,1.9,,,,,
2016-04-23,7.5,11.0,3.6,3.0,2.2,,0,0,3.5,,,,,
2016-04-24,6.2,12.0,0.5,0.0,10.0,,0,0,2.3,,,,,
2016-04-25,6.1,13.6,-0.8,0.0,10.4,,0,0,1.9,,,,,
2016-04-26,5.6,10.8,1.5,0.0,2.1,,0,0,2.2,,,,,
2016-04-27,4.2,10.6,-1.7,0.0,10.6,,0,0,1.8,,,,,
2016-04-28,6.3,13.9,-2.7,0.0,10.0,,0,0,2.0,,,,,
2016-04-29,3.5,5.7,1.4,2.0,0.0,,0,0,2.7,,,,,
2016-04-30,2.8,5.4,0.1,1.0,1.3,,0,0,5.8,,,,,
2016-05-01,4.0,8.6,-2.0,0.0,6.8,,0,0,2.1,,,,,
2016-05-02,7.2,15.7,-3.7,0.0,10.0,,0,0,2.3,,,,,
2016-05-03,16.1,24.3,9.2,0.0,10.9,,0,0,4.2,,,,,
2016-05-04,13.5,18.3,9.1,2.0,1.2,,0,0,3.2,,,,,
2016-05-05,9.4,11.9,6.5,1.5,0.0,,0,0,2.1,,,,,
2016-05-06,9.9,14.0,5.2,0.5,3.9,,0,0,1.6,,,,,
2016-05-07,10.8,15.7,8.0,7.0,0.9,,0,0,3.4,,,,,
2016-05-08,9.7,14.7,1.3,0.0,9.2,,0,0,4.0,,,,,
2016-05-09,9.6,20.9,-0.6,0.0,11.4,,0,0,1.7,,,,,
2016-05-10,13.1,20.8,4.1,0.0,5.9,,0,0,2.3,,,,,
2016-05-11,10.1,13.2,8.0,5.0,0.0,,0,0,2.0,,,,,
2016-05-12,7.6,9.4,4.1,9.5,0.0,,0,0,2.3,,,,,
2016-05-13,12.4,24.0,3.1,0.0,12.1,,0,0,2.9,,,,,
2016-05-14,10.8,20.1,2.0,0.0,13.2,,0,0,1.8,,,,,
2016-05-15,13.6,19.8,4.2,0.0,5.1,,0,0,4.7,,,,,
2016-05-16,15.0,19.7,8.3,1.0,2.9,,0,0,7.6,,,,,
2016-05-17,14.3,21.1,7.2,5.0,10.2,,0,0,2.4,,,,,
2016-05-18,12.5,18.9,6.8,0.0,12.3,,0,0,2.0,,,,,
2016-05-19,14.8,26.2,4.7,0.0,12.7,,0,0,1.7,,,,,
2016-05-20,15.7,25.9,6.8,0.0,13.1,,0,0,1.4,,,,,
2016-05-21,15.8,26.5,6.1,0.0,13.4,,0,0,1.6,,,,,
2016-05-22,15.1,25.5,8.1,0.0,13.7,,0,0,2.1,,,,,
2016-05-23,13.9,21.6,7.4,0.0,9.4,,0,0,1.7,,,,,
2016-05-24,16.0,23.8,6.8,0.0,7.0,,0,0,3.7,,,,,
2016-05-25,16.7,20.8,11.7,1.0,4.1,,0,0,4.2,,,,,
2016-05-26,17.2,23.1,12.7,0.0,3.9,,0,0,3.0,,,,,
2016-05-27,13.8,18.6,6.3,1.5,11.2,,0,0,2.4,,,,,
2016-05-28,12.0,18.6,6.8,2.5,8.0,,0,0,2.3,,,,,
2016-05-29,11.5,17.5,7.1,0.0,9.3,,0,0,2.0,,,,,
