calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.8,2.5,-2.6,0.0,0.1,,,,6.2,,,,,
2016-01-02,1.9,3.8,-0.5,2.5,0.0,,,,7.1,,,,,
2016-01-03,-0.2,1.4,-0.9,0.0,0.0,,,,9.9,,,,,
2016-01-04,-1.5,-0.4,-3.7,0.0,0.1,,,,9.1,,,,,
2016-01-05,-3.3,-1.6,-5.0,0.0,0.4,,,,11.2,,,,,
2016-01-06,-1.7,-0.5,-3.5,0.0,0.0,,,,11.3,,,,,
2016-01-07,-2.8,-1.6,-4.0,0.0,0.0,,,,8.7,,,,,
2016-01-08,-1.8,-0.9,-3.2,0.0,0.0,,,,10.5,,,,,
2016-01-09,-3.0,-1.6,-4.7,0.0,0.0,,,,9.8,,,,,
2016-01-10,-3.5,-0.9,-6.7,0.0,0.0,,,,9.7,,,,,
2016-01-11,-6.2,-5.3,-7.5,0.5,0.0,,,,7.6,,,,,
2016-01-12,-5.7,-4.5,-7.1,0.0,0.0,,,,9.3,,,,,
2016-01-13,-4.0,-2.5,-5.6,6.5,0.0,,,,5.5,,,,,
2016-01-14,-4.8,-0.3,-12.8,0.5,2.2,,,,3.7,,,,,
2016-01-15,-8.5,-3.9,-13.0,0.0,8.2,,,,3.4,,,,,
2016-01-16,-5.6,-3.4,-8.3,12.5,0.6,,,,1.9,,,,,
2016-01-17,-4.6,-2.8,-6.9,5.0,0.7,,,,2.7,,,,,
2016-01-18,-5.5,-2.2,-9.9,0.0,0.0,,,,3.7,,,,,
2016-01-19,-0.3,0.9,-3.8,0.0,0.0,,,,4.5,,,,,
2016-01-20,-1.3,-0.5,-2.8,0.0,0.0,,,,6.9,,,,,
2016-01-21,-3.5,-1.2,-7.1,12.0,0.0,,,,3.8,,,,,
2016-01-22,-2.1,0.2,-8.2,2.0,0.0,,,,6.4,,,,,
2016-01-23,-2.4,-0.5,-6.9,1.5,0.3,,,,6.0,,,,,
2016-01-24,-7.4,-3.1,-11.1,0.0,7.2,,,,3.2,,,,,
2016-01-25,-7.0,-1.8,-14.3,0.0,3.3,,,,5.7,,,,,
2016-01-26,0.7,2.5,-2.2,1.5,0.0,,,,9.1,,,,,
2016-01-27,-1.7,1.4,-3.0,0.0,0.5,,,,10.6,,,,,
2016-01-28,-4.1,-1.3,-6.4,0.0,0.1,,,,12.0,,,,,
2016-01-29,-5.4,-4.3,-6.5,0.0,0.1,,,,8.9,,,,,
2016-01-30,-5.9,-3.3,-10.1,2.5,2.4,,,,3.1,,,,,
2016-01-31,-5.5,-3.8,-7.5,0.0,0.0,,,,9.0,,,,,
2016-02-01,-6.0,-4.5,-7.2,0.5,0.0,,,,6.4,,,,,
2016-02-02,-4.5,-3.0,-5.8,0.0,0.4,,,,7.0,,,,,
2016-02-03,-2.9,-0.9,-5.6,0.5,0.0,,,,6.3,,,,,
2016-02-04,-0.5,1.5,-2.4,4.0,0.3,,,,4.4,,,,,
2016-02-05,-2.2,1.0,-5.2,0.0,0.0,,,,10.3,,,,,
2016-02-06,-4.2,-2.7,-6.1,0.0,1.1,,,,8.3,,,,,
2016-02-07,-4.2,-1.5,-6.8,0.0,0.4,,,,10.1,,,,,
2016-02-08,-5.2,-2.4,-8.7,0.0,4.6,,,,4.9,,,,,
2016-02-09,0.3,3.7,-5.6,0.5,1.5,,,,4.3,,,,,
2016-02-10,-1.0,1.4,-3.8,0.5,0.0,,,,10.3,,,,,
2016-02-11,-2.4,0.0,-5.3,0.0,1.5,,,,4.5,,,,,
2016-02-12,3.7,7.7,-5.1,0.0,0.0,,,,4.2,,,,,
2016-02-13,6.6,10.2,1.8,0.0,0.0,,,,5.2,,,,,
2016-02-14,1.0,3.8,-3.6,6.0,0.0,,,,3.3,,,,,
2016-02-15,-5.1,-1.6,-8.8,0.5,0.1,,,,,,,,,
2016-02-16,-4.8,-2.6,-7.3,0.0,0.6,,,,9.3,,,,,
2016-02-17,-3.6,-1.8,-5.5,0.0,0.4,,,,11.6,,,,,
2016-02-18,0.2,2.1,-3.2,0.0,0.6,,,,7.5,,,,,
2016-02-19,1.7,5.4,-1.6,5.5,3.0,,,,3.9,,,,,
2016-02-20,1.1,2.4,-1.6,0.0,5.9,,,,6.0,,,,,
2016-02-21,-1.6,-0.1,-2.9,1.0,0.4,,,,3.1,,,,,
2016-02-22,-2.7,-0.8,-4.4,0.0,0.5,,,,9.8,,,,,
2016-02-23,-3.3,0.2,-8.3,2.0,0.0,,,,4.1,,,,,
2016-02-24,-8.3,-6.2,-12.0,0.0,0.0,,,,4.7,,,,,
2016-02-25,-5.2,-3.5,-8.0,0.0,0.0,,,,6.8,,,,,
2016-02-26,-4.4,-2.9,-6.5,0.5,1.0,,,,7.3,,,,,
2016-02-27,-4.5,-2.7,-7.1,1.0,1.0,,,,6.1,,,,,
2016-02-28,-4.6,-1.0,-9.3,0.0,6.8,,,,4.5,,,,,
2016-02-29,-1.0,6.2,-7.9,1.5,1.9,,,,5.2,,,,,
2016-03-01,-2.6,0.2,-4.6,0.0,0.2,,,,7.7,,,,,
2016-03-02,-3.3,-1.2,-5.5,0.0,1.5,,,,4.7,,,,,
2016-03-03,-4.8,-1.7,-9.0,0.0,1.8,,,,2.7,,,,,
2016-03-04,-3.5,0.1,-8.8,0.5,2.6,,,,4.3,,,,,
2016-03-05,-1.7,2.1,-5.5,0.0,7.5,,,,2.9,,,,,
2016-03-06,4.9,9.8,-3.8,2.5,0.0,,,,3.3,,,,,
2016-03-07,3.3,10.0,-1.1,0.0,4.1,,,,6.7,,,,,
2016-03-08,1.9,7.1,-1.4,1.5,3.5,,,,6.1,,,,,
2016-03-09,-0.9,1.1,-3.6,0.0,1.9,,,,9.1,,,,,
2016-03-10,-1.8,1.0,-5.3,0.0,5.5,,,,3.9,,,,,
2016-03-11,-2.1,-0.3,-5.4,2.5,1.4,,,,6.8,,,,,
2016-03-12,-2.0,0.8,-5.8,0.0,4.7,,,,5.0,,,,,
2016-03-13,1.0,4.3,-3.6,0.0,8.7,,,,2.7,,,,,
