calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,2.6,-3.3,2.0,0.0,,23,2,6.9,4.0,1017.1,71,1020.3,
2016-01-02,0.8,3.7,-2.7,5.0,0.0,,23,2,7.8,5.1,1007.8,80,1011.0,
2016-01-03,-0.2,1.3,-1.8,2.0,0.0,,21,4,9.2,3.8,1008.7,63,1011.9,
2016-01-04,-1.5,-0.2,-3.5,0.0,0.1,,18,,9.1,3.4,1008.0,63,1011.2,
2016-01-05,-3.4,-1.4,-5.1,2.5,0.6,,17,,10.6,3.2,1009.1,67,1012.3,
2016-01-06,-1.9,-0.3,-3.8,1.5,0.0,,17,1,10.4,3.7,1008.5,69,1011.7,
2016-01-07,-2.9,-1.4,-4.5,2.0,0.4,,23,6,8.7,3.6,1004.8,74,1008.0,
2016-01-08,-2.2,-0.6,-3.5,3.0,0.1,,20,1,9.8,3.8,1005.0,73,1008.2,
2016-01-09,-3.1,-1.3,-5.1,2.0,0.0,,20,2,9.4,3.4,1009.5,69,1012.7,
2016-01-10,-3.5,-1.0,-7.2,3.0,0.1,,22,5,9.4,3.3,1007.6,69,1010.8,
2016-01-11,-6.0,-4.9,-7.5,0.5,0.2,,22,2,8.3,2.5,1010.5,65,1013.8,
2016-01-12,-5.8,-4.5,-7.4,3.0,0.0,,24,4,8.9,2.9,1007.6,74,1010.9,
2016-01-13,-4.1,-2.2,-6.8,3.0,0.0,,33,12,5.8,3.5,1006.4,77,1009.6,
2016-01-14,-5.9,-1.9,-9.5,3.0,1.3,,33,5,3.4,3.4,1005.9,85,1009.1,
2016-01-15,-10.2,-5.0,-15.4,0.0,8.5,,31,,4.5,2.2,1012.3,78,1015.7,
2016-01-16,-8.2,-5.3,-11.3,6.5,1.1,,39,12,4.6,2.9,1013.1,87,1016.4,
2016-01-17,-6.6,-4.1,-8.7,4.0,0.4,,44,7,3.9,3.3,1018.5,88,1021.8,
2016-01-18,-6.9,-2.4,-11.2,0.5,0.0,,42,,5.8,2.8,1012.8,77,1016.1,
2016-01-19,-0.4,0.6,-2.5,0.0,0.0,,36,,5.3,3.9,997.3,65,1000.5,
2016-01-20,-2.0,-0.7,-3.6,,1.4,,33,,9.2,4.0,1004.6,76,1007.8,
2016-01-21,-4.0,-1.1,-7.4,6.5,0.1,,41,10,3.0,3.7,1010.6,82,1013.9,
2016-01-22,-3.0,0.3,-8.0,3.5,0.9,,47,7,7.3,3.9,1011.5,81,1014.8,
2016-01-23,-2.8,-0.4,-7.4,19.5,0.0,,69,28,4.4,4.2,1010.7,84,1013.9,
2016-01-24,-7.8,-2.9,-11.6,0.0,7.7,,66,,3.8,2.6,1001.2,76,1004.4,
2016-01-25,-8.7,-1.6,-16.9,2.5,5.1,,58,2,5.7,2.5,1007.9,75,1011.2,
2016-01-26,0.9,2.5,-2.1,5.0,0.1,,51,2,9.1,4.7,1011.4,72,1014.6,
2016-01-27,-1.6,1.0,-3.2,3.0,0.4,,52,4,9.9,3.7,1014.0,68,1017.2,
2016-01-28,-4.1,-1.1,-6.7,1.0,0.1,,48,,12.0,3.1,1018.5,69,1021.8,
2016-01-29,-5.5,-4.1,-7.4,0.0,0.5,,45,,8.6,2.7,1022.1,66,1025.4,
2016-01-30,-7.5,-3.4,-10.0,0.5,4.9,,49,6,5.1,2.9,1018.7,82,1022.0,
2016-01-31,-5.5,-3.6,-7.1,2.0,0.9,,48,5,8.4,2.9,1014.3,70,1017.6,
2016-02-01,-6.5,-5.4,-8.7,0.5,0.2,,52,8,7.6,2.8,1015.1,76,1018.4,
2016-02-02,-5.7,-3.2,-9.4,3.5,0.0,,55,7,7.5,3.0,1011.1,76,1014.3,
2016-02-03,-4.3,-0.8,-7.9,0.5,0.9,,55,6,5.2,3.3,1015.6,74,1018.8,
2016-02-04,-2.0,1.5,-5.0,7.0,0.3,,61,13,4.9,4.5,1010.5,84,1013.7,
2016-02-05,-2.2,0.9,-5.1,1.5,1.0,,59,,9.8,3.2,1008.0,62,1011.2,
2016-02-06,-4.4,-2.7,-6.4,3.5,0.7,,59,7,7.8,3.1,1008.7,71,1011.9,
2016-02-07,-4.3,-1.4,-7.1,4.5,0.5,,59,3,10.5,3.2,1008.4,72,1011.6,
2016-02-08,-5.3,-2.5,-8.6,0.0,4.1,,53,,5.4,2.7,1013.5,66,1016.8,
2016-02-09,-1.8,2.1,-7.7,0.0,0.6,,52,3,6.4,4.7,1000.3,85,1003.4,
2016-02-10,-1.5,1.6,-3.4,6.5,0.3,,57,8,10.0,4.7,1010.2,85,1013.4,
2016-02-11,-2.4,-0.9,-5.2,0.5,2.9,,57,2,4.7,3.8,1026.0,75,1029.3,
2016-02-12,-1.5,2.4,-6.2,0.0,0.0,,54,,7.3,4.5,1022.3,80,1025.5,
2016-02-13,4.0,7.4,2.2,0.0,0.0,,51,,5.9,7.2,1009.0,89,1012.2,
2016-02-14,0.1,2.7,-5.2,14.0,0.0,,40,4,3.2,5.8,990.0,94,993.1,
2016-02-15,-5.6,-1.8,-9.5,5.0,0.0,,39,4,,3.1,996.0,75,999.2,
2016-02-16,-4.6,-2.3,-7.1,0.0,0.8,,38,1,8.7,3.1,1001.7,72,1004.9,
2016-02-17,-3.8,-1.7,-6.0,4.5,0.3,,37,2,11.2,3.2,1004.3,71,1007.5,
2016-02-18,0.1,2.1,-3.9,0.0,0.9,,36,,8.0,4.2,1012.8,68,1016.0,
2016-02-19,1.1,4.1,-1.5,8.5,1.9,,46,14,4.6,5.8,1013.7,88,1016.9,
2016-02-20,0.8,2.6,-1.7,1.5,5.3,,41,4,5.9,3.8,1020.8,60,1024.0,
2016-02-21,-1.8,0.5,-4.1,10.5,1.3,,59,27,2.9,4.8,1007.3,89,1010.5,
2016-02-22,-2.8,-0.8,-5.0,3.5,0.3,,59,1,8.8,3.4,1021.6,69,1024.9,
2016-02-23,-4.3,-0.2,-8.9,7.0,0.0,,67,24,5.2,3.9,1016.4,86,1019.6,
2016-02-24,-8.7,-6.3,-12.9,3.0,0.6,,65,4,4.6,2.4,1020.3,76,1023.6,
2016-02-25,-6.6,-3.7,-10.3,3.0,0.0,,65,5,7.0,3.0,1018.9,79,1022.2,
2016-02-26,-4.7,-3.2,-6.2,5.0,0.3,,70,7,7.1,3.3,1017.6,78,1020.9,
2016-02-27,-4.7,-2.7,-7.9,5.0,3.0,,79,10,5.9,3.1,1020.3,73,1023.6,
2016-02-28,-4.7,-1.5,-8.7,0.0,3.8,,67,,4.9,2.8,1024.4,66,1027.7,
2016-02-29,-2.9,1.2,-9.2,6.0,2.0,,73,12,7.7,4.1,1002.3,81,1005.5,
2016-03-01,-3.1,-0.1,-5.6,,2.3,,64,1,8.8,3.6,1001.4,75,1004.6,
2016-03-02,-5.0,-0.9,-7.4,0.0,2.3,,67,5,4.0,3.5,1013.1,84,1016.4,
2016-03-03,-5.4,-0.9,-10.2,0.0,4.4,,67,,4.0,3.2,1017.8,78,1021.1,
2016-03-04,-5.6,0.1,-11.6,1.0,4.4,,68,5,5.4,2.9,1028.6,71,1031.9,
2016-03-05,-3.2,2.3,-8.6,0.5,7.7,,67,,4.5,3.6,1031.4,75,1034.7,
2016-03-06,2.9,6.4,-3.1,10.5,0.0,,64,1,7.9,6.5,1015.3,84,1018.4,
2016-03-07,3.6,7.3,-0.9,1.0,2.7,,47,,6.5,6.0,1014.2,76,1017.3,
2016-03-08,1.9,7.8,-1.4,5.0,3.2,,42,,6.8,4.8,1006.7,69,1009.9,
2016-03-09,-0.4,0.7,-3.6,1.0,1.8,,38,,9.2,3.2,1011.8,54,1015.0,
2016-03-10,-2.4,0.6,-5.2,0.0,2.9,,43,9,3.7,4.0,1015.1,79,1018.3,
2016-03-11,-2.4,-0.7,-4.6,4.5,1.5,,51,10,6.4,3.8,1013.2,74,1016.4,
2016-03-12,-1.7,0.3,-4.3,0.0,2.9,,50,4,4.9,3.4,1019.2,63,1022.4,
2016-03-13,-1.1,3.8,-7.1,0.0,6.6,,47,,5.5,3.9,1019.7,69,1023.0,
2016-03-14,0.7,4.4,-3.3,0.5,1.2,,43,,5.1,5.1,1013.4,80,1016.6,
2016-03-15,0.1,1.4,-2.3,0.0,7.6,,41,,4.5,3.5,1010.9,57,1014.1,
2016-03-16,3.1,8.5,-5.1,,7.5,,38,,5.7,4.9,1007.8,63,1010.9,
2016-03-17,5.5,7.7,1.9,,4.8,,31,,6.1,6.7,1012.2,74,1015.3,
2016-03-18,7.4,13.8,1.5,,6.0,,24,,6.3,5.9,1009.1,58,1012.3,
2016-03-19,4.2,9.5,1.3,,0.0,,10,,3.8,7.2,1004.4,88,1007.5,
2016-03-20,-0.7,1.5,-2.8,0.0,2.8,,9,4,5.0,4.1,1012.2,71,1015.4,
2016-03-21,-0.9,1.9,-4.4,0.5,3.9,,10,2,4.9,3.9,1011.9,69,1015.1,
2016-03-22,2.5,4.2,-3.7,0.5,8.6,,7,1,6.6,4.1,1005.1,57,1008.2,
2016-03-23,-0.2,2.1,-2.0,8.0,2.2,,12,15,3.7,5.3,1008.0,88,1011.2,
2016-03-24,-0.2,3.3,-2.9,3.5,7.1,,15,3,3.4,5.0,1012.5,83,1015.7,
2016-03-25,-0.1,2.9,-4.0,4.0,6.1,,12,8,3.8,4.9,1012.7,81,1015.9,
2016-03-26,2.2,4.4,-0.3,0.5,7.6,,9,1,3.6,4.8,1014.6,67,1017.8,
2016-03-27,5.4,10.6,-0.3,,10.1,,5,,4.6,5.2,1011.5,61,1014.7,
2016-03-28,3.7,6.6,-1.2,2.0,10.8,,1,,4.1,5.3,1014.8,67,1017.9,
2016-03-29,4.4,11.2,-2.8,,9.7,,,,5.3,4.6,1018.0,59,1021.1,
2016-03-30,5.9,10.7,1.5,1.0,3.4,,,,6.0,6.7,1010.3,74,1013.5,
2016-03-31,3.7,7.0,0.2,0.0,4.3,,,,5.0,6.8,1012.1,87,1015.2,
2016-04-01,4.5,11.3,-0.9,,12.0,,,,4.1,6.4,1022.6,78,1025.8,
2016-04-02,5.2,8.5,2.2,,7.2,,,,6.6,5.4,1022.1,62,1025.3,
2016-04-03,7.0,9.0,4.7,3.0,4.5,,,,7.1,7.4,1012.7,74,1015.8,
2016-04-04,4.6,8.9,-0.6,,11.3,,,,4.3,6.1,1008.8,73,1011.9,
2016-04-05,4.7,10.9,-0.8,1.5,1.6,,,,7.6,5.9,1003.5,70,1006.7,
2016-04-06,7.1,8.5,5.1,,12.0,,,,7.9,6.7,1010.8,66,1013.9,
2016-04-07,7.8,12.2,1.5,,4.3,,,,5.9,5.2,1009.5,51,1012.6,
2016-04-08,6.0,8.5,4.4,0.0,2.2,,,,5.7,7.4,1002.5,79,1005.6,
2016-04-09,4.0,8.1,-0.1,1.0,3.1,,,,9.7,5.2,1001.4,64,1004.5,
2016-04-10,3.2,5.2,-0.1,,7.4,,,,6.6,4.3,1008.5,57,1011.6,
2016-04-11,1.5,4.1,-1.4,0.0,4.3,,,,5.0,5.2,1009.1,76,1012.3,
2016-04-12,5.3,8.1,2.9,,11.4,,,,5.0,5.1,1014.9,58,1018.1,
2016-04-13,6.0,9.1,2.9,0.0,0.0,,,,5.1,6.8,1007.7,72,1010.9,
2016-04-14,8.0,12.9,4.7,4.5,0.7,,,,3.0,9.9,1002.6,92,1005.7,
2016-04-15,3.4,6.3,1.7,4.0,0.1,,,,7.9,6.5,1005.7,83,1008.8,
2016-04-16,5.1,7.1,3.7,0.0,5.0,,,,3.9,6.4,1015.2,72,1018.3,
2016-04-17,6.2,8.0,4.4,4.0,0.0,,,,6.7,8.3,997.3,88,1000.3,
2016-04-18,3.7,7.3,0.8,8.0,0.7,,,,3.9,7.4,998.9,92,1002.0,
2016-04-19,2.9,5.1,0.1,1.5,5.0,,,,2.9,6.0,1013.3,80,1016.5,
2016-04-20,7.3,12.8,1.4,1.5,4.6,,,,4.1,6.9,1013.9,71,1017.0,
2016-04-21,9.1,13.3,5.4,,11.5,,,,3.6,8.6,1006.1,75,1009.2,
2016-04-22,10.9,19.2,4.1,,11.6,,,,4.2,8.9,1005.4,70,1008.4,
2016-04-23,9.1,11.8,6.3,0.0,1.1,,,,5.5,8.1,1004.2,70,1007.3,
2016-04-24,7.8,10.4,5.1,,11.1,,,,4.2,8.9,1009.4,84,1012.5,
2016-04-25,6.8,11.1,1.6,,10.7,,,,3.9,8.2,1016.5,84,1019.7,
2016-04-26,6.5,9.6,3.8,,3.3,,,,3.6,8.0,1015.4,83,1018.5,
2016-04-27,5.1,8.9,0.0,,13.5,,,,2.4,6.6,1014.2,76,1017.3,
