calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.1,1.3,-4.3,0.5,0.4,,14,4,3.9,,,,,
2016-01-02,0.0,2.3,-2.6,8.0,0.0,,22,11,4.0,,,,,
2016-01-03,-2.2,-1.0,-3.2,1.0,0.3,,25,5,5.4,,,,,
2016-01-04,-3.3,-1.4,-4.9,0.5,1.0,,25,5,5.8,,,,,
2016-01-05,-5.0,-2.8,-6.3,1.0,0.2,,30,8,6.4,,,,,
2016-01-06,-3.9,-1.9,-5.9,0.5,0.0,,38,15,6.7,,,,,
2016-01-07,-4.4,-2.4,-5.9,0.5,0.0,,37,2,5.6,,,,,
2016-01-08,-3.9,-2.1,-6.1,6.5,0.0,,49,19,4.9,,,,,
2016-01-09,-5.3,-3.4,-7.0,3.0,0.1,,57,12,5.2,,,,,
2016-01-10,-6.2,-3.1,-7.6,4.0,0.1,,65,12,3.8,,,,,
2016-01-11,-9.1,-6.4,-13.4,5.5,0.0,,65,9,3.0,,,,,
2016-01-12,-7.8,-6.6,-9.0,2.5,0.0,,69,12,4.4,,,,,
2016-01-13,-7.8,-6.3,-9.2,6.5,0.0,,77,16,1.8,,,,,
2016-01-14,-8.2,-6.1,-11.4,0.0,0.9,,74,0,4.8,,,,,
2016-01-15,-10.1,-5.9,-19.1,4.5,6.0,,75,16,1.6,,,,,
2016-01-16,-8.4,-5.5,-16.5,1.5,4.1,,77,3,1.8,,,,,
2016-01-17,-10.7,-5.5,-20.9,0.5,3.6,,67,3,1.4,,,,,
2016-01-18,-5.1,-1.4,-9.4,0.0,4.5,,70,12,5.9,,,,,
2016-01-19,-2.1,-1.2,-3.4,0.0,0.0,,76,15,9.5,,,,,
2016-01-20,-3.7,-2.2,-5.8,1.5,0.4,,80,13,6.6,,,,,
2016-01-21,-6.9,-3.2,-15.0,3.5,2.0,,72,10,1.9,,,,,
2016-01-22,-2.6,-0.3,-7.8,3.0,0.0,,76,6,3.1,,,,,
2016-01-23,-6.1,-3.8,-13.5,0.5,0.9,,77,2,3.4,,,,,
2016-01-24,-9.6,-6.7,-16.9,0.0,5.7,,73,0,3.9,,,,,
2016-01-25,-9.6,-3.2,-20.3,0.5,0.0,,72,4,2.8,,,,,
2016-01-26,-0.5,0.8,-3.6,0.0,0.6,,69,5,7.5,,,,,
2016-01-27,-3.0,-0.4,-4.5,0.0,0.9,,64,2,6.6,,,,,
2016-01-28,-6.5,-3.1,-9.1,0.0,1.0,,67,16,7.8,,,,,
2016-01-29,-7.8,-5.9,-9.9,0.0,1.4,,69,11,4.6,,,,,
2016-01-30,-9.6,-7.2,-12.6,0.5,5.7,,69,3,2.3,,,,,
2016-01-31,-8.3,-6.6,-10.4,0.5,0.2,,70,6,4.2,,,,,
2016-02-01,-9.8,-8.3,-11.3,0.5,0.3,,73,6,3.1,,,,,
2016-02-02,-8.1,-5.5,-10.2,1.5,0.3,,77,7,3.2,,,,,
2016-02-03,-7.6,-3.1,-17.4,2.5,0.6,,82,8,2.3,,,,,
2016-02-04,-0.7,1.7,-11.1,0.5,2.6,,77,5,4.6,,,,,
2016-02-05,-3.4,0.0,-5.2,0.0,1.9,,74,1,6.4,,,,,
2016-02-06,-6.2,-3.9,-8.7,1.0,2.7,,73,7,4.2,,,,,
2016-02-07,-6.5,-3.1,-9.0,0.5,1.3,,73,4,5.6,,,,,
2016-02-08,-8.2,-4.2,-12.7,0.0,4.2,,73,1,2.2,,,,,
2016-02-09,-3.0,0.3,-7.8,1.5,0.3,,73,6,4.9,,,,,
2016-02-10,-3.4,-1.6,-5.3,0.0,0.1,,76,8,6.1,,,,,
2016-02-11,-3.6,-0.2,-7.5,1.0,1.2,,81,16,2.0,,,,,
2016-02-12,2.0,4.9,-1.8,0.0,0.0,,74,7,8.7,,,,,
2016-02-13,3.2,5.0,0.2,2.0,0.0,,61,0,5.9,,,,,
2016-02-14,-4.9,0.3,-8.4,1.5,0.0,,67,26,9.2,,,,,
2016-02-15,-7.9,-4.9,-12.3,2.0,0.3,,77,13,5.5,,,,,
2016-02-16,-6.2,-4.3,-8.2,0.0,1.0,,77,1,5.8,,,,,
2016-02-17,-5.5,-3.9,-7.4,0.0,1.0,,73,5,7.8,,,,,
2016-02-18,-1.3,0.6,-5.1,0.0,0.3,,69,1,6.2,,,,,
2016-02-19,-0.3,2.2,-3.0,2.0,1.2,,73,13,2.1,,,,,
2016-02-20,-0.5,1.0,-3.7,0.5,1.6,,72,1,6.0,,,,,
2016-02-21,-3.7,-1.1,-9.0,0.0,0.0,,69,6,4.8,,,,,
2016-02-22,-4.5,-1.2,-9.4,1.5,0.2,,74,6,4.9,,,,,
2016-02-23,-5.8,-0.9,-12.3,2.0,0.5,,81,15,4.5,,,,,
