calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.7,-0.6,-7.7,1.5,0.0,,23,4,1.8,,,,,
2016-01-02,-0.1,3.7,-7.7,9.0,0.4,,27,9,2.0,,,,,
2016-01-03,-1.3,0.8,-7.6,0.0,1.8,,21,0,2.7,,,,,
2016-01-04,-4.5,-0.8,-9.4,0.5,0.1,,21,2,1.6,,,,,
2016-01-05,-4.5,-2.6,-6.0,3.5,0.2,,28,8,3.2,,,,,
2016-01-06,-2.7,-0.5,-5.0,0.5,0.4,,27,2,2.1,,,,,
2016-01-07,-3.9,-2.3,-4.8,2.5,0.1,,33,7,2.8,,,,,
2016-01-08,-2.7,-1.6,-4.7,0.5,0.5,,32,2,2.4,,,,,
2016-01-09,-4.3,-2.6,-6.7,0.5,0.8,,31,3,2.5,,,,,
2016-01-10,-5.0,-2.2,-8.4,10.0,0.0,,44,17,2.9,,,,,
2016-01-11,-8.1,-6.7,-9.0,6.5,0.0,,50,9,2.7,,,,,
2016-01-12,-7.1,-5.2,-8.8,7.5,0.4,,58,15,2.0,,,,,
2016-01-13,-5.6,-2.0,-8.6,3.0,1.2,,58,5,0.9,,,,,
2016-01-14,-4.2,-2.2,-5.4,13.0,1.7,,73,26,3.4,,,,,
2016-01-15,-5.4,-3.2,-8.0,13.5,0.3,,90,20,,,,,,
2016-01-16,-5.3,-2.5,-7.4,10.0,2.4,,91,12,1.7,,,,,
2016-01-17,-7.7,-1.7,-16.2,3.0,3.2,,93,5,0.9,,,,,
2016-01-18,-5.3,0.4,-15.5,2.5,0.0,,84,2,2.3,,,,,
2016-01-19,-2.9,-0.9,-5.4,3.0,0.0,,82,3,,,,,,
2016-01-20,-1.3,0.7,-5.2,5.0,3.9,,81,6,4.0,,,,,
2016-01-21,-2.0,-0.2,-4.2,7.0,2.1,,88,9,3.2,,,,,
2016-01-22,-4.1,0.2,-12.5,12.5,1.2,,107,21,,,,,,
2016-01-23,-10.1,-2.1,-18.7,0.0,5.8,,104,0,0.6,,,,,
2016-01-24,-7.9,-0.8,-13.2,0.0,3.3,,94,0,0.7,,,,,
2016-01-25,-6.9,-3.2,-12.4,3.5,0.0,,93,7,1.4,,,,,
2016-01-26,-2.6,1.7,-7.1,0.5,1.4,,90,0,0.7,,,,,
2016-01-27,-1.8,-0.1,-4.3,2.5,3.2,,91,6,2.3,,,,,
2016-01-28,-3.2,-1.0,-5.4,0.0,0.4,,85,0,4.8,,,,,
2016-01-29,-5.2,-3.5,-6.7,0.0,0.1,,81,0,3.2,,,,,
2016-01-30,-5.9,-2.9,-8.7,3.5,3.0,,87,10,1.1,,,,,
2016-01-31,-6.4,-4.6,-7.8,7.0,1.0,,97,13,2.6,,,,,
2016-02-01,-6.8,-5.1,-7.7,3.5,1.5,,97,9,2.2,,,,,
2016-02-02,-6.1,-4.0,-8.1,6.0,0.4,,106,13,2.7,,,,,
2016-02-03,-3.7,-1.7,-5.5,0.5,1.1,,100,0,2.1,,,,,
2016-02-04,-2.6,0.8,-6.1,4.0,1.3,,99,8,0.7,,,,,
2016-02-05,-3.2,-1.3,-6.0,1.0,1.6,,96,3,2.5,,,,,
2016-02-06,-5.9,-3.3,-8.1,6.0,0.6,,100,11,2.2,,,,,
2016-02-07,-4.3,-1.5,-7.4,3.5,1.7,,101,4,2.8,,,,,
2016-02-08,-3.8,0.6,-13.1,0.5,8.2,,97,0,1.9,,,,,
2016-02-09,0.9,3.0,-1.6,7.5,2.5,,96,8,3.2,,,,,
2016-02-10,-2.2,-0.1,-4.3,2.5,2.1,,100,5,4.6,,,,,
2016-02-11,-3.7,1.0,-11.1,0.0,5.6,,96,0,1.8,,,,,
2016-02-12,-3.0,3.7,-14.0,0.0,1.9,,92,0,1.6,,,,,
2016-02-13,2.8,6.0,0.9,0.5,0.0,,88,0,1.2,,,,,
2016-02-14,2.2,6.3,-2.6,17.0,0.0,,79,3,3.5,,,,,
2016-02-15,-7.2,-2.3,-9.3,7.5,0.4,,86,13,3.5,,,,,
2016-02-16,-6.0,-3.6,-8.7,4.0,1.0,,89,6,1.1,,,,,
2016-02-17,-4.6,-1.6,-6.4,7.5,0.1,,98,14,3.2,,,,,
2016-02-18,-0.9,2.8,-3.9,4.0,0.3,,99,8,1.6,,,,,
2016-02-19,0.8,3.8,-3.0,5.0,0.2,,88,2,1.6,,,,,
2016-02-20,0.7,3.7,-3.6,4.5,3.3,,85,8,1.2,,,,,
2016-02-21,-0.4,1.7,-4.3,10.5,0.0,,95,14,3.4,,,,,
2016-02-22,-3.7,-1.4,-8.4,0.0,2.8,,93,0,2.9,,,,,
2016-02-23,-2.9,0.8,-7.8,11.0,0.0,,109,22,2.1,,,,,
2016-02-24,-6.6,-4.6,-8.1,2.5,0.3,,115,12,3.2,,,,,
2016-02-25,-6.7,-3.7,-10.0,4.0,0.4,,115,5,1.7,,,,,
2016-02-26,-5.5,-2.2,-8.7,4.0,3.8,,118,10,2.0,,,,,
2016-02-27,-5.1,-2.3,-9.7,5.0,0.3,,119,8,1.9,,,,,
2016-02-28,-6.1,-0.2,-16.9,0.0,8.0,,111,0,1.1,,,,,
2016-02-29,0.9,6.4,-2.9,13.5,2.4,,117,11,5.7,,,,,
2016-03-01,-2.7,-0.1,-5.0,8.0,1.1,,113,12,6.2,,,,,
2016-03-02,-4.4,-1.0,-8.5,5.0,0.7,,118,7,1.7,,,,,
2016-03-03,-2.1,3.1,-7.0,2.5,1.7,,114,3,1.5,,,,,
2016-03-04,-3.5,1.7,-10.1,0.0,2.6,,109,0,1.3,,,,,
2016-03-05,-4.0,2.6,-15.2,0.0,9.6,,106,0,1.7,,,,,
