calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.8,-1.6,-4.1,2.5,0.2,,71,4,2.5,3.9,997.8,79,1021.8,
2016-01-02,0.2,2.9,-2.5,6.0,0.3,,69,6,3.9,5.1,989.5,82,1012.9,
2016-01-03,-1.5,0.2,-2.9,0.0,0.6,,66,1,3.9,3.5,990.3,65,1013.9,
2016-01-04,-3.5,-1.9,-5.5,7.5,0.0,,73,13,3.0,3.6,989.3,77,1013.1,
2016-01-05,-5.6,-3.6,-6.8,8.0,0.3,,77,9,4.2,3.2,990.9,81,1014.9,
2016-01-06,-3.8,-1.6,-6.0,3.0,0.0,,77,4,4.2,3.6,990.3,78,1014.1,
2016-01-07,-4.9,-3.7,-5.5,6.0,0.2,,80,9,3.3,3.6,986.4,85,1010.2,
2016-01-08,-4.2,-2.6,-5.5,6.0,0.0,,82,8,2.5,3.7,986.6,83,1010.4,
2016-01-09,-5.4,-3.6,-6.5,5.5,0.2,,83,6,2.7,3.4,990.8,83,1014.8,
2016-01-10,-5.8,-3.4,-9.4,14.5,0.4,,97,19,4.3,3.4,989.0,84,1013.0,
2016-01-11,-8.8,-7.1,-9.9,6.5,0.3,,96,10,3.2,2.4,991.9,77,1016.2,
2016-01-12,-8.0,-6.1,-9.9,8.0,0.1,,98,9,2.8,2.9,988.9,85,1013.1,
2016-01-13,-6.3,-3.6,-8.4,2.5,0.5,,98,2,2.6,3.1,986.7,83,1010.7,
2016-01-14,-5.5,-3.6,-7.3,19.0,2.1,,116,28,3.1,3.5,986.2,88,1010.1,
2016-01-15,-8.9,-4.7,-14.1,5.0,3.8,,114,9,2.0,2.8,991.6,86,1015.9,
2016-01-16,-7.4,-4.9,-10.0,12.5,0.6,,121,14,2.0,3.2,993.4,90,1017.7,
2016-01-17,-9.4,-4.5,-14.8,5.0,4.0,,122,4,1.4,2.7,998.5,87,1023.1,
2016-01-18,-7.5,-1.7,-15.6,1.5,0.0,,112,,3.1,3.1,989.5,84,1013.7,
2016-01-19,-2.4,-1.1,-4.5,2.0,0.0,,106,3,3.8,4.2,975.6,84,999.0,
2016-01-20,-2.5,-1.2,-3.7,10.5,0.0,,118,19,5.5,4.4,984.2,86,1007.7,
2016-01-21,-3.9,-0.7,-7.1,6.0,2.7,,128,10,2.7,3.7,990.9,80,1014.7,
2016-01-22,-6.9,-0.8,-14.9,7.0,5.3,,131,18,1.7,3.3,992.6,86,1016.7,
2016-01-23,-7.2,-2.1,-13.4,0.5,6.6,,131,,1.9,2.9,991.4,81,1015.5,
2016-01-24,-8.2,-1.7,-14.5,1.0,6.2,,118,3,1.8,2.7,979.5,79,1003.4,
2016-01-25,-8.4,-4.4,-17.2,4.0,1.1,,123,11,1.9,2.9,988.0,86,1012.2,
2016-01-26,-1.9,0.5,-5.4,2.0,0.0,,123,,4.7,4.6,992.9,85,1016.6,
2016-01-27,-2.8,-0.8,-4.2,8.0,0.6,,130,15,3.2,3.7,995.2,75,1019.1,
2016-01-28,-4.8,-2.3,-7.3,2.5,0.0,,121,4,5.9,3.0,999.7,69,1023.8,
2016-01-29,-6.9,-5.3,-9.8,1.0,0.1,,117,3,3.6,2.6,1002.6,71,1027.0,
2016-01-30,-10.2,-4.5,-17.0,1.5,5.6,,115,5,1.3,2.3,998.6,79,1023.2,
2016-01-31,-7.5,-5.7,-8.6,7.5,1.0,,123,12,3.2,2.7,995.2,77,1019.5,
2016-02-01,-7.9,-6.4,-9.2,11.0,0.8,,134,15,2.4,2.9,995.6,86,1019.9,
2016-02-02,-7.5,-5.0,-10.2,9.0,0.1,,141,13,2.9,3.0,992.1,86,1016.3,
2016-02-03,-6.2,-3.0,-9.3,5.5,0.7,,144,10,2.1,3.4,996.2,88,1020.4,
2016-02-04,-2.3,0.6,-5.5,4.0,1.7,,134,7,2.9,4.5,991.5,87,1015.2,
2016-02-05,-4.0,-2.1,-6.7,2.0,0.2,,129,2,3.6,3.4,989.5,75,1013.3,
2016-02-06,-6.7,-3.9,-8.7,8.0,1.9,,129,9,3.4,3.2,989.7,86,1013.8,
2016-02-07,-6.0,-3.2,-9.2,10.5,0.4,,138,13,3.3,3.2,989.7,82,1013.7,
2016-02-08,-5.6,-1.7,-9.2,0.0,9.2,,134,,2.1,2.8,992.9,71,1017.0,
2016-02-09,0.0,1.9,-3.7,6.0,0.7,,125,3,5.3,5.1,981.1,83,1004.4,
2016-02-10,-3.6,-1.3,-6.7,1.0,3.4,,125,,4.6,3.8,992.0,81,1015.8,
2016-02-11,-4.9,-0.7,-10.2,0.0,7.8,,122,,2.2,3.1,1006.3,73,1030.6,
2016-02-12,-2.2,3.5,-12.4,,2.2,,119,,3.0,4.1,1003.8,76,1027.8,
2016-02-13,3.6,6.1,1.3,2.0,0.0,,115,,2.5,7.3,990.4,92,1013.6,
2016-02-14,2.3,7.4,-3.1,10.0,0.0,,104,2,3.5,7.1,970.0,95,992.8,
2016-02-15,-7.9,-2.9,-10.3,7.5,0.2,,108,9,4.6,2.7,978.7,80,1002.6,
2016-02-16,-6.9,-4.8,-10.2,16.0,0.0,,131,25,3.5,3.3,983.0,90,1006.9,
2016-02-17,-5.8,-3.8,-7.2,18.5,0.1,,145,18,4.7,3.2,986.2,82,1010.1,
2016-02-18,-1.1,2.5,-5.0,2.5,2.3,,137,2,3.8,4.6,993.6,81,1017.3,
2016-02-19,0.0,3.0,-4.2,6.5,0.0,,125,1,2.7,5.4,994.9,87,1018.5,
2016-02-20,-0.3,2.2,-5.0,4.0,4.9,,123,7,2.8,4.3,1000.0,72,1023.7,
2016-02-21,-1.3,2.1,-4.4,12.5,1.3,,133,15,4.6,4.8,987.6,86,1011.2,
2016-02-22,-4.6,-3.3,-5.6,1.0,0.0,,133,1,4.1,3.1,1002.9,71,1027.1,
2016-02-23,-3.3,0.1,-6.5,7.5,0.0,,137,13,2.4,4.2,995.9,88,1019.9,
2016-02-24,-8.1,-5.7,-11.4,2.0,2.4,,135,3,2.6,2.5,999.9,76,1024.4,
2016-02-25,-8.4,-4.6,-11.6,9.0,0.2,,144,14,2.7,2.7,999.7,84,1024.2,
2016-02-26,-6.8,-3.9,-8.7,15.0,0.2,,155,18,2.7,3.2,998.1,86,1022.4,
2016-02-27,-6.7,-3.2,-10.2,7.5,0.6,,160,8,2.3,2.9,1000.8,78,1025.1,
2016-02-28,-7.8,-1.6,-15.9,0.0,10.2,,150,,1.6,2.3,1003.8,70,1028.3,
2016-02-29,-0.1,5.9,-8.4,18.5,0.2,,144,2,8.4,4.7,981.0,78,1004.2,
2016-03-01,-3.7,-2.0,-6.1,18.0,1.5,,151,20,7.1,4.2,982.9,89,1006.5,
2016-03-02,-5.9,-2.7,-10.1,12.0,0.0,,169,20,2.3,3.4,993.5,87,1017.6,
2016-03-03,-4.6,1.8,-11.4,3.0,1.0,,161,4,2.4,3.9,996.4,87,1020.4,
2016-03-04,-8.5,0.3,-16.2,0.5,8.3,,153,,1.9,2.7,1008.4,80,1033.1,
2016-03-05,-6.5,2.4,-17.4,0.0,10.0,,148,,1.8,2.7,1010.9,70,1035.5,
2016-03-06,3.7,7.3,-1.8,19.0,0.0,,145,,5.3,7.0,996.5,85,1019.8,
2016-03-07,2.2,6.7,-1.7,0.0,1.1,,128,,2.4,5.8,995.0,82,1018.4,
2016-03-08,1.2,6.4,-2.6,2.5,2.6,,125,2,5.5,4.6,988.1,68,1011.5,
2016-03-09,-2.5,0.4,-5.2,0.0,2.0,,123,1,5.1,3.3,993.4,66,1017.1,
2016-03-10,-4.5,-0.2,-9.3,7.0,3.3,,133,15,1.7,3.9,995.5,88,1019.5,
2016-03-11,-4.9,-1.1,-9.8,10.5,1.0,,140,15,2.9,3.7,994.2,88,1018.2,
2016-03-12,-6.0,-0.9,-14.6,13.0,2.7,,161,22,1.9,3.4,999.8,85,1024.0,
2016-03-13,-5.6,2.3,-17.7,1.0,5.6,,149,,1.9,3.9,1000.1,86,1024.3,
2016-03-14,-0.7,5.8,-7.7,0.5,5.2,,132,,2.2,4.9,993.8,85,1017.4,
2016-03-15,-1.4,1.9,-6.5,0.5,8.6,,128,,3.7,3.5,991.5,65,1015.1,
2016-03-16,1.6,8.2,-8.6,,8.8,,126,,4.6,4.9,989.9,71,1013.3,
2016-03-17,3.0,9.8,-4.2,,10.7,,118,,1.7,5.5,994.1,74,1017.4,
2016-03-18,7.6,12.4,2.5,,5.2,,113,,4.1,6.5,990.8,64,1013.6,
2016-03-19,4.1,7.5,1.8,0.0,0.0,,105,,2.5,7.6,984.5,93,1007.5,
2016-03-20,-0.9,1.8,-4.9,0.0,2.2,,103,2,3.8,4.5,991.8,78,1015.4,
2016-03-21,-2.0,2.4,-6.0,0.0,7.6,,105,4,3.0,3.6,992.5,70,1016.2,
2016-03-22,-1.4,3.4,-8.6,0.0,2.7,,100,2,2.5,3.9,986.9,71,1010.4,
2016-03-23,0.4,3.9,-3.2,1.0,6.9,,101,2,3.3,4.7,988.6,77,1012.0,
2016-03-24,-2.0,3.3,-6.6,5.0,5.7,,101,8,1.9,4.6,992.6,88,1016.3,
2016-03-25,-0.7,3.9,-5.6,5.0,3.6,,105,8,2.5,5.0,993.2,86,1016.8,
2016-03-26,-0.6,5.3,-7.3,0.0,8.1,,98,,2.1,4.5,995.0,79,1018.7,
2016-03-27,3.6,9.3,-4.9,,11.4,,93,,3.2,5.2,993.0,67,1016.2,
2016-03-28,3.4,7.3,-3.8,0.0,9.7,,86,,2.7,5.0,994.9,66,1018.2,
2016-03-29,3.1,9.7,-5.7,,6.4,,78,,2.7,5.5,998.4,72,1021.8,
2016-03-30,4.2,9.5,-1.9,2.0,3.0,,72,,4.1,7.0,991.1,85,1014.2,
2016-03-31,2.4,7.6,-3.4,,8.3,,67,,2.5,5.7,993.2,79,1016.5,
2016-04-01,4.5,9.9,-0.1,,11.9,,62,,3.3,5.9,1002.1,72,1025.5,
2016-04-02,3.5,6.0,1.7,,7.9,,54,,6.1,5.7,1002.9,72,1026.4,
2016-04-03,6.0,8.6,3.5,3.0,2.5,,48,,3.4,6.4,994.1,69,1017.2,
2016-04-04,3.6,8.8,-1.2,,9.0,,42,,2.2,5.7,989.6,73,1012.7,
2016-04-05,4.6,11.5,-3.0,2.5,9.0,,36,,4.1,5.5,985.9,68,1008.9,
2016-04-06,6.7,10.6,2.7,,10.6,,28,,5.1,4.8,992.8,51,1015.7,
2016-04-07,5.6,10.4,0.8,2.0,0.0,,20,,2.7,5.6,990.4,64,1013.4,
2016-04-08,4.3,8.6,-1.5,1.0,2.0,,16,,2.4,7.2,984.1,86,1007.1,
2016-04-09,4.1,9.6,-2.4,1.0,4.9,,11,,5.6,4.2,983.8,52,1006.7,
2016-04-10,1.8,4.1,-1.2,,4.6,,6,,3.8,3.4,989.3,49,1012.6,
2016-04-11,0.1,4.1,-3.0,9.0,2.0,,17,18,3.3,5.2,989.8,85,1013.3,
2016-04-12,3.3,8.2,-3.8,0.0,9.9,,9,,2.7,4.3,995.6,59,1019.0,
2016-04-13,6.9,11.3,2.8,7.0,0.5,,2,,3.8,7.0,988.4,70,1011.2,
2016-04-14,7.5,12.4,4.5,5.5,0.1,,,,1.7,9.7,983.4,94,1006.1,
2016-04-15,3.1,5.8,2.0,3.0,1.0,,,,5.2,6.6,987.2,86,1010.3,
2016-04-16,5.7,11.5,-1.6,0.0,4.4,,,,2.0,6.0,995.1,67,1018.2,
2016-04-17,8.0,12.8,4.7,12.0,0.0,,,,5.1,8.4,976.0,78,998.4,
2016-04-18,4.5,7.4,2.2,6.0,1.1,,,,3.9,7.4,980.6,89,1003.5,
2016-04-19,3.1,5.9,1.6,3.0,0.4,,,,1.9,7.0,993.5,92,1016.8,
2016-04-20,7.7,14.2,2.0,,9.5,,,,4.7,6.8,995.4,67,1018.3,
2016-04-21,11.7,17.8,6.1,,10.4,,,,3.5,8.7,987.2,64,1009.6,
2016-04-22,11.3,20.6,4.6,,10.1,,,,3.6,8.2,986.2,62,1008.6,
2016-04-23,8.3,11.5,5.3,9.0,0.9,,,,3.9,8.9,985.5,82,1008.1,
2016-04-24,7.1,12.3,2.7,,9.9,,,,2.1,7.4,990.8,76,1013.7,
2016-04-25,7.6,14.5,1.4,,10.8,,,,2.3,6.8,997.0,69,1020.0,
2016-04-26,5.9,12.1,2.1,,0.9,,,,2.6,7.1,995.8,77,1018.9,
2016-04-27,6.2,12.6,0.8,,13.1,,,,2.8,5.8,994.0,64,1017.0,
2016-04-28,5.2,10.5,-1.1,0.0,4.0,,,,3.9,6.7,986.7,76,1009.7,
2016-04-29,3.4,5.8,0.9,10.5,0.0,,,,4.7,7.2,979.0,92,1001.9,
2016-04-30,3.0,6.4,0.1,1.5,5.9,,,,4.8,5.6,986.3,75,1009.4,
2016-05-01,4.2,11.3,-0.5,,7.4,,,,2.2,5.6,992.3,71,1015.5,
2016-05-02,7.9,15.6,-2.0,0.0,8.3,,,,3.3,6.8,995.8,66,1018.8,
2016-05-03,16.3,24.0,8.9,,8.9,,,,5.2,10.4,988.1,58,1010.1,
2016-05-04,13.0,16.3,9.5,7.0,1.0,,,,4.7,12.7,976.5,84,998.6,
2016-05-05,9.4,10.7,8.1,2.5,0.0,,,,3.7,10.5,979.9,89,1002.3,
2016-05-06,10.5,13.6,7.7,0.5,1.3,,,,2.1,10.6,990.7,84,1013.3,
2016-05-07,10.8,13.7,8.7,8.0,3.3,,,,5.8,10.5,978.2,81,1000.5,
2016-05-08,11.1,16.6,4.4,0.5,11.1,,,,6.5,7.2,987.6,58,1010.0,
2016-05-09,10.7,17.2,1.8,,5.7,,,,2.4,6.7,993.7,57,1016.4,
2016-05-10,12.7,20.0,6.7,1.0,0.5,,,,3.2,8.7,991.5,62,1013.9,
2016-05-11,10.5,12.1,8.3,22.0,0.0,,,,3.2,11.3,980.9,90,1003.2,
2016-05-12,7.8,10.1,5.4,6.0,1.7,,,,3.9,9.9,987.5,93,1010.2,
2016-05-13,12.8,22.0,5.3,,11.1,,,,4.8,10.0,994.4,71,1016.9,
2016-05-14,11.8,20.4,2.7,,13.3,,,,2.2,7.6,1004.2,60,1027.0,
2016-05-15,13.0,17.1,7.8,,2.0,,,,6.7,4.8,998.5,33,1021.0,
2016-05-16,12.4,16.7,9.1,1.5,3.2,,,,6.9,10.3,986.9,71,1009.2,
2016-05-17,13.6,18.7,9.4,1.5,10.8,,,,5.4,10.6,988.9,71,1011.2,
2016-05-18,13.8,20.5,8.2,,13.1,,,,3.2,11.1,995.6,73,1018.0,
2016-05-19,15.5,25.0,5.2,,12.4,,,,3.1,10.6,999.7,65,1022.0,
2016-05-20,16.8,26.8,6.5,,13.1,,,,2.4,10.6,999.2,61,1021.4,
2016-05-21,17.6,28.4,5.7,,13.7,,,,2.8,10.5,996.5,57,1018.6,
2016-05-22,16.7,28.9,8.9,,13.9,,,,2.9,12.1,993.9,68,1016.0,
2016-05-23,14.7,23.9,8.2,,8.6,,,,2.4,12.2,991.7,76,1013.9,
2016-05-24,14.2,19.9,8.7,0.0,2.9,,,,4.8,10.6,991.1,69,1013.4,
2016-05-25,15.9,19.6,12.6,0.5,1.4,,,,5.2,14.7,985.9,81,1007.9,
2016-05-26,17.4,22.3,14.3,0.0,4.1,,,,4.1,14.3,984.9,73,1006.7,
2016-05-27,14.0,18.2,7.0,0.0,8.8,,,,3.7,10.6,984.5,67,1006.6,
2016-05-28,12.3,18.7,5.5,2.0,10.6,,,,3.9,10.5,984.3,74,1006.6,
