calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.4,0.5,-3.1,1.5,1.1,,27,3,3.0,3.8,1017.9,70,1021.3,
2016-01-02,1.7,3.6,-0.4,6.0,0.5,,25,,3.0,5.4,1008.6,79,1011.9,
2016-01-03,-0.4,1.0,-1.6,0.0,1.3,,19,1,3.5,3.6,1009.9,61,1013.2,
2016-01-04,-2.3,-0.5,-5.3,0.0,0.2,,20,2,3.4,3.4,1009.1,65,1012.5,
2016-01-05,-4.6,-3.1,-5.6,2.5,1.0,,24,5,4.2,3.2,1010.7,74,1014.1,
2016-01-06,-2.7,-0.4,-4.5,1.5,0.3,,25,3,3.1,3.7,1009.8,74,1013.2,
2016-01-07,-3.5,-2.2,-4.3,0.5,2.6,,25,3,3.6,3.4,1006.1,73,1009.5,
2016-01-08,-3.0,-1.5,-4.6,3.0,0.3,,29,6,3.4,3.7,1006.2,76,1009.5,
2016-01-09,-4.1,-2.8,-5.1,1.5,0.9,,28,3,2.9,3.4,1010.7,75,1014.1,
2016-01-10,-4.6,-2.1,-8.2,4.5,0.2,,31,5,3.9,3.4,1009.0,78,1012.4,
2016-01-11,-7.7,-5.8,-9.1,0.5,5.9,,31,,4.2,2.2,1012.0,65,1015.4,
2016-01-12,-6.8,-5.2,-8.8,0.5,0.0,,29,2,3.1,2.7,1008.9,73,1012.3,
2016-01-13,-4.7,-2.4,-7.4,1.5,1.3,,31,4,1.8,3.4,1006.8,78,1010.2,
2016-01-14,-4.1,-1.8,-5.7,21.5,4.1,,60,32,3.6,3.7,1006.2,82,1009.6,
2016-01-15,-4.4,-3.6,-5.3,3.5,5.5,,59,5,2.2,3.5,1011.7,79,1015.1,
2016-01-16,-4.5,-1.7,-5.8,4.5,3.7,,56,2,3.7,3.3,1013.3,75,1016.7,
2016-01-17,-4.8,-0.7,-8.7,2.0,4.8,,55,2,2.5,3.2,1018.6,74,1022.0,
2016-01-18,-6.0,-3.0,-9.6,2.5,0.0,,51,4,3.2,3.2,1010.9,82,1014.3,
2016-01-19,-1.0,1.5,-3.3,8.0,0.0,,57,7,3.3,4.6,996.4,82,999.7,
2016-01-20,-0.3,0.5,-1.9,1.5,0.0,,54,,6.5,4.3,1005.0,73,1008.3,
2016-01-21,-1.9,-0.6,-3.2,6.5,0.2,,60,9,3.4,3.8,1011.0,71,1014.4,
2016-01-22,-2.5,0.1,-4.0,8.5,0.1,,64,7,4.0,3.9,1012.3,75,1015.7,
2016-01-23,-4.3,-1.3,-8.1,0.5,7.1,,63,,3.1,3.0,1011.3,67,1014.7,
2016-01-24,-5.0,-2.3,-8.9,0.5,6.8,,59,,1.7,3.1,1000.0,74,1003.3,
2016-01-25,-4.7,-2.7,-7.1,2.5,1.1,,62,8,2.3,3.2,1008.0,75,1011.4,
2016-01-26,-0.4,1.1,-3.5,3.5,0.2,,62,4,2.1,4.9,1012.3,82,1015.6,
2016-01-27,-2.0,0.3,-3.6,4.5,3.3,,69,8,3.2,3.9,1015.0,74,1018.3,
2016-01-28,-4.3,-1.5,-6.7,2.0,0.9,,65,2,5.0,3.0,1019.8,67,1023.2,
2016-01-29,-5.7,-3.1,-7.0,0.5,5.4,,62,,4.4,2.5,1023.0,63,1026.4,
2016-01-30,-5.5,-3.0,-7.1,3.5,1.2,,65,8,2.3,3.2,1018.8,79,1022.2,
2016-01-31,-6.2,-4.2,-7.5,0.5,4.6,,63,,3.7,2.6,1015.6,67,1019.0,
2016-02-01,-6.3,-3.9,-8.0,0.0,7.9,,59,,4.3,2.3,1015.8,62,1019.2,
2016-02-02,-5.2,-2.7,-6.8,2.5,4.5,,60,4,4.1,3.0,1012.1,72,1015.5,
2016-02-03,-3.5,-1.2,-6.1,1.0,2.7,,62,2,3.5,3.3,1016.1,70,1019.5,
2016-02-04,-0.6,2.4,-2.6,5.5,3.1,,66,10,2.2,4.7,1011.1,80,1014.4,
2016-02-05,-3.1,-1.0,-5.6,1.0,1.5,,66,,3.4,3.6,1009.2,73,1012.5,
2016-02-06,-5.8,-3.6,-8.0,1.0,1.7,,62,1,3.1,3.1,1009.9,77,1013.3,
2016-02-07,-4.8,-1.7,-8.8,3.0,3.8,,63,5,4.7,3.0,1009.6,70,1013.0,
2016-02-08,-4.8,-1.5,-8.0,1.0,8.9,,64,1,2.7,2.9,1013.4,68,1016.8,
2016-02-09,0.7,3.8,-5.9,8.0,1.9,,63,7,3.3,5.1,1000.2,79,1003.5,
