calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.9,-1.0,-8.5,0.0,2.9,,62,0,2.1,,,,,
2016-01-02,-0.7,1.8,-4.4,8.0,0.1,,59,9,3.1,,,,,
2016-01-03,-1.2,0.8,-2.9,1.0,0.4,,57,2,4.1,,,,,
2016-01-04,-3.7,-2.4,-7.3,1.0,0.0,,58,7,3.3,,,,,
2016-01-05,-5.4,-3.6,-6.5,7.5,0.1,,72,20,4.0,,,,,
2016-01-06,-3.9,-2.1,-6.0,4.5,1.2,,79,17,4.7,,,,,
2016-01-07,-4.9,-3.1,-8.6,1.0,0.9,,79,5,3.0,,,,,
2016-01-08,-4.0,-1.7,-5.9,8.0,0.1,,85,20,4.2,,,,,
2016-01-09,-5.7,-3.8,-13.0,7.5,0.0,,101,22,3.6,,,,,
2016-01-10,-6.1,-3.6,-10.3,6.5,0.0,,99,10,3.7,,,,,
2016-01-11,-8.5,-6.9,-12.0,5.5,0.2,,106,15,3.6,,,,,
2016-01-12,-8.0,-6.1,-9.9,13.0,0.1,,125,29,4.1,,,,,
2016-01-13,-8.3,-4.1,-13.6,5.0,1.6,,131,10,1.8,,,,,
2016-01-14,-5.8,-3.5,-8.6,4.5,4.0,,117,3,3.6,,,,,
2016-01-15,-11.2,-7.8,-18.8,0.0,8.4,,107,0,2.5,,,,,
2016-01-16,-11.5,-7.3,-16.9,5.0,0.0,,110,10,1.7,,,,,
2016-01-17,-10.6,-5.4,-14.5,0.0,2.8,,107,0,1.0,,,,,
2016-01-18,-8.3,-1.7,-15.6,0.0,0.0,,100,6,4.6,,,,,
2016-01-19,-1.4,-0.2,-3.2,0.0,0.0,,93,0,5.9,,,,,
2016-01-20,-2.0,0.1,-6.1,0.0,2.8,,89,0,5.3,,,,,
2016-01-21,-6.0,-2.2,-11.5,0.0,2.8,,87,6,1.8,,,,,
2016-01-22,-8.4,-4.2,-15.3,0.0,1.1,,86,1,1.2,,,,,
