calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.7,-0.9,-3.9,3.5,1.3,,59,3,2.4,4.4,1014.7,87,1021.3,
2016-01-02,0.3,2.8,-2.0,11.5,0.1,,52,8,3.6,5.5,1005.9,88,1012.4,
2016-01-03,-0.9,1.0,-2.5,0.5,3.1,,50,,3.5,3.9,1006.7,69,1013.2,
2016-01-04,-3.2,-1.1,-5.3,6.5,0.6,,54,12,2.9,3.9,1005.9,82,1012.5,
2016-01-05,-5.1,-2.4,-7.8,6.5,1.5,,58,10,4.1,3.5,1007.4,85,1014.0,
2016-01-06,-3.6,-1.3,-5.9,4.5,0.3,,63,7,3.7,3.7,1006.9,80,1013.4,
2016-01-07,-4.5,-3.0,-6.1,9.0,0.5,,69,14,4.3,4.0,1002.8,90,1009.4,
2016-01-08,-3.4,-1.2,-5.9,1.5,2.2,,65,5,3.2,3.6,1003.1,75,1009.7,
2016-01-09,-5.0,-2.9,-6.9,11.0,1.9,,78,15,3.8,3.3,1007.7,78,1014.3,
2016-01-10,-5.0,-1.4,-7.7,6.0,2.0,,74,11,3.9,3.4,1005.6,81,1012.2,
2016-01-11,-8.4,-6.5,-9.5,8.5,1.6,,81,12,3.7,2.7,1008.5,83,1015.2,
2016-01-12,-7.6,-5.4,-10.8,3.5,0.3,,82,6,3.2,2.6,1005.8,74,1012.4,
2016-01-13,-6.0,-2.0,-8.8,4.5,2.8,,84,9,2.4,2.8,1004.0,72,1010.6,
2016-01-14,-5.4,-2.0,-8.3,9.5,2.5,,83,11,3.4,3.4,1002.8,85,1009.4,
2016-01-15,-8.8,-6.1,-11.0,1.5,8.8,,80,4,3.3,2.5,1008.9,79,1015.6,
2016-01-16,-7.3,-3.3,-11.1,13.5,0.3,,94,17,1.4,3.2,1010.2,91,1016.9,
2016-01-17,-7.5,-4.3,-13.0,3.0,0.9,,93,2,1.7,3.2,1015.6,90,1022.4,
2016-01-18,-7.7,-0.9,-14.5,1.5,0.0,,87,,3.5,2.8,1008.5,80,1015.2,
2016-01-19,-1.6,-0.4,-2.8,0.5,0.0,,80,,4.7,4.1,992.2,75,998.6,
2016-01-20,-2.2,0.2,-6.1,,4.6,,76,,4.5,3.5,1000.1,67,1006.6,
2016-01-21,-5.2,-3.1,-8.9,0.0,1.9,,73,2,2.1,3.5,1007.3,83,1014.0,
2016-01-22,-5.5,-2.6,-10.2,1.0,0.8,,73,2,1.5,3.6,1008.8,87,1015.4,
2016-01-23,-4.4,-1.2,-11.3,3.0,5.9,,79,8,2.0,3.2,1008.2,74,1014.8,
2016-01-24,-8.4,-5.3,-11.5,1.0,6.5,,74,,4.8,2.5,997.1,77,1003.7,
2016-01-25,-9.4,-4.3,-15.8,0.5,5.7,,71,2,2.7,2.4,1005.2,77,1011.9,
2016-01-26,-0.8,2.9,-4.7,0.5,0.3,,70,,4.5,4.1,1009.6,70,1016.2,
2016-01-27,-2.2,0.3,-4.8,2.0,2.9,,71,8,3.3,4.1,1011.8,79,1018.4,
2016-01-28,-5.3,-2.4,-8.6,11.5,0.3,,85,17,3.7,3.5,1016.4,85,1023.1,
2016-01-29,-7.0,-6.0,-10.2,12.0,0.0,,101,21,2.5,3.3,1019.7,90,1026.4,
2016-01-30,-10.4,-5.9,-15.4,0.0,8.5,,96,,2.0,2.2,1016.0,80,1022.8,
2016-01-31,-6.9,-4.1,-10.7,13.0,4.7,,105,26,3.2,2.9,1012.2,81,1018.9,
2016-02-01,-7.6,-6.1,-8.9,27.0,0.1,,138,35,2.6,3.1,1012.4,91,1019.1,
2016-02-02,-6.7,-2.6,-11.7,1.5,2.4,,134,,2.7,2.9,1008.7,79,1015.4,
2016-02-03,-6.3,-2.6,-12.4,5.5,0.2,,123,10,2.0,3.4,1013.1,88,1019.8,
2016-02-04,-1.6,1.8,-6.2,0.5,4.0,,118,,4.2,4.3,1008.4,79,1014.9,
2016-02-05,-3.1,-1.2,-6.0,2.0,4.6,,108,6,3.5,3.7,1006.0,76,1012.5,
2016-02-06,-6.4,-2.4,-10.6,13.0,3.9,,129,29,3.0,3.1,1006.7,82,1013.3,
2016-02-07,-6.1,-3.7,-9.0,17.0,0.8,,142,19,3.7,3.3,1006.4,85,1013.0,
2016-02-08,-5.5,-2.7,-8.9,0.0,8.4,,133,,2.0,2.8,1010.7,69,1017.3,
2016-02-09,0.5,3.7,-7.7,3.5,3.5,,119,5,5.6,5.2,997.9,82,1004.3,
2016-02-10,-2.6,0.5,-7.5,1.5,4.8,,114,1,3.5,4.4,1007.1,86,1013.6,
2016-02-11,-4.8,-0.6,-8.8,0.0,7.3,,107,,1.7,3.4,1023.0,80,1029.7,
2016-02-12,-0.8,3.6,-8.7,,2.0,,104,,4.0,4.4,1020.9,76,1027.5,
2016-02-13,4.4,7.1,1.8,0.5,0.2,,100,,5.0,7.1,1007.1,85,1013.5,
2016-02-14,0.5,2.7,-2.7,12.5,0.0,,85,1,4.0,6.1,986.6,96,993.0,
2016-02-15,-6.3,-2.1,-9.4,4.0,4.9,,83,4,5.1,2.8,994.6,72,1001.2,
