calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.7,-2.2,-8.0,0.0,0.1,,59,7,1.2,,,,,
2016-01-02,-1.0,1.5,-4.8,3.0,0.0,,59,7,2.5,,,,,
2016-01-03,-1.7,1.0,-3.7,0.0,0.4,,57,2,3.3,,,,,
2016-01-04,-4.2,-2.2,-9.9,1.0,0.0,,59,7,2.9,,,,,
2016-01-05,-5.6,-4.4,-6.8,1.5,0.0,,66,13,3.4,,,,,
2016-01-06,-4.3,-2.7,-6.1,2.5,0.0,,78,16,4.4,,,,,
2016-01-07,-4.8,-3.4,-5.9,0.5,1.3,,77,3,3.4,,,,,
2016-01-08,-4.4,-3.2,-6.3,5.5,0.0,,96,26,3.8,,,,,
2016-01-09,-5.3,-4.5,-7.5,3.0,0.5,,95,7,3.3,,,,,
2016-01-10,-6.1,-3.7,-10.0,4.0,0.4,,99,13,3.3,,,,,
2016-01-11,-8.7,-6.7,-10.5,0.5,1.5,,96,2,3.1,,,,,
2016-01-12,-8.1,-6.7,-10.0,2.5,0.1,,100,14,3.7,,,,,
2016-01-13,-7.0,-4.0,-9.2,0.5,0.8,,100,3,2.1,,,,,
2016-01-14,-6.3,-3.1,-9.0,2.0,4.8,,97,4,3.4,,,,,
2016-01-15,-12.1,-8.1,-17.4,0.0,8.2,,89,0,1.8,,,,,
2016-01-16,-12.2,-7.5,-17.4,0.0,0.7,,86,3,1.2,,,,,
2016-01-17,-9.8,-4.6,-13.5,0.0,3.6,,84,0,1.7,,,,,
2016-01-18,-9.5,-2.8,-18.3,0.0,0.0,,81,1,3.6,,,,,
2016-01-19,-1.4,-0.6,-3.9,0.0,0.0,,75,1,5.3,,,,,
2016-01-20,-2.6,-0.9,-4.9,0.0,0.4,,73,1,5.5,,,,,
2016-01-21,-5.9,-2.9,-9.5,1.5,4.0,,75,6,1.5,,,,,
2016-01-22,-6.7,-3.3,-14.5,3.0,0.0,,84,12,0.7,,,,,
2016-01-23,-5.9,-1.6,-12.9,0.0,1.3,,81,0,2.1,,,,,
2016-01-24,-11.3,-5.8,-18.2,0.0,6.3,,77,1,2.8,,,,,
2016-01-25,-12.4,-5.9,-20.8,0.0,6.4,,78,6,2.2,,,,,
2016-01-26,-2.4,0.5,-6.1,0.0,1.1,,80,4,3.1,,,,,
2016-01-27,-3.1,-0.6,-4.5,1.5,2.3,,83,13,3.5,,,,,
2016-01-28,-5.6,-3.5,-8.5,2.0,0.4,,89,8,3.7,,,,,
2016-01-29,-9.7,-5.6,-14.7,0.5,0.3,,84,3,2.3,,,,,
2016-01-30,-12.3,-6.1,-18.6,0.0,8.6,,81,1,1.7,,,,,
2016-01-31,-8.2,-4.4,-12.4,1.0,4.3,,85,8,3.1,,,,,
