calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.9,-3.3,-5.6,3.5,0.3,,46,14,1.6,,,,,
2016-01-02,-1.3,2.1,-5.4,4.0,0.1,,45,6,1.9,,,,,
2016-01-03,-3.0,-1.0,-6.5,0.0,3.0,,44,0,1.6,,,,,
2016-01-04,-5.7,-2.7,-8.6,0.5,1.5,,39,4,1.7,,,,,
2016-01-05,-7.6,-4.7,-12.4,0.5,3.7,,39,5,1.9,,,,,
2016-01-06,-5.4,-2.5,-8.3,0.5,1.9,,39,1,1.5,,,,,
2016-01-07,-6.2,-3.4,-9.0,2.0,0.7,,46,11,1.9,,,,,
2016-01-08,-5.4,-2.2,-8.8,0.5,2.6,,43,0,1.5,,,,,
2016-01-09,-7.6,-4.4,-11.3,0.0,4.3,,38,1,2.0,,,,,
2016-01-10,-7.7,-3.4,-11.5,1.0,2.0,,43,11,2.3,,,,,
2016-01-11,-10.3,-7.1,-13.6,1.0,3.1,,45,4,1.3,,,,,
2016-01-12,-11.2,-6.8,-15.6,0.0,0.1,,41,0,1.9,,,,,
2016-01-13,-9.1,-3.9,-14.6,0.0,1.8,,37,0,2.4,,,,,
2016-01-14,-6.2,-4.0,-8.2,9.0,3.6,,56,23,1.3,,,,,
2016-01-15,-9.8,-4.6,-13.4,0.0,7.4,,53,0,2.5,,,,,
2016-01-16,-8.7,-4.2,-13.9,1.0,3.9,,48,3,2.1,,,,,
2016-01-17,-9.0,-3.7,-12.9,0.5,3.3,,48,5,2.3,,,,,
2016-01-18,-7.0,-1.7,-14.2,0.0,0.0,,45,1,2.7,,,,,
2016-01-19,-3.1,-1.4,-4.5,0.0,0.0,,42,0,1.3,,,,,
2016-01-20,-3.2,-1.2,-5.6,0.0,1.9,,41,0,2.5,,,,,
2016-01-21,-5.1,-2.2,-8.3,0.0,3.3,,39,0,1.8,,,,,
2016-01-22,-5.3,-2.6,-9.8,0.0,0.5,,40,3,1.4,,,,,
2016-01-23,-5.5,-2.6,-11.1,0.5,4.4,,44,6,1.3,,,,,
2016-01-24,-7.1,-2.2,-10.6,0.0,4.7,,40,1,2.0,,,,,
2016-01-25,-8.6,-5.9,-13.9,0.0,6.1,,38,0,1.7,,,,,
2016-01-26,-2.7,1.5,-8.0,0.0,0.6,,37,2,2.0,,,,,
2016-01-27,-3.5,-0.3,-6.0,0.5,3.4,,41,7,1.9,,,,,
2016-01-28,-7.1,-4.7,-9.4,2.0,0.5,,51,15,2.2,,,,,
2016-01-29,-8.7,-7.0,-13.3,13.0,0.3,,84,35,1.5,,,,,
2016-01-30,-11.0,-4.9,-16.0,0.0,6.6,,77,0,2.3,,,,,
2016-01-31,-9.1,-5.7,-14.5,1.0,4.7,,67,6,1.4,,,,,
2016-02-01,-9.4,-7.0,-13.0,4.0,0.3,,69,9,1.2,,,,,
2016-02-02,-9.6,-4.6,-15.6,1.5,2.2,,66,5,2.2,,,,,
