calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.3,-1.5,-6.3,0.5,0.9,,17,3,2.1,,,,,
2016-01-02,-1.1,1.0,-3.5,5.5,0.0,,24,11,2.5,,,,,
2016-01-03,-3.7,-2.8,-5.0,2.5,1.0,,29,10,4.2,,,,,
2016-01-04,-5.2,-3.3,-7.9,0.0,0.7,,26,0,4.1,,,,,
2016-01-05,-6.6,-5.7,-7.8,2.5,0.2,,33,10,4.4,,,,,
2016-01-06,-5.5,-3.6,-7.6,1.5,0.1,,32,6,5.2,,,,,
2016-01-07,-6.0,-5.1,-6.8,1.5,0.1,,32,5,3.7,,,,,
2016-01-08,-5.2,-3.9,-7.2,1.5,1.6,,35,3,3.4,,,,,
2016-01-09,-6.6,-5.4,-8.4,2.5,2.0,,34,6,3.0,,,,,
2016-01-10,-7.4,-5.8,-11.1,4.0,0.2,,41,12,2.2,,,,,
2016-01-11,-10.4,-8.1,-14.2,4.0,0.4,,44,7,1.8,,,,,
2016-01-12,-9.2,-8.1,-11.7,0.0,0.0,,42,2,3.3,,,,,
2016-01-13,-8.1,-6.4,-9.9,2.0,0.0,,42,5,1.5,,,,,
2016-01-14,-8.9,-6.9,-14.6,0.5,0.3,,43,3,3.2,,,,,
2016-01-15,-10.5,-7.2,-19.5,0.0,0.3,,38,2,1.4,,,,,
2016-01-16,-8.8,-5.2,-17.5,2.5,0.7,,42,6,1.4,,,,,
2016-01-17,-11.1,-6.0,-17.0,0.0,0.0,,40,1,1.2,,,,,
2016-01-18,-5.9,-1.6,-16.0,0.0,5.2,,38,0,4.8,,,,,
2016-01-19,-2.4,-1.4,-3.5,1.5,0.0,,34,4,8.6,,,,,
2016-01-20,-3.9,-2.2,-5.0,4.0,0.0,,32,0,6.1,,,,,
2016-01-21,-6.1,-2.3,-12.3,2.0,1.5,,36,5,1.9,,,,,
2016-01-22,-3.1,-0.4,-7.6,4.5,0.0,,43,12,2.3,,,,,
2016-01-23,-6.4,-4.2,-12.9,0.5,0.9,,42,1,2.3,,,,,
2016-01-24,-10.0,-7.2,-15.9,0.0,7.2,,39,0,2.5,,,,,
2016-01-25,-10.2,-4.2,-19.4,1.5,0.2,,42,6,2.3,,,,,
2016-01-26,-1.9,-0.6,-4.4,0.0,1.4,,40,0,7.7,,,,,
2016-01-27,-4.6,-2.4,-5.9,0.0,1.0,,35,1,5.6,,,,,
2016-01-28,-7.9,-4.9,-10.2,0.0,0.5,,33,5,6.6,,,,,
2016-01-29,-8.9,-7.3,-10.8,0.0,2.4,,34,2,2.9,,,,,
2016-01-30,-11.0,-7.5,-16.7,0.5,5.8,,37,3,1.8,,,,,
2016-01-31,-9.5,-8.0,-13.0,2.0,0.3,,40,7,2.6,,,,,
2016-02-01,-10.7,-9.2,-14.6,2.5,2.1,,43,7,2.5,,,,,
2016-02-02,-9.2,-6.2,-12.5,3.0,0.7,,50,15,2.6,,,,,
2016-02-03,-9.0,-5.6,-12.4,1.0,2.2,,50,5,1.5,,,,,
2016-02-04,-4.3,0.1,-12.1,2.0,3.1,,47,5,3.0,,,,,
2016-02-05,-5.5,-1.5,-10.7,0.0,2.5,,45,0,5.1,,,,,
2016-02-06,-8.6,-4.4,-15.1,4.0,5.2,,54,12,2.8,,,,,
2016-02-07,-8.7,-5.4,-14.6,3.5,2.8,,55,7,3.4,,,,,
2016-02-08,-9.3,-6.0,-11.2,3.5,2.8,,60,7,1.8,,,,,
2016-02-09,-3.7,-0.4,-10.9,8.5,1.0,,66,17,3.5,,,,,
2016-02-10,-3.4,-2.3,-4.6,3.0,0.9,,66,6,5.6,,,,,
2016-02-11,-6.2,-3.0,-11.7,2.0,0.5,,59,5,1.5,,,,,
2016-02-12,0.9,4.3,-8.1,1.5,0.0,,53,1,5.9,,,,,
2016-02-13,2.7,4.7,-0.4,2.0,0.0,,41,0,3.8,,,,,
2016-02-14,-5.6,-0.2,-8.6,4.5,0.0,,41,15,6.0,,,,,
2016-02-15,-8.6,-6.2,-13.4,6.0,1.3,,51,18,3.6,,,,,
2016-02-16,-8.0,-6.1,-11.2,0.0,1.0,,48,3,3.7,,,,,
2016-02-17,-7.5,-5.9,-10.2,0.5,0.8,,52,7,6.5,,,,,
2016-02-18,-3.7,-0.8,-7.6,0.0,1.4,,38,0,5.4,,,,,
2016-02-19,-2.7,0.9,-7.7,0.5,1.1,,38,2,1.9,,,,,
2016-02-20,-1.9,-0.4,-4.9,1.0,1.3,,52,3,5.3,,,,,
2016-02-21,-4.2,-2.1,-10.1,0.5,0.0,,48,0,3.8,,,,,
2016-02-22,-5.8,-3.2,-10.7,3.0,1.4,,54,12,3.8,,,,,
2016-02-23,-7.1,-2.9,-16.7,3.5,0.6,,58,7,2.9,,,,,
2016-02-24,-11.9,-9.0,-22.5,0.0,5.2,,54,0,1.9,,,,,
2016-02-25,-10.1,-7.5,-14.4,2.0,2.7,,57,7,2.6,,,,,
2016-02-26,-9.6,-6.3,-13.9,0.5,1.1,,56,1,2.1,,,,,
2016-02-27,-9.1,-5.2,-14.5,2.0,0.8,,61,9,2.5,,,,,
