calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-7.6,-2.8,-13.3,0.0,0.6,,53,1,0.7,,,,,
2016-01-02,-3.2,-0.8,-6.7,13.5,0.0,,62,17,,,,,,
2016-01-03,-4.2,-2.2,-6.9,6.0,0.0,,72,15,,,,,,
2016-01-04,-5.6,-3.4,-8.0,3.5,0.1,,75,9,0.9,,,,,
2016-01-05,-7.5,-5.6,-11.4,6.0,0.0,,78,10,,,,,,
2016-01-06,-5.9,-3.3,-8.6,8.0,0.0,,88,19,1.9,,,,,
2016-01-07,-6.8,-5.5,-9.3,2.0,0.0,,88,5,1.3,,,,,
2016-01-08,-6.4,-4.2,-9.3,5.5,0.4,,89,12,0.6,,,,,
2016-01-09,-7.3,-5.3,-10.4,8.0,1.0,,91,13,,,,,,
2016-01-10,-8.0,-6.0,-17.8,8.5,0.0,,99,10,,,,,,
2016-01-11,-11.3,-8.2,-19.2,1.0,0.0,,95,2,0.8,,,,,
2016-01-12,-11.1,-8.2,-16.2,7.5,0.0,,93,8,,,,,,
2016-01-13,-9.6,-6.4,-13.8,2.0,0.0,,92,3,,,,,,
2016-01-14,-9.7,-6.5,-17.9,3.0,0.0,,102,14,,,,,,
2016-01-15,-15.3,-5.9,-23.5,0.0,3.4,,97,1,0.5,,,,,
2016-01-16,-12.2,-5.5,-21.1,1.5,0.9,,94,4,0.3,,,,,
2016-01-17,-14.6,-5.0,-26.2,0.0,5.1,,89,0,0.5,,,,,
2016-01-18,-9.0,-1.3,-22.0,0.0,4.0,,84,0,3.2,,,,,
2016-01-19,-2.0,-1.2,-3.0,6.0,0.0,,74,2,8.4,,,,,
2016-01-20,-3.4,-2.5,-4.3,5.0,0.0,,73,12,6.2,,,,,
2016-01-21,-6.5,-2.4,-10.9,0.0,2.0,,73,0,1.5,,,,,
2016-01-22,-4.4,-1.2,-10.3,8.5,0.0,,88,19,1.9,,,,,
2016-01-23,-7.0,-4.0,-15.7,0.5,0.2,,88,1,1.3,,,,,
2016-01-24,-14.1,-7.6,-22.3,0.0,1.7,,86,2,1.0,,,,,
2016-01-25,-13.9,-6.9,-26.2,0.0,0.5,,83,4,0.5,,,,,
2016-01-26,-2.5,0.0,-8.5,1.0,0.0,,87,4,1.8,,,,,
2016-01-27,-4.4,-1.8,-7.9,1.0,0.9,,86,6,2.2,,,,,
2016-01-28,-8.7,-4.2,-18.7,1.0,2.0,,86,6,3.8,,,,,
2016-01-29,-15.3,-6.7,-23.2,0.0,2.0,,83,0,1.0,,,,,
2016-01-30,-16.7,-5.9,-26.6,0.0,7.3,,79,0,0.7,,,,,
2016-01-31,-14.2,-7.8,-20.2,0.5,0.1,,79,3,0.6,,,,,
2016-02-01,-14.8,-8.5,-23.5,0.0,3.9,,78,0,1.0,,,,,
2016-02-02,-12.0,-6.4,-16.9,0.5,0.3,,80,4,1.0,,,,,
2016-02-03,-12.3,-4.9,-21.4,0.5,0.4,,82,5,0.8,,,,,
2016-02-04,-6.9,0.0,-20.9,1.0,2.2,,83,4,0.7,,,,,
2016-02-05,-5.1,-2.3,-9.0,0.0,3.4,,83,2,2.4,,,,,
2016-02-06,-11.3,-4.4,-21.1,0.5,2.6,,80,3,1.5,,,,,
2016-02-07,-11.3,-5.6,-23.9,4.0,3.5,,88,10,0.9,,,,,
2016-02-08,-13.1,-5.6,-22.2,0.5,5.7,,88,2,0.6,,,,,
2016-02-09,-9.2,-2.8,-17.1,2.5,0.0,,86,6,0.7,,,,,
2016-02-10,-3.5,-1.7,-7.7,2.0,1.4,,90,9,2.0,,,,,
2016-02-11,-9.1,-2.4,-16.9,0.0,4.6,,92,2,0.9,,,,,
2016-02-12,-1.5,4.8,-15.5,0.0,0.0,,86,0,3.0,,,,,
2016-02-13,3.5,6.7,-0.3,4.5,0.0,,72,0,1.9,,,,,
2016-02-14,-5.1,-0.1,-7.6,9.5,0.0,,,,4.4,,,,,
2016-02-15,-11.6,-5.5,-21.0,4.5,0.8,,119,,1.6,,,,,
2016-02-16,-9.8,-6.1,-17.7,7.0,0.0,,120,12,,,,,,
2016-02-17,-7.2,-5.3,-8.9,5.0,0.5,,125,7,,,,,,
2016-02-18,-4.8,-0.2,-11.5,0.5,1.4,,116,0,2.4,,,,,
2016-02-19,-3.8,0.5,-12.0,10.0,1.0,,126,22,1.0,,,,,
2016-02-20,-2.2,0.8,-6.4,0.5,3.3,,123,0,3.2,,,,,
2016-02-21,-3.8,-1.9,-5.4,4.0,0.0,,126,17,3.7,,,,,
2016-02-22,-6.6,-4.1,-11.0,4.0,0.6,,128,10,1.3,,,,,
2016-02-23,-7.4,-3.0,-18.7,8.0,0.1,,139,12,,,,,,
2016-02-24,-17.0,-10.1,-28.0,0.0,5.0,,130,0,0.8,,,,,
2016-02-25,-14.3,-7.0,-23.7,1.0,1.7,,124,3,1.2,,,,,
2016-02-26,-12.2,-5.5,-23.2,2.0,3.7,,124,4,0.8,,,,,
