calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.3,0.0,-5.1,0.5,0.6,,,,1.8,,,,,
2016-01-02,-0.4,1.2,-3.1,1.0,0.6,,,,2.1,,,,,
2016-01-03,-3.4,-2.2,-4.2,2.0,1.9,,,,2.5,,,,,
2016-01-04,-4.7,-3.7,-5.3,0.0,0.5,,,,2.3,,,,,
2016-01-05,-6.5,-4.5,-7.6,0.0,0.5,,,,2.5,,,,,
2016-01-06,-5.4,-4.4,-6.6,1.0,0.0,,,,2.8,,,,,
2016-01-07,-5.9,-4.2,-7.1,1.0,0.0,,,,2.0,,,,,
2016-01-08,-4.9,-3.3,-6.1,0.0,3.5,,,,2.1,,,,,
2016-01-09,-6.4,-5.0,-7.6,1.0,1.5,,,,2.3,,,,,
2016-01-10,-7.2,-5.0,-8.8,4.0,0.0,,,,1.5,,,,,
2016-01-11,-9.6,-7.9,-11.0,2.5,0.4,,,,1.7,,,,,
2016-01-12,-9.4,-8.2,-10.6,0.0,0.0,,,,2.2,,,,,
2016-01-13,-7.4,-6.3,-8.7,0.5,0.0,,,,1.1,,,,,
2016-01-14,-7.1,-5.5,-8.8,3.0,0.0,,,,2.9,,,,,
2016-01-15,-7.3,-5.3,-8.4,0.0,0.6,,,,1.2,,,,,
2016-01-16,-6.2,-4.6,-8.1,6.5,0.4,,,,1.1,,,,,
2016-01-17,-5.8,-4.6,-7.0,0.5,0.8,,,,1.1,,,,,
2016-01-18,-3.0,-0.3,-6.0,0.0,4.2,,,,7.4,,,,,
2016-01-19,-1.4,-0.3,-3.0,0.5,0.0,,,,11.3,,,,,
2016-01-20,-2.4,-1.3,-3.8,2.5,0.1,,,,2.9,,,,,
2016-01-21,-3.4,-1.9,-4.2,14.0,1.7,,,,1.4,,,,,
2016-01-22,-2.0,-0.6,-3.6,16.0,0.0,,,,4.2,,,,,
2016-01-23,-5.0,-3.3,-6.4,0.0,0.0,,,,2.0,,,,,
2016-01-24,-7.2,-6.0,-8.6,4.0,4.7,,,,3.3,,,,,
2016-01-25,-7.2,-3.5,-9.4,2.0,0.2,,,,2.0,,,,,
2016-01-26,-2.4,-1.7,-3.6,0.0,0.3,,,,4.6,,,,,
2016-01-27,-4.6,-1.7,-6.2,0.0,0.6,,,,3.6,,,,,
2016-01-28,-8.0,-4.9,-10.0,1.0,0.1,,,,2.9,,,,,
2016-01-29,-8.9,-7.5,-9.9,0.0,0.6,,,,1.8,,,,,
2016-01-30,-8.4,-6.5,-11.0,1.0,3.1,,,,1.1,,,,,
2016-01-31,-9.5,-7.7,-10.8,1.0,0.3,,,,1.4,,,,,
2016-02-01,-10.1,-8.6,-11.5,2.0,0.1,,,,1.3,,,,,
2016-02-02,-7.8,-6.6,-9.0,0.5,0.6,,,,1.3,,,,,
2016-02-03,-6.0,-3.0,-8.7,0.5,0.7,,,,1.4,,,,,
2016-02-04,-1.2,0.2,-3.2,0.0,6.2,,,,2.9,,,,,
2016-02-05,-4.9,-0.9,-7.2,0.0,1.6,,,,2.8,,,,,
2016-02-06,-7.0,-4.7,-9.2,1.5,0.9,,,,2.1,,,,,
2016-02-07,-7.7,-4.7,-9.5,2.0,1.7,,,,2.1,,,,,
2016-02-08,-7.0,-3.3,-9.6,0.5,1.9,,,,1.8,,,,,
2016-02-09,-1.8,-0.2,-4.0,1.0,0.0,,,,4.0,,,,,
2016-02-10,-3.8,-1.8,-4.9,6.0,0.2,,,,1.7,,,,,
2016-02-11,-3.2,-0.5,-4.9,0.0,4.3,,,,2.0,,,,,
2016-02-12,3.8,5.7,-0.7,0.5,0.0,,,,9.1,,,,,
2016-02-13,3.9,6.4,0.0,3.0,0.0,,,,5.0,,,,,
2016-02-14,-4.3,0.0,-6.4,8.5,0.0,,,,7.5,,,,,
2016-02-15,-7.1,-4.7,-8.8,7.0,0.9,,,,2.5,,,,,
2016-02-16,-7.8,-6.0,-9.6,0.5,2.1,,,,2.9,,,,,
2016-02-17,-7.0,-5.8,-8.6,0.5,0.8,,,,3.7,,,,,
2016-02-18,-2.6,-1.0,-6.5,0.0,1.7,,,,3.4,,,,,
2016-02-19,-1.0,0.8,-2.5,0.0,3.1,,,,1.8,,,,,
2016-02-20,-1.4,-0.1,-3.1,1.0,3.3,,,,3.0,,,,,
2016-02-21,-2.9,-0.2,-4.6,2.5,0.0,,,,6.2,,,,,
2016-02-22,-4.9,-2.4,-6.7,3.5,1.0,,,,2.7,,,,,
2016-02-23,-6.9,-1.9,-10.7,0.0,2.4,,,,1.5,,,,,
2016-02-24,-9.8,-8.5,-10.5,1.5,1.5,,,,1.4,,,,,
2016-02-25,-7.8,-5.9,-9.1,1.0,1.9,,,,1.9,,,,,
2016-02-26,-7.6,-6.2,-8.7,0.0,1.3,,,,1.3,,,,,
2016-02-27,-6.7,-5.4,-8.0,2.0,1.4,,,,1.2,,,,,
2016-02-28,-4.9,-3.0,-8.1,0.0,5.4,,,,1.8,,,,,
2016-02-29,-2.7,-1.2,-5.1,1.0,0.0,,,,10.3,,,,,
2016-03-01,-4.9,-1.3,-6.4,2.5,1.8,,,,3.2,,,,,
2016-03-02,-5.1,-2.9,-6.6,0.5,4.7,,,,1.0,,,,,
2016-03-03,-4.6,-3.0,-6.3,1.0,3.7,,,,1.9,,,,,
2016-03-04,-2.5,-0.7,-6.5,0.0,6.9,,,,1.1,,,,,
2016-03-05,-0.9,0.0,-2.1,0.0,5.7,,,,1.8,,,,,
2016-03-06,2.5,5.8,-1.4,6.5,0.0,,,,4.2,,,,,
2016-03-07,2.2,5.2,0.8,0.5,5.5,,,,3.5,,,,,
2016-03-08,1.3,3.6,-2.3,1.5,1.2,,,,3.0,,,,,
2016-03-09,-1.6,-0.3,-3.1,0.0,4.9,,,,2.6,,,,,
2016-03-10,-1.8,-0.3,-3.2,0.0,5.2,,,,2.8,,,,,
2016-03-11,-3.3,-2.0,-4.8,1.0,4.2,,,,2.0,,,,,
