calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.4,0.8,-4.5,0.0,0.2,,,,3.3,,,,,
2016-01-02,0.5,2.0,-1.9,1.0,0.3,,,,3.8,,,,,
2016-01-03,-2.2,-0.6,-3.1,0.0,0.6,,,,5.3,,,,,
2016-01-04,-3.5,-2.0,-4.4,0.0,0.8,,,,5.8,,,,,
2016-01-05,-5.3,-3.1,-6.3,0.5,0.0,,,,6.4,,,,,
2016-01-06,-4.1,-2.6,-5.6,1.5,0.0,,,,5.2,,,,,
2016-01-07,-4.6,-2.6,-5.9,0.0,0.0,,,,4.8,,,,,
2016-01-08,-3.7,-2.9,-4.9,0.0,3.5,,,,4.8,,,,,
2016-01-09,-5.2,-3.1,-6.3,1.0,2.3,,,,5.0,,,,,
2016-01-10,-6.0,-3.5,-8.3,1.0,0.4,,,,4.0,,,,,
2016-01-11,-8.1,-6.3,-9.9,0.0,0.2,,,,4.8,,,,,
2016-01-12,-8.0,-6.5,-9.3,0.5,0.0,,,,4.7,,,,,
2016-01-13,-6.5,-5.4,-7.6,3.5,0.0,,,,2.8,,,,,
2016-01-14,-6.9,-5.6,-7.9,6.0,0.4,,,,5.8,,,,,
2016-01-15,-6.3,-4.9,-7.5,0.0,0.5,,,,3.4,,,,,
2016-01-16,-5.7,-3.5,-8.5,6.0,1.3,,,,3.0,,,,,
2016-01-17,-5.1,-4.0,-6.6,0.0,0.1,,,,2.8,,,,,
2016-01-18,-4.0,-0.7,-8.5,0.0,4.4,,,,2.3,,,,,
2016-01-19,-1.9,-0.9,-3.2,5.5,0.0,,,,7.5,,,,,
2016-01-20,-2.4,-1.6,-3.6,0.0,0.0,,,,8.4,,,,,
2016-01-21,-2.7,-1.6,-4.0,1.5,0.3,,,,5.2,,,,,
2016-01-22,-1.6,-0.3,-3.0,14.5,0.0,,,,4.7,,,,,
2016-01-23,-4.7,-2.4,-6.3,0.5,1.2,,,,4.8,,,,,
2016-01-24,-7.4,-6.1,-9.1,0.0,7.3,,,,3.7,,,,,
2016-01-25,-6.3,-2.6,-9.2,1.0,0.4,,,,3.7,,,,,
2016-01-26,-1.4,-0.6,-2.9,0.0,0.9,,,,5.3,,,,,
2016-01-27,-3.6,-1.0,-5.2,0.0,0.2,,,,4.8,,,,,
2016-01-28,-6.5,-3.3,-8.8,0.0,0.2,,,,6.4,,,,,
2016-01-29,-7.7,-6.9,-9.0,0.0,1.0,,,,4.3,,,,,
2016-01-30,-7.9,-6.2,-9.3,5.5,3.2,,,,2.8,,,,,
2016-01-31,-8.3,-6.2,-9.7,0.5,0.6,,,,4.1,,,,,
2016-02-01,-9.0,-7.2,-10.7,0.5,0.1,,,,3.5,,,,,
2016-02-02,-6.8,-5.3,-9.2,0.0,0.5,,,,4.1,,,,,
2016-02-03,-5.1,-2.7,-7.7,0.0,1.3,,,,3.2,,,,,
2016-02-04,-0.6,1.0,-4.1,0.5,4.6,,,,3.4,,,,,
2016-02-05,-3.9,0.1,-5.9,0.0,1.7,,,,5.5,,,,,
2016-02-06,-6.0,-4.4,-7.9,0.0,2.2,,,,4.4,,,,,
2016-02-07,-6.6,-3.1,-8.7,0.0,1.3,,,,4.7,,,,,
2016-02-08,-6.7,-4.5,-9.1,0.0,0.9,,,,2.1,,,,,
2016-02-09,-1.1,2.8,-5.5,0.0,1.2,,,,2.6,,,,,
2016-02-10,-2.8,-1.0,-4.1,1.5,0.9,,,,7.3,,,,,
2016-02-11,-2.5,-0.1,-3.9,0.0,3.2,,,,3.3,,,,,
2016-02-12,4.2,5.7,-0.3,0.5,0.0,,,,8.1,,,,,
2016-02-13,4.1,6.3,0.4,2.5,0.0,,,,5.6,,,,,
2016-02-14,-4.0,0.5,-6.3,4.5,0.0,,,,7.1,,,,,
2016-02-15,-6.1,-3.8,-8.2,3.5,0.0,,,,5.5,,,,,
2016-02-16,-6.8,-4.7,-8.5,0.5,1.5,,,,4.4,,,,,
2016-02-17,-5.7,-4.2,-7.6,0.0,1.1,,,,6.5,,,,,
2016-02-18,-1.6,-0.1,-5.6,0.0,1.9,,,,4.7,,,,,
2016-02-19,-0.4,1.1,-2.6,5.0,2.2,,,,1.9,,,,,
2016-02-20,-1.0,1.1,-3.5,0.5,2.4,,,,4.2,,,,,
2016-02-21,-3.0,-1.2,-4.6,0.5,0.2,,,,3.5,,,,,
2016-02-22,-4.0,-1.5,-5.8,3.0,0.3,,,,4.2,,,,,
2016-02-23,-5.9,-1.2,-9.5,1.0,0.9,,,,4.5,,,,,
2016-02-24,-8.9,-7.5,-10.0,2.0,0.4,,,,4.2,,,,,
2016-02-25,-7.0,-4.7,-8.6,1.0,1.1,,,,4.0,,,,,
2016-02-26,-6.7,-5.0,-9.0,0.0,0.9,,,,3.7,,,,,
2016-02-27,-6.4,-4.4,-10.5,1.5,1.0,,,,2.8,,,,,
2016-02-28,-5.0,-2.2,-9.9,0.0,3.0,,,,1.9,,,,,
2016-02-29,-1.8,2.4,-7.0,2.5,0.6,,,,3.2,,,,,
