calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.2,-2.4,-8.2,,,,20,1,6.0,,,,,
2016-01-02,-1.2,0.6,-6.1,,,,23,7,5.8,,,,,
2016-01-03,-3.0,-1.6,-4.6,,,,22,3,9.2,,,,,
2016-01-04,-4.5,-3.6,-5.6,,,,25,10,9.8,,,,,
2016-01-05,-5.8,-4.1,-7.5,,,,16,8,10.5,,,,,
2016-01-06,-4.9,-3.8,-5.8,,,,17,13,9.6,,,,,
2016-01-07,-5.5,-4.2,-6.5,,,,12,2,8.5,,,,,
2016-01-08,-4.4,-3.3,-6.0,,,,14,5,8.7,,,,,
2016-01-09,-6.1,-4.0,-7.8,,,,19,9,8.0,,,,,
2016-01-10,-6.3,-4.5,-8.2,,,,18,1,7.5,,,,,
2016-01-11,-9.3,-6.6,-12.0,,,,22,7,5.6,,,,,
2016-01-12,-8.5,-7.5,-10.3,,,,21,1,8.7,,,,,
2016-01-13,-7.1,-5.6,-9.6,,,,31,14,4.1,,,,,
2016-01-14,-8.1,-6.1,-11.2,,,,24,3,8.3,,,,,
2016-01-15,-8.5,-5.6,-11.4,,,,36,16,4.1,,,,,
2016-01-16,-7.3,-5.5,-10.8,,,,55,24,3.3,,,,,
2016-01-17,-9.0,-4.7,-13.6,,,,56,2,,,,,,
2016-01-18,-6.7,-1.6,-16.2,,,,48,5,6.4,,,,,
2016-01-19,-2.2,-1.3,-2.9,,,,39,17,15.8,,,,,
2016-01-20,-2.6,-1.6,-3.3,,,,26,2,11.7,,,,,
2016-01-21,-2.6,-1.7,-3.3,,,,23,5,8.8,,,,,
2016-01-22,-2.2,-0.3,-4.1,,,,42,15,7.8,,,,,
2016-01-23,-5.0,-3.5,-7.0,,,,38,1,6.9,,,,,
2016-01-24,-9.6,-6.7,-14.6,,,,33,1,5.3,,,,,
2016-01-25,-8.4,-4.5,-14.5,,,,39,13,5.1,,,,,
2016-01-26,-2.2,-0.9,-4.6,,,,41,2,8.6,,,,,
2016-01-27,-4.3,-2.0,-5.6,,,,38,2,9.2,,,,,
2016-01-28,-7.4,-4.8,-9.3,,,,36,,11.7,,,,,
2016-01-29,-8.1,-6.2,-9.2,,,,29,3,8.3,,,,,
2016-01-30,-10.2,-6.7,-14.2,,,,34,9,2.9,,,,,
2016-01-31,-8.5,-7.2,-10.7,,,,41,11,7.2,,,,,
2016-02-01,-9.5,-8.3,-11.1,,,,39,9,6.5,,,,,
2016-02-02,-8.7,-6.4,-13.2,,,,44,8,6.6,,,,,
2016-02-03,-7.3,-4.1,-12.2,,,,52,10,5.0,,,,,
2016-02-04,-4.5,0.4,-13.9,,,,48,3,3.2,,,,,
2016-02-05,-4.5,-1.7,-6.7,,,,48,3,8.7,,,,,
2016-02-06,-7.5,-4.9,-11.1,,,,47,11,4.6,,,,,
2016-02-07,-7.8,-5.6,-12.2,,,,49,14,6.9,,,,,
2016-02-08,-10.8,-4.6,-15.8,,,,53,8,2.7,,,,,
2016-02-09,-4.4,-1.4,-14.0,,,,48,5,5.2,,,,,
2016-02-10,-2.5,-1.4,-3.4,,,,48,8,11.8,,,,,
2016-02-11,-5.4,-2.7,-12.3,,,,35,2,5.2,,,,,
2016-02-12,0.0,5.1,-12.7,,,,36,2,9.3,,,,,
2016-02-13,3.4,5.7,-0.4,,,,26,0,7.8,,,,,
2016-02-14,-5.5,-0.3,-8.0,,,,,,9.7,,,,,
2016-02-15,-7.4,-4.5,-11.0,,,,49,32,6.3,,,,,
2016-02-16,-7.6,-5.8,-8.9,,,,44,4,6.9,,,,,
2016-02-17,-7.2,-5.5,-8.7,,,,48,13,10.9,,,,,
2016-02-18,-3.9,-0.9,-7.7,,,,31,2,8.7,,,,,
2016-02-19,-3.5,1.6,-8.2,,,,35,5,2.5,,,,,
2016-02-20,-2.8,-0.2,-7.3,,,,37,7,7.0,,,,,
2016-02-21,-4.1,-2.1,-6.2,,,,37,15,7.8,,,,,
2016-02-22,-6.0,-3.9,-9.5,,,,51,16,6.4,,,,,
2016-02-23,-6.3,-2.7,-10.6,,,,51,8,6.6,,,,,
2016-02-24,-10.6,-8.4,-15.3,,,,51,4,5.7,,,,,
2016-02-25,-8.4,-5.8,-11.3,,,,56,10,6.5,,,,,
2016-02-26,-8.4,-6.0,-12.3,,,,53,1,5.2,,,,,
2016-02-27,-8.5,-4.8,-13.7,,,,54,6,4.4,,,,,
2016-02-28,-9.0,-2.7,-17.0,,,,54,3,2.8,,,,,
2016-02-29,-5.3,-2.4,-14.5,,,,53,1,10.9,,,,,
2016-03-01,-4.8,-2.4,-7.1,,,,40,27,13.2,,,,,
2016-03-02,-5.1,-4.0,-8.7,,,,34,0,6.8,,,,,
2016-03-03,-7.8,-3.9,-15.9,,,,34,2,3.7,,,,,
2016-03-04,-6.8,-0.3,-12.8,,,,44,11,3.3,,,,,
2016-03-05,-6.4,0.2,-13.6,,,,40,0,2.7,,,,,
2016-03-06,-1.2,6.3,-6.5,,,,36,1,5.2,,,,,
2016-03-07,1.9,6.2,-3.4,,,,33,0,7.5,,,,,
2016-03-08,-0.4,4.8,-4.9,,,,33,6,5.6,,,,,
2016-03-09,-1.9,-0.2,-5.6,,,,30,1,10.3,,,,,
2016-03-10,-2.8,0.3,-7.4,,,,30,4,4.8,,,,,
2016-03-11,-3.6,-1.0,-7.2,,,,32,2,5.8,,,,,
2016-03-12,-2.5,-0.5,-5.6,,,,33,2,5.5,,,,,
2016-03-13,-1.6,1.9,-6.3,,,,40,10,5.4,,,,,
2016-03-14,0.2,1.7,-3.0,,,,41,3,5.1,,,,,
2016-03-15,-4.6,0.4,-11.6,,,,35,0,6.1,,,,,
2016-03-16,-0.4,4.8,-10.3,,,,34,0,5.6,,,,,
2016-03-17,2.1,3.9,-1.0,,,,28,0,3.5,,,,,
2016-03-18,5.3,9.4,1.4,,,,25,0,4.1,,,,,
2016-03-19,2.5,6.9,-0.1,,,,20,0,6.5,,,,,
2016-03-20,-1.3,0.0,-2.0,,,,15,0,9.9,,,,,
2016-03-21,-0.9,0.8,-4.1,,,,16,1,7.7,,,,,
2016-03-22,1.6,3.4,-1.3,,,,16,2,7.6,,,,,
2016-03-23,-0.2,2.1,-5.7,,,,19,5,4.4,,,,,
2016-03-24,-2.4,0.4,-6.6,,,,19,2,3.2,,,,,
2016-03-25,0.1,2.4,-4.7,,,,19,1,4.0,,,,,
2016-03-26,-1.0,3.9,-7.8,,,,17,0,2.7,,,,,
2016-03-27,3.7,6.6,-0.4,,,,16,0,7.3,,,,,
2016-03-28,1.6,3.8,-4.7,,,,8,0,4.7,,,,,
2016-03-29,2.1,7.7,-5.5,,,,1,1,3.5,,,,,
2016-03-30,4.7,10.8,1.3,,,,0,0,4.3,,,,,
2016-03-31,3.3,6.5,-0.3,,,,0,0,3.2,,,,,
2016-04-01,0.7,2.2,-0.6,,,,0,0,6.6,,,,,
2016-04-02,1.9,6.6,-2.4,,,,0,0,3.5,,,,,
2016-04-03,4.9,9.0,1.5,,,,0,0,7.8,,,,,
2016-04-04,3.9,8.8,-2.2,,,,0,0,6.6,,,,,
2016-04-05,3.2,7.6,-2.1,,,,0,0,5.5,,,,,
2016-04-06,5.8,9.6,0.8,,,,0,0,7.6,,,,,
2016-04-07,7.4,12.4,3.0,,,,0,0,5.8,,,,,
2016-04-08,5.0,8.5,-0.7,,,,0,0,4.9,,,,,
2016-04-09,1.1,4.1,-2.1,,,,2,4,3.9,,,,,
2016-04-10,2.0,4.4,0.1,,,,3,1,6.1,,,,,
2016-04-11,1.9,3.3,0.0,,,,0,0,9.0,,,,,
2016-04-12,5.0,8.9,1.8,,,,0,0,6.8,,,,,
2016-04-13,3.3,6.1,1.0,,,,0,0,5.0,,,,,
2016-04-14,3.3,8.4,0.3,,,,3,3,6.2,,,,,
2016-04-15,1.6,3.0,0.3,,,,3,1,10.6,,,,,
2016-04-16,3.9,6.2,2.2,,,,0,0,4.7,,,,,
2016-04-17,2.5,5.4,0.2,,,,0,0,9.5,,,,,
2016-04-18,-0.3,0.5,-2.7,,,,5,7,7.9,,,,,
2016-04-19,0.5,4.9,-4.2,,,,4,0,1.9,,,,,
2016-04-20,5.9,10.0,-1.1,,,,0,0,7.8,,,,,
2016-04-21,8.2,13.8,-1.9,,,,0,0,7.2,,,,,
2016-04-22,2.4,6.9,-3.8,,,,0,0,7.7,,,,,
2016-04-23,4.6,8.3,1.6,,,,0,0,4.6,,,,,
2016-04-24,5.9,11.7,1.0,,,,0,0,4.3,,,,,
2016-04-25,4.0,9.1,0.0,,,,0,0,3.1,,,,,
2016-04-26,3.2,4.4,1.7,,,,0,0,4.3,,,,,
2016-04-27,4.7,10.9,-1.9,,,,0,0,4.5,,,,,
2016-04-28,5.9,13.5,-1.7,,,,0,0,4.4,,,,,
2016-04-29,2.0,3.4,0.6,,,,0,0,8.9,,,,,
2016-04-30,3.2,4.6,1.1,,,,0,0,11.1,,,,,
2016-05-01,3.3,5.9,-2.9,,,,0,0,6.2,,,,,
2016-05-02,4.7,10.2,-4.8,,,,0,0,3.2,,,,,
2016-05-03,13.5,20.2,5.2,,,,0,0,6.9,,,,,
2016-05-04,8.9,12.0,6.6,,,,0,0,3.9,,,,,
2016-05-05,7.7,10.4,4.5,,,,0,0,6.2,,,,,
2016-05-06,7.2,10.0,4.9,,,,0,0,5.5,,,,,
2016-05-07,8.7,16.0,5.8,6.5,,,0,0,8.4,,,,,
2016-05-08,7.7,14.6,0.9,0.0,,,0,0,7.1,,,,,
2016-05-09,8.3,16.2,0.7,0.0,,,0,0,4.9,,,,,
2016-05-10,11.6,19.8,0.3,0.0,,,0,0,4.7,,,,,
2016-05-11,9.1,14.1,5.3,0.5,,,0,0,7.1,,,,,
2016-05-12,6.6,10.9,4.0,2.0,,,0,0,6.3,,,,,
2016-05-13,12.3,21.3,5.2,0.0,,,0,0,8.2,,,,,
2016-05-14,11.9,19.7,4.8,0.0,,,0,0,4.4,,,,,
2016-05-15,12.3,20.6,1.4,0.0,,,0,0,3.2,,,,,
2016-05-16,13.4,19.2,7.5,0.5,,,0,0,3.1,,,,,
2016-05-17,12.0,15.4,9.8,2.0,,,0,0,9.8,,,,,
2016-05-18,13.2,18.4,7.5,0.0,,,0,0,5.3,,,,,
2016-05-19,15.7,21.8,9.6,0.0,,,0,0,8.2,,,,,
2016-05-20,16.3,22.6,9.8,0.0,,,0,0,7.6,,,,,
2016-05-21,17.9,25.3,10.7,0.0,,,0,0,7.0,,,,,
2016-05-22,13.3,20.1,5.2,0.0,,,0,0,5.5,,,,,
2016-05-23,12.7,21.0,4.8,0.0,,,0,0,4.4,,,,,
2016-05-24,14.0,21.1,5.3,0.0,,,0,0,4.0,,,,,
2016-05-25,13.6,18.7,10.3,2.0,,,0,0,8.1,,,,,
2016-05-26,14.8,17.8,11.6,0.0,,,0,0,8.4,,,,,
2016-05-27,14.7,18.6,10.4,0.0,,,0,0,7.5,,,,,
2016-05-28,13.1,17.8,6.5,0.0,,,0,0,6.3,,,,,
2016-05-29,8.7,13.6,2.9,0.0,,,0,0,3.9,,,,,
2016-05-30,10.1,16.0,2.8,0.0,,,0,0,5.7,,,,,
2016-05-31,8.2,12.1,4.8,13.0,,,0,0,6.4,,,,,
2016-06-01,6.7,7.1,6.3,32.0,,,0,0,11.1,,,,,
2016-06-02,8.9,11.5,6.3,0.5,,,0,0,5.7,,,,,
2016-06-03,7.9,11.3,1.2,0.0,,,0,0,3.3,,,,,
2016-06-04,5.6,10.2,-1.2,2.5,,,0,0,4.7,,,,,
2016-06-05,7.6,13.2,-1.3,0.0,,,0,0,3.7,,,,,
