calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-9.6,-0.9,-15.4,0.0,8.0,,,,1.0,,,,,
2016-01-02,-9.1,-0.8,-14.9,0.0,3.0,,,,1.0,,,,,
2016-01-03,-3.5,1.1,-12.6,0.0,7.5,,,,3.0,,,,,
2016-01-04,-8.4,-0.1,-14.2,0.0,5.8,,,,1.6,,,,,
2016-01-05,-9.9,-2.3,-18.0,0.0,6.3,,,,1.9,,,,,
2016-01-06,-7.7,-0.9,-17.4,0.0,6.3,,,,2.3,,,,,
2016-01-07,-6.9,-0.7,-13.5,0.0,6.8,,,,1.8,,,,,
2016-01-08,-7.1,-0.1,-16.2,0.0,7.2,,,,2.4,,,,,
2016-01-09,-8.5,-1.1,-15.9,0.0,7.6,,,,2.0,,,,,
2016-01-10,-7.3,-0.4,-13.4,0.0,5.9,,,,1.8,,,,,
2016-01-11,-10.4,-4.5,-16.9,0.0,7.2,,,,1.9,,,,,
2016-01-12,-12.1,-4.1,-19.5,0.0,7.1,,,,2.0,,,,,
2016-01-13,-11.9,-1.6,-19.8,0.0,8.0,,,,1.4,,,,,
2016-01-14,-6.1,0.4,-12.0,4.0,4.5,,,,1.5,,,,,
2016-01-15,-9.1,-2.8,-14.3,0.0,5.5,,,,1.0,,,,,
2016-01-16,-11.2,-1.9,-17.5,0.0,7.8,,,,1.2,,,,,
2016-01-17,-13.7,-2.9,-21.3,0.0,7.7,,,,0.8,,,,,
2016-01-18,-10.7,-4.0,-18.3,3.5,0.0,,,,1.4,,,,,
2016-01-19,-1.7,-0.4,-4.3,4.5,0.0,,,,4.2,,,,,
2016-01-20,-0.6,0.9,-4.4,0.5,0.1,,,,3.9,,,,,
2016-01-21,-5.5,-0.2,-12.1,0.0,6.9,,,,1.1,,,,,
2016-01-22,-8.7,-1.4,-17.8,0.0,1.5,,,,0.5,,,,,
2016-01-23,-5.4,0.6,-10.7,0.0,7.1,,,,0.7,,,,,
2016-01-24,-8.4,-2.8,-13.2,0.0,7.4,,,,1.4,,,,,
2016-01-25,-11.9,-4.0,-17.8,0.0,8.7,,,,0.9,,,,,
2016-01-26,-9.9,2.5,-21.9,0.0,8.7,,,,1.7,,,,,
2016-01-27,-5.6,1.0,-13.8,0.0,7.8,,,,2.0,,,,,
2016-01-28,-7.4,-1.0,-13.4,0.0,5.6,,,,2.5,,,,,
2016-01-29,-11.7,-2.7,-19.2,0.0,8.6,,,,1.5,,,,,
2016-01-30,-12.5,-4.3,-19.6,0.0,8.0,,,,1.0,,,,,
2016-01-31,-10.6,-2.9,-19.0,0.0,8.0,,,,1.6,,,,,
2016-02-01,-13.5,-3.3,-21.5,0.0,9.0,,,,1.3,,,,,
2016-02-02,-12.9,-2.7,-23.2,0.0,8.1,,,,1.2,,,,,
2016-02-03,-11.9,-2.5,-20.0,0.0,9.1,,,,0.9,,,,,
2016-02-04,-11.0,0.5,-20.1,0.0,8.0,,,,1.0,,,,,
2016-02-05,-6.1,0.6,-12.6,0.0,7.0,,,,2.4,,,,,
2016-02-06,-10.3,-1.1,-17.4,0.0,9.3,,,,1.7,,,,,
2016-02-07,-10.5,-2.8,-21.3,0.0,8.2,,,,1.7,,,,,
2016-02-08,-7.2,-1.8,-15.6,0.0,9.3,,,,1.2,,,,,
2016-02-09,-2.9,1.2,-6.1,2.0,0.0,,,,0.7,,,,,
2016-02-10,-2.8,2.9,-11.5,0.0,6.3,,,,1.6,,,,,
2016-02-11,-7.2,2.0,-16.0,0.0,9.3,,,,1.1,,,,,
2016-02-12,-7.1,-0.6,-15.2,0.0,3.0,,,,0.7,,,,,
2016-02-13,-1.2,2.2,-5.2,0.0,1.4,,,,0.6,,,,,
2016-02-14,-0.4,3.4,-2.6,9.0,0.0,,,,,,,,,
