calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-9.2,0.3,-17.1,0.0,7.8,,,,1.6,,,,,
2016-01-02,-8.9,-1.1,-16.0,0.0,2.6,,,,0.8,,,,,
2016-01-03,-4.6,1.7,-13.0,0.0,7.4,,,,1.6,,,,,
2016-01-04,-6.9,0.4,-14.9,0.0,4.3,,,,1.2,,,,,
2016-01-05,-9.5,-1.2,-17.2,0.0,7.4,,,,1.2,,,,,
2016-01-06,-9.2,0.6,-18.6,0.0,6.8,,,,1.0,,,,,
2016-01-07,-8.7,-1.4,-15.1,0.0,7.9,,,,1.3,,,,,
2016-01-08,-10.8,0.6,-17.8,0.0,4.7,,,,0.7,,,,,
2016-01-09,-10.7,-1.8,-17.9,0.0,8.0,,,,1.3,,,,,
2016-01-10,-8.3,-1.1,-17.7,0.0,4.1,,,,1.3,,,,,
2016-01-11,-12.0,-4.9,-19.0,0.0,8.0,,,,1.1,,,,,
2016-01-12,-14.1,-3.3,-21.4,0.0,7.6,,,,0.6,,,,,
2016-01-13,-12.7,-1.5,-21.0,0.0,7.6,,,,0.7,,,,,
2016-01-14,-9.1,-1.7,-20.2,4.5,8.1,,,,1.6,,,,,
2016-01-15,-13.3,-5.2,-21.7,0.0,4.6,,,,0.5,,,,,
2016-01-16,-13.8,-2.9,-20.2,0.0,8.1,,,,0.6,,,,,
2016-01-17,-16.1,-2.2,-23.5,0.0,7.9,,,,0.6,,,,,
2016-01-18,-11.5,-4.6,-21.0,11.0,0.0,,,,,,,,,
2016-01-19,-1.6,0.6,-4.6,10.5,0.0,,,,4.0,,,,,
2016-01-20,-1.4,-0.3,-3.3,0.0,0.0,,,,4.2,,,,,
2016-01-21,-3.3,-0.7,-6.3,0.0,8.5,,,,3.3,,,,,
2016-01-22,-7.2,1.5,-21.2,0.0,6.3,,,,2.4,,,,,
