calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.8,0.2,-12.9,0.0,8.3,,21,0,2.3,,,,,
2016-01-02,-5.5,0.6,-13.0,0.0,0.9,,23,3,1.3,,,,,
2016-01-03,-0.7,1.8,-6.1,0.0,7.9,,22,1,3.3,,,,,
2016-01-04,-3.1,0.2,-10.1,0.0,4.7,,21,0,2.3,,,,,
2016-01-05,-5.3,-1.9,-13.0,0.0,5.1,,21,0,3.1,,,,,
2016-01-06,-4.8,-0.2,-15.1,0.0,6.1,,21,0,2.2,,,,,
2016-01-07,-4.4,-1.4,-10.0,0.0,7.4,,21,0,2.4,,,,,
2016-01-08,-4.0,-0.2,-10.1,0.0,4.5,,21,3,1.9,,,,,
2016-01-09,-5.8,-1.9,-12.7,0.0,8.4,,22,1,2.2,,,,,
2016-01-10,-6.7,-1.3,-13.0,0.0,2.0,,22,0,2.5,,,,,
2016-01-11,-8.0,-5.1,-13.8,0.0,7.1,,22,0,2.3,,,,,
2016-01-12,-9.5,-3.8,-16.5,0.0,7.7,,22,0,1.3,,,,,
2016-01-13,-10.7,-3.5,-18.5,0.0,7.4,,22,0,1.2,,,,,
2016-01-14,-7.5,-1.9,-16.8,6.5,8.4,,38,17,2.3,,,,,
2016-01-15,-12.1,-5.4,-19.7,0.0,7.7,,34,2,1.0,,,,,
2016-01-16,-14.9,-5.9,-22.0,0.0,7.0,,30,0,1.0,,,,,
2016-01-17,-15.9,-5.0,-24.4,0.0,6.9,,28,1,0.9,,,,,
2016-01-18,-10.4,-4.8,-20.8,13.5,0.0,,48,22,1.1,,,,,
2016-01-19,-1.7,0.7,-4.9,8.0,0.0,,60,12,2.6,,,,,
2016-01-20,-1.5,0.0,-3.5,0.0,0.6,,55,0,4.5,,,,,
2016-01-21,-3.4,-1.3,-6.4,0.0,8.4,,51,0,4.7,,,,,
2016-01-22,-4.5,0.7,-16.9,0.0,8.2,,48,0,3.1,,,,,
2016-01-23,-6.3,-0.2,-19.3,0.0,6.4,,46,0,2.0,,,,,
2016-01-24,-11.2,-4.7,-19.4,0.0,5.8,,45,0,1.1,,,,,
2016-01-25,-14.0,-4.4,-22.6,0.0,8.5,,44,1,1.6,,,,,
2016-01-26,-10.7,-0.9,-20.7,0.0,8.7,,42,0,1.2,,,,,
2016-01-27,-4.8,0.2,-10.2,0.0,6.9,,42,0,2.6,,,,,
2016-01-28,-4.5,-0.9,-9.4,0.0,5.8,,41,0,4.5,,,,,
2016-01-29,-9.0,-3.4,-17.2,0.0,8.1,,40,0,2.2,,,,,
2016-01-30,-12.7,-6.1,-18.6,0.0,7.9,,40,1,1.1,,,,,
2016-01-31,-9.2,-3.7,-18.2,0.0,8.6,,39,0,1.9,,,,,
2016-02-01,-10.8,-4.5,-20.9,0.0,9.1,,39,0,2.2,,,,,
2016-02-02,-13.7,-5.5,-24.8,0.0,7.8,,39,0,1.4,,,,,
2016-02-03,-10.7,-4.5,-19.3,0.0,8.7,,39,0,1.5,,,,,
2016-02-04,-11.9,-3.6,-19.5,0.0,8.1,,39,0,0.9,,,,,
2016-02-05,-5.5,-0.1,-15.6,0.0,7.8,,40,2,2.7,,,,,
2016-02-06,-8.8,-2.1,-18.3,0.0,7.0,,39,0,1.6,,,,,
2016-02-07,-9.2,-2.4,-21.0,0.0,7.8,,39,0,2.0,,,,,
2016-02-08,-5.8,-2.2,-9.1,0.0,9.3,,39,1,2.1,,,,,
2016-02-09,-5.9,-0.5,-10.0,3.0,1.8,,45,6,1.1,,,,,
2016-02-10,-3.1,0.3,-8.8,0.0,8.1,,44,0,4.9,,,,,
