calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.1,1.8,-6.4,,8.3,,7,,2.6,2.8,1015.2,55,1019.5,
2016-01-02,1.4,6.0,-6.4,2.0,1.0,,7,,4.1,4.9,1007.3,71,1011.6,
2016-01-03,1.9,4.9,-1.5,,7.8,,5,,4.8,2.9,1006.9,41,1011.2,
2016-01-04,-0.2,2.5,-3.7,,4.8,,5,,4.2,2.5,1006.3,41,1010.6,
2016-01-05,-2.3,0.3,-5.9,,7.4,,5,,4.2,2.0,1007.3,39,1011.7,
2016-01-06,-1.7,1.5,-8.7,0.0,4.3,,5,,2.8,2.7,1007.2,50,1011.5,
2016-01-07,-1.3,0.9,-3.8,,7.0,,5,,4.1,2.1,1002.9,39,1007.2,
2016-01-08,-0.8,1.8,-4.7,,3.3,,5,,2.5,2.5,1003.9,44,1008.2,
2016-01-09,-1.9,0.5,-5.4,,8.4,,5,,3.3,2.1,1008.4,40,1012.8,
2016-01-10,-1.4,2.6,-5.1,0.0,1.9,,6,1,3.5,3.1,1006.0,56,1010.3,
2016-01-11,-5.9,-2.8,-8.7,,8.3,,6,,3.8,1.5,1009.0,39,1013.4,
2016-01-12,-5.0,-1.2,-10.6,,6.9,,6,,3.1,1.8,1006.5,43,1010.9,
2016-01-13,-4.9,-1.2,-10.9,,6.1,,6,,2.0,2.4,1006.1,55,1010.5,
2016-01-14,-4.0,0.6,-7.5,4.5,8.3,,18,12,3.4,2.7,1003.8,62,1008.2,
2016-01-15,-6.5,-4.4,-9.0,2.0,0.9,,18,6,2.7,3.1,1011.1,83,1015.5,
2016-01-16,-7.1,-1.3,-12.8,0.0,7.5,,16,,2.0,2.6,1011.4,73,1015.9,
2016-01-17,-6.9,-1.7,-14.3,,8.1,,14,,2.6,2.7,1017.3,71,1021.8,
2016-01-18,-5.6,-2.0,-10.3,20.5,0.0,,42,29,5.3,3.4,1014.0,83,1018.4,
2016-01-19,-1.2,1.6,-4.1,12.0,0.0,,,,8.3,4.2,992.2,77,996.5,
2016-01-20,0.9,3.3,-2.9,0.0,1.5,,53,,5.9,2.8,997.0,43,1001.3,
2016-01-21,-3.0,1.5,-8.5,,7.0,,49,,2.8,2.5,1006.4,53,1010.7,
2016-01-22,-4.4,-0.3,-12.1,,8.7,,47,,1.9,2.7,1007.9,61,1012.3,
2016-01-23,-2.5,1.3,-8.5,,3.9,,46,,2.7,2.9,1009.0,56,1013.4,
2016-01-24,-5.8,-3.7,-8.2,0.0,0.5,,44,,3.3,2.7,999.3,69,1003.7,
2016-01-25,-7.8,-3.9,-12.7,,8.5,,43,,2.4,2.0,1005.9,61,1010.3,
2016-01-26,-2.0,3.3,-12.2,0.0,5.8,,42,,2.4,3.4,1011.5,63,1015.8,
2016-01-27,0.6,3.5,-5.2,0.0,7.0,,41,,4.7,3.5,1011.4,55,1015.8,
2016-01-28,-1.7,2.1,-7.9,,7.1,,40,,4.5,2.2,1015.3,41,1019.7,
2016-01-29,-7.1,-2.5,-13.5,,8.5,,39,,1.9,2.2,1020.0,60,1024.5,
2016-01-30,-7.2,-4.8,-9.9,0.0,1.5,,43,4,2.3,2.6,1018.1,73,1022.6,
2016-01-31,-6.4,-3.2,-12.7,0.0,9.1,,42,,2.1,2.4,1012.6,64,1017.1,
2016-02-01,-7.2,-2.6,-12.6,,9.3,,40,,2.6,1.7,1013.3,50,1017.8,
2016-02-02,-7.1,-1.5,-13.5,,7.1,,40,,2.7,2.2,1009.9,63,1014.4,
2016-02-03,-7.8,-2.5,-13.5,,9.2,,39,,1.8,2.4,1014.5,68,1018.9,
2016-02-04,-4.7,0.0,-11.2,0.0,4.6,,39,,1.5,3.5,1011.4,78,1015.8,
2016-02-05,-0.8,2.1,-5.0,0.0,4.9,,40,1,3.3,3.1,1006.2,53,1010.5,
2016-02-06,-3.9,0.5,-9.2,,5.0,,38,,2.8,2.2,1007.5,49,1011.9,
2016-02-07,-4.9,-1.1,-13.0,0.5,8.6,,40,2,3.0,2.3,1007.3,52,1011.7,
2016-02-08,-3.6,-1.6,-7.6,0.0,7.6,,39,,2.9,3.1,1012.7,66,1017.1,
2016-02-09,-3.2,0.2,-7.3,7.5,0.8,,50,12,2.1,4.3,1002.9,88,1007.3,
2016-02-10,-2.5,3.1,-8.7,,5.4,,48,,3.7,3.1,1005.0,63,1009.4,
2016-02-11,-4.0,1.9,-10.0,,9.4,,46,,2.7,2.7,1022.7,59,1027.1,
2016-02-12,-3.9,-1.4,-8.9,,5.5,,45,,1.7,3.5,1023.5,76,1027.9,
2016-02-13,5.1,8.7,-2.2,1.5,0.7,,44,,2.7,7.1,1009.5,80,1013.7,
2016-02-14,1.8,5.4,-0.4,40.0,0.0,,35,,2.7,6.8,990.3,97,994.5,
2016-02-15,-3.3,2.3,-7.5,0.0,3.5,,31,1,4.5,2.5,994.5,49,998.9,
