calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-9.8,-0.9,-14.5,0.0,8.2,,17,1,0.9,,,,,
2016-01-02,-8.3,-0.5,-14.5,0.0,2.9,,17,0,0.9,,,,,
2016-01-03,-1.4,0.7,-7.6,0.0,6.9,,17,0,2.5,,,,,
2016-01-04,-5.5,-0.1,-13.6,0.0,5.2,,17,0,1.4,,,,,
2016-01-05,-8.8,-2.4,-17.1,0.0,7.4,,17,0,2.7,,,,,
2016-01-06,-6.9,-0.7,-16.1,0.0,5.8,,17,0,2.1,,,,,
2016-01-07,-5.1,-1.1,-12.2,0.0,7.3,,17,0,2.7,,,,,
2016-01-08,-7.5,0.0,-17.0,0.0,7.1,,17,0,1.8,,,,,
2016-01-09,-9.0,-2.2,-15.3,0.0,8.4,,17,0,2.0,,,,,
2016-01-10,-7.2,-0.6,-15.1,0.0,6.7,,18,1,2.0,,,,,
2016-01-11,-8.9,-5.0,-15.3,0.0,8.0,,17,0,2.6,,,,,
2016-01-12,-12.1,-3.8,-18.8,0.0,7.2,,17,0,1.6,,,,,
2016-01-13,-11.9,-1.5,-18.6,0.0,7.8,,17,0,1.1,,,,,
2016-01-14,-5.9,-1.0,-11.1,3.5,6.4,,28,12,2.0,,,,,
2016-01-15,-8.7,-3.8,-13.6,0.0,5.1,,26,2,1.3,,,,,
2016-01-16,-12.2,-2.3,-19.8,0.0,7.8,,24,0,0.4,,,,,
2016-01-17,-15.4,-2.1,-23.0,0.0,8.0,,22,0,0.3,,,,,
2016-01-18,-10.8,-3.4,-21.3,3.5,0.0,,31,9,1.8,,,,,
2016-01-19,-1.8,-0.7,-5.0,4.0,0.0,,46,18,4.6,,,,,
2016-01-20,-0.8,0.6,-2.7,0.0,0.0,,41,1,4.7,,,,,
2016-01-21,-7.3,-0.5,-17.5,0.0,7.3,,37,0,1.0,,,,,
2016-01-22,-10.9,-1.3,-21.7,0.0,0.7,,36,2,0.4,,,,,
2016-01-23,-6.8,0.5,-13.8,0.0,7.4,,35,1,0.5,,,,,
2016-01-24,-8.6,-2.8,-14.4,0.0,6.4,,34,2,1.8,,,,,
2016-01-25,-11.4,-3.9,-17.7,0.0,8.9,,33,0,1.0,,,,,
2016-01-26,-11.2,2.1,-20.8,0.0,8.8,,33,0,1.3,,,,,
2016-01-27,-6.5,0.9,-16.2,0.0,7.2,,32,0,2.4,,,,,
2016-01-28,-4.8,-1.0,-11.3,0.0,6.9,,31,0,3.0,,,,,
2016-01-29,-11.5,-3.3,-19.9,0.0,8.5,,31,0,1.8,,,,,
2016-01-30,-13.1,-4.3,-18.7,0.0,7.8,,31,0,0.9,,,,,
2016-01-31,-11.4,-3.3,-20.3,0.0,8.1,,31,0,1.4,,,,,
2016-02-01,-13.4,-3.9,-20.5,0.0,9.2,,31,0,1.6,,,,,
2016-02-02,-13.2,-2.7,-22.6,0.0,8.2,,31,0,1.0,,,,,
2016-02-03,-12.7,-2.3,-22.0,0.0,8.7,,31,1,0.8,,,,,
2016-02-04,-12.0,-1.2,-19.3,0.0,8.4,,31,0,0.9,,,,,
2016-02-05,-6.7,-0.2,-15.8,0.0,8.2,,31,0,2.5,,,,,
2016-02-06,-10.0,-1.4,-15.9,0.0,9.2,,31,0,1.4,,,,,
2016-02-07,-10.3,-3.2,-20.4,0.0,8.7,,31,0,1.9,,,,,
2016-02-08,-6.3,-1.6,-14.1,0.0,9.2,,31,0,1.5,,,,,
2016-02-09,-3.4,0.2,-5.9,2.0,0.0,,36,5,0.6,,,,,
2016-02-10,-3.7,2.8,-15.1,0.0,6.1,,36,1,1.5,,,,,
2016-02-11,-9.7,1.8,-19.6,0.0,9.3,,33,0,0.5,,,,,
2016-02-12,-8.1,0.0,-18.2,0.0,3.9,,34,2,0.5,,,,,
2016-02-13,-1.4,2.1,-6.6,0.0,1.5,,33,0,0.6,,,,,
2016-02-14,-0.1,3.1,-3.0,8.0,0.0,,32,2,,,,,,
2016-02-15,-6.4,-0.5,-10.0,0.0,9.1,,30,1,,,,,,
2016-02-16,-9.3,-2.4,-16.8,0.0,9.0,,30,0,1.5,,,,,
2016-02-17,-8.5,-0.8,-17.8,0.0,7.3,,30,1,2.3,,,,,
2016-02-18,-4.2,2.7,-13.1,0.0,7.9,,29,0,1.4,,,,,
2016-02-19,-2.0,6.9,-12.1,0.5,9.0,,29,1,0.9,,,,,
2016-02-20,1.4,4.6,-1.7,3.0,7.0,,36,8,2.2,,,,,
2016-02-21,-1.7,1.1,-5.6,6.0,1.7,,47,11,3.8,,,,,
2016-02-22,-6.1,-0.7,-14.3,0.0,9.7,,42,0,2.2,,,,,
2016-02-23,-8.1,-0.7,-17.3,0.0,4.5,,40,1,1.3,,,,,
2016-02-24,-9.3,-5.2,-18.8,0.0,9.7,,40,0,2.7,,,,,
2016-02-25,-12.7,-2.3,-22.4,0.0,8.5,,39,1,1.4,,,,,
2016-02-26,-10.8,-1.7,-20.6,0.0,9.8,,39,1,1.4,,,,,
2016-02-27,-9.8,-1.2,-17.1,0.0,9.5,,39,1,1.8,,,,,
2016-02-28,-10.1,-0.1,-17.9,0.0,10.3,,39,0,1.0,,,,,
2016-02-29,-6.6,-1.3,-15.7,13.5,0.0,,60,22,1.2,,,,,
2016-03-01,-6.4,-0.3,-16.7,0.5,7.1,,59,0,2.4,,,,,
2016-03-02,-9.7,0.3,-21.1,0.0,9.9,,52,0,1.5,,,,,
2016-03-03,-9.8,-1.6,-19.5,0.0,2.1,,51,1,1.4,,,,,
2016-03-04,-9.4,1.4,-17.9,0.0,10.7,,50,0,1.0,,,,,
2016-03-05,-9.5,2.6,-21.0,0.0,10.5,,50,0,0.6,,,,,
2016-03-06,-5.9,-1.1,-14.5,0.0,0.0,,49,1,0.3,,,,,
2016-03-07,3.1,8.8,-1.3,0.0,7.3,,49,0,2.4,,,,,
2016-03-08,1.7,5.4,-1.0,0.0,6.2,,39,1,1.7,,,,,
2016-03-09,-1.6,1.4,-9.5,0.0,9.4,,35,0,3.2,,,,,
2016-03-10,-5.9,2.3,-14.8,0.0,10.3,,35,1,1.0,,,,,
2016-03-11,-5.5,1.9,-13.9,0.0,10.7,,34,1,1.2,,,,,
