calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-8.6,0.0,-15.2,0.0,8.4,,37,1,2.2,,,,,
2016-01-02,-4.6,2.9,-13.9,1.5,1.3,,43,7,2.2,,,,,
2016-01-03,-0.9,2.9,-7.1,0.0,7.9,,42,0,3.7,,,,,
2016-01-04,-5.9,-0.7,-14.6,0.0,4.3,,36,0,1.9,,,,,
2016-01-05,-7.2,-2.7,-16.0,0.0,6.1,,36,0,3.2,,,,,
2016-01-06,-7.1,-0.9,-17.2,0.0,5.6,,37,2,2.5,,,,,
2016-01-07,-7.5,-2.0,-15.3,0.0,8.4,,36,0,2.0,,,,,
2016-01-08,-6.0,-0.6,-15.1,0.0,4.2,,37,1,2.0,,,,,
2016-01-09,-8.4,-2.4,-15.3,0.0,8.5,,36,1,2.1,,,,,
2016-01-10,-6.6,-2.8,-13.8,0.0,2.1,,37,2,1.7,,,,,
2016-01-11,-11.9,-6.7,-19.2,0.0,8.3,,37,0,2.3,,,,,
2016-01-12,-12.3,-5.4,-20.5,0.0,7.3,,36,1,2.0,,,,,
2016-01-13,-10.5,-4.8,-19.3,0.0,6.8,,37,1,2.2,,,,,
2016-01-14,-8.2,-2.4,-18.0,3.5,7.9,,46,11,2.4,,,,,
2016-01-15,-10.1,-5.7,-17.7,0.0,6.2,,43,3,1.2,,,,,
2016-01-16,-12.9,-5.7,-19.8,0.0,7.6,,41,0,1.7,,,,,
2016-01-17,-12.0,-3.7,-19.4,0.0,8.0,,40,3,2.1,,,,,
2016-01-18,-9.3,-5.7,-17.9,8.0,0.0,,65,27,2.3,,,,,
2016-01-19,-2.8,-0.2,-5.7,4.5,0.0,,86,23,4.9,,,,,
2016-01-20,-1.4,0.0,-4.2,0.0,0.2,,70,0,4.9,,,,,
2016-01-21,-5.2,-1.4,-14.3,0.0,8.8,,54,0,3.9,,,,,
2016-01-22,-6.3,0.5,-16.9,0.0,7.7,,52,0,2.3,,,,,
2016-01-23,-6.4,-1.2,-16.6,0.0,2.3,,52,2,1.7,,,,,
2016-01-24,-10.5,-6.8,-16.7,0.0,3.0,,51,3,1.8,,,,,
2016-01-25,-12.7,-5.6,-19.4,0.0,8.8,,50,1,2.2,,,,,
2016-01-26,-6.8,1.1,-18.0,0.0,8.4,,49,0,2.4,,,,,
2016-01-27,-4.4,1.9,-13.9,0.0,7.2,,50,4,2.5,,,,,
2016-01-28,-6.6,-0.8,-16.7,0.0,5.6,,47,0,3.3,,,,,
2016-01-29,-12.6,-5.3,-20.7,0.0,8.9,,45,0,1.7,,,,,
2016-01-30,-10.9,-7.6,-16.7,0.0,5.7,,46,1,1.5,,,,,
2016-01-31,-11.4,-5.2,-18.8,0.0,8.8,,46,1,1.6,,,,,
2016-02-01,-13.4,-6.7,-20.5,0.0,9.3,,43,0,2.1,,,,,
2016-02-02,-12.6,-6.8,-20.7,0.0,7.6,,43,1,2.1,,,,,
2016-02-03,-11.8,-5.4,-19.8,0.0,9.3,,44,1,2.4,,,,,
2016-02-04,-9.5,-2.6,-14.8,0.0,6.5,,45,2,2.1,,,,,
2016-02-05,-6.8,-0.7,-17.4,0.0,6.6,,45,4,2.3,,,,,
2016-02-06,-10.8,-3.4,-19.0,0.0,8.4,,43,0,1.9,,,,,
2016-02-07,-9.8,-4.4,-20.2,0.0,7.9,,44,1,2.2,,,,,
2016-02-08,-8.3,-4.5,-18.0,0.0,8.1,,45,3,1.9,,,,,
2016-02-09,-7.4,-3.2,-13.7,5.0,0.4,,57,13,1.5,,,,,
2016-02-10,-4.9,0.7,-13.1,0.0,8.2,,54,1,3.8,,,,,
2016-02-11,-7.6,-0.7,-15.9,0.0,9.8,,51,0,2.2,,,,,
2016-02-12,-6.2,-0.5,-14.3,0.0,8.1,,50,1,2.2,,,,,
2016-02-13,0.4,5.5,-6.9,0.0,0.8,,49,0,1.8,,,,,
2016-02-14,-0.1,3.4,-2.8,24.5,0.0,,45,2,1.9,,,,,
2016-02-15,-5.7,-0.6,-10.2,0.0,5.5,,41,0,4.7,,,,,
2016-02-16,-8.1,-3.9,-15.3,0.0,7.1,,40,0,2.6,,,,,
2016-02-17,-6.2,-1.4,-13.7,0.0,4.5,,41,3,3.5,,,,,
2016-02-18,-1.4,3.4,-9.9,0.0,4.4,,41,1,2.6,,,,,
2016-02-19,0.9,4.8,-6.3,0.5,7.8,,40,3,3.1,,,,,
2016-02-20,-0.8,2.2,-5.4,8.5,3.8,,54,16,2.0,,,,,
2016-02-21,-2.3,-0.2,-6.2,8.5,4.3,,64,11,3.0,,,,,
2016-02-22,-5.7,-1.6,-13.8,0.0,9.1,,59,0,2.0,,,,,
2016-02-23,-7.9,-4.1,-14.4,0.0,3.4,,58,2,2.1,,,,,
2016-02-24,-10.9,-6.3,-19.9,0.0,9.1,,58,1,1.8,,,,,
2016-02-25,-10.9,-4.6,-21.4,0.0,6.7,,55,0,2.4,,,,,
2016-02-26,-10.2,-3.9,-18.3,0.0,8.5,,54,0,2.0,,,,,
2016-02-27,-9.8,-2.1,-18.6,0.0,9.2,,54,2,2.0,,,,,
2016-02-28,-9.2,-2.4,-18.1,0.0,10.6,,53,0,2.2,,,,,
2016-02-29,-7.0,-3.5,-15.2,34.5,0.0,,110,60,1.1,,,,,
2016-03-01,-5.6,0.9,-14.6,0.0,8.9,,108,2,4.2,,,,,
