calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-5.6,1.1,-11.9,,8.3,8.16,24,,3.1,2.7,1013.9,67,1019.5,1.3
2016-01-02,-5.1,-0.5,-10.8,0.0,2.7,5.51,25,1,1.3,3.6,1006.4,84,1012.0,8.8
2016-01-03,0.3,2.1,-2.7,0.0,7.9,8.07,25,,4.4,3.0,1005.6,49,1011.0,2.5
2016-01-04,-1.9,1.2,-5.3,,4.6,6.60,25,,3.4,2.8,1005.1,54,1010.6,5.5
2016-01-05,-4.6,-1.0,-9.9,,7.5,8.40,25,,3.9,2.2,1005.9,53,1011.5,1.0
2016-01-06,-4.0,1.1,-11.6,,7.3,8.31,25,,2.2,2.3,1005.7,50,1011.3,5.0
2016-01-07,-3.8,-0.4,-7.8,,6.3,7.87,25,,3.1,2.8,1001.6,62,1007.2,2.8
2016-01-08,-4.7,1.3,-10.9,,6.1,6.96,25,,1.8,2.4,1002.5,56,1008.1,3.5
2016-01-09,-5.4,-0.9,-11.2,,8.5,8.78,25,,2.9,2.3,1007.0,57,1012.7,0.0
2016-01-10,-6.2,0.4,-12.0,0.0,4.4,7.16,25,,2.7,2.3,1004.9,60,1010.5,5.8
2016-01-11,-6.9,-3.7,-10.6,0.0,8.2,8.92,25,,2.9,1.7,1007.5,47,1013.2,1.5
2016-01-12,-8.4,-3.0,-15.0,,8.1,9.01,25,,1.6,1.6,1005.3,50,1011.0,2.0
2016-01-13,-8.5,-2.0,-15.4,,7.9,9.06,25,,1.3,1.8,1005.0,57,1010.7,3.5
2016-01-14,-5.9,-0.7,-12.8,6.5,8.5,9.29,41,16,2.7,2.5,1003.0,64,1008.6,3.3
2016-01-15,-10.1,-3.9,-16.0,,7.3,9.00,36,,1.2,2.0,1010.2,69,1015.9,6.3
2016-01-16,-10.8,-4.1,-16.1,,7.1,8.75,32,,1.3,2.0,1010.7,76,1016.4,1.8
2016-01-17,-12.6,-3.6,-19.1,,8.0,9.51,31,,1.2,1.7,1016.5,71,1022.4,0.5
2016-01-18,-9.5,-4.0,-16.7,10.5,0.0,3.32,42,11,1.5,2.6,1014.4,81,1020.1,8.5
2016-01-19,-1.2,0.8,-4.1,12.0,0.0,3.41,58,16,4.0,4.2,992.6,76,998.1,10.0
