calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-12.4,-1.0,-18.7,0.0,5.4,,27,0,0.7,,,,,
2016-01-02,-11.0,0.5,-18.4,0.0,2.8,,27,0,0.7,,,,,
2016-01-03,-9.4,1.1,-15.8,0.0,7.2,,28,1,0.9,,,,,
2016-01-04,-12.6,-1.8,-18.8,0.0,1.3,,28,0,0.7,,,,,
2016-01-05,-13.4,-2.4,-22.0,0.0,5.3,,28,0,0.9,,,,,
2016-01-06,-10.0,-1.3,-21.8,0.0,6.6,,28,0,1.3,,,,,
2016-01-07,-11.5,-2.5,-19.2,0.0,4.3,,28,0,0.7,,,,,
2016-01-08,-10.7,-0.6,-21.0,0.0,6.7,,28,1,1.3,,,,,
2016-01-09,-12.9,-1.7,-20.8,0.0,7.7,,28,1,0.9,,,,,
2016-01-10,-12.1,-0.3,-19.9,0.0,5.6,,28,1,1.0,,,,,
2016-01-11,-14.3,-6.4,-21.9,0.0,4.5,,28,0,0.5,,,,,
2016-01-12,-15.4,-4.7,-23.9,0.0,6.2,,28,0,1.0,,,,,
2016-01-13,-14.4,-3.2,-23.4,0.0,7.6,,28,0,1.1,,,,,
2016-01-14,-8.6,-2.4,-16.4,5.0,2.9,,50,22,1.6,,,,,
2016-01-15,-12.8,-5.0,-18.0,0.0,5.4,,44,1,1.2,,,,,
2016-01-16,-14.7,-3.3,-23.0,0.0,7.0,,40,1,1.4,,,,,
2016-01-17,-14.0,-4.0,-22.2,0.0,4.8,,38,0,0.7,,,,,
2016-01-18,-13.4,-5.0,-23.6,3.5,0.0,,45,9,1.0,,,,,
2016-01-19,-2.8,-1.9,-6.1,16.0,0.0,,81,37,3.7,,,,,
2016-01-20,-3.0,-1.8,-4.7,8.0,0.0,,102,23,4.6,,,,,
2016-01-21,-6.4,-2.8,-14.0,0.0,3.9,,93,0,2.6,,,,,
2016-01-22,-7.1,-0.7,-14.3,0.0,4.1,,84,0,0.7,,,,,
2016-01-23,-5.9,-0.4,-13.5,0.5,2.2,,82,6,1.1,,,,,
2016-01-24,-9.8,-4.7,-17.0,0.0,3.2,,80,2,1.3,,,,,
2016-01-25,-16.9,-6.6,-25.4,0.0,7.3,,75,1,1.1,,,,,
2016-01-26,-11.9,1.2,-27.1,0.0,8.2,,71,0,1.1,,,,,
2016-01-27,-10.5,0.5,-19.0,0.0,6.4,,69,1,1.1,,,,,
2016-01-28,-10.5,-3.2,-19.2,0.0,3.5,,67,0,1.6,,,,,
2016-01-29,-12.9,-3.9,-22.7,0.0,8.2,,65,0,0.8,,,,,
2016-01-30,-15.6,-5.3,-25.8,0.0,7.7,,62,0,0.6,,,,,
2016-01-31,-14.6,-4.4,-23.4,0.0,5.4,,61,0,0.8,,,,,
2016-02-01,-18.2,-5.7,-27.1,0.0,7.7,,60,0,0.8,,,,,
2016-02-02,-15.6,-4.3,-28.2,0.0,7.5,,60,0,0.9,,,,,
2016-02-03,-16.1,-4.0,-25.4,0.0,7.8,,60,0,0.6,,,,,
2016-02-04,-14.5,-0.2,-26.2,0.0,6.6,,59,0,0.6,,,,,
2016-02-05,-10.9,0.3,-19.9,0.0,5.3,,60,2,0.9,,,,,
2016-02-06,-14.2,-2.0,-23.7,0.0,8.2,,59,0,1.0,,,,,
2016-02-07,-13.6,-3.7,-26.9,0.0,7.9,,59,0,0.9,,,,,
2016-02-08,-8.3,-3.3,-15.8,0.0,8.8,,59,1,1.5,,,,,
2016-02-09,-2.7,1.7,-6.9,0.0,0.1,,59,1,0.9,,,,,
2016-02-10,-4.7,1.1,-16.1,0.5,6.7,,61,4,2.0,,,,,
2016-02-11,-6.5,-0.2,-17.0,0.0,7.6,,58,0,1.8,,,,,
2016-02-12,-8.5,-1.4,-19.6,0.0,3.6,,58,0,1.2,,,,,
2016-02-13,0.5,7.0,-5.2,0.0,1.1,,58,0,0.9,,,,,
2016-02-14,-1.8,2.5,-4.0,11.5,0.0,,60,5,2.2,,,,,
2016-02-15,-8.8,-1.4,-16.0,0.0,6.7,,60,0,1.6,,,,,
2016-02-16,-13.1,-3.8,-23.8,0.0,7.7,,59,0,1.4,,,,,
2016-02-17,-10.3,-1.4,-21.3,0.0,7.3,,60,2,1.1,,,,,
2016-02-18,-3.8,2.7,-12.1,0.0,7.3,,59,1,1.8,,,,,
2016-02-19,-3.0,5.9,-14.0,0.0,7.8,,59,1,1.5,,,,,
2016-02-20,-1.7,3.8,-9.1,4.0,7.2,,65,7,1.6,,,,,
2016-02-21,-3.7,-0.9,-10.4,6.0,1.1,,73,9,3.1,,,,,
2016-02-22,-9.6,0.3,-18.3,0.0,6.5,,71,0,1.1,,,,,
2016-02-23,-9.4,0.4,-22.3,0.0,7.1,,70,2,1.5,,,,,
2016-02-24,-12.7,-8.0,-24.7,0.0,5.9,,70,1,2.0,,,,,
2016-02-25,-15.6,-4.9,-28.8,0.0,7.2,,69,0,1.1,,,,,
2016-02-26,-14.5,-2.9,-24.5,0.0,6.6,,69,1,0.7,,,,,
2016-02-27,-14.0,-2.0,-25.4,0.0,7.4,,68,0,1.0,,,,,
2016-02-28,-13.4,-2.5,-22.7,0.0,7.8,,68,0,1.1,,,,,
2016-02-29,-9.7,-2.0,-19.8,9.0,0.0,,79,12,0.8,,,,,
2016-03-01,-8.1,-2.7,-19.1,0.0,4.1,,78,1,2.7,,,,,
2016-03-02,-12.9,-2.4,-23.9,0.0,8.1,,75,0,0.9,,,,,
2016-03-03,-13.7,-2.4,-24.4,0.0,4.5,,74,0,0.9,,,,,
2016-03-04,-12.2,-0.8,-25.1,0.0,7.4,,74,2,1.0,,,,,
2016-03-05,-11.1,-0.2,-22.6,0.0,6.6,,73,0,0.9,,,,,
2016-03-06,-4.2,1.4,-17.2,0.0,0.0,,73,1,1.8,,,,,
2016-03-07,3.1,10.2,-2.6,0.0,8.0,,72,0,1.3,,,,,
2016-03-08,1.1,5.7,-4.2,0.0,5.6,,64,0,1.5,,,,,
2016-03-09,-3.3,1.8,-11.8,0.0,7.3,,60,1,1.8,,,,,
2016-03-10,-7.1,1.0,-16.3,0.0,10.3,,60,0,1.0,,,,,
2016-03-11,-7.6,0.9,-16.0,0.0,6.8,,60,3,1.4,,,,,
2016-03-12,-8.2,0.3,-18.7,0.0,5.6,,59,0,1.4,,,,,
2016-03-13,-5.7,2.4,-18.2,0.0,10.5,,59,0,1.6,,,,,
2016-03-14,0.4,6.2,-4.5,0.0,9.5,,57,0,1.5,,,,,
2016-03-15,-2.1,1.2,-7.9,0.0,4.3,,55,2,2.2,,,,,
2016-03-16,-0.4,7.5,-13.1,0.0,10.3,,53,0,2.0,,,,,
2016-03-17,2.7,10.8,-4.6,0.0,9.3,,50,1,1.8,,,,,
2016-03-18,2.2,13.3,-5.9,0.0,3.5,,43,0,1.0,,,,,
2016-03-19,1.5,7.0,-3.3,2.5,0.2,,40,0,1.4,,,,,
2016-03-20,-1.6,1.8,-8.3,0.0,6.0,,38,0,2.9,,,,,
2016-03-21,-3.8,3.9,-12.1,0.0,10.6,,38,0,1.1,,,,,
2016-03-22,-2.7,5.7,-12.3,0.0,11.0,,36,1,1.4,,,,,
2016-03-23,-2.5,5.0,-10.2,5.0,5.6,,50,22,1.1,,,,,
2016-03-24,-1.7,2.8,-6.7,0.5,1.3,,50,0,,,,,,
2016-03-25,-3.6,2.1,-9.8,0.0,5.7,,37,0,1.4,,,,,
2016-03-26,-2.7,4.2,-8.7,0.0,5.5,,34,0,1.0,,,,,
2016-03-27,0.5,8.9,-10.5,0.0,11.1,,32,0,1.5,,,,,
2016-03-28,3.0,10.3,-3.9,0.0,9.5,,30,0,1.6,,,,,
2016-03-29,1.4,8.4,-7.0,0.0,10.8,,26,0,1.4,,,,,
2016-03-30,4.3,7.3,1.7,0.0,1.1,,23,0,2.6,,,,,
2016-03-31,2.9,9.2,-0.9,0.5,3.9,,17,0,1.1,,,,,
2016-04-01,2.2,5.4,0.5,0.0,2.5,,14,1,1.7,,,,,
2016-04-02,1.5,5.9,-0.4,0.0,5.2,,7,0,2.8,,,,,
2016-04-03,2.6,7.6,0.3,3.5,0.1,,4,4,1.8,,,,,
2016-04-04,3.2,9.6,-2.5,0.0,3.4,,0,0,1.1,,,,,
2016-04-05,4.8,13.8,-6.0,0.0,11.4,,0,0,2.4,,,,,
2016-04-06,4.0,10.6,-2.7,0.0,9.8,,0,0,2.1,,,,,
2016-04-07,4.8,13.2,-5.1,3.5,7.7,,0,0,1.7,,,,,
2016-04-08,5.8,10.8,-0.4,5.0,0.9,,0,0,1.5,,,,,
2016-04-09,2.6,10.0,-3.9,0.0,6.6,,0,0,1.6,,,,,
2016-04-10,3.0,8.6,-4.5,0.0,11.2,,0,0,1.8,,,,,
2016-04-11,0.4,5.3,-2.8,0.0,4.5,,0,0,2.2,,,,,
2016-04-12,2.9,9.2,-4.5,0.0,10.5,,0,0,2.2,,,,,
2016-04-13,6.6,12.7,-0.3,0.0,3.9,,0,0,1.9,,,,,
2016-04-14,8.0,16.9,1.0,0.0,5.0,,0,0,1.4,,,,,
2016-04-15,3.2,6.9,-0.3,0.5,3.1,,0,0,3.8,,,,,
2016-04-16,5.8,12.5,0.5,0.0,8.8,,0,0,2.9,,,,,
2016-04-17,3.4,5.9,1.1,14.5,0.0,,0,0,0.8,,,,,
2016-04-18,3.2,8.0,-1.0,0.0,1.3,,0,0,2.3,,,,,
2016-04-19,1.0,4.1,-1.2,0.5,0.0,,0,0,1.2,,,,,
2016-04-20,6.1,14.0,0.3,0.0,5.9,,0,0,1.8,,,,,
2016-04-21,11.6,21.0,1.2,0.0,10.2,,0,0,2.4,,,,,
2016-04-22,8.3,17.7,1.0,0.0,7.4,,0,0,1.5,,,,,
2016-04-23,4.2,9.4,0.7,1.5,6.3,,0,0,2.2,,,,,
2016-04-24,6.6,14.8,-1.3,0.0,7.6,,0,0,2.0,,,,,
2016-04-25,5.9,14.5,-2.7,0.0,5.0,,0,0,1.3,,,,,
2016-04-26,5.1,11.0,1.4,0.5,1.9,,0,0,1.8,,,,,
2016-04-27,4.9,10.7,-2.2,0.0,6.1,,0,0,1.5,,,,,
2016-04-28,5.1,10.9,0.5,1.0,0.7,,0,0,2.3,,,,,
2016-04-29,0.4,2.0,-0.8,8.5,0.0,,6,9,,,,,,
2016-04-30,1.7,6.9,-2.2,0.0,2.3,,3,1,3.1,,,,,
2016-05-01,3.3,9.0,-4.0,0.0,6.7,,0,0,1.6,,,,,
2016-05-02,6.9,16.3,-4.0,0.0,10.6,,0,0,1.4,,,,,
2016-05-03,14.6,24.4,6.0,0.0,7.0,,0,0,2.2,,,,,
2016-05-04,12.4,15.5,7.8,3.5,0.0,,0,0,2.3,,,,,
2016-05-05,11.3,16.4,5.9,0.0,8.4,,0,0,1.8,,,,,
2016-05-06,10.4,16.8,3.5,0.0,6.2,,0,0,1.5,,,,,
2016-05-07,8.6,12.1,6.1,6.0,0.4,,0,0,1.9,,,,,
2016-05-08,10.6,16.8,1.9,0.0,11.0,,0,0,3.4,,,,,
2016-05-09,11.0,20.9,-1.8,0.0,6.9,,0,0,1.8,,,,,
2016-05-10,10.9,16.7,4.0,0.0,2.2,,0,0,1.5,,,,,
2016-05-11,6.9,9.5,5.0,17.5,0.0,,0,0,1.2,,,,,
2016-05-12,9.3,17.1,3.7,0.0,5.8,,0,0,1.9,,,,,
2016-05-13,13.9,24.4,1.4,0.0,12.4,,0,0,2.0,,,,,
2016-05-14,14.3,22.9,5.1,0.0,11.4,,0,0,1.8,,,,,
2016-05-15,11.2,19.0,0.4,0.0,9.0,,0,0,2.3,,,,,
2016-05-16,8.7,11.3,5.8,0.0,0.3,,0,0,4.0,,,,,
2016-05-17,13.7,20.2,6.1,6.0,4.5,,0,0,2.3,,,,,
2016-05-18,12.6,21.2,2.5,0.0,12.3,,0,0,1.7,,,,,
2016-05-19,14.1,24.9,2.7,0.0,12.6,,0,0,1.4,,,,,
2016-05-20,16.9,30.1,4.1,0.0,12.6,,0,0,1.3,,,,,
2016-05-21,18.2,30.6,4.7,0.0,12.7,,0,0,1.3,,,,,
2016-05-22,18.3,31.8,5.9,0.0,12.8,,0,0,1.5,,,,,
2016-05-23,17.4,27.8,6.4,0.0,10.3,,0,0,1.5,,,,,
2016-05-24,13.6,21.6,6.2,0.0,9.1,,0,0,1.9,,,,,
2016-05-25,12.1,17.8,8.3,2.5,2.9,,0,0,2.1,,,,,
2016-05-26,17.7,25.2,9.7,0.0,7.0,,0,0,2.0,,,,,
2016-05-27,15.6,24.6,5.3,1.0,8.6,,0,0,1.5,,,,,
2016-05-28,13.8,26.8,2.9,1.5,9.1,,0,0,1.9,,,,,
2016-05-29,11.2,19.6,6.8,0.0,6.9,,0,0,1.6,,,,,
2016-05-30,10.8,19.2,1.9,0.0,9.7,,0,0,1.9,,,,,
2016-05-31,10.8,14.6,7.3,13.5,0.0,,0,0,1.5,,,,,
2016-06-01,9.8,12.8,5.8,39.5,0.0,,0,0,1.3,,,,,
2016-06-02,5.4,8.8,1.5,1.5,1.4,,0,0,3.6,,,,,
2016-06-03,7.2,14.9,-0.8,0.0,4.3,,0,0,1.4,,,,,
2016-06-04,5.8,8.7,1.5,7.0,0.0,,0,0,1.1,,,,,
2016-06-05,8.9,14.7,4.1,0.0,3.1,,0,0,1.5,,,,,
2016-06-06,12.9,21.3,2.8,0.0,12.2,,0,0,1.5,,,,,
2016-06-07,16.6,25.3,9.8,0.0,9.0,,0,0,1.0,,,,,
2016-06-08,15.8,23.4,6.8,1.0,4.7,,0,0,1.5,,,,,
2016-06-09,16.5,23.6,12.9,22.0,2.0,,0,0,1.1,,,,,
2016-06-10,12.7,15.9,9.4,0.5,1.8,,0,0,1.2,,,,,
2016-06-11,12.9,19.7,7.1,0.0,11.0,,0,0,2.2,,,,,
2016-06-12,10.7,14.1,8.0,0.0,1.2,,0,0,2.1,,,,,
2016-06-13,11.2,14.2,8.2,2.5,0.0,,0,0,2.5,,,,,
2016-06-14,13.1,16.7,11.6,4.5,0.0,,0,0,2.1,,,,,
2016-06-15,13.7,17.9,11.2,0.0,2.9,,0,0,2.3,,,,,
2016-06-16,12.8,15.7,11.1,8.5,0.7,,0,0,2.1,,,,,
2016-06-17,12.0,13.7,10.7,25.5,0.0,,0,0,1.1,,,,,
2016-06-18,14.0,18.0,10.8,0.0,0.0,,0,0,1.6,,,,,
2016-06-19,14.2,18.1,11.4,0.0,0.0,,0,0,2.0,,,,,
2016-06-20,15.0,17.4,13.1,2.5,0.0,,0,0,1.2,,,,,
2016-06-21,17.0,22.1,14.2,1.5,1.9,,0,0,1.1,,,,,
2016-06-22,15.5,18.8,12.3,0.0,0.1,,0,0,1.6,,,,,
2016-06-23,14.1,19.0,11.2,0.0,0.3,,0,0,1.8,,,,,
2016-06-24,13.9,19.4,10.5,0.0,2.9,,0,0,1.6,,,,,
2016-06-25,12.3,14.3,11.0,7.0,0.0,,0,0,1.0,,,,,
2016-06-26,11.6,16.3,8.5,2.0,0.0,,0,0,1.5,,,,,
2016-06-27,14.8,21.6,6.7,0.0,8.3,,0,0,0.9,,,,,
2016-06-28,17.7,26.6,9.0,0.0,9.5,,0,0,1.2,,,,,
2016-06-29,19.7,28.9,11.4,0.0,11.3,,0,0,1.2,,,,,
2016-06-30,19.9,28.1,11.5,0.0,12.5,,0,0,1.5,,,,,
2016-07-01,21.3,29.9,15.5,0.0,7.5,,0,0,1.0,,,,,
2016-07-02,19.0,24.1,14.1,34.0,2.8,,0,0,1.5,,,,,
2016-07-03,21.0,27.5,13.6,0.0,5.4,,0,0,1.2,,,,,
2016-07-04,11.7,15.3,9.3,0.5,0.0,,0,0,2.2,,,,,
2016-07-05,14.5,22.9,9.2,0.0,8.1,,0,0,1.6,,,,,
2016-07-06,13.2,18.3,9.1,0.0,4.9,,0,0,1.6,,,,,
2016-07-07,16.7,25.2,11.0,0.0,11.7,,0,0,2.2,,,,,
2016-07-08,18.7,27.2,12.3,0.0,10.6,,0,0,1.7,,,,,
2016-07-09,20.0,28.4,13.8,0.0,7.9,,0,0,1.2,,,,,
2016-07-10,18.3,25.2,15.6,34.0,1.8,,0,0,1.0,,,,,
2016-07-11,15.6,17.7,14.1,0.0,0.0,,0,0,1.1,,,,,
2016-07-12,18.6,25.9,13.1,0.0,10.0,,0,0,1.4,,,,,
2016-07-13,18.0,25.5,11.7,0.0,5.0,,0,0,1.6,,,,,
2016-07-14,16.6,20.7,14.2,0.0,1.0,,0,0,1.7,,,,,
2016-07-15,17.9,22.0,14.9,0.0,0.3,,0,0,1.0,,,,,
2016-07-16,18.7,23.6,15.0,0.0,4.4,,0,0,1.2,,,,,
2016-07-17,17.8,22.1,15.3,0.0,1.7,,0,0,1.6,,,,,
2016-07-18,17.5,20.3,15.9,3.5,0.0,,0,0,1.5,,,,,
2016-07-19,16.6,18.5,15.6,12.5,0.0,,0,0,0.7,,,,,
2016-07-20,17.3,23.0,12.6,0.0,4.0,,0,0,1.1,,,,,
2016-07-21,18.0,24.8,12.6,0.0,4.9,,0,0,1.4,,,,,
2016-07-22,17.1,23.2,14.3,0.0,6.1,,0,0,1.9,,,,,
2016-07-23,16.1,20.3,13.3,0.0,3.8,,0,0,2.1,,,,,
2016-07-24,16.8,20.3,14.3,0.0,1.8,,0,0,2.0,,,,,
2016-07-25,17.1,21.2,13.7,0.0,5.4,,0,0,1.7,,,,,
2016-07-26,17.4,21.4,15.6,0.0,0.6,,0,0,1.8,,,,,
2016-07-27,17.8,20.4,15.7,5.5,0.0,,0,0,2.3,,,,,
2016-07-28,20.5,23.0,17.7,47.5,0.1,,0,0,1.8,,,,,
2016-07-29,21.4,23.7,19.7,30.5,0.0,,0,0,1.2,,,,,
2016-07-30,22.9,28.4,18.6,2.0,2.7,,0,0,1.7,,,,,
2016-07-31,22.4,26.4,20.0,0.5,1.3,,0,0,1.4,,,,,
2016-08-01,23.0,26.9,21.2,4.0,0.9,,0,0,1.2,,,,,
2016-08-02,24.3,29.2,20.6,0.0,5.3,,0,0,1.0,,,,,
2016-08-03,23.4,30.7,19.3,0.0,7.9,,0,0,1.3,,,,,
2016-08-04,24.0,31.1,18.7,0.0,6.8,,0,0,1.2,,,,,
2016-08-05,21.5,29.2,14.7,0.0,9.1,,0,0,1.5,,,,,
2016-08-06,19.6,27.7,12.9,0.0,8.7,,0,0,1.3,,,,,
2016-08-07,21.1,29.2,11.6,0.0,12.3,,0,0,1.7,,,,,
2016-08-08,23.5,28.3,19.1,0.0,6.7,,0,0,1.6,,,,,
2016-08-09,19.1,22.8,16.6,11.0,0.0,,0,0,2.1,,,,,
2016-08-10,19.1,25.6,13.7,0.0,10.0,,0,0,1.4,,,,,
2016-08-11,20.0,28.1,13.5,0.0,9.7,,0,0,1.1,,,,,
2016-08-12,20.8,28.3,14.3,0.0,8.4,,0,0,1.4,,,,,
2016-08-13,19.9,23.0,16.8,0.0,0.2,,0,0,1.9,,,,,
2016-08-14,21.1,26.7,16.5,0.0,4.1,,0,0,1.5,,,,,
2016-08-15,21.8,27.5,18.4,9.0,0.6,,0,0,1.7,,,,,
2016-08-16,21.6,23.5,19.1,22.5,0.0,,0,0,1.1,,,,,
2016-08-17,22.0,23.5,21.0,96.0,0.0,,0,0,2.0,,,,,
2016-08-18,23.0,29.0,16.4,3.0,8.6,,0,0,1.7,,,,,
2016-08-19,22.2,24.1,20.3,8.5,0.1,,0,0,0.8,,,,,
2016-08-20,21.8,24.9,20.0,57.0,0.0,,0,0,0.9,,,,,
2016-08-21,21.1,23.0,19.4,55.0,0.0,,0,0,1.1,,,,,
2016-08-22,23.4,28.3,19.2,30.5,2.7,,0,0,1.3,,,,,
2016-08-23,22.6,28.0,18.2,18.5,4.4,,0,0,1.5,,,,,
2016-08-24,21.8,29.0,16.7,0.0,9.4,,0,0,0.9,,,,,
2016-08-25,21.4,25.9,17.1,0.0,3.2,,0,0,1.7,,,,,
2016-08-26,20.1,23.3,15.0,31.5,0.0,,0,0,1.8,,,,,
2016-08-27,16.2,21.1,11.7,0.0,5.1,,0,0,1.6,,,,,
2016-08-28,15.7,17.8,13.4,2.5,0.0,,0,0,1.9,,,,,
2016-08-29,20.2,23.9,16.1,3.0,0.0,,0,0,1.3,,,,,
2016-08-30,22.1,26.7,20.0,17.0,1.2,,0,0,1.5,,,,,
2016-08-31,23.5,26.8,20.8,4.5,4.9,,0,0,2.7,,,,,
2016-09-01,22.8,27.8,19.0,0.5,4.1,,0,0,1.2,,,,,
2016-09-02,22.4,28.8,18.9,29.5,5.1,,0,0,1.0,,,,,
2016-09-03,20.5,23.3,19.0,0.0,0.4,,0,0,1.1,,,,,
2016-09-04,19.6,22.9,18.1,0.0,0.8,,0,0,1.6,,,,,
2016-09-05,20.2,23.0,18.2,0.0,0.5,,0,0,1.5,,,,,
2016-09-06,20.6,22.2,19.0,7.0,0.1,,0,0,0.9,,,,,
2016-09-07,19.7,25.7,14.4,6.5,4.7,,0,0,1.3,,,,,
2016-09-08,13.9,16.1,12.9,4.5,0.0,,0,0,1.8,,,,,
2016-09-09,14.3,15.6,12.7,79.0,0.0,,0,0,1.8,,,,,
2016-09-10,15.5,20.5,13.1,0.0,1.0,,0,0,1.4,,,,,
2016-09-11,15.1,20.4,11.9,0.0,6.8,,0,0,1.5,,,,,
2016-09-12,14.2,19.8,9.2,0.0,5.9,,0,0,0.9,,,,,
2016-09-13,14.6,18.0,10.7,0.0,0.0,,0,0,1.2,,,,,
2016-09-14,15.0,20.0,9.0,0.0,2.1,,0,0,1.2,,,,,
2016-09-15,17.4,24.2,12.4,0.0,6.1,,0,0,1.0,,,,,
2016-09-16,16.8,20.8,13.8,1.0,1.4,,0,0,1.7,,,,,
2016-09-17,13.7,18.9,9.6,4.0,1.3,,0,0,1.8,,,,,
2016-09-18,11.4,14.1,8.8,5.0,0.8,,0,0,1.0,,,,,
2016-09-19,12.8,19.7,9.8,0.0,3.5,,0,0,1.3,,,,,
2016-09-20,11.5,19.2,5.6,0.0,8.4,,0,0,1.3,,,,,
2016-09-21,11.2,19.3,4.1,0.0,8.4,,0,0,1.5,,,,,
2016-09-22,12.9,19.3,5.9,0.0,7.0,,0,0,1.5,,,,,
2016-09-23,13.8,17.2,11.4,15.5,0.0,,0,0,0.4,,,,,
2016-09-24,16.7,23.4,12.0,0.0,7.6,,0,0,1.2,,,,,
2016-09-25,18.1,23.0,13.9,0.0,4.9,,0,0,1.4,,,,,
2016-09-26,16.4,24.9,10.3,0.0,10.5,,0,0,1.2,,,,,
2016-09-27,14.3,22.3,8.4,0.0,5.7,,0,0,1.2,,,,,
2016-09-28,15.1,20.9,10.6,1.0,2.1,,0,0,1.6,,,,,
2016-09-29,12.3,14.6,10.6,0.0,0.0,,0,0,0.9,,,,,
2016-09-30,13.4,19.3,7.6,0.0,8.0,,0,0,1.3,,,,,
2016-10-01,12.5,22.0,6.8,0.0,8.1,,0,0,0.8,,,,,
