calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-3.6,-1.5,-5.8,0.0,5.7,,,,3.8,,,,,
2016-01-02,-2.0,2.1,-7.6,3.0,1.1,,,,2.6,,,,,
2016-01-03,-2.0,0.3,-3.5,0.0,5.0,,,,4.8,,,,,
2016-01-04,-3.7,-0.9,-6.4,0.0,3.3,,,,4.1,,,,,
2016-01-05,-6.5,-2.8,-13.4,0.0,5.6,,,,4.3,,,,,
2016-01-06,-3.8,-1.4,-6.7,0.0,3.9,,,,4.9,,,,,
2016-01-07,-4.9,-2.4,-6.4,0.0,4.5,,,,4.2,,,,,
2016-01-08,-3.6,-0.5,-6.3,0.0,6.8,,,,3.6,,,,,
2016-01-09,-6.1,-3.2,-11.5,0.0,5.8,,,,4.0,,,,,
2016-01-10,-6.3,-1.5,-11.0,0.0,3.9,,,,2.9,,,,,
2016-01-11,-8.7,-6.1,-11.1,0.0,6.8,,,,3.4,,,,,
2016-01-12,-8.1,-4.8,-11.5,0.0,6.1,,,,2.7,,,,,
2016-01-13,-7.3,-2.3,-12.5,0.0,5.9,,,,2.1,,,,,
2016-01-14,-6.3,-2.6,-12.0,3.5,8.4,,,,2.8,,,,,
2016-01-15,-9.4,-6.4,-12.7,0.0,5.9,,,,1.0,,,,,
2016-01-16,-10.7,-2.5,-17.5,0.0,7.1,,,,1.7,,,,,
2016-01-17,-10.6,-2.6,-16.8,0.0,7.6,,,,1.6,,,,,
2016-01-18,-8.4,-4.4,-14.5,6.0,0.0,,,,1.7,,,,,
2016-01-19,-2.4,-0.1,-4.7,1.5,0.0,,,,2.5,,,,,
2016-01-20,-2.6,-0.8,-5.0,0.0,0.4,,,,5.0,,,,,
2016-01-21,-4.6,-1.4,-6.7,0.0,8.5,,,,4.8,,,,,
