calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.9,-0.5,-4.4,0.0,3.9,,15,0,2.2,,,,,
2016-01-02,-1.2,3.0,-5.7,3.5,0.0,,24,12,1.6,,,,,
2016-01-03,-1.1,1.2,-2.6,0.0,3.2,,24,0,3.6,,,,,
2016-01-04,-3.0,-1.1,-5.3,0.0,2.4,,22,4,3.0,,,,,
2016-01-05,-5.0,-3.0,-6.1,0.0,5.7,,21,0,3.3,,,,,
2016-01-06,-3.2,-1.1,-6.1,0.0,4.8,,18,1,3.2,,,,,
2016-01-07,-4.3,-2.6,-5.0,0.0,1.7,,18,1,2.1,,,,,
2016-01-08,-3.1,-0.8,-4.8,0.0,6.4,,18,0,3.0,,,,,
2016-01-09,-4.5,-3.0,-5.7,0.0,6.6,,17,0,3.0,,,,,
2016-01-10,-5.6,-1.0,-8.6,0.0,3.3,,17,0,2.2,,,,,
2016-01-11,-8.0,-5.8,-9.5,0.0,7.7,,17,2,2.4,,,,,
2016-01-12,-7.3,-4.9,-9.2,0.0,5.1,,17,0,2.2,,,,,
2016-01-13,-6.9,-2.5,-10.7,0.0,3.9,,17,0,1.3,,,,,
2016-01-14,-6.6,-2.2,-12.5,4.0,7.8,,27,10,1.6,,,,,
2016-01-15,-9.3,-5.5,-12.4,0.0,6.1,,24,0,0.8,,,,,
2016-01-16,-9.6,-2.3,-15.8,0.0,6.7,,22,0,1.3,,,,,
2016-01-17,-10.5,-2.3,-18.4,0.0,5.9,,22,0,0.8,,,,,
2016-01-18,-9.6,-4.9,-16.9,10.5,0.0,,39,19,1.5,,,,,
2016-01-19,-2.0,0.7,-4.9,3.5,0.0,,45,6,2.3,,,,,
2016-01-20,-2.7,-1.3,-4.4,0.0,0.6,,42,0,3.5,,,,,
2016-01-21,-3.9,-1.6,-5.4,0.0,7.1,,39,0,3.5,,,,,
2016-01-22,-2.7,-0.1,-4.9,0.0,8.0,,37,0,3.0,,,,,
2016-01-23,-3.7,-0.5,-12.7,0.0,5.8,,34,0,2.2,,,,,
2016-01-24,-9.0,-4.3,-15.3,0.0,4.8,,34,2,0.7,,,,,
2016-01-25,-7.6,-4.5,-16.9,0.0,7.8,,33,0,2.5,,,,,
2016-01-26,-0.7,1.8,-4.8,0.0,3.9,,33,0,2.1,,,,,
2016-01-27,-1.6,1.2,-4.1,0.0,4.6,,34,2,2.4,,,,,
2016-01-28,-4.8,-1.7,-8.1,0.0,3.5,,32,1,3.4,,,,,
2016-01-29,-7.3,-4.5,-9.4,0.0,4.2,,33,2,2.5,,,,,
2016-01-30,-11.9,-6.5,-17.3,0.0,6.7,,32,0,0.9,,,,,
2016-01-31,-7.6,-3.9,-15.8,0.0,6.0,,32,0,2.1,,,,,
2016-02-01,-8.7,-5.2,-14.9,0.0,2.8,,32,1,2.0,,,,,
2016-02-02,-10.2,-2.6,-19.5,0.0,6.7,,33,2,1.8,,,,,
2016-02-03,-5.9,-2.5,-9.2,0.0,5.5,,33,0,1.9,,,,,
2016-02-04,-6.4,-2.2,-10.7,0.0,2.4,,32,0,0.8,,,,,
2016-02-05,-3.7,-0.9,-6.2,3.0,5.6,,44,12,2.0,,,,,
2016-02-06,-6.7,-1.9,-12.7,0.0,5.1,,38,0,1.6,,,,,
2016-02-07,-6.2,-3.9,-11.8,0.0,5.4,,37,0,2.1,,,,,
2016-02-08,-5.6,-2.6,-8.8,0.0,9.1,,36,0,2.3,,,,,
2016-02-09,-4.1,-0.4,-6.7,2.0,0.1,,39,3,0.5,,,,,
2016-02-10,-3.0,-0.1,-6.9,0.0,4.7,,41,3,2.6,,,,,
2016-02-11,-2.8,-0.1,-4.7,0.0,8.8,,40,0,2.7,,,,,
2016-02-12,-4.3,-1.4,-10.5,0.0,4.7,,39,1,1.0,,,,,
2016-02-13,1.0,6.9,-5.4,0.0,0.1,,39,0,1.1,,,,,
2016-02-14,0.6,6.4,-1.6,24.0,0.0,,36,4,1.5,,,,,
2016-02-15,-5.9,-0.9,-9.7,0.5,4.2,,38,2,3.4,,,,,
2016-02-16,-6.9,-4.1,-10.4,0.0,4.8,,35,0,1.8,,,,,
2016-02-17,-6.0,-1.8,-9.8,0.0,2.5,,37,4,2.5,,,,,
2016-02-18,-0.8,2.9,-6.7,0.5,7.2,,39,2,2.9,,,,,
2016-02-19,1.8,6.2,-4.0,4.5,6.4,,37,4,1.4,,,,,
2016-02-20,0.8,3.2,-2.2,7.0,4.7,,48,14,2.0,,,,,
2016-02-21,-1.4,0.4,-3.3,10.5,0.7,,62,18,2.0,,,,,
2016-02-22,-4.0,-2.0,-9.0,1.0,8.7,,60,3,2.9,,,,,
2016-02-23,-5.7,-1.7,-11.8,0.0,1.8,,53,2,0.9,,,,,
2016-02-24,-8.1,-5.3,-10.4,0.0,7.3,,52,0,2.5,,,,,
2016-02-25,-9.0,-3.0,-15.7,0.0,5.9,,50,0,1.7,,,,,
2016-02-26,-8.1,-2.1,-16.4,0.0,5.4,,48,2,1.6,,,,,
2016-02-27,-7.9,-2.3,-13.7,0.0,8.3,,46,0,1.9,,,,,
2016-02-28,-8.0,-1.6,-13.9,0.0,9.9,,44,0,1.7,,,,,
2016-02-29,-7.4,-4.0,-14.1,27.5,0.0,,93,50,0.7,,,,,
2016-03-01,-5.0,-1.9,-10.1,1.0,6.2,,90,1,,,,,,
2016-03-02,-4.7,-1.1,-7.2,0.0,5.4,,82,0,1.9,,,,,
2016-03-03,-8.4,-3.7,-15.4,1.5,1.0,,76,3,0.7,,,,,
2016-03-04,-5.9,0.3,-17.6,0.0,8.6,,75,0,1.7,,,,,
2016-03-05,-4.1,1.8,-10.7,0.0,10.4,,70,0,1.7,,,,,
2016-03-06,-4.1,-0.3,-10.5,2.5,0.0,,66,1,,,,,,
2016-03-07,3.4,7.5,-1.9,1.0,7.5,,65,0,,,,,,
2016-03-08,0.8,4.5,-2.0,3.0,0.3,,55,4,1.4,,,,,
2016-03-09,-2.1,0.8,-5.5,0.0,6.4,,54,0,3.0,,,,,
2016-03-10,-4.7,1.1,-12.9,0.0,7.5,,52,0,1.3,,,,,
2016-03-11,-5.4,0.7,-13.0,0.0,5.8,,50,1,1.4,,,,,
2016-03-12,-4.3,1.0,-11.0,0.0,7.6,,49,0,1.5,,,,,
2016-03-13,-4.5,0.4,-13.1,0.0,7.1,,48,1,0.9,,,,,
2016-03-14,-0.7,5.2,-7.8,0.0,10.0,,47,0,1.1,,,,,
2016-03-15,-1.0,2.3,-5.5,0.0,8.5,,44,2,2.6,,,,,
2016-03-16,3.3,8.2,-4.9,0.0,9.9,,41,0,3.5,,,,,
2016-03-17,7.1,11.6,-0.5,0.0,10.8,,34,0,2.6,,,,,
2016-03-18,3.8,11.4,-2.9,0.0,8.6,,26,2,1.0,,,,,
2016-03-19,4.9,9.7,0.1,1.5,0.5,,19,0,1.5,,,,,
2016-03-20,0.0,3.3,-3.8,0.0,9.3,,16,0,3.4,,,,,
2016-03-21,-1.5,2.4,-4.4,0.0,8.0,,11,1,2.3,,,,,
2016-03-22,0.2,5.6,-6.0,0.0,7.1,,8,1,1.9,,,,,
2016-03-23,0.8,6.0,-4.3,0.0,6.7,,3,2,1.9,,,,,
2016-03-24,-0.8,4.5,-6.2,4.0,8.2,,7,7,1.4,,,,,
